Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2DNXgvkyv35vTWvdgjs7qn,"Someone New","Hozier (Expanded Edition)","Hozier",2014-09-19,222813,75,false,jackdutton8,2025-02-28T00:02:35Z,"","Columbia",0.443,0.533,7,-5.956,1,0.0473,0.429,0.00000366,0.332,0.596,183.791,4
spotify:track:2AXY5WABx7NjWw1zb4qCdc,"Cleopatra","Cleopatra","The Lumineers",2016-04-08,201413,74,false,jackdutton8,2025-02-28T00:02:39Z,"folk pop,indie folk","Dualtone Music Group",0.536,0.775,8,-6.765,1,0.0394,0.228,0.000142,0.0947,0.485,151.397,4
spotify:track:14AyWf6y7KlWWLfAjdKMKI,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,81,false,jackdutton8,2025-02-28T00:02:55Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
spotify:track:2uXlHCUbq9OMUwx3hrk06o,"Riptide","Dream Your Life Away (Deluxe Edition)","Vance Joy",2014-08-05,204280,87,false,jackdutton8,2025-02-28T00:03:05Z,"folk pop","Atlantic Records",0.483,0.731,1,-6.696,1,0.0381,0.436,0,0.151,0.484,101.654,4
spotify:track:4RvW5ggYKC7bCDX4UUSSDc,"Sleep On The Floor","Cleopatra","The Lumineers",2016-04-08,211851,75,false,jackdutton8,2025-02-28T00:03:08Z,"folk pop,indie folk","Dualtone Music Group",0.389,0.431,7,-8.061,1,0.0344,0.249,0,0.13,0.275,142.133,4
spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,"Brazil","What Do You Think About the Car?","Declan McKenna",2017-04-21,252305,79,false,jackdutton8,2025-02-28T00:03:15Z,"","Columbia",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
spotify:track:2ixsaeFioXJmMgkkbd4uj1,"Budapest","Wanted on Voyage (Expanded Edition)","George Ezra",2014-06-30,200573,80,false,jackdutton8,2025-02-28T00:03:31Z,"","Columbia",0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.389,127.812,4
spotify:track:2vzMWO0T008m86yDnXwkII,"Blame It on Me","Wanted on Voyage (Expanded Edition)","George Ezra",2014-06-30,195527,69,false,jackdutton8,2025-02-28T00:03:33Z,"","Columbia",0.537,0.757,3,-3.374,1,0.0274,0.473,0,0.341,0.421,103.882,4
spotify:track:0DwClY2t9YAWHBROMIgrXb,"Ho Hey","The Lumineers","The Lumineers",2012-04-03,163133,83,false,jackdutton8,2025-02-28T00:03:34Z,"folk pop,indie folk","Dualtone Music Group",0.685,0.466,0,-9.074,1,0.0304,0.791,0.00000206,0.0914,0.353,79.936,4
spotify:track:6kopmMZiyLmw7h66uXcXR7,"Valerie (feat. Amy Winehouse) - Version Revisited","Version","Mark Ronson;Amy Winehouse",2007-04-16,219413,82,false,jackdutton8,2025-02-28T00:03:58Z,"","Columbia",0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,4
