Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3AjZd2FYElRKklkiXIKTx6,"USA","Wild Wild East","Dubioza kolektiv",2011-01-01,231893,47,false,jackdutton8,2022-06-12T01:58:21Z,"ska,ska punk","Koolarrow Records",0.893,0.639,4,-4.298,1,0.0502,0.282,0,0.0674,0.944,140,4
spotify:track:46s0QoKKdS4B3RISGC5PmX,"Солдат","Пятница","5'nizza",2003,190040,0,false,jackdutton8,2022-06-12T01:58:24Z,"","Lavina Music",0.691,0.181,5,-10.926,0,0.105,0.662,0,0.1,0.71,134.605,4
spotify:track:0lznmOabve1al78GuyMkc4,"Дорога","Птица","Auktyon",1994,197741,55,false,jackdutton8,2022-06-12T02:07:51Z,"art rock","Геометрия",0.747,0.729,4,-10.555,0,0.0385,0.389,0.00189,0.506,0.886,129.078,3
spotify:track:1bJDdTaKPdyOREqZEpVTrH,"Hungarian Dish","Feel the Riddim","Pannonia Allstars Ska Orchestra",2011-01-27,151509,21,false,jackdutton8,2022-06-12T01:58:25Z,"ska,rocksteady,ska punk","Szerzői kiadás",0.702,0.839,0,-4.116,1,0.0801,0.0811,0,0.169,0.913,110.51,4
spotify:track:6b37xrsNCWYIUphFBazqD6,"Me Gustas Tu","Próxima Estación: Esperanza","Manu Chao",2001-06-01,239986,81,false,jackdutton8,2022-06-12T01:58:37Z,"latin alternative","Radio Bemba",0.657,0.741,11,-6.822,0,0.0825,0.663,0.494,0.222,0.908,175.949,4
spotify:track:6ZKCcRjkXXUk67OfqS2fJT,"Gdzie jest biały węgorz ? (Zejście)","Gdzie jest biały węgorz ? (Zejście)","Cypis",2015-01-01,249036,0,false,jackdutton8,2022-06-12T01:58:44Z,"disco polo","Cypisolo",0.956,0.854,9,-5.964,0,0.224,0.364,0,0.0251,0.968,120.771,4
spotify:track:0e5HFl2URJqqpfhWI77bXS,"Отпускная","Отпускная","Leningrad",2015-06-07,228489,0,true,jackdutton8,2022-06-12T01:58:45Z,"","ShnurOK",0.566,0.463,11,-7.922,0,0.0869,0.0744,0.000379,0.0576,0.24,106.087,4
spotify:track:2UuOcNP8dU5nVq57ABxzIo,"Всё будет хорошо","Ха ра шо!","Verka Serduchka",2009-01-01,228649,55,false,jackdutton8,2022-06-12T01:58:49Z,"","Mama Music",0.763,0.925,0,-4.174,0,0.0831,0.121,0.000137,0.118,0.81,166.061,4
spotify:track:6Q4foUefrAyCt8VxJFML56,"Olha A Explosão","Olha A Explosão","MC Kevinho",2016-12-15,162053,75,false,jackdutton8,2022-06-12T01:58:52Z,"brazilian funk,funk pop","Olha A Explosao PS",0.778,0.635,6,-2.892,1,0.112,0.107,0,0.0608,0.379,90.008,4
spotify:track:3fdMDIYjLTldCYXBeWhAHf,"Vodka","Warm","Noggano;Купэ",2009,400146,0,true,jackdutton8,2022-06-12T01:58:53Z,"","Ноггано",0.796,0.665,10,-4.899,0,0.417,0.269,0,0.284,0.856,94.089,4
