Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6XMYnm4OTEysN8blzqiCL9,"Ain't No Man","True Sadness","The Avett Brothers",2016-06-24,212346,55,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.787,0.689,11,-5.617,1,0.319,0.331,0,0.114,0.779,90.528,4
spotify:track:7CEV9VwA8XO9wwxTXgYKvY,"I And Love And You","I And Love And You","The Avett Brothers",2009-01-01,300840,59,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.424,0.264,2,-9.984,1,0.0298,0.831,0.0000708,0.0763,0.169,139.593,4
spotify:track:1oqnATF6AFH93dCBrDqBTP,"Victory","The Third Gleam","The Avett Brothers",2020-08-28,233333,49,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","The Avett Brothers / American Recordings / Loma Vista Recordings",0.622,0.191,10,-11.141,1,0.0299,0.947,0.00602,0.106,0.293,134.853,4
spotify:track:3h5AZDf5z7D18plaLtHTfi,"Murder in the City","The Second Gleam","The Avett Brothers",2008-07-22,192426,48,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.632,0.254,3,-10.898,1,0.0338,0.922,0.0000906,0.13,0.232,106.026,4
spotify:track:6B6C1OC9RUvrvBECPWtAZo,"February Seven","The Carpenter","The Avett Brothers",2012-01-01,255013,52,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.512,0.465,4,-7.144,1,0.0253,0.0591,0.0000308,0.112,0.267,137.892,4
spotify:track:7Kho44itYaCQZvZQVV2SLW,"Head Full Of Doubt/Road Full Of Promise","I And Love And You","The Avett Brothers",2009-01-01,287986,54,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.309,0.459,7,-7.29,1,0.0347,0.399,0.0000134,0.12,0.167,175.809,3
spotify:track:1nMlHxWuPc5P9Y5nGvenlj,"I Wish I Was","True Sadness","The Avett Brothers",2016-06-24,316440,54,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.491,0.299,11,-8.86,1,0.0317,0.806,0,0.188,0.265,109.329,4
spotify:track:19n9s9SfnLtwPEODqk8KCT,"Live And Die","The Carpenter","The Avett Brothers",2012-01-01,271186,48,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.585,0.779,11,-5.083,1,0.0269,0.0827,0.00000177,0.151,0.58,118.015,4
spotify:track:78NnAw2qrlMrsedXLWLsYj,"Laundry Room","I And Love And You","The Avett Brothers",2009-01-01,291360,51,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.363,0.498,11,-8.032,1,0.03,0.472,0.000197,0.164,0.34,149.239,4
spotify:track:711WfDztCZpnmJg7Uvwod3,"No Hard Feelings","True Sadness","The Avett Brothers",2016-06-24,314680,58,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.485,0.319,5,-8.525,1,0.031,0.686,0.0000281,0.117,0.195,142.119,3
spotify:track:1kq9lzEHoY3p8naHWpqNlh,"Untitled #4","The Third Gleam","The Avett Brothers",2020-08-28,244280,46,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","The Avett Brothers / American Recordings / Loma Vista Recordings",0.595,0.473,10,-8.287,1,0.0286,0.829,0.0002,0.109,0.599,146.633,4
spotify:track:03xNUQYx0Mb7Sdsq0YcZgY,"At the Beach","Mignonette","The Avett Brothers",2004-07-27,249173,37,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.563,0.756,7,-7.916,1,0.0565,0.37,0.0000155,0.114,0.624,105.121,4
spotify:track:0KKist1jJYO17nOqtO1sb2,"Kick Drum Heart","I And Love And You","The Avett Brothers",2009-01-01,174106,45,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.703,0.922,0,-4.514,1,0.0479,0.161,0,0.116,0.781,141.961,4
spotify:track:5BM4OgN8Giv7Wi5K8TN02M,"Morning Song","Magpie And The Dandelion (Deluxe)","The Avett Brothers",2013-01-01,234240,44,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.431,0.497,4,-6.501,1,0.0318,0.383,0,0.116,0.414,142.972,4
spotify:track:36lV4io8Gc69fDinNaazAg,"The Weight of Lies","Emotionalism (Bonus Track Version)","The Avett Brothers",2007-05-15,269680,43,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.591,0.411,9,-7.496,1,0.0299,0.713,0,0.115,0.454,153.616,4
spotify:track:0ZuIstS2vy1OxfHfEnsXv3,"If It's The Beaches","The Gleam","The Avett Brothers",2006-12-19,237120,41,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.519,0.215,5,-11.627,1,0.0334,0.814,0.0068,0.0979,0.11,88.334,4
spotify:track:4agZCOTdZDD4r33mPPDy8b,"January Wedding","I And Love And You","The Avett Brothers",2009-01-01,228000,49,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.469,0.373,9,-9.376,1,0.0279,0.355,0.0000113,0.299,0.618,134.908,4
spotify:track:5dFeNkfQT1l8XdEA990jxP,"Another Is Waiting","Magpie And The Dandelion (Deluxe)","The Avett Brothers",2013-01-01,128520,28,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.442,0.844,7,-3.12,1,0.0339,0.00946,0,0.232,0.778,164.557,4
spotify:track:1MJYnWM0q7frZA0fea8ucJ,"Pretty Girl From Michigan","The Carpenter","The Avett Brothers",2012-01-01,166920,36,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.585,0.594,0,-5.371,1,0.0264,0.0891,0,0.259,0.676,111.27,3
spotify:track:0DcBU93zLXGRdPPbUnP1iS,"Swept Away","Mignonette","The Avett Brothers",2004-07-27,233280,39,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.372,0.512,7,-8.135,1,0.028,0.119,0,0.126,0.554,160.859,4
spotify:track:0MGMZ1413F9obd1qt4vkhy,"Ten Thousand Words","I And Love And You","The Avett Brothers",2009-01-01,336000,46,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.479,0.29,7,-12.079,1,0.0334,0.849,0.000331,0.112,0.374,154.14,4
spotify:track:3S2hf80dIHHzyXP5zK66f1,"Will You Return","Emotionalism (Bonus Track Version)","The Avett Brothers",2007-05-15,166346,35,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.58,0.867,3,-4.881,1,0.0353,0.638,0.0000311,0.0602,0.965,147.031,4
spotify:track:099L0yzX4UHJip4WwfxluS,"High Steppin'","Closer Than Together","The Avett Brothers",2019-10-04,201453,39,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Republic Records",0.652,0.617,9,-5.152,1,0.0994,0.0722,0,0.0983,0.134,85.637,4
spotify:track:2aoEpBZUQjNv6jds5qqfUy,"Have You Ever","Cover Stories: Brandi Carlile Celebrates 10 Years of the Story (An Album to Benefit War Child)","The Avett Brothers",2017-05-05,196760,36,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Legacy Recordings",0.49,0.163,11,-14.268,1,0.0358,0.967,0.00441,0.115,0.316,108.76,3
spotify:track:7huuoVBXjskB8kLgdRU9zu,"True Sadness","True Sadness","The Avett Brothers",2016-06-24,275360,39,false,jackdutton8,2023-08-06T20:10:47Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.517,0.671,9,-3.787,1,0.0339,0.144,0.00000295,0.108,0.737,96.921,4
