Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5EWPGh7jbTNO2wakv8LjUI,"Free Bird","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,547106,79,false,jackdutton8,2022-08-20T00:06:17Z,"southern rock,classic rock,rock","Geffen*",0.249,0.834,0,-8.21,1,0.0574,0.0742,0.0000969,0.0924,0.337,118.222,4
spotify:track:1170VohRSx6GwE6QDCHPPH,"Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,78,false,jackdutton8,2022-08-20T00:06:17Z,"","The Backseat Lovers",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
spotify:track:2iUmqdfGZcHIhS3b9E9EWq,"Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,80,true,jackdutton8,2022-08-20T00:06:17Z,"","Mercury Records",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
spotify:track:55N8cxpE1QDoeaaNqUnoZ2,"Bad Decisions","The New Abnormal","The Strokes",2020-04-10,293360,63,false,jackdutton8,2022-08-20T00:06:17Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,4
spotify:track:0Ta3jOf8m9yCSWMVwd8Qlf,"International Harvester","Little Bit Of Life","Craig Morgan",2006-10-31,228653,0,false,jackdutton8,2022-08-20T00:06:17Z,"country,acoustic country,country christian","Broken Bow Records",0.699,0.837,2,-5.173,1,0.0428,0.103,0,0.231,0.348,95.493,4
spotify:track:42wFJFBEkSBfM74T9Eb6LZ,"Little Girls","Only A Lad","Oingo Boingo",1981-06-19,223515,54,false,jackdutton8,2022-08-20T00:06:17Z,"new wave","A&M",0.611,0.817,6,-11.265,1,0.0478,0.0257,0.0859,0.0324,0.759,172.14,4
spotify:track:6NwbeybX6TDtXlpXvnUOZC,"Master Of Puppets","Master Of Puppets","Metallica",1986-03-03,516293,3,false,jackdutton8,2022-08-20T00:06:17Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.538,0.872,4,-7.658,0,0.0361,0.000608,0.573,0.0946,0.593,105.102,4
spotify:track:12OkZyDWNBLUqoReoseGrc,"Rhymes Like Dimes","Operation: Doomsday (Complete)","MF DOOM;DJ Cucumber Slice",1999-04-20,258613,0,true,jackdutton8,2022-08-20T00:06:17Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Metalface",0.644,0.751,0,-5.652,1,0.268,0.662,0,0.17,0.759,99.948,4
spotify:track:1JjwkD2bH5dSpFW9uarw5c,"Orinoco","Orinoco","Morabeza Tobacco",2019-05-07,274046,1,false,jackdutton8,2022-08-20T00:06:17Z,"bedroom pop","Luminelle Recordings",0.662,0.459,11,-9.06,1,0.0267,0.0387,0.709,0.31,0.576,105.99,4
spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,"Gold Digger","Late Registration","Kanye West;Jamie Foxx",2005-08-30,207626,81,true,jackdutton8,2022-08-20T00:06:17Z,"rap","Roc-A-Fella",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,4
spotify:track:41mclLjggl2nmbYpRisKrh,"Chateau (Feel Alright)","Twenty Twenty","Djo",2019-09-13,272157,0,false,jackdutton8,2022-08-20T00:06:17Z,"","Djo",0.641,0.365,7,-11.763,1,0.027,0.43,0.00000823,0.297,0.348,134.881,4
spotify:track:45Ic9eSdGIvQpkk7JidSGu,"Bound (Kanye West - Bound 2)","Sample This! The Foundation of Modern Classics","The Ponderosa Twins Plus One",2013-11-12,191204,30,false,jackdutton8,2022-08-20T00:06:17Z,"","Perpetual",0.458,0.54,5,-6.457,0,0.027,0.715,0.000428,0.115,0.657,142.218,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,jackdutton8,2022-08-20T00:06:17Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:6ACiYjq5Q7e6BlhZEHz7cd,"Garden Shed (feat. Estelle)","Flower Boy","Tyler, The Creator;Estelle",2017-07-21,223946,64,true,jackdutton8,2022-08-20T00:06:17Z,"","Columbia",0.423,0.456,2,-8.45,0,0.0579,0.381,0.016,0.12,0.148,112.984,4
spotify:track:7KwZNVEaqikRSBSpyhXK2j,"Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,84,true,jackdutton8,2022-08-20T00:06:17Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Rhino Atlantic",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
spotify:track:1jJci4qxiYcOHhQR247rEU,"Kids","Oracular Spectacular","MGMT",2007-12-14,302840,83,false,jackdutton8,2022-08-20T00:06:17Z,"indie","Red Ink/Columbia",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
spotify:track:2cGxRwrMyEAp8dEbuZaVv6,"Instant Crush (feat. Julian Casablancas)","Random Access Memories","Daft Punk;Julian Casablancas",2013-05-20,337560,78,false,jackdutton8,2022-08-20T00:06:17Z,"french house,electronic,electro","Columbia",0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,4
spotify:track:7h2VOqNH9yHNAmIXImth4n,"Commissioning a Symphony In C","Comfort Eagle","CAKE",2001-07-24,179098,43,false,jackdutton8,2022-08-20T00:06:17Z,"alternative rock","Columbia",0.699,0.567,5,-10.331,1,0.0381,0.0211,0.529,0.0947,0.471,126.565,4
spotify:track:0xMEF2WiqKWTIG7Krjungw,"The Distance","Fashion Nugget","CAKE",1996-09-17,179653,3,false,jackdutton8,2022-08-20T00:06:17Z,"alternative rock","Volcano",0.463,0.749,11,-8.118,0,0.0894,0.00795,0.00221,0.0558,0.888,183.054,4
spotify:track:4KF92hpwTpYBC8rdfKd7Po,"Frank Sinatra","Fashion Nugget","CAKE",1996-09-16,240029,54,false,jackdutton8,2022-08-20T00:06:17Z,"alternative rock","Volcano/Legacy",0.675,0.511,7,-9.208,1,0.0415,0.175,0.0261,0.183,0.569,114.201,4
spotify:track:0ZNDNZInUk1JJRCjeWzVZc,"Stickshifts and Safetybelts","Fashion Nugget","CAKE",1996-09-17,129095,44,false,jackdutton8,2022-08-20T00:06:17Z,"alternative rock","Volcano",0.659,0.682,1,-9.668,0,0.137,0.416,0,0.314,0.913,141.556,4
spotify:track:6aBh6vT0UV14DneyyNorR2,"Kiss Her You Fool","Kiss Her You Fool","Kids That Fly",2019-11-20,163448,0,false,jackdutton8,2022-08-20T00:06:17Z,"","Kids That Fly",0.487,0.716,5,-6.294,1,0.0348,0.00873,0.000203,0.134,0.594,104.98,4
spotify:track:6vzRQHItVGIT94q33HvRZx,"Aunt Leslie","The Beautiful Game","Vulfpeck",2016-10-17,229395,42,false,jackdutton8,2022-08-20T00:06:17Z,"funk,funk rock","Vulf Records",0.664,0.535,6,-9.685,0,0.0562,0.627,0.215,0.131,0.326,117.72,4
