Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4KF92hpwTpYBC8rdfKd7Po,"Frank Sinatra","Fashion Nugget","CAKE",1996-09-16,240029,54,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.675,0.511,7,-9.208,1,0.0415,0.175,0.0261,0.183,0.569,114.201,4
spotify:track:1szwDbVdIdoQq5mG5GXAmJ,"The Distance","Fashion Nugget","CAKE",1996-09-16,180627,68,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.457,0.752,11,-8.121,0,0.09,0.00959,0.00136,0.0573,0.897,183.578,4
spotify:track:0pyEZfXXUFRe70e8tBH9Xj,"Friend Is a Four Letter Word","Fashion Nugget","CAKE",1996-09-16,202249,40,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.436,0.579,9,-9.795,0,0.0259,0.107,0.000675,0.0996,0.297,131.15,4
spotify:track:6GP5WytWs9Z6IQt0Enpkqu,"Open Book","Fashion Nugget","CAKE",1996-09-16,224973,33,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.566,0.561,2,-8.135,0,0.0255,0.0443,0.000232,0.127,0.829,103.26,4
spotify:track:0vJ87EczPRxUuVp1Grk0VG,"Daria","Fashion Nugget","CAKE",1996-09-16,224423,34,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.594,0.557,0,-9.326,1,0.0315,0.293,0,0.0619,0.728,120.164,4
spotify:track:24QNCl05kh6C7Tg82A6Jbw,"Race Car Ya-Yas","Fashion Nugget","CAKE",1996-09-16,81162,31,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.59,0.776,9,-7.451,1,0.0434,0.097,0.000663,0.209,0.832,119.287,4
spotify:track:7CM9SpA4YyNiLGYGsbg5Lh,"I Will Survive","Fashion Nugget","CAKE",1996-09-16,309661,32,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.49,0.664,7,-8.975,1,0.0315,0.313,0.000145,0.184,0.902,95.395,4
spotify:track:3qqgMYanAP96rUw578atHv,"Stickshifts and Safetybelts","Fashion Nugget","CAKE",1996-09-16,129095,39,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.659,0.681,1,-9.668,0,0.137,0.403,0,0.314,0.916,141.551,4
spotify:track:0EzT2QizrC4PqT0iQilP1A,"Perhaps, Perhaps, Perhaps","Fashion Nugget","CAKE",1996-09-16,144378,49,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.713,0.439,0,-8.73,1,0.0615,0.079,0.000135,0.434,0.891,113.736,4
spotify:track:3BaF0jHQWXRxOyEo6ZWu4V,"It's Coming Down","Fashion Nugget","CAKE",1996-09-16,224357,33,false,jackdutton8,2025-08-27T16:55:16Z,"alternative rock","Volcano/Legacy",0.584,0.718,4,-7.482,0,0.0291,0.0132,0.139,0.0831,0.738,119.84,4
