Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0o7g2ndHoHmzTXaxjPM44O,"Even Flow","Ten","Pearl Jam",1991,293666,0,false,jackdutton8,2022-03-24T14:13:03Z,"grunge,rock,post-grunge","Epic",0.407,0.889,10,-9.264,0,0.0542,0.00619,0.00000396,0.323,0.287,104.946,4
spotify:track:1FvDJ9KGxcqwv1utyPL3JZ,"This Charming Man - 2011 Remaster","The Smiths","The Smiths",1984-02-20,162920,80,false,jackdutton8,2022-03-24T14:13:03Z,"new wave,madchester,jangle pop","WM UK",0.611,0.846,11,-5.9,1,0.0436,0.00509,0,0.0784,0.751,103.912,4
spotify:track:4fPBB44eDH71YohayI4eKV,"You Only Live Once","First Impressions Of Earth","The Strokes",2006-01-03,189226,71,false,jackdutton8,2022-03-24T14:13:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,4
spotify:track:57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,76,false,jackdutton8,2022-03-24T14:13:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,"Everlong","The Colour And The Shape","Foo Fighters",1997-05-20,250546,86,false,jackdutton8,2022-03-24T14:13:03Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.413,0.881,11,-5.541,0,0.0367,0.0000599,0.000308,0.0805,0.364,158.066,4
spotify:track:0lBO2VOhlNNx879Fjd9XY3,"Velouria","Bossanova","Pixies",1990-08-13,220333,54,false,jackdutton8,2022-03-24T14:13:03Z,"alternative rock","4AD",0.488,0.634,6,-12.596,1,0.0329,0.00181,0.245,0.0819,0.508,124.624,4
spotify:track:1ZBqJilDGBVYktvlCEo9jC,"Obstacle 1","Turn On The Bright Lights","Interpol",2002-08-20,251293,65,false,jackdutton8,2022-03-24T14:13:03Z,"indie rock,post-punk","Matador",0.377,0.938,5,-4.9,1,0.0618,0.0000518,0.58,0.0705,0.385,120.514,4
spotify:track:0p5eZCY0R7uNCZS1YDtIYI,"Hey","Doolittle","Pixies",1989-04-17,210906,67,false,jackdutton8,2022-03-24T14:13:03Z,"alternative rock","4AD",0.59,0.372,7,-12.37,1,0.0318,0.00105,0.00929,0.316,0.306,99.887,4
spotify:track:0KzAbK6nItSqNh8q70tb0K,"Where Is My Mind?","Death to the Pixies","Pixies",1997-10-06,229226,75,false,jackdutton8,2022-03-24T14:13:03Z,"alternative rock","4AD",0.513,0.442,4,-13.529,1,0.0343,0.00731,0.000838,0.0878,0.243,81.201,4
spotify:track:0QYAApfVaKf0oZB3w5H0bm,"Catfish Kate","Beneath the Eyrie (Deluxe)","Pixies",2020-02-24,188306,0,false,jackdutton8,2022-03-24T14:13:03Z,"alternative rock","Infectious Music",0.526,0.9,2,-6.254,1,0.0558,0.00154,0,0.412,0.55,134.982,4
spotify:track:6n5B8HiBCUHtNxkh9V8Xpq,"Skyscraper","Recipe For Hate","Bad Religion",1993-09-21,195133,36,false,jackdutton8,2022-03-24T14:13:03Z,"punk,skate punk,hardcore punk,melodic hardcore,ska punk","Epitaph",0.275,0.947,9,-4.181,1,0.138,0.00104,0,0.334,0.118,168.229,4
