Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7G7tgVYORlDuVprcYHuFJh,"Don't Dream It's Over","Crowded House","Crowded House",1986-01-01,236933,84,false,jackdutton8,2025-03-13T02:13:44Z,"","Capitol Records",0.439,0.421,8,-17.227,1,0.0411,0.0148,0.0000488,0.0697,0.551,81.833,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,94,false,jackdutton8,2025-03-13T02:13:53Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:0pUVeEgZuNyFzIMKp67RbS,"Eyes Without A Face","Rebel Yell","Billy Idol",1983-11-01,299240,86,false,jackdutton8,2025-03-13T02:14:11Z,"","CAPITOL CATALOG MKT (C92)",0.54,0.816,9,-6.197,1,0.0421,0.0177,0.00226,0.276,0.658,85.563,4
spotify:track:2Di0qFNb7ATroCGB3q0Ka7,"West End Girls - 2018 Remaster","Please: Further Listening 1984 - 1986 (2018 Remaster)","Pet Shop Boys",1986-03-24,285906,77,false,jackdutton8,2025-03-13T02:14:22Z,"synthpop,new wave","Rhino",0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4
spotify:track:5hXEcqQhEjfZdbIZLO8mf2,"Everything She Wants","Make It Big","Wham!",1984-10-23,302693,72,false,jackdutton8,2025-03-13T02:14:26Z,"christmas","Columbia",0.899,0.459,6,-15.557,0,0.0366,0.322,0.00406,0.165,0.962,115.09,4
spotify:track:5HQEmiV2lKnSO6qa2fsR7x,"I'm Not In Love","The Original Soundtrack","10cc",1975,366640,80,false,jackdutton8,2025-03-13T02:14:40Z,"yacht rock,art rock,glam rock","EMI",0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,4
spotify:track:4RvWPyQ5RL0ao9LPZeSouE,"Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,90,false,jackdutton8,2025-03-13T02:14:54Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
spotify:track:10I09MLZCY4pK37XxAfkw0,"True - 2003 Remaster","True (Special Edition)","Spandau Ballet",1983-02-25,393386,78,false,jackdutton8,2025-03-13T02:17:49Z,"new wave,synthpop","Parlophone UK",0.777,0.521,0,-8.443,1,0.0277,0.359,0.11,0.0594,0.335,97.623,4
spotify:track:0KMGxYKeUzK9wc5DZCt3HT,"If You Leave Me Now","Chicago X","Chicago",1976-06-14,235373,79,false,jackdutton8,2025-03-13T02:17:57Z,"yacht rock,soft rock","Rhino",0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,0.275,104.183,4
spotify:track:3fH4KjXFYMmljxrcGrbPj9,"Don't You (Forget About Me)","Once Upon A Time (Super Deluxe)","Simple Minds",1985,263040,77,false,jackdutton8,2025-03-13T02:18:11Z,"new wave","UMC (Universal Music Catalogue)",0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4
spotify:track:5lwQGZYF4BXOzFtXc5zk8q,"Head Over Heels - Dave Bascombe 7"" N.Mix","Songs From The Big Chair (Deluxe)","Tears For Fears;Dave Bascombe",1985-02-25,257315,73,false,jackdutton8,2025-03-13T02:18:14Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.623,0.739,7,-8.116,1,0.0244,0.338,0.0000188,0.109,0.642,95.007,4
spotify:track:254bXAqt3zP6P50BdQvEsq,"Everywhere - 2017 Remaster","Tango In the Night (Deluxe Edition)","Fleetwood Mac",1987-04-13,226653,85,false,jackdutton8,2025-03-13T02:18:30Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,4
spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,"""Heroes"" - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,371413,82,false,jackdutton8,2025-03-13T02:19:09Z,"glam rock,art rock","Parlophone UK",0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,4
