Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6shRGWCtBUOPFLFTTqXZIC,"Upside Down","Jack Johnson And Friends: Sing-A-Longs And Lullabies For The Film Curious George","Jack Johnson",2006,208653,72,false,jackdutton8,2021-11-18T11:03:49Z,"surf rock","Brushfire Records/Universal",0.787,0.655,6,-8.339,0,0.0431,0.238,0.000171,0.138,0.65,102.485,4
spotify:track:5uzNa0SBGOe5pPnstWHMCt,"Come On Eileen","Too Rye Ay (Deluxe Edition)","Dexys Midnight Runners",1982-08,273720,1,false,jackdutton8,2021-11-18T11:03:51Z,"","Universal Music Group",0.466,0.615,0,-9.102,1,0.0492,0.413,0,0.343,0.812,108.016,4
spotify:track:4ebcE2SmkG7nplvzFAWRu7,"What I Like About You","The Romantics","The Romantics",1980,175266,63,false,jackdutton8,2021-11-18T11:11:25Z,"power pop","Epic",0.514,0.942,9,-8.433,1,0.0502,0.282,0.000066,0.17,0.912,159.847,4
spotify:track:2BY7ALEWdloFHgQZG6VMLA,"Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,189044,74,false,jackdutton8,2021-11-18T11:03:57Z,"yacht rock","Epic/Legacy",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
spotify:track:2FfZg072w8RoxlMOR7M4CT,"Ants Marching","Under the Table and Dreaming (Expanded Edition)","Dave Matthews Band",1994-09-27,271186,60,false,jackdutton8,2021-11-18T11:04:02Z,"jam band","RCA/Legacy",0.637,0.856,2,-4.34,1,0.034,0.0187,0.0000199,0.0157,0.846,113.32,4
spotify:track:5RsUlxLto4NZbhJpqJbHfN,"Jessie's Girl","Working Class Dog","Rick Springfield",1981-03-13,194120,73,false,jackdutton8,2021-11-18T11:11:26Z,"yacht rock","RCA/Legacy",0.727,0.834,2,-5.851,1,0.0496,0.165,0,0.105,0.816,131.7,4
spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,"Centerfold","Freeze Frame","The J. Geils Band",1981,216533,70,false,jackdutton8,2021-11-18T11:04:04Z,"classic rock","EMI/EMI Records (USA)",0.653,0.677,0,-12.244,1,0.0396,0.249,0,0.403,0.888,114.374,4
spotify:track:11CeyEFt21BvAICfd4U8FA,"Cecilia - Single Mix","Greatest Hits","Simon & Garfunkel",1972-06-14,169560,0,false,jackdutton8,2021-11-18T11:04:04Z,"folk rock,folk","Legacy Recordings",0.675,0.849,0,-9.68,1,0.0386,0.409,0.0000131,0.0916,0.965,104.765,4
spotify:track:0BgbobvykXxEvxo2HhCuvM,"Banana Pancakes","In Between Dreams","Jack Johnson",2005-01-01,191906,71,false,jackdutton8,2021-11-18T11:04:06Z,"surf rock","Jack Johnson",0.814,0.373,7,-8.017,1,0.116,0.602,0.000017,0.0931,0.632,114.548,4
spotify:track:4VywXu6umkIQ2OS0m1I79y,"Better Together","In Between Dreams","Jack Johnson",2005-01-01,207680,72,false,jackdutton8,2021-11-18T11:04:10Z,"surf rock","Jack Johnson",0.868,0.347,5,-9.529,1,0.0536,0.308,0.00002,0.11,0.659,110.059,4
