Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,76,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,"Under Cover of Darkness","Angles","The Strokes",2011-03-21,235546,67,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,4
spotify:track:6SdAztAqklk1zAmUHhU4N7,"Taken for a Fool","Angles","The Strokes",2011-03-21,203240,58,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.569,0.89,5,-4.447,1,0.0559,0.00595,0.0112,0.226,0.885,137.044,4
spotify:track:7hm4HTk9encxT0LYC0J6oI,"Someday","Is This It","The Strokes",2001-07-30,183440,67,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,4
spotify:track:0upSTSdWPijVgNsqvQUw0c,"Солдат","Пятница","5'nizza",2003-05-01,190632,55,false,jackdutton8,2026-02-15T04:51:42Z,"","5'nizza",0.783,0.285,5,-6.987,0,0.0615,0.639,0,0.109,0.622,135.024,4
spotify:track:48UPSzbZjgc449aqz8bxox,"Californication","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,329733,86,false,jackdutton8,2026-02-15T04:51:42Z,"funk rock,alternative rock,rock","Warner Records",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
spotify:track:2cGxRwrMyEAp8dEbuZaVv6,"Instant Crush (feat. Julian Casablancas)","Random Access Memories","Daft Punk;Julian Casablancas",2013-05-20,337560,78,false,jackdutton8,2026-02-15T04:51:42Z,"french house,electronic,electro","Columbia",0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,4
spotify:track:3SUusuA9jH1v6PVwtYMbdv,"Last Nite","Is This It","The Strokes",2001-07-30,193373,68,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,4
spotify:track:4MXE6VCvTsQitHWrAxj7Kg,"Maple Syrup","When We Were Friends","The Backseat Lovers",2019-01-27,243529,71,false,jackdutton8,2026-02-15T04:51:42Z,"","The Backseat Lovers",0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153,3
spotify:track:2fvdQ1Uq04qE4RLN5zKBXS,"Disco Yes","Geography","Tom Misch;Poppy Ajudha",2018-04-06,280878,60,false,jackdutton8,2026-02-15T04:51:42Z,"indie soul","Beyond The Groove 4",0.926,0.549,9,-6.63,0,0.0935,0.42,0.0399,0.298,0.666,123.044,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,jackdutton8,2026-02-15T04:51:42Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:4fPBB44eDH71YohayI4eKV,"You Only Live Once","First Impressions Of Earth","The Strokes",2006-01-03,189226,71,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,4
spotify:track:6K4t31amVTZDgR3sKmwUJJ,"The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,90,true,jackdutton8,2026-02-15T04:51:42Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,"Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,81,false,jackdutton8,2026-02-15T04:51:42Z,"","Anti/Epitaph",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,"Sultans of Swing","Dire Straits","Dire Straits",1978-10-07,348760,74,false,jackdutton8,2026-02-15T04:51:42Z,"classic rock","Warner Records",0.725,0.801,5,-10.059,1,0.0302,0.0722,0.0339,0.339,0.925,148.211,4
spotify:track:55N8cxpE1QDoeaaNqUnoZ2,"Bad Decisions","The New Abnormal","The Strokes",2020-04-10,293360,63,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,4
spotify:track:58ge6dfP91o9oXMzq3XkIS,"505","Favourite Worst Nightmare (Standard Version)","Arctic Monkeys",2007-04-24,253586,84,false,jackdutton8,2026-02-15T04:51:42Z,"indie,garage rock","Domino/Warner Records",0.52,0.852,0,-5.866,1,0.0543,0.00237,0.0000579,0.0733,0.234,140.267,4
spotify:track:0vMctOnb4YNIvbqgkbWNDy,"It Runs Through Me (feat. De La Soul)","Geography","Tom Misch;De La Soul",2018-04-06,261881,68,false,jackdutton8,2026-02-15T04:51:42Z,"indie soul,jazz rap,east coast hip hop","Beyond The Groove 4",0.799,0.608,11,-11.026,0,0.295,0.204,0.000692,0.25,0.283,97.045,4
spotify:track:209g8XrYu3ov4Wt4bRk2Yw,"Shadow People","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,253093,45,false,jackdutton8,2026-02-15T04:51:42Z,"","Anti/Epitaph",0.434,0.707,7,-5.472,1,0.0399,0.119,0,0.0997,0.477,176.612,4
spotify:track:0OM9ri37LIbPc9hffwsyb1,"Hard To Explain","Is This It","The Strokes",2001-07-30,224333,61,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.408,0.666,7,-6.286,1,0.0578,0.000455,0.862,0.0889,0.666,82.523,4
spotify:track:1ko2lVN0vKGUl9zrU0qSlT,"Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.;Bill Withers",1985,438493,74,false,jackdutton8,2026-02-15T04:51:42Z,"soul jazz,smooth jazz,soul","Rhino/Elektra",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,90,false,jackdutton8,2026-02-15T04:51:42Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:2MLHyLy5z5l5YRp7momlgw,"Island In The Sun","Weezer","Weezer",2001-05-15,200306,81,false,jackdutton8,2026-02-15T04:51:42Z,"alternative rock","Geffen",0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.622,4
spotify:track:21Ay8Y9Pr91nSauPGtK6MW,"Barely Legal","Is This It","The Strokes",2001-07-30,234693,53,true,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.424,0.884,0,-6.286,1,0.0365,0.00326,0.0499,0.0903,0.852,157.813,4
spotify:track:47oS7xB31QQUyPCgHpM3VZ,"Canned Heat","Synkronized","Jamiroquai",1999-06-08,331760,73,false,jackdutton8,2026-02-15T04:51:42Z,"acid jazz","Sony Music CG",0.7,0.865,9,-5.827,0,0.133,0.0136,0.0000771,0.0718,0.78,128.043,4
spotify:track:3ZOEytgrvLwQaqXreDs2Jx,"Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,88,false,jackdutton8,2026-02-15T04:51:42Z,"funk rock,alternative rock,rock","Warner Records",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
spotify:track:40h65HAR8COEoqkMwUUQHu,"Peaceful Easy Feeling - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,257962,69,false,jackdutton8,2026-02-15T04:51:42Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,4
spotify:track:1BLOVHYYlH4JUHQGcpt75R,"Ode To The Mets","The New Abnormal","The Strokes",2020-04-10,351786,75,true,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.426,0.617,1,-5.423,0,0.0289,0.341,0.181,0.101,0.201,92.002,4
spotify:track:7wCmS9TTVUcIhRalDYFgPy,"Where Is My Mind? - 2007 Remaster","Surfer Rosa (2007 Remaster)","Pixies",1988-03-21,234973,79,false,jackdutton8,2026-02-15T04:51:42Z,"alternative rock","4AD",0.519,0.441,4,-14.178,1,0.0353,0.0204,0.000453,0.076,0.25,81.334,4
spotify:track:3d9DChrdc6BOeFsbrZ3Is0,"Under the Bridge","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,264306,85,false,jackdutton8,2026-02-15T04:51:42Z,"funk rock,alternative rock,rock","Warner Records",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
spotify:track:24SUWisv2lYQiB3bVpE1sn,"Virtual Insanity","Pop Music: The Modern Era 1976-1999","Jamiroquai",1999-10-11,227840,66,false,jackdutton8,2026-02-15T04:51:42Z,"acid jazz","Sony Music Entertainment",0.627,0.914,6,-7.494,1,0.0769,0.0627,0,0.147,0.627,91.891,4
spotify:track:6mVD1SfTvlFAPVi7txFL5H,"Machu Picchu","Angles","The Strokes",2011-03-21,209626,63,false,jackdutton8,2026-02-15T04:51:42Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.695,0.817,1,-5.294,1,0.0659,0.0132,0.097,0.0601,0.874,105.014,4
spotify:track:3AydAydLzyyZutA0375XIz,"A-Punk","Vampire Weekend","Vampire Weekend",2008-01-29,137760,64,false,jackdutton8,2026-02-15T04:51:42Z,"indie,baroque pop","XL Recordings",0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,4
spotify:track:7J5uS4KWccKN1Bj1QBZ3qe,"Mayonaka no Door~stay with me","Pocket Park (Remastered)","Miki Matsubara",2009-01-21,311720,73,false,jackdutton8,2026-02-15T04:51:42Z,"city pop,j-pop","ポニーキャニオン",0.655,0.654,5,-8.934,1,0.0398,0.219,0.00000241,0.047,0.863,108.191,4
spotify:track:4IU1RL4BKvFyXtbTwaHAvW,"Ventura Highway","Homecoming","America;George Martin",1972-01-01,211680,79,false,jackdutton8,2026-02-15T04:51:42Z,"yacht rock,soft rock,folk rock","Warner Records",0.611,0.761,2,-5.929,1,0.0283,0.104,0.0002,0.122,0.838,130.705,4
