Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:40h65HAR8COEoqkMwUUQHu,"Peaceful Easy Feeling - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,257962,69,false,jackdutton8,2022-08-06T04:11:20Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,jackdutton8,2022-08-06T04:11:38Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:3yNVfRQlUPViUh8O2V9SQn,"Just a Friend","Biz's Baddest Beats: The Best of Biz Markie","Biz Markie",1994-08-07,238266,57,false,jackdutton8,2022-08-06T04:11:44Z,"old school hip hop,east coast hip hop","Rhino",0.862,0.663,0,-9.004,1,0.21,0.12,0,0.318,0.837,85.308,4
spotify:track:55N8cxpE1QDoeaaNqUnoZ2,"Bad Decisions","The New Abnormal","The Strokes",2020-04-10,293360,63,false,jackdutton8,2022-08-06T04:11:51Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,4
spotify:track:0OM9ri37LIbPc9hffwsyb1,"Hard To Explain","Is This It","The Strokes",2001-07-30,224333,61,false,jackdutton8,2022-08-06T04:12:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.408,0.666,7,-6.286,1,0.0578,0.000455,0.862,0.0889,0.666,82.523,4
spotify:track:2BHj31ufdEqVK5CkYDp9mA,"Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,68,false,jackdutton8,2022-08-06T04:12:57Z,"city pop,j-pop","PONY CANYON INC.",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
spotify:track:7KYzARBusZhyZ6jygZDmVr,"SHYNESS BOY","Timely!!","Anri",1983-12-05,196666,60,false,jackdutton8,2022-08-17T22:53:36Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.765,0.777,1,-5.301,0,0.0306,0.142,0.000122,0.104,0.87,119.935,3
spotify:track:7KwZNVEaqikRSBSpyhXK2j,"Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,84,true,jackdutton8,2022-08-06T04:13:07Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Rhino Atlantic",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
spotify:track:2g8HN35AnVGIk7B8yMucww,"Big Poppa - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,252746,83,true,jackdutton8,2022-08-06T04:13:09Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,4
spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,"It Was A Good Day","The Predator","Ice Cube",1992-11-17,260000,80,true,jackdutton8,2022-08-06T04:13:14Z,"old school hip hop,gangster rap,west coast hip hop,g-funk,hip hop","Priority Records",0.798,0.744,7,-5.328,0,0.136,0.33,0.000106,0.292,0.794,82.356,4
spotify:track:0I3q5fE6wg7LIfHGngUTnV,"Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,84,true,jackdutton8,2022-08-06T04:13:17Z,"southern hip hop,hip hop","Arista/LaFace Records",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,"American Boy","Shine","Estelle;Kanye West",2008-03-28,284733,4,true,jackdutton8,2022-08-06T04:13:20Z,"rap","Woah Dad!",0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,4
spotify:track:3A4cpTBPaIQdtPFb5JxtaX,"Slow Jamz","The College Dropout","Twista;Kanye West;Jamie Foxx",2004-02-10,316053,73,true,jackdutton8,2022-08-06T04:13:28Z,"rap","Roc-A-Fella",0.559,0.733,2,-5.659,0,0.171,0.314,0,0.284,0.611,145.115,4
spotify:track:12OkZyDWNBLUqoReoseGrc,"Rhymes Like Dimes","Operation: Doomsday (Complete)","MF DOOM;DJ Cucumber Slice",1999-04-20,258613,0,true,jackdutton8,2022-08-06T04:19:35Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Metalface",0.644,0.751,0,-5.652,1,0.268,0.662,0,0.17,0.759,99.948,4
spotify:track:48wH8bAxvBJO2l14GmNLz7,"Wait for the Moment","My First Car","Vulfpeck",2013-12-06,230676,61,false,jackdutton8,2022-08-06T04:14:26Z,"funk,funk rock","Vulf Records",0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
spotify:track:3rJEu8LZdav4zROLJynwnj,"Gemini","Overseas","Evergreen",2018-06-15,206680,43,false,jackdutton8,2022-08-06T04:15:05Z,"french indie pop","Because Music",0.724,0.61,0,-4.626,0,0.0695,0.65,0,0.153,0.773,154.049,4
spotify:track:6WHPgaIiWqPVdKJXaBoeHK,"Coffee","Coffee","Early Eyes",2018-01-08,168752,37,false,jackdutton8,2022-08-06T04:15:29Z,"","Birds Plural",0.66,0.635,10,-8.779,1,0.158,0.354,0.00427,0.307,0.804,163.081,4
spotify:track:7lT1dCz96jANsLAAADlfIg,"Doomsday","Operation: Doomsday (Complete)","MF DOOM;Pebbles The Invisible Girl",1999-04-20,298053,0,true,jackdutton8,2022-08-06T04:15:57Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Metalface",0.856,0.841,6,-7.737,0,0.335,0.0977,0,0.0773,0.794,95.418,4
spotify:track:7CH99b2i1TXS5P8UUyWtnM,"Them Changes","Drunk","Thundercat",2017-02-24,188453,71,false,jackdutton8,2022-08-06T04:16:12Z,"","Brainfeeder",0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657,4
spotify:track:7uFZNMEZzAGOwQ6EZID1K4,"All The Time","Comedown Machine","The Strokes",2013-03-25,181373,49,false,jackdutton8,2022-08-06T04:16:39Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.403,0.883,2,-6.054,1,0.0745,0.0000844,0.65,0.126,0.078,141.945,4
spotify:track:0xAhbD6lCf5re1RXl5yiTm,"Sweet Talkin' Woman","Out of the Blue","Electric Light Orchestra",1977,229672,67,false,jackdutton8,2022-08-06T04:17:11Z,"art rock,soft rock","Epic/Legacy",0.609,0.611,0,-9.208,1,0.0298,0.513,0,0.093,0.916,121.836,4
spotify:track:4HfxDJ0uLHTLe0fZrx0MbQ,"Check the Rhime","The Low End Theory","A Tribe Called Quest",1991-09-24,216693,65,false,jackdutton8,2022-08-06T04:18:37Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.881,0.361,11,-14.727,0,0.237,0.0503,0.0046,0.254,0.797,96.43,4
spotify:track:3LklW07tvdx2AHsgfi1Mng,"I Wish","I Wish","Skee-Lo",1995-09-02,249293,67,false,jackdutton8,2022-08-06T04:18:40Z,"","Legacy Recordings",0.669,0.809,7,-7.146,1,0.147,0.00137,0,0.38,0.572,97.885,4
spotify:track:7eWGnKg4B44sbBPpQp4y2c,"Dragonball Durag","It Is What It Is","Thundercat",2020-04-03,181922,62,false,jackdutton8,2022-08-06T04:18:56Z,"","Brainfeeder",0.648,0.59,2,-9.664,1,0.0942,0.697,0.808,0.111,0.401,81.045,4
spotify:track:3Ti0GdlrotgwsAVBBugv0I,"Can I Kick It?","People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","A Tribe Called Quest",1990-04-17,251573,5,false,jackdutton8,2022-08-06T04:19:02Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive/Legacy",0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,4
spotify:track:209g8XrYu3ov4Wt4bRk2Yw,"Shadow People","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,253093,45,false,jackdutton8,2022-08-06T04:20:17Z,"","Anti/Epitaph",0.434,0.707,7,-5.472,1,0.0399,0.119,0,0.0997,0.477,176.612,4
spotify:track:4DpBfWl3q8e0gGB76lAaox,"Fire on the Mountain - 2013 Remaster","Shakedown Street","Grateful Dead",1978,229009,59,false,jackdutton8,2022-08-06T04:20:28Z,"jam band,psychedelic rock,acid rock","Grateful Dead/Rhino",0.788,0.461,1,-11.704,0,0.0556,0.528,0.0000269,0.0886,0.906,76.669,1
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,90,false,jackdutton8,2022-08-06T04:21:50Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:4U45aEWtQhrm8A5mxPaFZ7,"Vienna","The Stranger (Legacy Edition)","Billy Joel",1977,214240,84,false,jackdutton8,2022-08-06T04:22:07Z,"soft rock","Columbia/Legacy",0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4
spotify:track:1Pd1h30mgU05QkWYhgFzwt,"Turn to Stone","Out of the Blue","Electric Light Orchestra",1977,229304,63,false,jackdutton8,2022-08-07T21:50:40Z,"art rock,soft rock","Epic/Legacy",0.548,0.72,1,-9.777,0,0.0409,0.0686,0.000232,0.107,0.458,140.966,4
spotify:track:1ne9wOtDF2jM6Cm8WBkaER,"Rocky Mountain High","Rocky Mountain High","John Denver",1972-09-15,285797,68,false,jackdutton8,2022-08-07T21:50:53Z,"folk","RCA/Legacy",0.455,0.437,4,-11.411,1,0.0278,0.314,0,0.501,0.724,81.396,4
spotify:track:2ej1A2Ze6P2EOW7KfIosZR,"Feather (feat. Cise Starr & Akin from CYNE)","Modal Soul","Nujabes;Cise Starr & Akin from CYNE",2005-11-11,175360,69,true,jackdutton8,2022-08-14T02:28:41Z,"jazz rap","Hydeout Productions",0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,4
spotify:track:0CKxrnF9KplS21LTjkkqsW,"Already Gone - 2013 Remaster","On the Border (2013 Remaster)","Eagles",1974-03-22,255345,59,false,jackdutton8,2022-08-14T02:29:21Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.465,0.812,7,-6.398,1,0.0467,0.00591,0.000494,0.408,0.811,146.2,4
spotify:track:6uVZddXkgQIArp8myEHs4x,"Mercury","Gemini Rights","Steve Lacy",2022-07-15,295411,63,true,jackdutton8,2022-08-14T02:51:38Z,"","L-M Records/RCA Records",0.699,0.75,9,-6.481,0,0.0542,0.543,0.0137,0.333,0.887,151.035,3
spotify:track:5KUNwkaNf8l5A9sXZhiCgI,"Rapp Snitch Knishes","MM..FOOD","MF DOOM;Mr. Fantastik",2004-11-16,172893,74,true,jackdutton8,2022-08-27T21:50:12Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.728,0.832,7,-6.827,1,0.267,0.327,0,0.504,0.825,95.051,4
spotify:track:40riOy7x9W7GXjyGp4pjAv,"Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,86,false,jackdutton8,2022-09-03T17:19:18Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
spotify:track:4gMgiXfqyzZLMhsksGmbQV,"Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238946,83,false,jackdutton8,2022-09-03T17:19:25Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
