Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GVvj4zJNVuBJSl6StEfn5,"Only A Fool Would Say That","Can't Buy A Thrill","Steely Dan",1972-11-01,175273,69,false,jackdutton8,2023-10-12T02:12:59Z,"yacht rock,classic rock","Geffen",0.759,0.367,0,-19.024,1,0.0367,0.848,0.00000112,0.227,0.96,129.882,4
spotify:track:3sqNXrDvCy4nid6XbaA2Cg,"Kid Charlemagne","The Royal Scam","Steely Dan",1976-01-01,278800,1,false,jackdutton8,2023-10-12T02:13:03Z,"yacht rock,classic rock","Geffen*",0.546,0.697,0,-9.667,1,0.0631,0.272,0.00558,0.649,0.755,96.752,4
spotify:track:5emxp4RqsF6QoAWXW2Afrk,"Peg","Aja","Steely Dan",1977-09-23,237066,67,false,jackdutton8,2023-10-12T02:13:07Z,"yacht rock,classic rock","Geffen",0.778,0.441,7,-15.259,1,0.0314,0.22,0.000652,0.171,0.944,116.918,4
spotify:track:5QhikAUv91oMAaFnfKz22u,"Lowdown (2023 Remaster)","Silk Degrees (2023 Remaster)","Boz Scaggs",1976-02-18,317788,64,false,jackdutton8,2023-10-12T02:14:02Z,"yacht rock,aor","Columbia/Legacy",0.691,0.551,11,-12.15,0,0.0503,0.0747,0.104,0.034,0.938,116.519,4
spotify:track:1CZR9j4cF4r2uuCpiMdsX5,"Fire In The Hole","Can't Buy A Thrill","Steely Dan",1972-11-01,209767,57,false,jackdutton8,2023-10-12T02:14:10Z,"yacht rock,classic rock","Geffen",0.557,0.306,3,-20.013,1,0.0339,0.585,0.000377,0.054,0.474,73.143,4
spotify:track:3IvTwPCCjfZczCN2k4qPiH,"Dirty Work","Can't Buy A Thrill","Steely Dan",1972-11-01,190065,75,false,jackdutton8,2023-10-12T02:14:11Z,"yacht rock,classic rock","Geffen",0.582,0.214,1,-17.83,1,0.0315,0.767,0.00000207,0.122,0.515,72.794,4
spotify:track:19Shlms2uTnOjIUg50TXzd,"Never Going Back Again - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,134400,72,false,jackdutton8,2023-10-12T02:14:19Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.654,0.336,6,-12.825,1,0.0379,0.858,0.385,0.0786,0.947,176.083,4
spotify:track:2yBVeksU2EtrPJbTu4ZslK,"What a Fool Believes","Minute by Minute","The Doobie Brothers",1978,223866,76,false,jackdutton8,2023-10-12T02:14:25Z,"yacht rock,classic rock,soft rock,southern rock","Rhino/Warner Records",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,4
spotify:track:1K9B43e0PyilYctK0WgoO4,"Don't Take Me Alive","The Royal Scam","Steely Dan",1976-01-01,256360,1,false,jackdutton8,2023-10-12T02:14:31Z,"yacht rock,classic rock","Geffen*",0.617,0.544,7,-9.529,0,0.0433,0.425,0.000948,0.34,0.623,119.068,4
spotify:track:1u42hFacJ1Bs8H9GX2O8z3,"Any Major Dude Will Tell You","Pretzel Logic","Steely Dan",1974-02-20,187345,61,false,jackdutton8,2023-10-12T02:15:08Z,"yacht rock,classic rock","Geffen",0.675,0.41,2,-15.248,1,0.0459,0.834,0.0000637,0.0939,0.503,80.279,4
