Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6m0wOLtrzaNwMofVVJTJqs,"8th Wonder","8th Wonder","The Sugarhill Gang",1981,446506,35,false,jackdutton8,2021-12-20T16:42:06Z,"old school hip hop,funk","Rhino",0.871,0.937,1,-8.536,1,0.195,0.298,0,0.634,0.675,106.494,4
spotify:track:2BY7ALEWdloFHgQZG6VMLA,"Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,189044,74,false,jackdutton8,2021-12-20T16:43:31Z,"yacht rock","Epic/Legacy",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
spotify:track:1qjrYozGqc7upUgfN776lZ,"Sara Smile","Daryl Hall & John Oates (The Silver Album)","Daryl Hall & John Oates",1975,185293,72,false,jackdutton8,2021-12-20T16:43:37Z,"yacht rock,soft rock","Buddha Records",0.592,0.398,2,-10.81,0,0.0678,0.357,0.000925,0.119,0.204,150.038,3
spotify:track:2DnJjbjNTV9Nd5NOa1KGba,"You're So Vain","No Secrets","Carly Simon",1972,258411,77,false,jackdutton8,2021-12-20T16:43:46Z,"","Rhino/Elektra",0.66,0.68,0,-8.18,1,0.0313,0.153,0.0000067,0.0784,0.671,106.187,4
spotify:track:1QEEqeFIZktqIpPI4jSVSF,"More Than a Feeling","Boston","Boston",1976,285133,82,false,jackdutton8,2021-12-20T16:43:58Z,"classic rock,aor","Epic/Legacy",0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4
spotify:track:5uuJruktM9fMdN9Va0DUMl,"Play That Funky Music","Wild Cherry","Wild Cherry",1976,300000,74,false,jackdutton8,2021-12-20T16:44:11Z,"funk rock","Epic",0.814,0.672,9,-12.068,1,0.0619,0.0435,0,0.061,0.933,109.394,4
spotify:track:6sT9MWlJManry3EQwf4V80,"Push It","Hot, Cool & Vicious","Salt-N-Pepa",1986-12-08,272133,65,false,jackdutton8,2021-12-20T16:45:46Z,"old school hip hop","Island Def Jam",0.913,0.596,11,-12.477,0,0.0707,0.00658,0.00349,0.078,0.973,127.215,4
spotify:track:7sJN693sYKEIEMu7fc5VnJ,"Whatta Man","Very Necessary","Salt-N-Pepa;En Vogue",1993-10-12,308360,65,false,jackdutton8,2021-12-20T16:45:55Z,"old school hip hop,new jack swing","Mercury Records",0.756,0.544,5,-10.721,1,0.219,0.154,0.0000621,0.225,0.921,173.2,4
spotify:track:4ebcE2SmkG7nplvzFAWRu7,"What I Like About You","The Romantics","The Romantics",1980,175266,63,false,rosetheumbreon8,2021-12-20T16:46:00Z,"power pop","Epic",0.514,0.942,9,-8.433,1,0.0502,0.282,0.000066,0.17,0.912,159.847,4
spotify:track:4W4wYHtsrgDiivRASVOINL,"Love Shack","Cosmic Thing","The B-52's",1989-06-23,320680,71,false,rosetheumbreon8,2021-12-20T16:46:05Z,"new wave,post-punk","Warner Records",0.701,0.803,5,-6.786,0,0.0545,0.0544,0.00000154,0.7,0.903,133.608,4
spotify:track:1DIXPcTDzTj8ZMHt3PDt8p,"Gangsta's Paradise","Gangsta's Paradise","Coolio;L.V.",1995-11-07,240693,88,false,jackdutton8,2021-12-20T16:46:15Z,"west coast hip hop,g-funk","Tommy Boy Music, LLC",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.386,79.975,4
spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,"Centerfold","Freeze Frame","The J. Geils Band",1981,216533,70,false,rosetheumbreon8,2021-12-20T16:46:29Z,"classic rock","EMI/EMI Records (USA)",0.653,0.677,0,-12.244,1,0.0396,0.249,0,0.403,0.888,114.374,4
spotify:track:5a7HUiYLwIR3Gk8THldqO1,"Pretty Girl at the Airport","Mignonette","The Avett Brothers",2004-07-27,298733,30,false,jackdutton8,2021-12-20T16:47:10Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.403,0.412,9,-10.706,1,0.0295,0.407,0.365,0.107,0.307,135.978,4
spotify:track:0ySxC028CNDtK2G7zuaUcn,"The Once And Future Carpenter","The Carpenter","The Avett Brothers",2012-01-01,292200,40,false,jackdutton8,2021-12-20T16:47:18Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.552,0.615,4,-8.604,1,0.0303,0.183,0.00487,0.302,0.436,142.585,4
spotify:track:3aPzNFqtTjZVzWZXOqA1pc,"Alabama Jubilee","Markology II","Mark O'Connor",2021-04-19,135026,0,false,jackdutton8,2021-12-20T16:47:32Z,"bluegrass,newgrass","OMAC Records",0.471,0.6,9,-6.945,0,0.0398,0.402,0.873,0.116,0.569,157.068,4
