Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3sqNXrDvCy4nid6XbaA2Cg,"Kid Charlemagne","The Royal Scam","Steely Dan",1976-01-01,278800,1,false,jackdutton8,2021-11-18T14:43:50Z,"yacht rock,classic rock","Geffen*",0.546,0.697,0,-9.667,1,0.0631,0.272,0.00558,0.649,0.755,96.752,4
spotify:track:0s1aSsYlLIEiy16LjFWbdp,"Dirty Work","Can't Buy A Thrill","Steely Dan",1972-01-01,187400,0,false,jackdutton8,2021-11-18T14:43:55Z,"yacht rock,classic rock","Geffen*",0.631,0.354,1,-11.112,1,0.0313,0.795,0.000107,0.0879,0.522,73.007,4
spotify:track:5DQAHkO9U4IZIombHefcqK,"Peg","Aja","Steely Dan",1977-01-01,240293,0,false,jackdutton8,2021-11-18T14:44:06Z,"yacht rock,classic rock","Geffen*",0.797,0.566,7,-11.132,1,0.0321,0.0608,0.000362,0.14,0.939,116.976,4
spotify:track:1tjK9HhmpEfk0ijyIKsoUk,"Hey Nineteen","Gaucho","Steely Dan",1980,307400,1,false,jackdutton8,2021-11-18T14:44:18Z,"yacht rock,classic rock","Geffen*",0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,4
spotify:track:2BstRQGodshjGpeDGQiNgo,"Do It Again","Can't Buy A Thrill","Steely Dan",1972-01-01,356733,1,false,jackdutton8,2021-11-18T14:44:27Z,"yacht rock,classic rock","Geffen*",0.682,0.537,2,-10.254,0,0.0323,0.218,0.0000307,0.0556,0.963,124.574,4
spotify:track:1HVTaF4KPEXKJ37gDh8BhR,"De Do Do Do, De Da Da Da","The Very Best Of Sting And The Police","The Police",2002-01-01,246840,35,false,jackdutton8,2021-11-18T14:44:46Z,"","Polydor Associated Labels",0.784,0.485,9,-10.37,1,0.0511,0.0517,0.0328,0.33,0.862,147.715,4
spotify:track:0PsbWiVtix5FoTZ1s00mEl,"Come Sail Away","The Grand Illusion","Styx",1977-01-01,367000,65,false,jackdutton8,2021-11-18T14:45:01Z,"classic rock,aor,progressive rock","A&M",0.324,0.335,0,-15.595,1,0.0355,0.099,0.00000108,0.0995,0.141,119.513,4
spotify:track:2AteFs3KWb0OiKxQRnbH9T,"Renegade","Greatest Hits","Styx",1995-01-01,253706,46,false,jackdutton8,2021-11-18T14:45:12Z,"classic rock,aor,progressive rock","A&M",0.474,0.697,2,-8.015,0,0.041,0.0868,0.00000315,0.234,0.703,105.778,4
spotify:track:41dYT737DUjzwUePEbuwJo,"Lady '95","Greatest Hits","Styx",1995-01-01,184560,49,false,jackdutton8,2021-11-18T14:45:16Z,"classic rock,aor,progressive rock","A&M",0.431,0.423,7,-10.857,1,0.0318,0.0173,0,0.162,0.312,132.024,4
spotify:track:3VDBKtwyW7t75TWwCnqcw7,"Every Little Thing She Does Is Magic","The Very Best Of Sting And The Police","The Police",2002-01-01,260320,43,false,jackdutton8,2021-11-18T14:45:36Z,"","Polydor Associated Labels",0.555,0.739,2,-9.883,1,0.0384,0.118,0.046,0.111,0.45,81.915,4
