Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2YkIDPL5lGhRhomCq4S2RO,"My Way - 2008 Remastered","Nothing But The Best (2008 Remastered)","Frank Sinatra",2008-05-13,276253,73,false,jackdutton8,2021-10-25T01:51:33Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.278,0.43,2,-8.692,1,0.0313,0.354,0,0.145,0.24,151.007,4
spotify:track:4FmCUATNIarCQh72JYdvnm,"That's Life","That's Life","Frank Sinatra",1966-11,187040,74,false,jackdutton8,2021-10-25T01:48:18Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.56,0.434,4,-14.151,0,0.0729,0.55,0,0.346,0.664,112.803,3
spotify:track:1bYItjcPRtxZs6Ir71O5RB,"(I Left My Heart) In San Francisco","I Left My Heart In San Francisco","Tony Bennett",1962-06-18,177307,57,false,jackdutton8,2021-10-25T02:00:04Z,"vocal jazz,christmas,big band,adult standards,jazz","Columbia",0.313,0.078,0,-17.583,1,0.0332,0.955,0.00000448,0.169,0.125,128.065,4
spotify:track:5KKiN9LDoI510Yf4VWboOz,"Come Fly With Me - 2008 Remastered","Nothing But The Best (2008 Remastered)","Frank Sinatra",2008-05-13,193653,49,false,jackdutton8,2021-10-25T01:50:21Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.601,0.464,0,-8.661,0,0.048,0.542,0,0.112,0.638,137.865,4
spotify:track:3aEJMh1cXKEjgh52claxQp,"I've Got You Under My Skin - Remastered 1998","Songs For Swingin' Lovers! (Remastered)","Frank Sinatra",1956-03,223760,68,false,jackdutton8,2021-10-25T01:48:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Capitol Records",0.583,0.247,1,-12.612,1,0.04,0.448,0.0000097,0.107,0.592,127.145,4
spotify:track:33jt3kYWjQzqn3xyYQ5ZEh,"Cheek To Cheek","The Complete Ella And Louis On Verve","Ella Fitzgerald;Louis Armstrong",1997-05-20,354533,63,false,jackdutton8,2021-10-25T02:00:32Z,"jazz,vocal jazz,swing music,big band,christmas","Verve Reissues",0.663,0.264,0,-14.571,1,0.0914,0.706,0,0.1,0.657,122.482,4
spotify:track:0elmUoU7eMPwZX1Mw1MnQo,"The Way You Look Tonight","Days Of Wine And Roses, Moon River And Other Academy Award Winners","Frank Sinatra",1964,202160,69,false,jackdutton8,2021-10-25T01:48:58Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.622,0.24,5,-14.067,0,0.0363,0.798,0,0.142,0.587,132.234,4
spotify:track:46VnIazlvGD1jyy1IygMqz,"Luck Be A Lady - 2008 Remastered","Nothing But The Best (2008 Remastered)","Frank Sinatra",2008-05-13,314613,48,false,jackdutton8,2021-10-25T01:51:14Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.407,0.568,8,-7.889,1,0.051,0.552,0,0.179,0.523,151.971,4
spotify:track:3QksrtI9VFCBHWA4rgvcV8,"Theme From New York, New York","Trilogy: Past, Present & Future","Frank Sinatra",1980-03-26,206066,61,false,jackdutton8,2021-10-25T01:49:04Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.408,0.414,2,-11.083,1,0.0297,0.282,0,0.153,0.576,107.469,4
spotify:track:648TTtYB0bH0P8Hfy0FmkL,"Unforgettable","Unforgettable","Nat King Cole",1954-01-01,191973,71,false,jackdutton8,2021-10-25T01:49:24Z,"christmas,adult standards,vocal jazz,big band","CAPITOL CATALOG MKT (C92)",0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3
