Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7kv7zBjMtVf0eIJle2VZxn,"Southern Nights","Southern Nights","Glen Campbell",1977-01-01,180026,75,false,jackdutton8,2023-03-19T22:01:21Z,"classic country","Capitol Records",0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,4
spotify:track:2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303820,81,false,jackdutton8,2023-03-19T22:01:37Z,"art rock,soft rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
spotify:track:1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads - Original Version","Poems, Prayers and Promises","John Denver",1971,193937,77,false,jackdutton8,2023-03-19T22:01:44Z,"folk","RCA/Legacy",0.462,0.395,9,-9.376,1,0.0264,0.758,0,0.121,0.625,82.259,4
spotify:track:7GVUmCP00eSsqc4tzj1sDD,"Come and Get Your Love - Single Version","Come and Get Your Love","Redbone",1973-11-01,205933,80,false,jackdutton8,2023-03-19T22:01:57Z,"native american music","Epic/Legacy",0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4
spotify:track:7HW5WIw7ZgZORCzUxv5gW5,"Don't Go Breaking My Heart","Rock Of The Westies","Elton John;Kiki Dee",1975-10-24,275440,80,false,jackdutton8,2023-03-19T22:03:02Z,"","EMI",0.729,0.844,5,-8.824,1,0.0344,0.149,0.00000287,0.0604,0.777,131.459,4
spotify:track:2Nz6aF1umHh5Et6I5H581L,"Hooked On A Feeling","Hooked On A Feeling - 40th Anniversary Collection","Blue Swede;Björn Skifs",2014-09-30,172866,68,false,jackdutton8,2023-03-19T22:03:18Z,"","Parlophone Sweden",0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,4
spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,"Escape (The Pina Colada Song)","Partners In Crime","Rupert Holmes",1979-01-01,276493,76,false,jackdutton8,2023-03-19T22:03:29Z,"yacht rock","Geffen*",0.835,0.509,0,-13.668,1,0.0548,0.469,0.00000411,0.0436,0.949,138.711,4
spotify:track:5zA8vzDGqPl2AzZkEYQGKh,"Uptown Girl","An Innocent Man","Billy Joel",1983-08-08,198294,82,false,jackdutton8,2023-03-19T22:03:33Z,"soft rock","Columbia",0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,4
spotify:track:62AuGbAkt8Ox2IrFFb8GKV,"Sweet Caroline","Sweet Caroline","Neil Diamond",1969-06-06,203573,78,false,jackdutton8,2023-03-19T22:03:44Z,"","Geffen",0.529,0.127,11,-16.066,1,0.0274,0.614,0.000133,0.237,0.579,63.05,4
spotify:track:4eGlvsFXmFqdJrVXe9FbgD,"Build Me Up Buttercup","From the Foundations (Expanded Edition)","The Foundations",1967-01-01,177519,0,false,jackdutton8,2023-03-19T22:06:17Z,"","Sanctuary Records",0.564,0.555,0,-9.07,1,0.0293,0.242,0,0.244,0.882,67.082,4
spotify:track:4o6BgsqLIBViaGVbx5rbRk,"You Make My Dreams (Come True)","Voices","Daryl Hall & John Oates",1980,190626,80,false,jackdutton8,2023-03-19T22:06:21Z,"yacht rock,soft rock","RCA/BMG Heritage",0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4
spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,"I'm a Believer - 2006 Remaster","More of The Monkees (Deluxe Edition)","The Monkees",1967-01-09,167373,73,false,jackdutton8,2023-03-19T22:06:26Z,"","Rhino",0.526,0.775,0,-6.05,1,0.0352,0.707,0.0000205,0.217,0.962,80.106,4
spotify:track:5qHYXcVvc9xsFB2uH7GpMN,"Kokomo","The Very Best Of The Beach Boys: Sounds Of Summer","The Beach Boys",2003-01-01,217692,73,false,jackdutton8,2023-03-19T22:06:36Z,"baroque pop","Capitol Records",0.682,0.635,0,-10.05,1,0.0346,0.00863,0,0.137,0.927,115.584,4
spotify:track:7tqhbajSfrz2F7E1Z75ASX,"Ain't No Mountain High Enough","United","Marvin Gaye;Tammi Terrell",1967-08-29,151666,84,false,jackdutton8,2023-03-19T22:06:42Z,"motown,classic soul,soul,northern soul,quiet storm","UNI/MOTOWN",0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.797,129.987,4
spotify:track:67iAlVNDDdddxqSD2EZhFs,"I'm Gonna Be (500 Miles)","Sunshine on Leith","The Proclaimers",1988-01-01,219466,75,false,jackdutton8,2023-03-19T22:06:57Z,"celtic rock","Parlophone UK",0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,4
spotify:track:2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV","TOTO",1982-04-08,295282,88,false,jackdutton8,2023-03-19T22:07:11Z,"yacht rock,soft rock","Columbia",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
spotify:track:6XK6Zw6JkFsHXzAcMWNiIr,"Send Me On My Way","When I Woke","Rusted Root",1994-01-01,263360,73,false,jackdutton8,2023-03-19T22:08:04Z,"jam band","Island Mercury",0.5,0.704,0,-8.797,1,0.0695,0.125,0.0000179,0.138,0.722,119.463,4
spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd,"In the Summertime","In the Summertime","Mungo Jerry",1970-01-01,215800,1,false,jackdutton8,2023-03-19T22:08:14Z,"","Sanctuary Records",0.642,0.65,4,-8.567,1,0.0623,0.66,0,0.14,0.973,164.421,4
spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,"Centerfold","Freeze Frame","The J. Geils Band",1981,216533,70,false,jackdutton8,2023-03-19T22:08:22Z,"classic rock","EMI/EMI Records (USA)",0.653,0.677,0,-12.244,1,0.0396,0.249,0,0.403,0.888,114.374,4
spotify:track:0ikz6tENMONtK6qGkOrU3c,"Wake Me Up Before You Go-Go","Make It Big","Wham!",1984-10-23,231333,80,false,jackdutton8,2023-03-19T22:08:29Z,"christmas","Columbia",0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4
spotify:track:0qxYx4F3vm1AOnfux6dDxP,"You Can Call Me Al","Graceland (25th Anniversary Deluxe Edition)","Paul Simon",1986-08-12,280586,76,false,jackdutton8,2023-03-19T22:08:31Z,"singer-songwriter","Legacy Recordings",0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,4
spotify:track:1HuAR7RyNWQq6vHwOFHWqx,"I'm on My Way","Sunshine on Leith","The Proclaimers",1988-01-01,225586,66,false,jackdutton8,2023-03-19T22:08:42Z,"celtic rock","Parlophone UK",0.824,0.634,8,-10.296,1,0.0342,0.369,0,0.0665,0.743,118.922,4
spotify:track:3Vby4nGmtbDo7HDJamOWkT,"Stuck In The Middle With You","Stealers Wheel","Stealers Wheel",1972-01-01,208946,76,false,jackdutton8,2023-03-19T22:08:48Z,"","UMC (Universal Music Catalogue)",0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,4
spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,"Spirit In The Sky - Deluxe Edition","Spirit In The Sky (Deluxe Edition)","Norman Greenbaum",1969-01-01,242893,76,false,jackdutton8,2023-03-19T22:09:02Z,"classic rock","Craft Recordings",0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,4
spotify:track:1fDsrQ23eTAVFElUMaf38X,"American Pie","American Pie","Don McLean",1971,516893,80,false,jackdutton8,2023-03-19T22:11:20Z,"","Capitol Records",0.529,0.482,4,-11.709,0,0.0599,0.7,0,0.0842,0.492,138.453,4
spotify:track:3yrSvpt2l1xhsV9Em88Pul,"Brown Eyed Girl","Blowin' Your Mind!","Van Morrison",1967-09,183306,23,false,jackdutton8,2023-03-19T22:11:34Z,"","Columbia/Legacy",0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,4
