Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,100,false,jackdutton8,2026-02-15T04:55:03Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:73CKjW3vsUXRpy3NnX4H7F,"Fake Plastic Trees","The Bends","Radiohead",1995-03-13,290706,81,false,jackdutton8,2026-02-15T04:55:03Z,"art rock,alternative rock","XL Recordings",0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,4
spotify:track:03tqyYWC9Um2ZqU0ZN849H,"No Hands (feat. Roscoe Dash & Wale)","Flockaveli","Waka Flocka Flame;Roscoe Dash;Wale",2010-10-01,263773,86,true,jackdutton8,2026-02-15T04:55:03Z,"","Asylum/Warner Records",0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,4
spotify:track:4GDL4Rl9ov0OctWIm6ZkoR,"Content","INSIDE","Bo Burnham",2021-06-10,96415,54,false,jackdutton8,2026-02-15T04:55:03Z,"comedy","Bo Burnham",0.774,0.848,9,-6.106,1,0.0347,0.00231,0.00000332,0.0953,0.716,115.01,4
spotify:track:3g2gQMeeQAEPztiQKMlGSl,"El Scorcho","Pinkerton","Weezer",1996-09-24,243466,57,false,jackdutton8,2026-02-15T04:55:03Z,"alternative rock","DGC",0.479,0.707,1,-4.968,1,0.0659,0.0471,0,0.0932,0.661,148.092,4
spotify:track:5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn","Burn, Burn, Burn","Zach Bryan",2022-09-08,268856,80,false,jackdutton8,2026-02-15T04:55:03Z,"country,red dirt","Warner Records",0.508,0.296,3,-10.513,1,0.0755,0.897,0.00005,0.11,0.134,82.532,4
spotify:track:50ZWQIqyJzbD43eGIbUA2O,"Jolene","Motorcade Of Generosity","CAKE",1997-07-21,319200,23,false,jackdutton8,2026-02-15T04:55:03Z,"alternative rock","The Island Def Jam Music Group",0.512,0.572,6,-9.903,1,0.0413,0.271,0.0000102,0.355,0.849,94.01,4
spotify:track:3gBCDuoNqvJrBxphIAbxtz,"Cavalry","This Side of Jordan","Watchhouse",2013-08-20,196493,51,false,jackdutton8,2026-02-15T04:55:03Z,"bluegrass,americana,newgrass,folk","Yep Roc Records",0.48,0.273,2,-11.045,1,0.0319,0.913,0.000135,0.0911,0.438,124.238,4
spotify:track:7xuu4ByQkm8qhnwJQk994r,"New York City Cops","Is This It","The Strokes",2001-07-30,210746,52,true,jackdutton8,2026-02-15T04:55:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.522,0.853,0,-7.66,1,0.0362,0.071,0.0000282,0.343,0.455,107.943,4
spotify:track:7JJPh9eOiSr8zYlBjcu2w0,"Across The Sea","Pinkerton","Weezer",1996-09-24,272773,66,false,jackdutton8,2026-02-15T04:55:03Z,"alternative rock","DGC",0.27,0.91,6,-5.626,1,0.0538,0.00529,0,0.0878,0.27,126.289,4
spotify:track:6uI9PtIAHfNYlrkemxxVcA,"Wild Child","Monarch","The Ghost of Paul Revere",2017-10-27,281437,46,false,jackdutton8,2026-02-15T04:55:03Z,"bluegrass,folk","Americana Vibes",0.431,0.703,2,-7.534,1,0.04,0.186,0.00000136,0.0956,0.345,168.183,4
spotify:track:6T4eTkoARLnJIzWjAtyQe0,"By and By","By and By","Caamp",2019-07-26,280794,70,false,jackdutton8,2026-02-15T04:55:03Z,"indie folk,folk","Mom+Pop",0.583,0.474,9,-7.981,1,0.0258,0.794,0.00000299,0.115,0.333,101.43,4
spotify:track:718purgMpFb2Axhuz0Hbq1,"Chances","Comedown Machine","The Strokes",2013-03-25,216786,59,false,jackdutton8,2026-02-15T04:55:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.561,0.569,6,-9.682,1,0.0289,0.365,0.611,0.109,0.53,103.705,4
spotify:track:5pCWNqlZlcE6tNlacIWDKw,"Dicked Down in Dallas","Dicked Down in Dallas","Trey Lewis",2020-12-01,201350,63,true,jackdutton8,2026-02-15T04:55:03Z,"country","Trey Lewis",0.51,0.929,6,-4.685,1,0.0456,0.0608,0.00000539,0.101,0.438,122.036,4
spotify:track:50MhgV5PrQmCSuEELaYp9R,"Comedy","INSIDE","Bo Burnham",2021-06-10,319713,53,true,jackdutton8,2026-02-15T04:55:03Z,"comedy","Bo Burnham",0.47,0.565,5,-8.43,1,0.173,0.465,0,0.225,0.351,180.061,4
spotify:track:4nZi6XNe36Ut4Nij3IQ1yC,"Silver Springs - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,288786,84,false,jackdutton8,2026-02-15T04:55:03Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.348,0.576,0,-8.388,1,0.0289,0.00766,0.0462,0.276,0.428,179.014,4
spotify:track:69YCkfZS0aOjEUPwQ4zCZ9,"Gratisfaction","Angles","The Strokes",2011-03-21,179200,51,false,jackdutton8,2026-02-15T04:55:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.644,0.788,0,-5.039,1,0.0558,0.0456,0.34,0.237,0.708,135.437,4
spotify:track:4JwjzS9WFkWlpzGCwh82fn,"Atlantic City","Jericho","The Band",1993-11-02,314840,60,false,jackdutton8,2026-02-15T04:55:03Z,"folk rock,roots rock,southern rock,americana","Fontana South",0.648,0.525,9,-9.213,1,0.0241,0.466,0.0000015,0.165,0.724,98.131,4
spotify:track:2bJvI42r8EF3wxjOuDav4r,"Time of Our Lives","Globalization","Pitbull;Ne-Yo",2014-11-24,229358,86,true,jackdutton8,2026-02-15T04:55:03Z,"","Mr.305/Polo Grounds Music/RCA Records",0.721,0.802,1,-5.797,1,0.0583,0.0921,0,0.694,0.724,124.022,4
spotify:track:19MkwMrRjO7773zpuGss1o,"Shake the Frost (Live)","Live on Red Barn Radio I & II","Tyler Childers",2018-06-29,175120,76,false,jackdutton8,2026-02-15T04:55:03Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.447,0.341,2,-9.769,1,0.0457,0.806,0.00000205,0.686,0.371,138.969,4
spotify:track:37cb7mzkQKksGm0noGDXeh,"Trying Your Luck","Is This It","The Strokes",2001-07-30,202960,54,false,jackdutton8,2026-02-15T04:55:03Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.502,0.691,9,-9.453,0,0.0311,0.00911,0.0149,0.133,0.629,143.926,4
spotify:track:0NkiEX9bdIm7a06pJBbOYs,"I Don't Mind","Cuttin' Grass - Vol. 1 (Butcher Shoppe Sessions)","Sturgill Simpson",2020-10-16,269663,61,false,jackdutton8,2026-02-15T04:55:03Z,"outlaw country,alt country,bluegrass,americana,red dirt,country,newgrass","High Top Mountain Records",0.603,0.483,0,-7.898,1,0.03,0.599,0.000751,0.0886,0.415,89.386,4
spotify:track:0Jur3mZsQba3vqSpcmsOPm,"Smoke Two Joints","40oz. To Freedom","Sublime",1992-06-01,173426,68,false,jackdutton8,2026-02-15T04:55:03Z,"reggae rock,ska punk,ska","Gasoline Alley",0.761,0.687,7,-6.185,1,0.131,0.00469,0.00532,0.245,0.316,95.089,4
spotify:track:7xRemq7GLu0Tbqe9OckG87,"The Man in Me","New Morning","Bob Dylan",1970-10-21,191683,65,false,jackdutton8,2026-02-15T04:55:03Z,"folk rock,folk,singer-songwriter,roots rock","Columbia/Legacy",0.419,0.517,8,-9.368,1,0.0284,0.532,0.0251,0.0785,0.905,145.109,4
spotify:track:6677v7VjQsuA6BRFQxQcmG,"Babylon Sisters","Gaucho","Steely Dan",1980-11-21,353408,54,false,jackdutton8,2026-02-15T04:55:03Z,"yacht rock,classic rock","Geffen",0.668,0.3,10,-16.186,1,0.0535,0.458,0.0222,0.0547,0.496,60.688,4
spotify:track:5floNyItopWZyB4IzKrJtW,"トーキョーレギー","SEYCHELLES","Masayoshi Takanaka",1976,260333,66,false,jackdutton8,2026-02-15T04:55:03Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.498,0.73,4,-10.326,1,0.0388,0.076,0.0579,0.0712,0.724,131.019,4
