Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0UvCh63URrLFcPkKt99hHd,"Don't Look Back in Anger - Remastered","(What's The Story) Morning Glory? [Remastered]","Oasis",1995-10-02,289560,77,false,jackdutton8,2026-02-15T04:55:19Z,"britpop,madchester","Big Brother",0.327,0.938,0,-3.237,1,0.0636,0.0707,0.00000379,0.148,0.327,162.933,4
spotify:track:0qdJUhXtk9u7sdSwfBB5XU,"Let Me Go","Prolonging the Magic","CAKE",1998-02-05,209693,54,false,jackdutton8,2026-02-15T04:55:19Z,"alternative rock","Volcano",0.772,0.641,9,-8.049,1,0.0455,0.0502,0.000365,0.0791,0.944,109.142,4
spotify:track:65T1aY3I9qfNUDVAnaM9bq,"Sedona","Little Neon Limelight","Houndmouth",2015-03-16,239880,59,false,jackdutton8,2026-02-15T04:55:19Z,"","Rough Trade",0.394,0.654,3,-8.243,1,0.0346,0.0404,0.0000696,0.112,0.264,135.188,4
spotify:track:1Cwsd5xI8CajJz795oy4XF,"You Get What You Give","Maybe You've Been Brainwashed Too","New Radicals",1998-01-01,300773,82,false,jackdutton8,2026-02-15T04:55:19Z,"","Geffen*",0.621,0.901,2,-5.396,1,0.0302,0.17,0,0.0875,0.744,113.967,4
spotify:track:4fPBB44eDH71YohayI4eKV,"You Only Live Once","First Impressions Of Earth","The Strokes",2006-01-03,189226,71,false,jackdutton8,2026-02-15T04:55:19Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,4
spotify:track:0Wm1TSXJ3vH4Hh7qxW0ihY,"Wheels","Pressure Chief","CAKE",2004-10-05,198200,48,false,jackdutton8,2026-02-15T04:55:19Z,"alternative rock","Columbia",0.696,0.476,4,-7.955,0,0.0373,0.128,0,0.121,0.963,161.311,4
spotify:track:3SsGrCb1eaSpGhRDqPaTln,"Snowbank Blues","Waiting to Spill","The Backseat Lovers",2022-10-28,197746,65,false,jackdutton8,2026-02-15T04:55:19Z,"","Capitol Records",0.558,0.191,5,-11.519,1,0.0297,0.731,0.00027,0.127,0.226,95.712,4
spotify:track:7E4qUlNYocWix5FKBdw5CN,"OH! TENGO SUERTE","SEYCHELLES","Masayoshi Takanaka",1976,252666,64,false,jackdutton8,2026-02-15T04:55:19Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.519,0.744,2,-9.487,1,0.0432,0.68,0.0526,0.123,0.408,93.555,4
spotify:track:6xE6ZWzK1YDDSYzqOCoQlz,"Last Train to London","Discovery","Electric Light Orchestra",1979-05-31,272649,81,false,jackdutton8,2026-02-15T04:55:19Z,"art rock,soft rock","Epic/Legacy",0.727,0.537,7,-9.785,1,0.0295,0.396,0.000789,0.349,0.954,121.493,4
spotify:track:2McT9smAArZgp6jKdLnL0X,"Mexico","Prolonging the Magic","CAKE",1998-02-05,206400,46,false,jackdutton8,2026-02-15T04:55:19Z,"alternative rock","Volcano",0.597,0.429,0,-9.916,1,0.0306,0.229,0.0279,0.0807,0.465,149.164,3
spotify:track:4DHLopEsKDwQBgucGKJuzj,"Watch Your Mouth","When We Were Friends","The Backseat Lovers",2019-01-27,271176,63,false,jackdutton8,2026-02-15T04:55:19Z,"","The Backseat Lovers",0.566,0.375,2,-10.933,1,0.0288,0.394,0.0243,0.0971,0.244,87.891,4
spotify:track:0CoPoNohPHCjvggWHlxgk5,"Kielbasa","Tenacious D","Tenacious D",2001-09-25,179800,46,true,jackdutton8,2026-02-15T04:55:19Z,"comedy","Epic",0.506,0.666,0,-6.769,1,0.07,0.126,0.000257,0.0863,0.595,100.846,4
spotify:track:4eAC7BMiGocHOAnZYxWTjc,"Peach Fuzz","By and By","Caamp",2019-07-26,224360,61,false,jackdutton8,2026-02-15T04:55:19Z,"indie folk,folk","Mom+Pop",0.709,0.644,1,-7.751,1,0.0356,0.157,0.000283,0.143,0.912,127.286,4
spotify:track:0ZrwHtvupIB8fi4DsPXVHU,"Palm of Your Hand","Pressure Chief","CAKE",2004-10-05,177240,36,false,jackdutton8,2026-02-15T04:55:19Z,"alternative rock","Columbia",0.714,0.489,7,-9.552,1,0.026,0.436,0.000287,0.0913,0.746,97.008,4
spotify:track:2l8YMlYVoxeVFKrFF5o03r,"Goodnight Chicago","RKS","Rainbow Kitten Surprise",2015,231906,60,false,jackdutton8,2026-02-15T04:55:19Z,"","Elektra (NEK)",0.732,0.372,7,-12.369,1,0.0745,0.847,0.0809,0.104,0.215,119.911,4
