Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6M47gaKejso9772SKTa3yH,"Face Off","ASIN9NE","Tech N9ne;Joey Cool;King Iso;Dwayne Johnson",2021-10-08,219802,62,true,jackdutton8,2022-01-08T01:31:57Z,"horrorcore","Strange Music, Inc",0.693,0.935,8,-4.323,1,0.224,0.18,0,0.179,0.391,80.882,4
spotify:track:5tORQL3XeeJnSUism6MOr9,"25 or 6 to 4 - 2002 Remaster","The Very Best of Chicago: Only the Beginning","Chicago",2002-07-02,289800,35,false,jackdutton8,2022-01-08T01:31:57Z,"yacht rock,soft rock","Rhino",0.604,0.905,4,-7.059,0,0.0578,0.31,0.0646,0.0837,0.722,147.456,4
spotify:track:72hSmnleYTiiOo23q8ZJIS,"Black Sheep","Black Sheep","Metric",2010-08-10,297459,66,false,jackdutton8,2022-01-08T01:31:57Z,"","MMI Inc.",0.509,0.646,11,-6.285,0,0.0365,0.00028,0.00468,0.0973,0.142,124.014,4
spotify:track:4t5lrf5rFX6JWAUPKCDlKk,"The Safety Dance","Rock Of The 80's","Men Without Hats",1998-01-01,165506,59,false,jackdutton8,2022-01-08T01:31:57Z,"synthpop,new wave","Geffen",0.632,0.582,5,-13.461,1,0.044,0.0803,0.00351,0.0832,0.576,101.641,4
spotify:track:0U0ldCRmgCqhVvD6ksG63j,"Nightcall","Nightcall","Kavinsky",2010,258413,76,false,jackdutton8,2022-01-08T01:31:57Z,"synthwave,french house","Universal Music Division Virgin Records",0.532,0.874,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,4
spotify:track:6SdAztAqklk1zAmUHhU4N7,"Taken for a Fool","Angles","The Strokes",2011-03-21,203240,58,false,jackdutton8,2022-01-08T01:31:57Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.569,0.89,5,-4.447,1,0.0559,0.00595,0.0112,0.226,0.885,137.044,4
spotify:track:1ko2lVN0vKGUl9zrU0qSlT,"Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.;Bill Withers",1985,438493,74,false,jackdutton8,2022-01-08T01:31:57Z,"soul jazz,smooth jazz,soul","Rhino/Elektra",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
spotify:track:0RAXoT7hwOoqAXI95ryxT5,"RYDEEN","Solid State Survivor","YELLOW MAGIC ORCHESTRA;吉沢典夫",1979-09-25,266360,38,false,jackdutton8,2022-01-08T01:31:57Z,"synthpop,city pop,kayokyoku,shibuya-kei","Sony Music Direct (Japan) Inc.",0.554,0.855,2,-6.506,0,0.0368,0.0000819,0.807,0.0486,0.895,142.772,4
spotify:track:0oks4FnzhNp5QPTZtoet7c,"Giorgio by Moroder","Random Access Memories","Daft Punk",2013-05-20,544626,65,false,jackdutton8,2022-01-08T01:31:57Z,"french house,electronic,electro","Columbia",0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,4
spotify:track:2Y0iGXY6m6immVb2ktbseM,"Little Dark Age","Little Dark Age","MGMT",2018-02-09,299933,79,false,jackdutton8,2022-01-08T01:31:57Z,"indie","Columbia",0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,4
