Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1xnMDazQz9CBXkq99MBgRg,"Swim and Sleep (Like a Shark)","II (Deluxe Edition)","Unknown Mortal Orchestra",2013-10-22,165226,0,false,jackdutton8,2022-04-15T16:06:46Z,"neo-psychedelic","Jagjaguwar",0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.51,4
spotify:track:5z0Wa1EiCoaUafx83WszRY,"That Life","That Life","Unknown Mortal Orchestra",2021-08-04,215866,0,false,jackdutton8,2022-04-15T16:06:46Z,"neo-psychedelic","Jagjaguwar",0.926,0.628,3,-5.246,1,0.047,0.069,0.00467,0.102,0.929,123.326,4
spotify:track:4cOIgq2jOuGIOsAlBcPHQf,"Comatose","lowhum","Low Hum",2018-02-23,376226,0,false,jackdutton8,2022-04-15T16:06:46Z,"","Last Gang",0.568,0.473,0,-7.068,1,0.0271,0.169,0.68,0.123,0.354,148.954,4
spotify:track:2wfxBlaXXTSpsTRzk0zZu5,"I Won't Be There","Life & Love","Skinshape",2017-05-03,422133,39,false,jackdutton8,2022-04-15T16:06:46Z,"","DLoaw & Co.",0.524,0.675,0,-7.633,0,0.0376,0.0351,0.594,0.138,0.701,170.094,4
spotify:track:2e9nmz4IH48e9yc34oyMGe,"Pink Lemonade","Boardwalk Bumps 2","Engelwood;Nick Seeley",2018-08-23,198627,20,false,jackdutton8,2022-04-15T16:06:46Z,"lo-fi beats,jazz beats","Engelwood",0.631,0.679,0,-7.615,0,0.139,0.0163,0.826,0.499,0.704,173.833,4
spotify:track:2mlGPkAx4kwF8Df0GlScsC,"Buttercup","Pop Food","Jack Stauber",2017-03-25,208026,68,false,jackdutton8,2022-04-15T16:06:46Z,"","Plopscotch Records",0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,4
spotify:track:3eZqBNHlNA4lUsbAB6UmvD,"Loretta","Loretta","Ginger Root",2021-06-16,190153,45,false,jackdutton8,2022-04-15T16:06:46Z,"city pop","Acrophase Records",0.706,0.801,2,-5.646,1,0.0462,0.282,0.594,0.143,0.887,130.001,4
spotify:track:6AAYNz8jXvVlgG9IpYi42Z,"Hunnybee","Sex & Food","Unknown Mortal Orchestra",2018-04-06,268333,60,false,jackdutton8,2022-04-15T16:06:46Z,"neo-psychedelic","Jagjaguwar",0.956,0.377,6,-7.965,1,0.0804,0.566,0.414,0.313,0.566,119.993,4
spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,"Homage","Skiptracing","Mild High Club",2016-08-26,177493,73,false,jackdutton8,2022-04-15T16:06:46Z,"neo-psychedelic","Stones Throw Records",0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4
spotify:track:1XKAeevAbxSSMuTcRT0APS,"Multi-Love","Multi-Love","Unknown Mortal Orchestra",2015-05-26,250800,55,false,jackdutton8,2022-04-15T16:06:46Z,"neo-psychedelic","Jagjaguwar",0.784,0.506,3,-5.243,0,0.0404,0.571,0,0.139,0.544,120.139,4
spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma","Comedown Machine","The Strokes",2013-03-25,204773,72,false,jackdutton8,2022-04-15T16:06:46Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
