Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2qQCU22yQXKjhytKUBxa59,"Comfort Eagle","Comfort Eagle","CAKE",2001-07-24,220202,55,false,jackdutton8,2021-08-10T19:10:57Z,"alternative rock","Columbia",0.735,0.692,11,-9.671,1,0.0582,0.0932,0,0.217,0.894,120.99,4
spotify:track:3OOFEF20WqtsUPcRbPY3L7,"Short Skirt / Long Jacket","Comfort Eagle","CAKE",2001-07-24,204128,66,false,jackdutton8,2021-08-10T19:11:01Z,"alternative rock","Columbia",0.771,0.809,2,-10.029,1,0.0461,0.003,0.0223,0.0252,0.886,120.038,4
spotify:track:5jhfa76FhqtD3Boij6MAKS,"Love You Madly","Comfort Eagle","CAKE",2001-07-24,237807,58,false,jackdutton8,2021-08-10T19:11:12Z,"alternative rock","Columbia",0.752,0.7,9,-11.871,1,0.0548,0.0772,0.000157,0.186,0.643,106.995,4
spotify:track:7aKWgpecgLEqisWcXPElDl,"Never There","Prolonging the Magic","CAKE",1998-02-05,164266,63,false,jackdutton8,2021-08-10T19:11:14Z,"alternative rock","Volcano",0.761,0.735,9,-8.171,0,0.043,0.0426,0.0838,0.0917,0.592,125.815,4
spotify:track:1hk75vzQeF2UfPwTUbVWLn,"The Distance","Fashion Nugget","CAKE",1996,179653,0,false,jackdutton8,2021-08-10T19:11:19Z,"alternative rock","Volcano",0.463,0.749,11,-8.118,0,0.0891,0.00796,0.00219,0.0558,0.888,183.048,4
spotify:track:2Wn6izCvS23QaU0KAB37gB,"I Will Survive","Fashion Nugget","CAKE",1996,310600,0,true,jackdutton8,2021-08-10T19:11:24Z,"alternative rock","Volcano",0.507,0.683,7,-8.079,1,0.0316,0.303,0.000132,0.142,0.901,95.732,4
spotify:track:0jxcw9bsXmHbPUSZqscNai,"Amie - Remastered January 1992","Aimee And Other Hits","Pure Prairie League",1992-03-19,259000,46,false,jackdutton8,2021-10-11T16:34:55Z,"southern rock,country rock,yacht rock,soft rock","RCA Records Label",0.544,0.392,9,-14.305,1,0.0299,0.552,0.00000102,0.113,0.402,87.887,4
spotify:track:6wiXnlnF9df34GFIo8Ez3I,"Frank Sinatra","Fashion Nugget","CAKE",1996,241026,0,false,jackdutton8,2021-08-10T19:11:28Z,"alternative rock","Volcano",0.679,0.514,7,-9.2,1,0.0421,0.184,0.0235,0.177,0.535,114.225,4
spotify:track:3whcRXtzvXHNnHGQNZERKY,"Friend Is a Four Letter Word","Fashion Nugget","CAKE",1996-09-17,202586,0,false,jackdutton8,2021-08-10T19:12:01Z,"alternative rock","Volcano",0.433,0.587,9,-9.747,0,0.0258,0.11,0.000957,0.111,0.328,131.104,4
spotify:track:2J7RJM8CrLEoHvjZHCMfRi,"Stickshifts and Safetybelts","Fashion Nugget","CAKE",1996-09-17,129000,0,false,jackdutton8,2021-08-10T19:12:07Z,"alternative rock","Volcano",0.66,0.689,1,-9.671,0,0.116,0.478,0,0.278,0.925,141.556,4
spotify:track:4tRkMAL93DFmaMDUHOHuBH,"Rock 'n' Roll Lifestyle","Motorcade of Generosity","CAKE",1994,254066,50,false,jackdutton8,2021-09-30T02:40:17Z,"alternative rock","Upbeat Records",0.71,0.462,9,-9.737,1,0.211,0.331,0,0.137,0.937,117.601,4
spotify:track:1DrlLvlYd1FIjNavRm6NdX,"Back Pocket","Thrill of the Arts","Vulfpeck",2015-10-09,181259,61,false,jackdutton8,2021-08-10T19:14:43Z,"funk,funk rock","Vulf Records",0.839,0.585,2,-7.737,1,0.153,0.478,0.00278,0.0435,0.89,89.821,4
spotify:track:48wH8bAxvBJO2l14GmNLz7,"Wait for the Moment","My First Car","Vulfpeck",2013-12-06,230676,61,false,jackdutton8,2021-08-10T19:14:44Z,"funk,funk rock","Vulf Records",0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
spotify:track:5DH7nDryMhpixm4G4B7RP9,"The Longest Time","An Innocent Man","Billy Joel",1983-08-08,223176,66,false,jackdutton8,2021-10-11T16:35:01Z,"soft rock","Columbia",0.637,0.333,3,-9.603,1,0.0262,0.181,0,0.147,0.588,84.347,4
spotify:track:39rHfrVqCX6A55GF7uOZSC,"1612","Fugue State","Vulfpeck",2014-08-26,199639,58,false,jackdutton8,2021-08-10T19:14:46Z,"funk,funk rock","Vulf Records",0.678,0.392,0,-11.328,1,0.274,0.177,0.0045,0.0839,0.711,171.276,4
spotify:track:1SHA4IJyiyNobDOrQzFFXy,"Animal Spirits","The Beautiful Game","Vulfpeck",2016-10-17,190801,53,false,jackdutton8,2021-08-10T19:14:48Z,"funk,funk rock","Vulf Records",0.753,0.713,1,-7.333,1,0.0539,0.156,0.0000959,0.0508,0.906,100.859,4
spotify:track:1o0nAjgZwMDK9TI4TTUSNn,"LAX","The Joy of Music, The Job of Real Estate","Vulfpeck;Joey Dosik",2020-10-23,225665,45,false,jackdutton8,2021-08-10T19:14:49Z,"funk,funk rock,retro soul,retro pop","Vulf Records",0.8,0.599,0,-7.357,1,0.0344,0.00521,0.00547,0.0587,0.908,128.381,4
spotify:track:5KboIqx30dztT6wmEVFn17,"Baby I Don’t Know Oh Oh (feat. Charles Jones)","Mr Finish Line","Vulfpeck;Charles Jones",2017-11-07,208954,43,false,jackdutton8,2021-08-10T19:14:50Z,"funk,funk rock","Vulf Records",0.639,0.477,7,-6.144,1,0.055,0.193,0.000148,0.358,0.484,112.737,4
spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,"Beyond the Sea","That's All","Bobby Darin",1959,172480,72,false,jackdutton8,2021-10-11T16:35:11Z,"big band,adult standards,swing music,doo-wop","Rhino Atlantic",0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483,4
spotify:track:1L9qsoNnyT3r8fgr2Pr7Ty,"Cory Wong","The Beautiful Game","Vulfpeck",2016-10-17,246910,46,false,jackdutton8,2021-08-10T19:14:52Z,"funk,funk rock","Vulf Records",0.62,0.6,8,-9.192,1,0.138,0.0894,0.571,0.813,0.959,127.51,4
spotify:track:6tOgeTNf9Zvts2JXwXFeQZ,"Running Away (feat. Joey Dosik, David T. Walker & James Gadson)","Mr Finish Line","Vulfpeck;Joey Dosik;David T. Walker;James Gadson",2017-11-07,272251,42,false,jackdutton8,2021-08-10T19:15:35Z,"funk,funk rock,retro soul,retro pop","Vulf Records",0.59,0.508,10,-9.255,0,0.145,0.0518,0.000106,0.115,0.385,81.578,4
spotify:track:3uFp6gGgNMtSEmzx1cHTG4,"Half of the Way","Hill Climber","Vulfpeck;Theo Katzman",2018-12-07,196905,41,false,jackdutton8,2021-08-10T19:15:46Z,"funk,funk rock,retro soul","Vulf Records",0.689,0.73,2,-6.387,1,0.0766,0.0407,0,0.085,0.727,107.196,4
spotify:track:1CyAxM93XN2atUBykXFWPX,"Game Winner","Thrill of the Arts","Vulfpeck",2015-10-09,212549,40,false,jackdutton8,2021-08-10T19:15:52Z,"funk,funk rock","Vulf Records",0.674,0.538,10,-7.15,1,0.0304,0.453,0.000215,0.616,0.684,112.911,4
spotify:track:6vzRQHItVGIT94q33HvRZx,"Aunt Leslie","The Beautiful Game","Vulfpeck",2016-10-17,229395,42,false,jackdutton8,2021-08-10T19:16:05Z,"funk,funk rock","Vulf Records",0.664,0.535,6,-9.685,0,0.0562,0.627,0.215,0.131,0.326,117.72,4
spotify:track:6CCIS8toYWbIKWlWwWqu1v,"Sara Smile","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,187933,41,false,jackdutton8,2021-08-10T19:16:46Z,"yacht rock,soft rock","RCA Records Label",0.606,0.325,2,-13.781,0,0.0646,0.562,0.000801,0.103,0.318,148.276,3
spotify:track:6OkzvCIvK69VDFHq1G2jhN,"Rich Girl","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,144973,42,false,jackdutton8,2021-08-10T19:16:47Z,"yacht rock,soft rock","RCA Records Label",0.582,0.55,5,-10.179,1,0.125,0.352,0,0.0466,0.759,167.178,4
