Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,jackdutton8,2022-05-02T02:15:10Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:46s0QoKKdS4B3RISGC5PmX,"Солдат","Пятница","5'nizza",2003,190040,0,false,jackdutton8,2022-05-02T02:15:10Z,"","Lavina Music",0.691,0.181,5,-10.926,0,0.105,0.662,0,0.1,0.71,134.605,4
spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,"Under Cover of Darkness","Angles","The Strokes",2011-03-21,235546,67,false,jackdutton8,2022-05-02T02:15:10Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,4
spotify:track:57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,76,false,jackdutton8,2022-05-02T02:15:10Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
spotify:track:2hnMS47jN0etwvFPzYk11f,"Santeria","Sublime","Sublime",1996-07-30,182746,82,false,jackdutton8,2022-05-02T02:15:10Z,"reggae rock,ska punk,ska","Gasoline Alley",0.682,0.765,1,-5.021,0,0.0395,0.0268,0.0000342,0.188,0.567,90.807,4
spotify:track:3xdjjKMcMOFgo1eQrfbogM,"Wagon Wheel","True Believers","Darius Rucker",2013-01-01,298373,79,false,jackdutton8,2022-05-02T02:15:10Z,"country","Capitol Records Nashville",0.535,0.66,9,-7.174,1,0.0297,0.455,0,0.135,0.577,148.044,4
spotify:track:1ko2lVN0vKGUl9zrU0qSlT,"Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.;Bill Withers",1985,438493,74,false,jackdutton8,2022-05-02T02:15:10Z,"soul jazz,smooth jazz,soul","Rhino/Elektra",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
spotify:track:7huuoVBXjskB8kLgdRU9zu,"True Sadness","True Sadness","The Avett Brothers",2016-06-24,275360,39,false,jackdutton8,2022-05-02T02:15:10Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.517,0.671,9,-3.787,1,0.0339,0.144,0.00000295,0.108,0.737,96.921,4
spotify:track:7hm4HTk9encxT0LYC0J6oI,"Someday","Is This It","The Strokes",2001-07-30,183440,67,false,jackdutton8,2022-05-02T02:15:10Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,4
spotify:track:3n69hLUdIsSa1WlRmjMZlW,"Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,71,false,jackdutton8,2022-05-02T02:15:10Z,"indie,indie rock","Canvasback/ATL",0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
