Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7huuoVBXjskB8kLgdRU9zu,"True Sadness","True Sadness","The Avett Brothers",2016-06-24,275360,39,false,jackdutton8,2021-11-29T16:41:53Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.517,0.671,9,-3.787,1,0.0339,0.144,0.00000295,0.108,0.737,96.921,4
spotify:track:0tphIis7POJMu00iqZ441a,"Divorce Separation Blues","True Sadness","The Avett Brothers",2016-06-24,296933,29,false,jackdutton8,2021-11-29T16:41:53Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.702,0.494,0,-7.053,1,0.0315,0.573,0,0.109,0.559,113.014,4
spotify:track:2qQCU22yQXKjhytKUBxa59,"Comfort Eagle","Comfort Eagle","CAKE",2001-07-24,220202,55,false,jackdutton8,2021-11-29T16:41:53Z,"alternative rock","Columbia",0.735,0.692,11,-9.671,1,0.0582,0.0932,0,0.217,0.894,120.99,4
spotify:track:2hnMS47jN0etwvFPzYk11f,"Santeria","Sublime","Sublime",1996-07-30,182746,82,false,jackdutton8,2021-11-29T16:41:53Z,"reggae rock,ska punk,ska","Gasoline Alley",0.682,0.765,1,-5.021,0,0.0395,0.0268,0.0000342,0.188,0.567,90.807,4
spotify:track:3xdjjKMcMOFgo1eQrfbogM,"Wagon Wheel","True Believers","Darius Rucker",2013-01-01,298373,79,false,jackdutton8,2021-11-29T16:41:53Z,"country","Capitol Records Nashville",0.535,0.66,9,-7.174,1,0.0297,0.455,0,0.135,0.577,148.044,4
spotify:track:3n69hLUdIsSa1WlRmjMZlW,"Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,71,false,jackdutton8,2021-11-29T16:41:53Z,"indie,indie rock","Canvasback/ATL",0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,4
spotify:track:46s0QoKKdS4B3RISGC5PmX,"Солдат","Пятница","5'nizza",2003,190040,0,false,jackdutton8,2021-11-29T16:41:53Z,"","Lavina Music",0.691,0.181,5,-10.926,0,0.105,0.662,0,0.1,0.71,134.605,4
spotify:track:5fcxVCOtfesNzI2n4Y4kiJ,"Jackson","Carryin' On With Johnny Cash And June Carter","Johnny Cash;June Carter Cash",1967-08-01,165826,64,false,jackdutton8,2021-11-29T16:41:53Z,"classic country,outlaw country,country","Columbia Nashville Legacy",0.741,0.615,0,-8.072,1,0.0358,0.519,0.000344,0.408,0.799,128.496,4
spotify:track:6RFkVsPmrM4pzlDkFswwJl,"God's Gonna Cut You Down","American V: A Hundred Highways","Johnny Cash",2006-01-01,158573,1,false,jackdutton8,2021-11-29T16:41:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.617,0.485,5,-8.227,0,0.115,0.868,0.0000344,0.115,0.845,82.228,4
spotify:track:28cnXtME493VX9NOw9cIUh,"Hurt","American IV: The Man Comes Around","Johnny Cash",2002-01-01,216533,75,false,jackdutton8,2021-11-29T16:41:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,4
spotify:track:3xkG5WXCnSYxastDq3pmKn,"Maneater","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,271960,45,false,jackdutton8,2021-11-29T16:41:53Z,"yacht rock,soft rock","RCA Records Label",0.65,0.493,11,-12.159,0,0.0473,0.0145,0.0000566,0.104,0.831,177.503,4
spotify:track:6vxHp3CDNo0afgKGp2yi1E,"Me and Julio Down by the Schoolyard","Paul Simon","Paul Simon",1972-01-14,164813,68,false,jackdutton8,2021-11-29T16:41:53Z,"singer-songwriter","Legacy Recordings",0.626,0.816,9,-10.593,1,0.131,0.237,0.0000018,0.104,0.798,105.307,4
spotify:track:1nMlHxWuPc5P9Y5nGvenlj,"I Wish I Was","True Sadness","The Avett Brothers",2016-06-24,316440,54,false,jackdutton8,2021-11-29T16:41:53Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.491,0.299,11,-8.86,1,0.0317,0.806,0,0.188,0.265,109.329,4
spotify:track:19n9s9SfnLtwPEODqk8KCT,"Live And Die","The Carpenter","The Avett Brothers",2012-01-01,271186,48,false,jackdutton8,2021-11-29T16:41:53Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.585,0.779,11,-5.083,1,0.0269,0.0827,0.00000177,0.151,0.58,118.015,4
spotify:track:6fIvjDuusQK59brMgHV9qb,"This","Charleston, SC 1966","Darius Rucker",2010-01-01,218866,57,false,jackdutton8,2021-11-29T16:41:53Z,"country","Capitol Nashville",0.625,0.826,4,-5.037,1,0.0325,0.121,0,0.158,0.699,99.919,4
spotify:track:37mfTcSlX60JtAvAETytGs,"Choke","Choke","I DONT KNOW HOW BUT THEY FOUND ME",2018-08-24,195717,66,false,jackdutton8,2021-11-29T16:41:53Z,"","Fearless Records",0.516,0.85,4,-3.909,0,0.0706,0.00139,0,0.296,0.583,120.324,4
spotify:track:1m4Ss4zDZ6w8sPUsjpBGcN,"Алёнка","Алёнка","Tima Belorusskih",2019-06-14,189870,39,false,jackdutton8,2021-11-29T16:41:53Z,"","Kaufman Label",0.694,0.691,11,-7.166,0,0.277,0.0646,0,0.188,0.582,146.022,4
spotify:track:3USxtqRwSYz57Ewm6wWRMp,"Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,87,false,jackdutton8,2021-11-29T16:41:53Z,"","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
spotify:track:5481Ng1rxw0kvXEuXtQmWI,"Satan Pulls The Strings","True Sadness","The Avett Brothers",2016-06-24,188186,31,false,jackdutton8,2021-11-29T16:41:53Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.555,0.895,9,-3.715,0,0.0682,0.00361,0.000289,0.0715,0.505,96.985,4
spotify:track:6CCIS8toYWbIKWlWwWqu1v,"Sara Smile","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,187933,41,false,jackdutton8,2021-11-29T16:41:53Z,"yacht rock,soft rock","RCA Records Label",0.606,0.325,2,-13.781,0,0.0646,0.562,0.000801,0.103,0.318,148.276,3
