Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:33WXUh74RZ4CEfUkpJwHWE,"Urantia","Ohms","Deftones",2020-09-25,270476,53,false,jackdutton8,2023-01-11T16:42:35Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Reprise",0.297,0.908,5,-3.173,0,0.0415,0.00000995,0.848,0.14,0.27,110.936,5
spotify:track:5XQPlP8yHnXz5qTjIZ10gC,"Error","Ohms","Deftones",2020-09-25,290339,51,false,jackdutton8,2023-01-11T16:42:35Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Reprise",0.247,0.994,7,-2.558,1,0.138,0.0000607,0.662,0.415,0.205,115.983,4
spotify:track:2KPwt7nNAiuVGbYgvQw4PO,"Used To Be","Used To Be","Sunfish",2022-03-24,205547,8,false,jackdutton8,2023-01-11T16:42:35Z,"","Sunfish",0.358,0.942,0,-4.583,1,0.16,0.00000935,0.000112,0.077,0.505,191.614,4
spotify:track:5ZVo2A6GUSBeK1q7EILZmp,"Black Cat","Black Cat","Sunfish",2021-03-05,151949,0,false,jackdutton8,2023-01-11T16:42:35Z,"","Sunfish",0.327,0.963,5,-5.338,0,0.101,0.00000685,0.000453,0.246,0.712,87.746,4
spotify:track:2oPSZuOD9e5ay2Y1W3MS83,"too late, too soon","AFROTHUNDA (The Soundtrack - Vol. 1)","King Youngblood",2022-10-28,218348,0,false,jackdutton8,2023-01-11T16:42:35Z,"alternative pop","DICE LAB",0.487,0.673,5,-10.961,1,0.0397,0.0445,0.00233,0.107,0.621,80.481,4
spotify:track:2cN7qiHMJflO91pkG9HoO1,"Dai the Flu","Around the Fur","Deftones",1997-10-27,276573,66,false,jackdutton8,2023-01-11T16:42:35Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Maverick",0.347,0.95,11,-4.561,1,0.0698,0.0000228,0.833,0.17,0.305,87.208,4
spotify:track:4dfvPFbLEa6JzZV4dZTWt7,"Headup","Around the Fur","Deftones",1997-10-27,372973,63,false,jackdutton8,2023-01-11T16:42:35Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Maverick",0.263,0.925,3,-5.299,1,0.118,0.000503,0.631,0.17,0.0722,105.253,4
spotify:track:0N7yGNvc6Oy2bAb4gM8euG,"Zero","Mellon Collie And The Infinite Sadness","The Smashing Pumpkins",1995-10-24,160466,0,false,jackdutton8,2023-01-11T16:42:35Z,"alternative rock,rock","Virgin Records",0.431,0.668,8,-8.22,1,0.0381,0.0000109,0.624,0.0754,0.759,127.702,4
spotify:track:2x5FYXo5rL4Phmn3UPdkK3,"Touch Me I'm Sick","Superfuzz Bigmuff (Deluxe Edition)","Mudhoney",1988-10-01,152706,50,false,jackdutton8,2023-01-11T16:42:35Z,"grunge,post-grunge,noise rock","Sub Pop Records",0.354,0.941,1,-6.984,1,0.0737,0.0000479,0.66,0.331,0.569,131.442,4
spotify:track:27mtEHKWjpvCWYz1XUXge5,"Coul as a Ghoul","Coul as a Ghoul","The Voidz",2018-05-01,161210,31,false,jackdutton8,2023-01-11T16:42:35Z,"","Cult Records/RCA Records",0.28,0.994,1,-0.283,1,0.36,0.000552,0.108,0.0834,0.659,194.252,4
spotify:track:33Mdiqg5G8TNeaKQHntgyU,"Radiant City","Ohms","Deftones",2020-09-25,215450,53,false,jackdutton8,2023-01-11T16:42:35Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Reprise",0.167,0.962,10,-2.538,1,0.103,0.00000225,0.888,0.0908,0.236,77.691,4
spotify:track:334dGM2YusM2XejQdldax2,"A History of Bad Men","A Senile Animal","Melvins",2006,402573,47,false,jackdutton8,2023-01-11T16:42:35Z,"sludge metal,grunge,stoner metal,stoner rock,doom metal,drone metal,noise rock,post-grunge","Ipecac Recordings",0.373,0.915,7,-5.836,1,0.136,0.00067,0.0267,0.0866,0.217,128.796,4
spotify:track:6FfMQVzOC46ZL5byOQfUhT,"Genesis","Ohms","Deftones",2020-09-25,317281,60,false,jackdutton8,2023-01-11T16:42:35Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Reprise",0.18,0.861,0,-3.935,0,0.0727,0.0000256,0.425,0.644,0.101,128.165,4
spotify:track:5O8L4I2S4izFGDjvP7xAKv,"You Know You're Right","Nirvana","Nirvana",2002-10-29,217000,70,false,jackdutton8,2023-01-11T16:42:35Z,"grunge,rock","Geffen",0.289,0.716,5,-6.53,0,0.106,0.0407,0.00123,0.135,0.344,168.049,4
spotify:track:6DU1WKdUnR7OZkw7BZl9P0,"Funeralopolis","Dopethrone","Electric Wizard",2006,523333,52,false,jackdutton8,2023-01-11T16:42:35Z,"stoner metal,sludge metal,doom metal,drone metal,drone","Rise Above Limited",0.0811,0.658,11,-6.804,1,0.051,0.0000141,0.903,0.111,0.251,62.825,4
spotify:track:5vVKkF3xih38Vcoo4HgAo8,"Engine No. 9","Adrenaline","Deftones",1995,204880,71,true,jackdutton8,2023-01-11T16:42:35Z,"nu metal,alternative metal,rap metal,shoegaze,rock","Rhino",0.358,0.981,2,-5.13,1,0.178,0.000093,0.000193,0.386,0.382,93.744,4
spotify:track:3iswCeOIVmvzM27TFOpnLQ,"Satanic Rites of Drugula","Witchcult Today","Electric Wizard",2007,365773,41,false,jackdutton8,2023-01-11T16:42:35Z,"stoner metal,sludge metal,doom metal,drone metal,drone","Rise Above Limited",0.185,0.793,9,-8.095,1,0.0513,0.00207,0.856,0.0828,0.162,128.174,3
spotify:track:5c6gkexa2eWCCBmEb0zXCZ,"My Name Is Mud","Pork Soda","Primus",1993-01-01,286933,63,false,jackdutton8,2023-01-11T16:42:35Z,"funk rock,alternative metal,alternative rock,nu metal","Interscope",0.714,0.869,11,-6.294,0,0.0565,0.00597,0.243,0.0959,0.439,98.511,4
spotify:track:4YugO7rO57FSmvj4UkyTXx,"The Day I Tried To Live","Superunknown (20th Anniversary)","Soundgarden",1994-03-09,320106,47,false,jackdutton8,2023-01-11T16:42:35Z,"grunge,post-grunge,hard rock","A&M",0.472,0.752,0,-6.051,1,0.0555,0.000164,0.181,0.0903,0.305,133.248,4
