Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1SHA4IJyiyNobDOrQzFFXy,"Animal Spirits","The Beautiful Game","Vulfpeck",2016-10-17,190801,53,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock","Vulf Records",0.753,0.713,1,-7.333,1,0.0539,0.156,0.0000959,0.0508,0.906,100.859,4
spotify:track:1oOD1pV43cV9sHg97aBdLs,"Dean Town","The Beautiful Game","Vulfpeck",2016-10-17,213302,55,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock","Vulf Records",0.796,0.608,11,-10.936,1,0.041,0.499,0.887,0.0979,0.907,108.756,4
spotify:track:5vmFVIJV9XN1l01YsFuKL3,"Conscious Club","The Beautiful Game","Vulfpeck",2016-10-17,200177,40,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock","Vulf Records",0.66,0.803,0,-7.618,1,0.116,0.202,0.0141,0.108,0.864,125.835,4
spotify:track:6ZyuNGpj7FQDT9vklQlmJA,"1 for 1, DiMaggio","The Beautiful Game","Vulfpeck",2016-10-17,189383,38,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock","Vulf Records",0.674,0.891,0,-6.879,1,0.102,0.254,0.0000263,0.408,0.788,120.67,4
spotify:track:6vzRQHItVGIT94q33HvRZx,"Aunt Leslie","The Beautiful Game","Vulfpeck",2016-10-17,229395,42,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock","Vulf Records",0.664,0.535,6,-9.685,0,0.0562,0.627,0.215,0.131,0.326,117.72,4
spotify:track:1L9qsoNnyT3r8fgr2Pr7Ty,"Cory Wong","The Beautiful Game","Vulfpeck",2016-10-17,246910,46,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock","Vulf Records",0.62,0.6,8,-9.192,1,0.138,0.0894,0.571,0.813,0.959,127.51,4
spotify:track:3uFp6gGgNMtSEmzx1cHTG4,"Half of the Way","Hill Climber","Vulfpeck;Theo Katzman",2018-12-07,196905,41,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock,retro soul","Vulf Records",0.689,0.73,2,-6.387,1,0.0766,0.0407,0,0.085,0.727,107.196,4
spotify:track:1FwFVKRNX1IV4eEZSGGg5M,"Darwin Derby","Hill Climber","Vulfpeck;Theo Katzman;Antwaun Stanley",2018-12-07,195419,41,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock,retro soul","Vulf Records",0.814,0.759,10,-6.43,1,0.0766,0.043,0,0.331,0.908,117.918,4
spotify:track:0QLMAhZQACGtzi11XZVa6A,"Lonely Town","Hill Climber","Vulfpeck;Theo Katzman",2018-12-07,174614,41,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock,retro soul","Vulf Records",0.908,0.644,7,-7.964,1,0.0429,0.065,0.00000303,0.123,0.96,100.401,4
spotify:track:59qmUODXmHXiWwvG8WdzEW,"Love Is a Beautiful Thing","Hill Climber","Vulfpeck;Theo Katzman;Monica Martin",2018-12-07,233314,42,false,jackdutton8,2022-01-08T01:34:30Z,"funk,funk rock,retro soul","Vulf Records",0.805,0.314,7,-11.009,1,0.0616,0.322,0.00000129,0.112,0.566,114.353,4
