Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0qdJUhXtk9u7sdSwfBB5XU,"Let Me Go","Prolonging the Magic","CAKE",1998-02-05,209693,54,false,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Volcano",0.772,0.641,9,-8.049,1,0.0455,0.0502,0.000365,0.0791,0.944,109.142,4
spotify:track:3OOFEF20WqtsUPcRbPY3L7,"Short Skirt / Long Jacket","Comfort Eagle","CAKE",2001-07-24,204128,66,false,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Columbia",0.771,0.809,2,-10.029,1,0.0461,0.003,0.0223,0.0252,0.886,120.038,4
spotify:track:7G6l2FtQyRhQgYgut2I6i8,"As Good As I Once Was","Honkytonk University","Toby Keith",2005-01-01,227840,74,false,jackdutton8,2026-02-15T04:49:59Z,"country,classic country","DreamWorks Nashville",0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.645,119.078,4
spotify:track:7zJi6HnUzxo2J4La1yTFj3,"Satan Is My Motor","Prolonging the Magic","CAKE",1998-02-05,192066,44,false,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Volcano",0.681,0.706,9,-8.359,1,0.0392,0.151,0.0000235,0.114,0.971,102.38,4
spotify:track:1xHQRQVnfefr7sxZNYTx0k,"Julia","Mt. Joy","Mt. Joy",2018-03-02,190453,64,false,jackdutton8,2026-02-15T04:49:59Z,"","Dualtone Music Group",0.586,0.412,5,-6.994,1,0.0262,0.681,0.0173,0.0741,0.474,81.934,4
spotify:track:178OI1A3qjROeFeh8lmNwW,"Traveller","Traveller","Chris Stapleton",2015-05-04,222413,74,false,jackdutton8,2026-02-15T04:49:59Z,"country,outlaw country","Mercury Nashville",0.543,0.75,2,-7.071,0,0.0282,0.0682,0.0166,0.125,0.758,88.107,4
spotify:track:2yxkvnyno37480Hv1wuAee,"Shadow Stabbing","Comfort Eagle","CAKE",2001-07-24,187257,48,false,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Columbia",0.83,0.479,4,-11.717,1,0.0496,0.0464,0.00000505,0.0953,0.81,130.779,4
spotify:track:2McT9smAArZgp6jKdLnL0X,"Mexico","Prolonging the Magic","CAKE",1998-02-05,206400,46,false,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Volcano",0.597,0.429,0,-9.916,1,0.0306,0.229,0.0279,0.0807,0.465,149.164,3
spotify:track:0M2qo3471lo6vo91qHM5Ub,"Goodnight Chicago","RKS","Rainbow Kitten Surprise",2015-04-25,231906,48,false,jackdutton8,2026-02-15T04:49:59Z,"","RKS Recordings",0.724,0.366,2,-12.484,1,0.0707,0.841,0.137,0.105,0.198,119.9,4
spotify:track:3SsGrCb1eaSpGhRDqPaTln,"Snowbank Blues","Waiting to Spill","The Backseat Lovers",2022-10-28,197746,65,false,jackdutton8,2026-02-15T04:49:59Z,"","Capitol Records",0.558,0.191,5,-11.519,1,0.0297,0.731,0.00027,0.127,0.226,95.712,4
spotify:track:7hm4HTk9encxT0LYC0J6oI,"Someday","Is This It","The Strokes",2001-07-30,183440,67,false,jackdutton8,2026-02-15T04:49:59Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,4
spotify:track:1gYNo6sCys1dJEIFcgqlYr,"Don't Look Back in Anger - Remastered","Time Flies... 1994-2009 (Remastered)","Oasis",2025-06-13,290640,68,false,jackdutton8,2026-02-15T04:49:59Z,"britpop,madchester","Big Brother",0.328,0.939,0,-3.011,1,0.0663,0.0685,0.00000325,0.108,0.288,162.972,4
spotify:track:4G8Eu3EDQZYhHPfJMFCv8V,"Sheep Go To Heaven","Prolonging the Magic","CAKE",1998-02-05,228093,50,false,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Volcano",0.639,0.679,4,-8.867,0,0.0401,0.0182,0.0000108,0.117,0.784,102.592,4
spotify:track:3FpKXPOG2FqB3QzmfafG1H,"My Old School","Countdown To Ecstasy","Steely Dan",1973-07-01,339281,59,false,jackdutton8,2026-02-15T04:49:59Z,"yacht rock,classic rock","Geffen",0.726,0.671,8,-9.852,1,0.0526,0.499,0.00841,0.0601,0.961,127.796,4
spotify:track:5qdQPrWmZv8xYhMJCDrdHF,"Heartache Medication","Heartache Medication","Jon Pardi",2019-09-27,209109,76,false,jackdutton8,2026-02-15T04:49:59Z,"country,acoustic country","Capitol Records Nashville",0.62,0.791,9,-3.343,1,0.0265,0.0361,0,0.143,0.734,95.075,4
spotify:track:59kHPbwyyCApYA8RQQEuXm,"Chattahoochee","A Lot About Livin' (And A Little 'Bout Love)","Alan Jackson",1992-10-09,148160,73,false,jackdutton8,2026-02-15T04:49:59Z,"country,country christian,classic country","Arista Nashville",0.606,0.706,0,-9.665,1,0.0379,0.362,0,0.16,0.819,174.533,4
spotify:track:4DHLopEsKDwQBgucGKJuzj,"Watch Your Mouth","When We Were Friends","The Backseat Lovers",2019-01-27,271176,63,false,jackdutton8,2026-02-15T04:49:59Z,"","The Backseat Lovers",0.566,0.375,2,-10.933,1,0.0288,0.394,0.0243,0.0971,0.244,87.891,4
spotify:track:60IGhnH20N82dNxKnc8jDd,"Knee Deep (feat. Jimmy Buffett)","You Get What You Give","Zac Brown Band;Jimmy Buffett",2010-09-20,203173,73,false,jackdutton8,2026-02-15T04:49:59Z,"country,acoustic country","Home Grown Music",0.715,0.584,8,-8.231,1,0.0296,0.432,0.00000141,0.095,0.609,90.99,4
spotify:track:1h9Bx0bcEIfiv31E2G58Hf,"Nugget","Fashion Nugget","CAKE",1996-09-17,238447,48,true,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Volcano",0.595,0.715,6,-8.315,1,0.031,0.0376,0.00203,0.12,0.849,95.701,4
spotify:track:1170VohRSx6GwE6QDCHPPH,"Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,78,false,jackdutton8,2026-02-15T04:49:59Z,"","The Backseat Lovers",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
spotify:track:2qQCU22yQXKjhytKUBxa59,"Comfort Eagle","Comfort Eagle","CAKE",2001-07-24,220202,55,false,jackdutton8,2026-02-15T04:49:59Z,"alternative rock","Columbia",0.735,0.692,11,-9.671,1,0.0582,0.0932,0,0.217,0.894,120.99,4
