Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ibpNcYxrstM16ehN7OwbK,"Stick Season","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,182346,57,false,jackdutton8,2023-09-02T04:41:37Z,"","Mercury Records/Republic Records",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
spotify:track:4O2rRsoSPb5aN7N3tG6Y3v,"Northern Attitude","Stick Season","Noah Kahan",2022-10-14,267256,82,true,jackdutton8,2023-09-02T04:41:41Z,"","Mercury Records/Republic Records",0.523,0.626,3,-8.214,1,0.047,0.119,0.0000329,0.107,0.323,121.291,4
spotify:track:7ByxizhA4GgEf7Sxomxhze,"All My Love","Stick Season","Noah Kahan",2022-10-14,251510,79,false,jackdutton8,2023-09-02T04:41:44Z,"","Mercury Records/Republic Records",0.666,0.665,2,-7.181,1,0.0534,0.309,0,0.0961,0.474,116.002,4
spotify:track:07UFnnK3uPIuKv5Rs9TmXl,"Orange Juice","Stick Season","Noah Kahan",2022-10-14,297103,79,false,jackdutton8,2023-09-02T04:41:48Z,"","Mercury Records/Republic Records",0.662,0.378,9,-10.908,1,0.0361,0.475,0.00000684,0.121,0.207,120.133,4
spotify:track:5jfhLCSIFUO4ndzNRh4w4G,"Burn, Burn, Burn","Burn, Burn, Burn","Zach Bryan",2022-09-08,268856,80,false,jackdutton8,2023-09-11T02:07:44Z,"country,red dirt","Warner Records",0.508,0.296,3,-10.513,1,0.0755,0.897,0.00005,0.11,0.134,82.532,4
spotify:track:7lNmcW2wW6ciV9Rhh8YOMe,"Something in the Orange - Z&E's Version","American Heartbreak","Zach Bryan",2022-05-20,254258,65,false,jackdutton8,2023-09-02T04:41:55Z,"country,red dirt","Warner Records",0.594,0.382,7,-5.432,1,0.0292,0.416,0,0.117,0.223,110.237,4
spotify:track:5S9hlmzNQwZuhynLfxZ8Lg,"Your Needs, My Needs","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,207880,68,false,jackdutton8,2023-09-02T04:42:11Z,"","Mercury Records/Republic Records",0.384,0.15,7,-12.128,1,0.0353,0.382,0.000071,0.104,0.252,135.383,5
spotify:track:0HEytGQM3bG1vKxER7IgVK,"Spotless (feat. The Lumineers)","Zach Bryan","Zach Bryan;The Lumineers",2023-08-25,169467,74,true,jackdutton8,2023-09-02T04:42:59Z,"country,red dirt,folk pop,indie folk","Warner Records",0.604,0.444,0,-7.695,1,0.0698,0.409,0,0.0837,0.169,72.129,4
spotify:track:00syWkRGIVQvYsg2OwfBUw,"East Side of Sorrow","Zach Bryan","Zach Bryan",2023-08-25,209320,75,true,jackdutton8,2023-09-02T04:43:07Z,"country,red dirt","Warner Records",0.408,0.607,10,-7.463,1,0.0391,0.236,0.0000802,0.0972,0.169,144.136,4
spotify:track:46dUiDTF3xDchz5lZ3T36s,"Loom","Elisabeth","Zach Bryan",2020-05-08,163531,63,true,jackdutton8,2023-09-02T04:43:21Z,"country,red dirt","Warner Records",0.614,0.218,3,-15.13,1,0.0652,0.85,0.00022,0.337,0.521,114.349,4
spotify:track:6N7FFwu2DQer3wB7rEmm6u,"From a Lover's Point of View","Elisabeth","Zach Bryan",2020-05-08,184500,57,true,jackdutton8,2023-09-02T04:43:24Z,"country,red dirt","Warner Records",0.676,0.1,5,-13.527,1,0.0519,0.882,0.00000547,0.142,0.411,77.99,4
spotify:track:75nZ4W6quZhI55LKiqCXWh,"By and By","By and By","Caamp",2019-07-26,280794,1,false,jackdutton8,2023-09-02T04:43:42Z,"indie folk,folk","Mom+Pop",0.584,0.474,9,-7.981,1,0.0258,0.796,0.00000269,0.115,0.332,101.457,4
