Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4DHLopEsKDwQBgucGKJuzj,"Watch Your Mouth","When We Were Friends","The Backseat Lovers",2019-01-27,271176,63,false,jackdutton8,2023-07-18T20:33:42Z,"","The Backseat Lovers",0.566,0.375,2,-10.933,1,0.0288,0.394,0.0243,0.0971,0.244,87.891,4
spotify:track:4MXE6VCvTsQitHWrAxj7Kg,"Maple Syrup","When We Were Friends","The Backseat Lovers",2019-01-27,243529,71,false,jackdutton8,2023-07-18T20:33:45Z,"","The Backseat Lovers",0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153,3
spotify:track:1170VohRSx6GwE6QDCHPPH,"Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,78,false,jackdutton8,2023-07-18T20:33:56Z,"","The Backseat Lovers",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
spotify:track:75nZ4W6quZhI55LKiqCXWh,"By and By","By and By","Caamp",2019-07-26,280794,1,false,jackdutton8,2023-07-18T20:34:12Z,"indie folk,folk","Mom+Pop",0.584,0.474,9,-7.981,1,0.0258,0.796,0.00000269,0.115,0.332,101.457,4
spotify:track:1N811YTtLlW8N5ie5cPamm,"26","26","Caamp",2018-03-09,235415,4,false,jackdutton8,2023-07-18T20:34:19Z,"indie folk,folk","Caamp",0.494,0.341,2,-12.501,1,0.0495,0.662,0.000571,0.0673,0.394,171.21,4
spotify:track:14e46mURUUwB3i2vTe1gFz,"Astrovan","Mt. Joy","Mt. Joy",2018-03-02,186133,0,false,jackdutton8,2023-07-18T20:34:29Z,"","Dualtone Music Group, Inc.",0.547,0.444,3,-9.4,1,0.0386,0.867,0,0.134,0.62,169.923,4
spotify:track:0LO7f7ZJg871B8hLTRzrfB,"Julia","Mt. Joy","Mt. Joy",2018-03-02,190453,0,false,jackdutton8,2023-07-18T20:34:43Z,"","Dualtone Music Group, Inc.",0.586,0.412,5,-6.994,1,0.0262,0.681,0.0173,0.0741,0.474,81.934,4
spotify:track:7yJbLez2ieMI2PBybVp8Nu,"Peach Fuzz","By and By","Caamp",2019-07-26,224360,0,false,jackdutton8,2023-07-18T20:34:52Z,"indie folk,folk","Mom+Pop",0.709,0.644,1,-7.751,1,0.0356,0.158,0.000299,0.143,0.912,127.286,4
spotify:track:03xNUQYx0Mb7Sdsq0YcZgY,"At the Beach","Mignonette","The Avett Brothers",2004-07-27,249173,37,false,jackdutton8,2023-07-18T20:35:04Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.563,0.756,7,-7.916,1,0.0565,0.37,0.0000155,0.114,0.624,105.121,4
spotify:track:3S2hf80dIHHzyXP5zK66f1,"Will You Return","Emotionalism (Bonus Track Version)","The Avett Brothers",2007-05-15,166346,35,false,jackdutton8,2023-07-18T20:35:15Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.58,0.867,3,-4.881,1,0.0353,0.638,0.0000311,0.0602,0.965,147.031,4
spotify:track:2HK5MzOuCmkJQlJYGCQpUU,"Die Die Die","Emotionalism (Bonus Track Version)","The Avett Brothers",2007-05-15,170866,34,false,jackdutton8,2023-07-18T20:35:18Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.531,0.702,8,-5.309,1,0.0303,0.132,0,0.105,0.767,118.794,4
spotify:track:3G87VjDnNPFBN0m97qYIea,"Paranoia in B Major","Emotionalism (Bonus Track Version)","The Avett Brothers",2007-05-15,217840,39,false,jackdutton8,2023-07-18T20:35:30Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.54,0.556,10,-6.822,1,0.0423,0.232,0.00000775,0.143,0.386,123.361,4
spotify:track:36lV4io8Gc69fDinNaazAg,"The Weight of Lies","Emotionalism (Bonus Track Version)","The Avett Brothers",2007-05-15,269680,43,false,jackdutton8,2023-07-18T20:35:34Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.591,0.411,9,-7.496,1,0.0299,0.713,0,0.115,0.454,153.616,4
spotify:track:3HtiROqXi9SqQgBKtVBMm8,"November Blue","Country Was","The Avett Brothers",2002,267013,37,false,jackdutton8,2023-07-18T20:35:34Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.442,0.616,0,-7.228,1,0.029,0.5,0,0.373,0.257,91.003,4
spotify:track:1aRvUHgMe9ichgcHAAs12f,"Nellie","B-Room (Deluxe Edition)","Dr. Dog",2013-10-01,217613,58,false,jackdutton8,2023-07-18T20:36:02Z,"","Anti/Epitaph",0.506,0.526,4,-9.936,1,0.0285,0.334,0.000539,0.0907,0.591,129.641,4
spotify:track:64TjzuxG5PJ7payjphrOC0,"South","South - Single","Hippo Campus",2015-08-03,231468,0,false,jackdutton8,2023-07-18T20:36:09Z,"","Grand Jury Music",0.532,0.548,1,-6.521,1,0.0291,0.174,0.0033,0.108,0.443,130.114,4
spotify:track:6Et9MYUuK2OkYE3ce2F0oK,"Going Gets Tough","Chinese Fountain","The Growlers",2014-09-23,208613,58,false,jackdutton8,2023-07-18T20:36:26Z,"surf rock","Everloving Records",0.501,0.769,8,-6.257,1,0.0326,0.225,0,0.109,0.737,162.047,4
spotify:track:1jRUUth3iAmmlSFA174YxZ,"Just a Boy","Just a Boy","The Backseat Lovers",2019-09-25,250942,59,false,jackdutton8,2023-07-18T20:37:07Z,"","The Backseat Lovers",0.59,0.532,4,-7.094,1,0.0282,0.00236,0.0000316,0.136,0.304,92.901,4
spotify:track:0mflMxspEfB0VbI1kyLiAv,"Stick Season","Stick Season","Noah Kahan",2022-10-14,182346,86,false,jackdutton8,2023-07-18T20:37:36Z,"","Mercury Records/Republic Records",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
spotify:track:07UFnnK3uPIuKv5Rs9TmXl,"Orange Juice","Stick Season","Noah Kahan",2022-10-14,297103,79,false,jackdutton8,2023-07-18T20:37:48Z,"","Mercury Records/Republic Records",0.662,0.378,9,-10.908,1,0.0361,0.475,0.00000684,0.121,0.207,120.133,4
spotify:track:2fEcMBdl3BUmPclvQKSBfV,"Sheep","Mt. Joy","Mt. Joy",2018-03-02,223866,0,false,jackdutton8,2023-07-18T20:38:39Z,"","Dualtone Music Group, Inc.",0.509,0.449,1,-8.403,1,0.0714,0.458,0.00000106,0.0824,0.318,158.998,4
spotify:track:436bx0eHJS5DPgIyfsDU31,"Hold On","Boys & Girls (Deluxe Edition)","Alabama Shakes",2022-12-09,226186,0,false,jackdutton8,2023-07-18T20:39:24Z,"","ATO Records",0.575,0.666,5,-5.425,1,0.0301,0.206,0.341,0.0852,0.546,88.311,4
spotify:track:6ckUX8cgcqjoNGTd2A2Pvd,"Always Alright","Always Alright","Alabama Shakes",2013-12-12,249169,61,true,jackdutton8,2023-07-18T20:39:35Z,"","ATO Records",0.693,0.62,9,-6.509,1,0.0424,0.784,0.844,0.112,0.571,106.346,4
spotify:track:5ypWqYw34KK2BggUh4iSvP,"We Intertwined","Like Vines","The Hush Sound",2006-06-05,197520,41,false,jackdutton8,2023-07-18T20:40:13Z,"baroque pop","Decaydance Records / Fueled By Ramen",0.642,0.683,8,-6.577,1,0.0264,0.0608,0.00000127,0.147,0.704,96.517,4
spotify:track:3fMxeVaHO93ENmGJtNwpfm,"Sweet Tangerine","Like Vines","The Hush Sound",2006-06-05,183226,45,false,jackdutton8,2023-07-18T20:40:19Z,"baroque pop","Decaydance Records / Fueled By Ramen",0.546,0.851,0,-5.402,1,0.0367,0.169,0,0.334,0.751,144.007,4
spotify:track:1g3hJAu22j2gINrSTSpwp0,"Johnson Song","Orange Blood","Mt. Joy",2022-06-17,223626,46,false,jackdutton8,2023-07-18T20:41:02Z,"","Island Records",0.626,0.62,8,-8.067,1,0.0302,0.156,0.668,0.135,0.869,136.046,4
spotify:track:2bUyKAHjQ58o6gQNh5uyf1,"Evergreen","Orange Blood","Mt. Joy",2022-06-17,171240,43,false,jackdutton8,2023-07-18T20:41:16Z,"","Island Records",0.403,0.882,7,-7.265,1,0.119,0.326,0.00101,0.298,0.503,161.09,4
spotify:track:5S9hlmzNQwZuhynLfxZ8Lg,"Your Needs, My Needs","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,207880,68,false,jackdutton8,2023-07-18T20:42:28Z,"","Mercury Records/Republic Records",0.384,0.15,7,-12.128,1,0.0353,0.382,0.000071,0.104,0.252,135.383,5
spotify:track:6H96yLcXFKuBYTFEEi4Vl2,"Willy's Song","Feathers & Fishhooks","Rayland Baxter",2012-08-28,223546,48,false,jackdutton8,2023-07-18T20:42:40Z,"southern gothic","ATO Records",0.498,0.512,1,-8.201,0,0.053,0.519,0,0.106,0.491,166.926,4
spotify:track:0AJQjFdtEEr0rVoCGauYRU,"Lemon Tree","Orange Blood","Mt. Joy",2022-06-17,248560,52,false,jackdutton8,2023-07-18T20:42:43Z,"","Island Records",0.364,0.75,10,-9.338,1,0.0865,0.575,0.428,0.254,0.498,120.947,4
spotify:track:7qB3O5pjTCpuEpW98jrRHD,"Apple Tree Blues","Lavender Days","Caamp",2022-06-24,212680,29,false,jackdutton8,2023-07-18T20:42:48Z,"indie folk,folk","Mom+Pop",0.537,0.649,8,-10.932,1,0.0308,0.515,0.0641,0.119,0.737,173.027,4
spotify:track:2uL6H4ShIUYyu7FL0fRvsg,"Miracle Mile","Good For You","Houndmouth",2021-11-05,188240,0,false,jackdutton8,2023-07-18T20:42:52Z,"","Dualtone Music Group, Inc.",0.775,0.564,6,-9.41,1,0.0435,0.123,0.00151,0.11,0.267,142.036,4
spotify:track:5kBYMymc2d3h164QqEHwRL,"Small Talk","Indiana","Briston Maroney",2019-05-17,198808,62,false,jackdutton8,2023-07-18T20:42:54Z,"","Canvasback/ATL",0.613,0.64,0,-7.637,1,0.0338,0.286,0,0.15,0.441,129.853,4
spotify:track:3MODES4TNtygekLl146Dxd,"Ramble On - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,263333,69,false,jackdutton8,2023-07-18T20:43:07Z,"classic rock,rock,hard rock,rock and roll","Rhino Atlantic",0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,4
spotify:track:2Lk8XTulavagQOrYqFpGB8,"Dust in a Baggie","Billy Strings - EP","Billy Strings",2016-06-10,174173,61,false,jackdutton8,2023-07-18T20:44:18Z,"bluegrass,newgrass,jam band,americana","Billy Strings",0.519,0.776,7,-7.051,1,0.0309,0.252,0.0000292,0.157,0.653,137.29,4
spotify:track:4eLn7z31zqzEdlKSgesohf,"Good People","In Between Dreams","Jack Johnson",2005-01-01,208506,65,false,jackdutton8,2023-07-18T20:45:07Z,"surf rock","Jack Johnson",0.72,0.586,11,-6.001,1,0.035,0.215,0.0000223,0.0919,0.908,176.137,4
spotify:track:70gbuMqwNBE2Y5rkQJE9By,"Going to California - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,212160,69,false,jackdutton8,2023-07-18T20:46:05Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,4
spotify:track:44Pi53Mdt0Bl5SPejqJljj,"Huckleberry Love","By and By","Caamp",2019-07-26,267160,0,false,jackdutton8,2023-07-18T20:46:40Z,"indie folk,folk","Mom+Pop",0.551,0.636,6,-8.773,1,0.0293,0.493,0.175,0.144,0.829,128.459,4
spotify:track:2MQhTbX792AT6YyzwLz9dt,"Sedona","Little Neon Limelight","Houndmouth",2015-03-17,239880,66,false,jackdutton8,2023-07-28T02:42:45Z,"","Rough Trade",0.394,0.654,3,-8.243,1,0.0346,0.0404,0.0000696,0.112,0.264,135.188,4
spotify:track:2TmqE1B16v0H6BLbBz38ob,"Darlin'","Little Neon Limelight","Houndmouth",2015-03-17,258480,53,false,jackdutton8,2023-07-28T02:42:51Z,"","Rough Trade",0.471,0.322,3,-8.731,1,0.0295,0.285,0.0252,0.0995,0.308,116.754,3
spotify:track:6J5s4zugz7DxSgAWHKtmfV,"On the Road","From the Hills Below the City","Houndmouth",2013-06-04,146093,36,false,jackdutton8,2023-07-28T02:42:53Z,"","Rough Trade",0.394,0.59,0,-7.154,1,0.0559,0.165,0.00000277,0.0743,0.689,176.977,4
spotify:track:4OI5eRrBb1awJfj7qQWQmT,"Casino (Bad Things)","From the Hills Below the City","Houndmouth",2013-06-04,160013,38,false,jackdutton8,2023-07-28T02:43:01Z,"","Rough Trade",0.502,0.616,8,-4.944,1,0.0294,0.0748,0,0.0858,0.666,77.686,4
spotify:track:3XtW744bgyQw3Squzk1MnO,"Black Gold","Little Neon Limelight","Houndmouth",2015-03-17,220613,37,false,jackdutton8,2023-07-28T02:43:29Z,"","Rough Trade",0.397,0.539,3,-6.592,1,0.0452,0.133,0.000018,0.234,0.48,150.885,4
spotify:track:19f19ggGqadnXGDcsKkX9z,"Comin' Round Again","From the Hills Below the City","Houndmouth",2013-06-04,219800,45,false,jackdutton8,2023-07-28T02:43:48Z,"","Rough Trade",0.359,0.563,6,-5.437,1,0.0306,0.0219,0.000321,0.0989,0.55,141.085,4
spotify:track:0i5QVxsK3IvEDbUjTA64Li,"Silver Lining","Mt. Joy","Mt. Joy",2018-03-02,198600,3,false,jackdutton8,2023-07-28T02:44:30Z,"","Dualtone Music Group, Inc.",0.543,0.616,0,-6.53,1,0.0282,0.00116,0.00000102,0.151,0.199,144.216,4
