Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0fCwTrRNfoNk962ati8n2K,"All Your'n","Country Squire","Tyler Childers",2019-08-02,218290,78,false,jackdutton8,2023-09-16T01:37:01Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.585,0.55,11,-7.342,1,0.0255,0.408,0.0000397,0.115,0.839,78.176,4
spotify:track:2tgQaL85WoRfgEa4hFQgrE,"Feathered Indians","Purgatory","Tyler Childers",2017-08-04,224946,80,true,jackdutton8,2023-09-16T01:37:03Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,4
spotify:track:1XcxubL4Y4U4gxLeIbb8VM,"Tattoos","Purgatory","Tyler Childers",2017-08-04,203360,67,false,jackdutton8,2023-09-16T01:37:59Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.333,0.457,9,-7.295,1,0.0307,0.241,0.0399,0.16,0.279,172.143,4
spotify:track:2UikqkwBv7aIvlixeVXHWt,"You Should Probably Leave","Starting Over","Chris Stapleton",2020-11-13,213493,84,false,jackdutton8,2023-09-16T01:38:18Z,"country,outlaw country","Mercury Nashville",0.602,0.477,9,-8.425,1,0.032,0.268,0.000031,0.173,0.552,183.89,4
spotify:track:2Dct3GykKZ58hpWRFfe2Qd,"Heading South","Heading South","Zach Bryan",2019-09-30,171692,79,true,jackdutton8,2023-09-16T01:38:35Z,"country,red dirt","Warner Records",0.68,0.246,4,-14.112,1,0.058,0.783,0,0.106,0.388,110.23,4
spotify:track:3Kj2EWpIBnvETsYq4cq0IH,"Big Black Car","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,217466,74,false,jackdutton8,2023-09-16T01:38:59Z,"indie folk,folk,folk pop","Suitcase Town Music",0.6,0.186,3,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,4
spotify:track:6JLDtbLnwXylINj16yAtPp,"You Should've Seen The Other Guy","In Memory Of Loss (Deluxe Edition)","Nathaniel Rateliff",2017-05-19,181283,53,false,jackdutton8,2023-09-16T01:40:15Z,"indie folk,americana","Fantasy Records",0.6,0.424,0,-8.975,1,0.0358,0.432,0.000005,0.111,0.384,79.119,4
spotify:track:27ytYULTu6QSZBhGaOKq9i,"I Am California","No Rain, No Rose","John Craigie;Gregory Alan Isakov",2017-01-27,313078,54,false,jackdutton8,2023-09-16T01:40:49Z,"indie folk,folk,folk pop","Zabriskie Point Records",0.455,0.172,3,-10.265,1,0.0307,0.236,0.0013,0.102,0.189,118.161,3
spotify:track:58qd3nuwT6pse9UpUojZIQ,"Misty","Misty","Caamp",2016-12-02,224445,0,false,jackdutton8,2023-09-16T01:41:00Z,"indie folk,folk","Caamp",0.596,0.403,10,-7.961,1,0.0271,0.714,0.00371,0.111,0.246,95.051,4
spotify:track:6r5wPqo3Vqba69YZqO5706,"Nomads","Asterisk The Universe","John Craigie",2020-06-12,337846,0,false,jackdutton8,2023-09-16T01:41:09Z,"","ZABRISKIE POINT RECORDS",0.585,0.452,3,-7.507,1,0.0235,0.76,0.00000624,0.36,0.407,84.119,4
