Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6T4eTkoARLnJIzWjAtyQe0,"By and By","By and By","Caamp",2019-07-26,280794,70,false,jackdutton8,2025-09-03T14:07:56Z,"indie folk,folk","Mom+Pop",0.583,0.474,9,-7.981,1,0.0258,0.794,0.00000299,0.115,0.333,101.43,4
spotify:track:6n7Aj8Ok0kyktLxFjcUreo,"Old Ties and Companions","Such Jubilee","Watchhouse",2015-05-05,188946,58,false,jackdutton8,2025-09-03T14:07:58Z,"bluegrass,americana,newgrass,folk","Yep Roc Records",0.657,0.368,7,-9.978,1,0.0281,0.884,0.00293,0.109,0.522,116.221,4
spotify:track:1oWnDC5OoMPPosVY2cdXgT,"Lavender Girl","Lavender Days","Caamp",2022-06-24,203546,36,false,jackdutton8,2025-09-03T14:08:01Z,"indie folk,folk","Mom+Pop",0.716,0.735,11,-7.062,1,0.0272,0.341,0.000134,0.0969,0.694,124.001,4
spotify:track:6CMZpGjFK2thtrj38lO0Lc,"26","26","Caamp",2018-03-09,235415,67,false,jackdutton8,2025-09-03T14:08:03Z,"indie folk,folk","Caamp",0.494,0.342,2,-12.501,1,0.0497,0.662,0.000571,0.0673,0.395,171.21,4
spotify:track:1plx5rV7lcSGr0sbBrO37N,"Iffy","Caamp","Caamp",2016-03-08,236348,55,false,jackdutton8,2025-09-03T14:08:08Z,"indie folk,folk","Caamp",0.515,0.294,10,-10.754,1,0.0374,0.793,0.00000834,0.367,0.302,92.829,4
spotify:track:3gBCDuoNqvJrBxphIAbxtz,"Cavalry","This Side of Jordan","Watchhouse",2013-08-20,196493,51,false,jackdutton8,2025-09-03T14:08:15Z,"bluegrass,americana,newgrass,folk","Yep Roc Records",0.48,0.273,2,-11.045,1,0.0319,0.913,0.000135,0.0911,0.438,124.238,4
spotify:track:6JLDtbLnwXylINj16yAtPp,"You Should've Seen The Other Guy","In Memory Of Loss (Deluxe Edition)","Nathaniel Rateliff",2017-05-19,181283,53,false,jackdutton8,2025-09-03T14:08:18Z,"indie folk,americana","Fantasy Records",0.6,0.424,0,-8.975,1,0.0358,0.432,0.000005,0.111,0.384,79.119,4
spotify:track:4nXmBb2s8Mmkq2hGskHxiq,"Still Out There Running","Tearing At The Seams","Nathaniel Rateliff & The Night Sweats",2018-03-09,293066,54,false,jackdutton8,2025-09-03T14:08:32Z,"","Stax",0.728,0.436,4,-11.568,1,0.0362,0.728,0.000169,0.146,0.378,108.017,4
spotify:track:4OkKz8LhKo846kN3nncNZs,"Golden Embers","Tides of a Teardrop","Watchhouse",2019-02-01,285786,56,false,jackdutton8,2025-09-03T14:08:40Z,"bluegrass,americana,newgrass,folk","Yep Roc Records",0.653,0.169,2,-16.26,1,0.032,0.867,0.00505,0.113,0.319,118.992,4
spotify:track:5L7IgwUPhir2FJftGNXJDW,"Heart","Mary (b-sides)","Rainbow Kitten Surprise",2019-05-10,219696,59,false,jackdutton8,2025-09-03T14:08:49Z,"","Elektra (NEK)",0.632,0.556,1,-8.851,1,0.12,0.721,0,0.0995,0.385,78.603,4
