Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ne9wOtDF2jM6Cm8WBkaER,"Rocky Mountain High","Rocky Mountain High","John Denver",1972-09-15,285797,68,false,jackdutton8,2023-10-14T19:02:58Z,"folk","RCA/Legacy",0.455,0.437,4,-11.411,1,0.0278,0.314,0,0.501,0.724,81.396,4
spotify:track:1oht5GevPN9t1T3kG1m1GO,"Fire and Rain - 2019 Remaster","Sweet Baby James (2019 Remaster)","James Taylor",1970-02-01,203613,70,false,jackdutton8,2023-10-14T19:03:03Z,"folk rock,singer-songwriter,soft rock","Rhino/Warner Records",0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,4
spotify:track:17PXXzOygMyXXUNLngVN5u,"Sweet Baby James - 2019 Remaster","Sweet Baby James (2019 Remaster)","James Taylor",1970-02-01,173733,58,false,jackdutton8,2023-10-14T19:03:14Z,"folk rock,singer-songwriter,soft rock","Rhino/Warner Records",0.539,0.114,2,-20.575,1,0.0346,0.882,0.00902,0.106,0.608,141.378,3
spotify:track:4J0DbyODwZJcmIAiTSJfMF,"Annie's Song","Back Home Again","John Denver",1974-06-15,180693,70,false,jackdutton8,2023-10-14T20:00:57Z,"folk","RCA/Legacy",0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,3
spotify:track:40h65HAR8COEoqkMwUUQHu,"Peaceful Easy Feeling - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,257962,69,false,jackdutton8,2023-10-14T20:01:12Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,4
spotify:track:0mLoTgCB8oU0sJGojRtvDu,"Gentle On My Mind - Remastered 2001","Gentle On My Mind (Remastered)","Glen Campbell",1967,178626,62,false,jackdutton8,2023-10-14T20:01:32Z,"classic country","Capitol Nashville",0.597,0.415,3,-13.799,1,0.0323,0.189,0,0.123,0.826,108.987,4
spotify:track:2T5Ch09nefwckOu5NQvjIk,"Carolina in My Mind","Greatest Hits","James Taylor",1976,238573,68,false,jackdutton8,2023-10-14T20:01:40Z,"folk rock,singer-songwriter,soft rock","Rhino/Warner Records",0.579,0.267,4,-15.11,1,0.0348,0.118,0.000562,0.132,0.353,74.899,4
spotify:track:3NJzkMApQqAudLSgYb5Bz2,"Operator (That's Not the Way It Feels)","You Don't Mess Around With Jim","Jim Croce",1972-04-01,230213,0,false,jackdutton8,2023-10-14T20:01:52Z,"folk rock,singer-songwriter","R2M",0.687,0.453,7,-11.649,1,0.0335,0.765,0.00000849,0.0897,0.83,129.987,4
spotify:track:0ju1jP0cSPJ8tmojYBEI89,"Danny's Song","The Best: Loggins & Messina Sittin' In Again","Loggins & Messina",1971,254653,61,false,jackdutton8,2023-10-14T20:02:11Z,"yacht rock","Columbia/Legacy",0.505,0.258,11,-12.193,0,0.0297,0.805,0,0.12,0.641,141.003,4
spotify:track:2Pr1nZpt8A8WP7QYpyq6L3,"Wildflowers","Wildflowers","Tom Petty",1994,190320,66,false,jackdutton8,2023-10-14T20:03:05Z,"classic rock","143/Warner Records",0.537,0.315,5,-13.79,1,0.0271,0.588,0.0000229,0.206,0.575,86.813,4
spotify:track:3m8lTUL5GxGUNSaycI77ND,"Sunshine On My Shoulders","Poems, Prayers and Promises","John Denver",1971,316015,60,false,jackdutton8,2023-10-14T20:03:11Z,"folk","RCA/Legacy",0.322,0.168,10,-13.893,1,0.0336,0.915,0.000223,0.117,0.259,146.68,4
spotify:track:1ydNrg5m64qFjNZA4rGx8m,"Poems, Prayers and Promises","Poems, Prayers and Promises","John Denver",1971,248497,50,false,jackdutton8,2023-10-14T20:03:17Z,"folk","RCA/Legacy",0.566,0.182,2,-13.261,1,0.0375,0.884,0,0.0978,0.492,145.014,4
spotify:track:79nVe5k5uP8UyJ37Tpxiwg,"This Old Guitar","Back Home Again","John Denver",1974-06-15,170586,46,false,jackdutton8,2023-10-14T20:03:26Z,"folk","RCA/Legacy",0.479,0.103,2,-15.244,1,0.0375,0.943,0.000474,0.111,0.52,134.286,4
spotify:track:6V9VCm1zOY2lGR80RehJ9i,"Wichita Lineman - Remastered 2001","Wichita Lineman (Remastered)","Glen Campbell",1968,186200,63,false,jackdutton8,2023-10-14T20:04:24Z,"classic country","Capitol Nashville",0.192,0.392,5,-11.667,1,0.0327,0.326,0.000199,0.248,0.392,172.312,4
spotify:track:0SjnBEHZVXgCKvOrpvzL2k,"Sundown","Sundown","Gordon Lightfoot",1974,213400,72,false,jackdutton8,2023-10-14T20:04:34Z,"folk rock,folk,singer-songwriter,yacht rock","Rhino/Warner Records",0.794,0.427,11,-15.492,1,0.029,0.334,0.0000104,0.0703,0.751,105.732,4
spotify:track:1tZKsxgKebVQX9s6oiojG9,"By The Time I Get To Phoenix - Remastered 2001","By The Time I Get To Phoenix (Remastered)","Glen Campbell",1967,164200,52,false,jackdutton8,2023-10-14T20:04:44Z,"classic country","Capitol Nashville",0.218,0.336,5,-12.997,1,0.0301,0.0736,0.00000161,0.134,0.231,176.648,4
spotify:track:57ct8jKi6trntXiRV0NnXi,"If You Could Read My Mind","If You Could Read My Mind","Gordon Lightfoot",1970,228840,70,false,jackdutton8,2023-10-14T20:04:53Z,"folk rock,folk,singer-songwriter,yacht rock","143/Warner Records",0.612,0.24,9,-12.821,1,0.033,0.745,0.0000786,0.115,0.223,122.565,4
spotify:track:29HaKOpeLSYvqdFyEQSRdj,"Teach Your Children","Deja Vu","Crosby, Stills, Nash & Young",1970-03-11,173466,64,false,jackdutton8,2024-01-30T01:51:18Z,"folk rock,classic rock","Rhino Atlantic",0.497,0.285,2,-14.537,1,0.0264,0.643,0.0000169,0.389,0.667,154.707,4
spotify:track:7kWPh7dvoyJ0frnnZzxZPj,"I’ll Have to Say I Love You in a Song","I Got a Name","Jim Croce",1973-12-01,154626,65,false,jackdutton8,2024-01-30T01:51:20Z,"folk rock,singer-songwriter","R2M",0.537,0.447,9,-14.978,1,0.029,0.834,0.0101,0.107,0.717,133.794,4
spotify:track:5M1gX3DQvgc7GI6dBWX9FL,"Early Morning Rain","Gord's Gold","Gordon Lightfoot",1975,198066,57,false,jackdutton8,2024-01-30T01:51:39Z,"folk rock,folk,singer-songwriter,yacht rock","Rhino/Warner Records",0.478,0.272,5,-16.161,1,0.03,0.497,0.0000191,0.124,0.715,105.441,4
spotify:track:536L9C0N7vhYdibCJx3cI2,"The Wreck of the Edmund Fitzgerald","Summertime Dream","Gordon Lightfoot",1976,389280,68,false,jackdutton8,2024-02-27T01:00:25Z,"folk rock,folk,singer-songwriter,yacht rock","Rhino/Warner Records",0.308,0.376,4,-15.24,1,0.0626,0.116,0.00000252,0.166,0.158,186.047,3
spotify:track:59EupkPF0AA5nu0qDo5FlK,"Carefree Highway","Sundown","Gordon Lightfoot",1974,222133,60,false,jackdutton8,2024-05-10T18:10:03Z,"folk rock,folk,singer-songwriter,yacht rock","Rhino/Warner Records",0.538,0.346,4,-14.403,1,0.0252,0.466,0.0000124,0.0929,0.459,85.031,4
spotify:track:1y4fbtHSJLqpaQXduQw88e,"Walkin’ Back to Georgia","You Don't Mess Around With Jim","Jim Croce",1972-04-01,171853,61,false,jackdutton8,2024-05-10T18:10:06Z,"folk rock,singer-songwriter","R2M",0.681,0.312,6,-16.173,0,0.0452,0.816,0.000619,0.0935,0.789,128.094,4
spotify:track:34FWzxRaGdAZyGQz0krlHF,"Amie","Bustin' Out","Pure Prairie League",1972,259426,60,false,jackdutton8,2024-05-10T18:10:14Z,"southern rock,country rock,yacht rock,soft rock","RCA Records Label",0.372,0.346,9,-15.268,1,0.0331,0.374,0,0.126,0.442,176.964,4
spotify:track:4UEgKxYLP0bPG6EwD0DgYK,"I Got a Name - Stereo Version","I Got a Name","Jim Croce",1973-12-01,194493,67,false,jackdutton8,2024-05-10T18:10:16Z,"folk rock,singer-songwriter","R2M",0.554,0.651,4,-11.625,1,0.0414,0.811,0.0000157,0.115,0.652,86.993,4
spotify:track:2r3XNMon9K7bl2KTtHsaQO,"Bad, Bad Leroy Brown","Life & Times","Jim Croce",1973-07-01,179466,69,false,jackdutton8,2024-05-10T18:10:18Z,"folk rock,singer-songwriter","R2M",0.698,0.675,7,-10.742,1,0.04,0.709,0,0.0782,0.853,148.063,4
spotify:track:0hS2EF1YErlHBS5c97iGxi,"Leaving on a Jet Plane","Rhymes & Reasons","John Denver",1969-10-14,217026,49,false,jackdutton8,2024-05-30T02:11:09Z,"folk","RCA/Legacy",0.486,0.279,7,-12.263,1,0.0307,0.676,0,0.141,0.469,132.939,4
spotify:track:4d0d2llNcQIHmaCgYTrODQ,"Peace Train - Remastered 2021","Teaser And The Firecat (Remastered 2021)","Yusuf / Cat Stevens",1971-10-01,253293,68,false,jackdutton8,2024-06-16T17:54:13Z,"folk rock,folk,singer-songwriter","UMC (Universal Music Catalogue)",0.594,0.682,0,-8.858,1,0.0487,0.051,0.0000456,0.0919,0.76,82.487,4
spotify:track:2nvcTDmZkRWKNMAL29sLHo,"The Night They Drove Old Dixie Down","The Band","The Band",1969-09-22,211787,61,false,jackdutton8,2024-06-16T17:54:27Z,"folk rock,roots rock,southern rock,americana","CAPITOL CATALOG MKT (C92)",0.505,0.486,0,-9.272,1,0.0336,0.545,0,0.222,0.484,125.839,4
spotify:track:1osAmhnIT0rtuqLZ1IliBQ,"Seven Bridges Road - Live; 1999 Remaster","Eagles Live","Eagles",1980,184640,59,false,jackdutton8,2024-06-16T17:54:37Z,"classic rock,yacht rock,soft rock","Elektra Records",0.356,0.331,7,-11.065,1,0.0435,0.445,0,0.891,0.263,111.995,5
spotify:track:5VSAonaAPhhGn0G7hMYwWK,"Sister Golden Hair","Hearts","America",1975,199573,74,false,jackdutton8,2024-06-16T17:54:49Z,"yacht rock,soft rock,folk rock","Rhino",0.441,0.546,4,-12.222,1,0.0336,0.13,0.000144,0.109,0.718,134.752,4
spotify:track:2hitsKa8SthKhRJBXUHbIv,"Our House","Deja Vu","Crosby, Stills, Nash & Young",1970-03-11,179760,71,false,jackdutton8,2024-06-16T17:54:53Z,"folk rock,classic rock","Rhino Atlantic",0.592,0.205,9,-14.601,1,0.048,0.896,0.0000546,0.119,0.378,140.282,4
spotify:track:1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads - Original Version","Poems, Prayers and Promises","John Denver",1971,193937,77,false,jackdutton8,2024-06-16T17:55:16Z,"folk","RCA/Legacy",0.462,0.395,9,-9.376,1,0.0264,0.758,0,0.121,0.625,82.259,4
