Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6me7F0aaZjwDo6RJ5MrfBD,"Evergreen","RMCM","Richy Mitch & The Coal Miners",2017-05-17,87000,82,false,jackdutton8,2024-11-09T01:43:02Z,"","Richy Mitch & The Coal Miners",0.555,0.216,3,-11.661,1,0.0721,0.557,0.00416,0.109,0.504,79.109,3
spotify:track:32iNr3J93tqFkxaMYwdRYi,"Everywhere, Everything","Stick Season","Noah Kahan",2022-10-14,257668,73,false,jackdutton8,2024-11-09T01:43:12Z,"","Mercury Records/Republic Records",0.462,0.391,11,-9.164,1,0.0331,0.356,0,0.134,0.287,179.731,3
spotify:track:0jkzxxDG8z3Y5OmfNl1VM0,"Homesick","Stick Season","Noah Kahan",2022-10-14,194416,74,true,jackdutton8,2024-11-09T01:43:18Z,"","Mercury Records/Republic Records",0.505,0.624,6,-6.526,1,0.0373,0.0253,0.0000106,0.314,0.413,170.076,4
spotify:track:4Zj2uX6ApCFK9XzjwIhCIr,"Boys Of Faith (feat. Bon Iver)","Boys Of Faith (feat. Bon Iver)","Zach Bryan;Bon Iver",2023-09-21,170824,66,true,jackdutton8,2024-11-09T01:43:21Z,"country,red dirt","Warner Records",0.302,0.584,1,-6.242,1,0.063,0.385,0.0000522,0.089,0.159,199.804,4
spotify:track:4nHJcUtNSUVjXRnjdP29Bk,"You’re Gonna Go Far","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,286369,82,true,jackdutton8,2024-11-09T01:43:26Z,"","Mercury Records/Republic Records",0.586,0.358,7,-9.761,1,0.0308,0.556,0,0.11,0.365,169.925,4
spotify:track:3EvZ03hGAFwGZ2Ebcu86YH,"Tourniquet","Zach Bryan","Zach Bryan",2023-08-25,189053,72,true,jackdutton8,2024-11-09T01:43:32Z,"country,red dirt","Warner Records",0.593,0.397,6,-8.309,1,0.0329,0.684,0.00000744,0.0982,0.32,76.703,4
spotify:track:7eOuUmpnHBlg5zsm8Cs7c3,"Summertime's Close","Zach Bryan","Zach Bryan",2023-08-25,186186,65,false,jackdutton8,2024-11-09T01:43:34Z,"country,red dirt","Warner Records",0.469,0.208,0,-9.022,1,0.0448,0.607,0.00000172,0.127,0.215,81.098,4
spotify:track:4pCbJC43j3gSqG6Fen6upD,"Hey Driver (feat. The War and Treaty)","Zach Bryan","Zach Bryan;The War And Treaty",2023-08-25,227466,74,false,jackdutton8,2024-11-09T01:43:36Z,"country,red dirt","Warner Records",0.583,0.351,0,-5.836,1,0.0306,0.494,0,0.368,0.462,79.014,4
spotify:track:3itgPtXSu4I9mr2QD6yrzP,"Holy Roller (feat. Sierra Ferrell)","Zach Bryan","Zach Bryan;Sierra Ferrell",2023-08-25,216026,63,true,jackdutton8,2024-11-09T01:43:38Z,"country,red dirt,americana,bluegrass,alt country","Warner Records",0.415,0.404,4,-9.331,1,0.0393,0.678,0.0000195,0.28,0.425,81.202,4
spotify:track:42TtHTxWk782ZBiqyOi2d1,"Dawns (feat. Maggie Rogers)","Dawns (feat. Maggie Rogers)","Zach Bryan;Maggie Rogers",2023-01-27,290892,75,true,jackdutton8,2024-11-09T01:43:44Z,"country,red dirt","Warner Records",0.447,0.441,0,-7.658,1,0.0456,0.874,0.0000436,0.188,0.286,122.811,4
spotify:track:4dtIxANFBU6CfhI9c2hf2g,"Coal","Coal","Dylan Gossett",2023-07-27,194440,68,false,jackdutton8,2024-11-09T01:43:53Z,"country","Dylan Gossett",0.522,0.223,1,-9.561,0,0.0345,0.753,0,0.165,0.439,97.045,4
spotify:track:4KULAymBBJcPRpk1yO4dOG,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan","Zach Bryan;Kacey Musgraves",2023-08-25,227195,86,false,jackdutton8,2024-11-09T01:43:57Z,"country,red dirt","Warner Records",0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,4
spotify:track:3yn01PcU95PTbiZ3xvop2j,"Call Your Mom","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,278670,78,false,jackdutton8,2024-11-09T01:44:14Z,"","Mercury Records/Republic Records",0.485,0.215,0,-12.124,1,0.0348,0.703,0.00000355,0.115,0.159,172.122,4
spotify:track:1dHtMSJ1Ozg2Ja6GX4McAO,"Paul Revere","Stick Season (We'll All Be Here Forever)","Noah Kahan",2023-06-09,213313,71,false,jackdutton8,2024-11-09T01:44:31Z,"","Mercury Records/Republic Records",0.709,0.38,2,-9.731,1,0.0342,0.593,0,0.121,0.493,107.901,4
spotify:track:3Z2anmIVG8b1GelyeFQdnP,"Maine","Cape Elizabeth","Noah Kahan",2020-05-01,232618,80,false,jackdutton8,2024-11-09T01:44:35Z,"","Republic Records",0.533,0.24,6,-9.512,1,0.0424,0.729,0,0.223,0.265,175.486,4
spotify:track:4O2rRsoSPb5aN7N3tG6Y3v,"Northern Attitude","Stick Season","Noah Kahan",2022-10-14,267256,82,true,jackdutton8,2024-11-09T01:44:52Z,"","Mercury Records/Republic Records",0.523,0.626,3,-8.214,1,0.047,0.119,0.0000329,0.107,0.323,121.291,4
spotify:track:2A1FGotEDhN5UjBiLsUwnk,"Sleep Deprivation","Sleep Deprivation","Chance Peña",2022-04-01,155660,65,false,jackdutton8,2024-11-09T01:45:19Z,"","Chance Peña",0.588,0.412,2,-10.669,1,0.0613,0.152,0,0.134,0.302,133.815,4
spotify:track:1MQLdI6RONvfjEz4K6ZRXp,"War","War","Chance Peña",2021-07-02,158363,61,false,jackdutton8,2024-11-09T01:45:30Z,"","Chance Peña",0.603,0.341,8,-11.383,1,0.0336,0.693,0.0996,0.101,0.195,110.004,4
spotify:track:3hEkAosl2ZuO9FltxY5L1R,"Jersey Giant","Jersey Giant","Evan Honer;Julia DiGrazia",2022-12-16,256021,74,false,jackdutton8,2024-11-09T01:45:50Z,"","Sonder House",0.576,0.331,8,-11.021,1,0.031,0.435,0,0.144,0.772,88.237,4
spotify:track:4x1dWc1GgAfC04GcTlllax,"Lake Missoula","RMCM","Richy Mitch & The Coal Miners",2017-05-17,106250,63,false,jackdutton8,2024-11-09T01:45:58Z,"","Richy Mitch & The Coal Miners",0.446,0.247,11,-13.036,0,0.0287,0.905,0.233,0.111,0.245,138.328,1
spotify:track:3SsGrCb1eaSpGhRDqPaTln,"Snowbank Blues","Waiting to Spill","The Backseat Lovers",2022-10-28,197746,65,false,jackdutton8,2024-11-09T01:46:15Z,"","Capitol Records",0.558,0.191,5,-11.519,1,0.0297,0.731,0.00027,0.127,0.226,95.712,4
spotify:track:1W37DGi2nBrneQGUUMQMyt,"To Watch the World Spin Without You","To Watch the World Spin Without You","Mon Rovîa",2023-05-31,152346,0,false,jackdutton8,2024-11-09T01:46:30Z,"","Mon Rovîa",0.758,0.319,2,-9.419,1,0.0551,0.944,0.117,0.128,0.374,144.913,4
spotify:track:1ruHAFkWtW6sQ3sXVNvnC3,"Dandelion","Dandelion","Oliver Hazard",2019-05-29,190654,48,false,jackdutton8,2024-11-09T01:46:44Z,"indie folk","Nettwerk Music Group",0.644,0.597,6,-10.883,1,0.0467,0.591,0.0000517,0.0928,0.254,104.731,4
spotify:track:0zesU7Cq6UM582kMYC6J3E,"The Otter","Lavender Days","Caamp",2022-06-24,178080,30,false,jackdutton8,2024-11-09T01:46:52Z,"indie folk,folk","Mom+Pop",0.488,0.71,8,-7.954,1,0.0368,0.153,0.0000504,0.116,0.231,103.771,4
spotify:track:3RGfmaB407YxayMDaV2jlO,"Big Love Ahead","Big Love Ahead","Mon Rovîa",2023-01-26,108000,51,false,jackdutton8,2024-11-09T01:47:06Z,"","RovÎa music",0.547,0.628,5,-6.782,1,0.0277,0.971,0.00000696,0.172,0.796,149.405,4
spotify:track:4jLxibvYRtzEAiTDvbL9fO,"To the Mountains","Give Me A Minute","Lizzy McAlpine",2020-08-13,193800,62,false,jackdutton8,2024-11-09T01:47:15Z,"","Lizzy McAlpine",0.461,0.147,4,-14.022,1,0.033,0.918,0.000638,0.0846,0.267,78.809,1
spotify:track:5FwlCxV2Q4xjTywLsD3Kxe,"Anyway","Cape Elizabeth","Noah Kahan",2020-05-01,312145,67,false,jackdutton8,2024-11-09T01:47:28Z,"","Republic Records",0.65,0.156,7,-10.686,1,0.0338,0.742,0,0.126,0.243,133.919,4
spotify:track:4hsfmsuosaW4ryEGVAhuxq,"Where The Skies Are Blue","Cleopatra (Deluxe Edition)","The Lumineers",2016-04-08,140120,63,false,jackdutton8,2024-11-09T01:47:55Z,"folk pop,indie folk","Dualtone Music Group",0.57,0.477,9,-6.577,1,0.0277,0.862,0.000485,0.0643,0.552,132.428,4
spotify:track:3OS4XXm4S42pnESQmtN9MG,"Well I Wonder - 2011 Remaster","Meat Is Murder","The Smiths",1985-02-11,239426,71,false,jackdutton8,2024-11-09T01:48:24Z,"new wave,madchester,jangle pop","WM UK",0.643,0.59,11,-10.843,0,0.0284,0.0806,0.00578,0.174,0.818,126.651,4
spotify:track:07UFnnK3uPIuKv5Rs9TmXl,"Orange Juice","Stick Season","Noah Kahan",2022-10-14,297103,79,false,jackdutton8,2024-11-09T01:48:33Z,"","Mercury Records/Republic Records",0.662,0.378,9,-10.908,1,0.0361,0.475,0.00000684,0.121,0.207,120.133,4
spotify:track:0XgRWgcs0Pcr9PSIdFWD4N,"Clay Pigeons","True That","Michael Cera",2014-08-14,186000,64,false,jackdutton8,2024-11-11T20:51:08Z,"","Michael Cera",0.292,0.241,6,-17.001,1,0.0428,0.97,0.00989,0.105,0.441,172.175,4
spotify:track:4KROoGIaPaR1pBHPnR3bwC,"Pink Moon","Pink Moon","Nick Drake",1972-02-25,124000,66,false,jackdutton8,2024-11-12T05:00:50Z,"folk,singer-songwriter","UMC (Universal Music Catalogue)",0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,4
spotify:track:2ylhdhjy3WvFX57d6CXZX7,"Mountain Laurels","Geese in the Flyway","Rogue Valley",2010-11-24,252381,27,false,jackdutton8,2024-11-27T18:30:54Z,"","Rogue Valley",0.566,0.402,7,-12.944,1,0.0314,0.804,0.0106,0.105,0.0808,97.16,4
spotify:track:7ByxizhA4GgEf7Sxomxhze,"All My Love","Stick Season","Noah Kahan",2022-10-14,251510,79,false,jackdutton8,2025-01-13T15:33:33Z,"","Mercury Records/Republic Records",0.666,0.665,2,-7.181,1,0.0534,0.309,0,0.0961,0.474,116.002,4
spotify:track:1M39ETXmej4g9EMSeXPUgj,"New Perspective","Stick Season","Noah Kahan",2022-10-14,256871,76,false,jackdutton8,2025-01-13T15:33:34Z,"","Mercury Records/Republic Records",0.693,0.524,5,-9.696,1,0.0407,0.267,0.00000183,0.0839,0.453,156.529,4
spotify:track:6PdWPdgPoVCT9WLFMVnhxx,"The View Between Villages","Stick Season","Noah Kahan",2022-10-14,215341,78,false,jackdutton8,2025-01-13T15:33:35Z,"","Mercury Records/Republic Records",0.317,0.167,1,-13.83,1,0.0467,0.826,0.0000558,0.0729,0.0568,153.253,4
