Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5MMZJtHOiH1RmQSSe3DJdg,"Sleep On The Floor","Cleopatra","The Lumineers",2016-04-08,211851,1,false,jackdutton8,2023-04-28T14:42:09Z,"folk pop,indie folk","Dualtone Music Group",0.389,0.431,7,-8.061,1,0.0344,0.249,0,0.13,0.275,142.133,4
spotify:track:7hm4HTk9encxT0LYC0J6oI,"Someday","Is This It","The Strokes",2001-07-30,183440,67,false,jackdutton8,2023-04-28T14:42:19Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,4
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,88,false,jackdutton8,2023-04-28T14:42:35Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:6CES1554HcWMIVroJfmmBm,"Way It Goes","Landmark","Hippo Campus",2017-02-24,245456,56,true,jackdutton8,2023-04-28T14:42:44Z,"","Grand Jury (RED)",0.542,0.906,9,-4.213,1,0.0491,0.021,0.00043,0.377,0.515,120.014,4
spotify:track:0LtOwyZoSNZKJWHqjzADpW,"Feels Like We Only Go Backwards","Lonerism","Tame Impala",2012-01-01,192960,78,false,jackdutton8,2023-04-28T14:42:59Z,"neo-psychedelic,indie","Modular",0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,4
spotify:track:7e8utCy2JlSB8dRHKi49xM,"Fluorescent Adolescent","Favourite Worst Nightmare (Standard Version)","Arctic Monkeys",2007-04-24,173493,74,false,jackdutton8,2023-04-28T14:43:23Z,"indie,garage rock","Domino/Warner Records",0.646,0.813,6,-5.29,0,0.0288,0.00178,0.0000226,0.144,0.821,112.115,4
spotify:track:6E3NosMXYlGD21K7KqIxQ1,"I Always Knew","Come Of Age","The Vaccines",2012-09-03,214346,55,false,jackdutton8,2023-04-28T14:43:30Z,"indie,indie rock","Columbia",0.393,0.872,2,-2.53,1,0.0401,0.000122,0.000407,0.312,0.393,150.097,4
spotify:track:70gbuMqwNBE2Y5rkQJE9By,"Going to California - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,212160,69,false,jackdutton8,2023-04-28T14:43:42Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.503,0.265,2,-15.913,1,0.0333,0.943,0.045,0.0867,0.522,78.044,4
spotify:track:0SBariQWfKjoslW2XSIFOm,"Seventeen","Sweet FA","Peach Pit",2018-06-27,216426,50,false,jackdutton8,2023-04-28T14:45:02Z,"","Columbia",0.559,0.89,11,-5.188,1,0.0387,0.00837,0.00759,0.103,0.809,91.509,4
spotify:track:3GBApU0NuzH4hKZq4NOSdA,"What You Know","Tourist History","Two Door Cinema Club",2010-02-17,191706,4,false,jackdutton8,2023-04-28T14:45:49Z,"indie,indie rock","Glassnote Entertainment Group LLC",0.563,0.739,6,-4.239,0,0.0416,0.00073,0.0000145,0.0822,0.775,139,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,jackdutton8,2023-04-28T14:47:20Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:1S9VJIS4unNB2D6SEf4BbD,"Do You Love Me Still?","Inside In / Inside Out","The Kooks",2006-01-01,195306,39,false,jackdutton8,2023-04-28T14:48:14Z,"indie,indie rock","Virgin Records",0.408,0.412,1,-8.807,0,0.0386,0.218,0.000514,0.17,0.0804,138.178,4
spotify:track:1170VohRSx6GwE6QDCHPPH,"Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,78,false,jackdutton8,2023-04-28T14:48:20Z,"","The Backseat Lovers",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
spotify:track:4MXE6VCvTsQitHWrAxj7Kg,"Maple Syrup","When We Were Friends","The Backseat Lovers",2019-01-27,243529,71,false,jackdutton8,2023-04-28T14:48:42Z,"","The Backseat Lovers",0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153,3
spotify:track:4KxbBOHXGhtZLmmaVvlN43,"Ruby","Torches X (Deluxe Edition)","Foster The People",2021-11-12,308760,37,false,jackdutton8,2023-04-28T14:48:57Z,"","Columbia/Legacy",0.694,0.46,3,-8.469,1,0.0296,0.181,0.00000228,0.051,0.315,137.982,4
spotify:track:5u9cuDcYdOpSRB7fAYXXdp,"Marcel","Songs of Her's","Her's",2017-05-12,187571,64,false,jackdutton8,2023-04-28T14:49:03Z,"indie","Heist Or Hit Records",0.625,0.645,9,-5.959,1,0.0278,0.54,0.0776,0.347,0.685,106.996,4
spotify:track:3Oa4HmaT53IzzyZDbqmT2b,"California Daze","In Love","Peace",2013-03-25,238693,35,false,jackdutton8,2023-04-28T14:49:45Z,"","Columbia",0.257,0.35,9,-8.84,1,0.0284,0.102,0.0000134,0.116,0.237,80.541,4
spotify:track:2jZgzSxNSg1hTCq0ewWHGJ,"Junk Of The Heart (Happy)","Junk Of The Heart","The Kooks",2011-01-01,187253,63,false,jackdutton8,2023-04-28T14:59:05Z,"indie,indie rock","Virgin",0.604,0.894,2,-5,1,0.037,0.0212,0,0.0299,0.901,145.017,4
spotify:track:6OekoYTXR04L76vKdzrqjw,"That Old Black Hole","Be The Void (Deluxe Edition)","Dr. Dog",2012-02-07,201080,37,false,jackdutton8,2023-04-28T15:00:50Z,"","Anti/Epitaph",0.53,0.884,11,-4.516,1,0.0594,0.0806,0.00014,0.3,0.636,101.468,4
spotify:track:3d9DChrdc6BOeFsbrZ3Is0,"Under the Bridge","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,264306,85,false,jackdutton8,2023-04-28T15:01:05Z,"funk rock,alternative rock,rock","Warner Records",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
spotify:track:436bx0eHJS5DPgIyfsDU31,"Hold On","Boys & Girls (Deluxe Edition)","Alabama Shakes",2022-12-09,226186,0,false,jackdutton8,2023-04-28T15:01:46Z,"","ATO Records",0.575,0.666,5,-5.425,1,0.0301,0.206,0.341,0.0852,0.546,88.311,4
spotify:track:57i3M29DWoo7RDk0Tf0LZG,"Daylight","Grand","Matt and Kim",2009-01-20,171333,5,false,jackdutton8,2023-04-28T15:01:59Z,"","FADER LABEL",0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303,4
spotify:track:7sC9FifCXZHgjTAjFO1ykA,"Bellbottoms","Dirty Shirt Rock 'N' Roll: The First Ten Years","The Jon Spencer Blues Explosion",2010-01-01,316853,0,false,jackdutton8,2023-04-28T15:02:17Z,"garage rock,blues rock","Shout!",0.353,0.865,2,-4.598,1,0.233,0.00991,0.147,0.314,0.46,164.042,4
spotify:track:5zDbzBnptF5hDQRLkqJ6zJ,"Winter","Careful Kid","Yabadum",2014-05-30,286200,42,false,jackdutton8,2023-04-28T15:05:01Z,"","Yabadum",0.426,0.713,5,-5.408,0,0.0937,0.49,0.0000112,0.082,0.363,75.266,4
spotify:track:2QfiRTz5Yc8DdShCxG1tB2,"Johnny B. Goode","Berry Is On Top","Chuck Berry",1959-07-01,161560,76,false,jackdutton8,2023-04-28T15:05:29Z,"rockabilly,rock and roll","Geffen",0.534,0.803,10,-9.129,1,0.0743,0.741,0.0000607,0.307,0.969,167.983,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,jackdutton8,2023-04-28T15:07:13Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:5EWPGh7jbTNO2wakv8LjUI,"Free Bird","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,547106,79,false,jackdutton8,2023-04-28T15:07:17Z,"southern rock,classic rock,rock","Geffen*",0.249,0.834,0,-8.21,1,0.0574,0.0742,0.0000969,0.0924,0.337,118.222,4
spotify:track:2SGBEDwsOAOAHrrdAd304i,"She Moves In Her Own Way","Inside In / Inside Out","The Kooks",2006-01-01,169306,56,false,jackdutton8,2023-04-28T15:07:20Z,"indie,indie rock","Virgin Records",0.431,0.81,7,-5.379,1,0.066,0.276,0,0.0906,0.795,76.412,4
spotify:track:7e89621JPkKaeDSTQ3avtg,"Sweet Home Alabama","Second Helping (Expanded Edition)","Lynyrd Skynyrd",1974-04-15,283800,81,false,jackdutton8,2023-04-28T15:07:21Z,"southern rock,classic rock,rock","Geffen*",0.596,0.606,7,-12.145,1,0.0255,0.181,0.000327,0.0863,0.886,97.785,4
spotify:track:1HOjry8kvObcLsyOVMVCml,"Live And Die","The Carpenter","The Avett Brothers",2012-01-01,271186,35,false,jackdutton8,2023-04-28T15:07:34Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.589,0.778,11,-5.091,1,0.0268,0.0814,0.0000021,0.149,0.596,118.057,4
spotify:track:1Ug5wxoHthwxctyWTUMGta,"1901","Wolfgang Amadeus Phoenix","Phoenix",2009-05-25,193106,3,false,jackdutton8,2023-04-28T15:17:06Z,"indie","Glassnote Entertainment Group LLC",0.59,0.829,0,-5.649,1,0.0419,0.0601,0.0000399,0.19,0.704,144.099,4
spotify:track:3FtYbEfBqAlGO46NUDQSAt,"Electric Feel","Oracular Spectacular","MGMT",2007-12-14,229640,80,false,jackdutton8,2023-04-28T15:17:17Z,"indie","Red Ink/Columbia",0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,3
spotify:track:2RUhtNBh43RtSg0WBPPq3m,"Naive","Inside In / Inside Out","The Kooks",2006-01-01,203506,65,false,jackdutton8,2023-04-28T15:17:21Z,"indie,indie rock","Virgin Records",0.547,0.816,8,-6.165,0,0.0624,0.0688,0,0.127,0.722,102.765,4
spotify:track:4iG2gAwKXsOcijVaVXzRPW,"Time to Pretend","Oracular Spectacular","MGMT",2007-12-14,261000,78,true,jackdutton8,2023-04-28T15:18:28Z,"indie","Red Ink/Columbia",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
spotify:track:2iUmqdfGZcHIhS3b9E9EWq,"Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,80,true,jackdutton8,2023-04-28T15:18:57Z,"","Mercury Records",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
spotify:track:4VbDJMkAX3dWNBdn3KH6Wx,"Helena Beat","Torches","Foster The People",2011-05-23,276173,65,false,jackdutton8,2023-04-28T15:19:37Z,"","Columbia",0.67,0.876,5,-4.905,0,0.0536,0.0127,0.00302,0.109,0.736,126.968,4
spotify:track:6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,81,false,jackdutton8,2023-04-28T15:21:32Z,"emo,pop punk","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
