Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ZozJfi8u9cO2Ob8KwiwNT,"Higher","Human Clay","Creed",1999-01-01,316733,79,false,jackdutton8,2024-09-25T16:42:28Z,"post-grunge","The Bicycle Music Company",0.459,0.83,2,-6.254,1,0.0364,0.0000515,0.00014,0.206,0.431,155.827,4
spotify:track:42T2QQv3xgBlpQxaSP7lnK,"One Last Breath","Weathered","Creed",2001-01-01,238240,84,false,jackdutton8,2024-09-25T16:42:29Z,"post-grunge","The Bicycle Music Company",0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4
spotify:track:0eKyHwckh9vQb8ncZ2DXCs,"With Arms Wide Open","Human Clay","Creed",1999-01-01,274800,76,false,jackdutton8,2024-09-25T16:42:31Z,"post-grunge","The Bicycle Music Company",0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,4
spotify:track:2JuasWPUodaUxf5nwNpciQ,"Nutshell","Jar Of Flies","Alice In Chains",1994,259200,81,false,jackdutton8,2024-09-25T16:42:32Z,"grunge,post-grunge","Columbia",0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136,3
spotify:track:5sFDReWLrZHLFZFjHsjUTS,"Would? (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,206773,78,false,jackdutton8,2024-09-25T16:42:35Z,"grunge,post-grunge","Columbia",0.297,0.842,6,-7.457,1,0.0488,0.000286,0.0000091,0.0848,0.586,100.127,4
spotify:track:7FRfYOql61DGDp9VPPe2qA,"Down In A Hole (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,338226,72,false,jackdutton8,2024-09-25T16:42:38Z,"grunge,post-grunge","Columbia",0.356,0.818,6,-5.343,1,0.0335,0.0122,0.000118,0.123,0.389,97.528,4
spotify:track:4dVbhS6OiYvFikshyaQaCN,"My Hero","The Colour And The Shape","Foo Fighters",1997-05-20,260026,77,false,jackdutton8,2024-09-25T16:42:45Z,"rock,post-grunge,alternative rock,grunge","RCA Records Label",0.398,0.927,9,-4.212,1,0.0567,0.000062,0.000177,0.0575,0.311,77.106,4
spotify:track:6QewNVIDKdSl8Y3ycuHIei,"Even Flow","Ten","Pearl Jam",1991-08-27,292579,80,true,jackdutton8,2024-09-25T16:42:53Z,"grunge,rock,post-grunge","Epic/Legacy",0.394,0.944,10,-6.506,0,0.0761,0.00178,0.00000454,0.298,0.265,105.338,4
spotify:track:6qLEOZvf5gI7kWE63JE7p3,"Interstate Love Song - 2019 Remaster","Purple (2019 Remaster)","Stone Temple Pilots",1994-06-07,194853,76,false,jackdutton8,2024-09-25T18:01:21Z,"grunge,alternative rock,post-grunge,rock","Rhino Atlantic",0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814,4
spotify:track:6gZVQvQZOFpzIy3HblJ20F,"Man in the Box","Facelift","Alice In Chains",1990-08-01,285200,80,true,jackdutton8,2024-09-25T18:02:46Z,"grunge,post-grunge","Columbia",0.355,0.791,8,-7.565,1,0.0453,0.00045,0,0.0969,0.758,106.392,4
spotify:track:0wvIGFIgbyz4JNwQhZgTv2,"Rooster (2022 Remaster)","Dirt (2022 Remaster)","Alice In Chains",1992-09-29,374333,76,false,jackdutton8,2024-09-25T18:02:54Z,"grunge,post-grunge","Columbia",0.263,0.562,3,-7.858,1,0.0273,0.0289,0.00118,0.12,0.213,146.08,3
spotify:track:6dmueYtoihUhlQZlImBCmm,"Creep - 2017 Remaster","Core (Super Deluxe Edition)","Stone Temple Pilots",1992-09-29,334386,72,false,jackdutton8,2024-09-25T18:03:05Z,"grunge,alternative rock,post-grunge,rock","Rhino Atlantic",0.661,0.485,4,-9.161,0,0.0304,0.00483,0.000311,0.086,0.171,107.761,4
spotify:track:4PtZE0h5oyPhCtPjg3NeYQ,"No Excuses","Jar Of Flies","Alice In Chains",1994,255573,67,false,jackdutton8,2024-09-25T18:03:18Z,"grunge,post-grunge","Columbia",0.527,0.838,3,-6.013,1,0.0323,0.0206,0.00062,0.07,0.721,117.454,4
spotify:track:25CMmGsl22APKhfuj4Tp7j,"It's Been Awhile","Break the Cycle","Staind",2001-08-20,264706,75,true,jackdutton8,2024-09-25T18:03:31Z,"post-grunge,nu metal,alternative metal","Atlantic Records/ATG",0.509,0.774,6,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,4
