Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1sq29H6gL3xNe5VdvukWuq,"Silver Line","A Distant Call","Sheer Mag",2019-08-23,205455,0,false,jackdutton8,2022-12-12T15:37:42Z,"power pop","Sheer Mag LLC",0.647,0.859,8,-5.329,1,0.0317,0.00214,0.0442,0.233,0.836,129.58,4
spotify:track:2yxkvnyno37480Hv1wuAee,"Shadow Stabbing","Comfort Eagle","CAKE",2001-07-24,187257,48,false,jackdutton8,2022-12-12T15:37:48Z,"alternative rock","Columbia",0.83,0.479,4,-11.717,1,0.0496,0.0464,0.00000505,0.0953,0.81,130.779,4
spotify:track:1h9Bx0bcEIfiv31E2G58Hf,"Nugget","Fashion Nugget","CAKE",1996-09-17,238447,48,true,jackdutton8,2022-12-12T15:37:55Z,"alternative rock","Volcano",0.595,0.715,6,-8.315,1,0.031,0.0376,0.00203,0.12,0.849,95.701,4
spotify:track:3mYCd23hPxJW5okSvMoy3x,"Heart In a Cage","First Impressions Of Earth","The Strokes",2006-01-03,206173,63,true,jackdutton8,2022-12-12T15:38:01Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.418,0.857,8,-5.133,1,0.0404,0.00000273,0.805,0.368,0.12,140.02,4
spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,"Under Cover of Darkness","Angles","The Strokes",2011-03-21,235546,67,false,jackdutton8,2022-12-12T15:38:02Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,4
spotify:track:3EG9FJ0ToLfgnc1IG2Z1wz,"SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","CALL ME IF YOU GET LOST","Tyler, The Creator;Brent Faiyaz;Fana Hues",2021-06-25,588139,73,true,jackdutton8,2022-12-12T15:38:18Z,"r&b,alternative r&b","Columbia",0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,4
spotify:track:7H8MK8NTVHMYxfHaZyn8xO,"Where Were You Where They Were Also","A","The Slaps",2019-04-05,243000,0,false,jackdutton8,2022-12-12T15:38:46Z,"","FRTYFVE",0.555,0.491,8,-13.514,0,0.0382,0.38,0.0035,0.403,0.52,148.409,4
spotify:track:6lnnaGN20kl0jEYJSxCgU9,"You Talk Way Too Much","Room On Fire","The Strokes",2003-10-28,186266,54,false,jackdutton8,2022-12-12T15:38:49Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.695,127.856,4
spotify:track:7cAGYMTHV62wgOzrwZXdWv,"Nutted by Reality","Jesus of Cool (Deluxe Edition)","Nick Lowe",2008,171466,0,false,jackdutton8,2022-12-12T15:39:14Z,"power pop","Proper Records",0.596,0.496,9,-11.514,1,0.0456,0.0328,0.0000562,0.13,0.951,125.695,4
spotify:track:043FvP1Fke9h1EZh9V3zIP,"Toca La Guitarra","Professor Caveman, Vol. 2","Professor Caveman",2015-01-01,274768,0,false,jackdutton8,2022-12-12T15:39:19Z,"","Professor Caveman",0.418,0.862,5,-6.25,1,0.129,0.0434,0.000247,0.318,0.518,131.051,4
