Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:74f0dpqHhTeTJzs4pmZ1yq,"Pool House","When We Were Friends","The Backseat Lovers",2019-01-27,269411,69,false,jackdutton8,2022-10-05T19:20:51Z,"","The Backseat Lovers",0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,4
spotify:track:5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,86,false,jackdutton8,2022-10-06T14:53:15Z,"classic rock,yacht rock,soft rock","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
spotify:track:1H5N26VqHR4JhuaRKY2I0u,"Heaven Knows I'm Miserable Now - 2011 Remaster","Louder Than Bombs","The Smiths",1987,215760,69,false,jackdutton8,2022-10-06T14:53:18Z,"new wave,madchester,jangle pop","WM UK",0.609,0.759,6,-4.862,1,0.0276,0.028,0,0.183,0.774,114.045,4
spotify:track:53duuSwaLOZuIrELvZXqLH,"Going Back to Cali - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,307426,63,true,jackdutton8,2022-10-06T14:53:21Z,"old school hip hop,gangster rap,east coast hip hop,hip hop","Rhino Atlantic",0.851,0.647,9,-5.847,1,0.339,0.207,0,0.0447,0.596,99.17,4
spotify:track:1aRvUHgMe9ichgcHAAs12f,"Nellie","B-Room (Deluxe Edition)","Dr. Dog",2013-10-01,217613,58,false,jackdutton8,2022-10-06T14:53:28Z,"","Anti/Epitaph",0.506,0.526,4,-9.936,1,0.0285,0.334,0.000539,0.0907,0.591,129.641,4
spotify:track:5n0CTysih20NYdT2S0Wpe8,"Trouble","Tell Me I'm Pretty","Cage The Elephant",2015-12-18,225980,72,false,jackdutton8,2022-10-06T14:53:30Z,"","RCA Records Label",0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4
spotify:track:0WQiDwKJclirSYG9v5tayI,"There Is a Light That Never Goes Out - 2011 Remaster","The Queen Is Dead","The Smiths",1986-06-16,244586,85,false,jackdutton8,2022-10-06T14:53:55Z,"new wave,madchester,jangle pop","WM UK",0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,4
spotify:track:1S9VJIS4unNB2D6SEf4BbD,"Do You Love Me Still?","Inside In / Inside Out","The Kooks",2006-01-01,195306,39,false,jackdutton8,2022-10-07T12:54:00Z,"indie,indie rock","Virgin Records",0.408,0.412,1,-8.807,0,0.0386,0.218,0.000514,0.17,0.0804,138.178,4
spotify:track:4MXE6VCvTsQitHWrAxj7Kg,"Maple Syrup","When We Were Friends","The Backseat Lovers",2019-01-27,243529,71,false,jackdutton8,2022-10-07T12:54:02Z,"","The Backseat Lovers",0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153,3
spotify:track:4r3Er3AOnUXFZY34F7tet8,"Out of Tune","Out of Tune","The Backseat Lovers",2018-05-11,307478,60,false,jackdutton8,2022-10-07T12:54:21Z,"","The Backseat Lovers",0.435,0.526,8,-8.621,1,0.0445,0.0111,0.0000183,0.173,0.544,95.925,4
