Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5eWOsyHHic4vJP3LjTVhqv,"Sitting, Waiting, Wishing","In Between Dreams","Jack Johnson",2005-01-01,183720,67,false,jackdutton8,2023-02-22T13:47:43Z,"surf rock","Jack Johnson",0.765,0.535,0,-7.229,1,0.0265,0.22,0.0000255,0.104,0.548,105.019,4
spotify:track:4VywXu6umkIQ2OS0m1I79y,"Better Together","In Between Dreams","Jack Johnson",2005-01-01,207680,72,false,jackdutton8,2023-02-22T13:48:03Z,"surf rock","Jack Johnson",0.868,0.347,5,-9.529,1,0.0536,0.308,0.00002,0.11,0.659,110.059,4
spotify:track:429EttO8gs0bDo2SQfUNSm,"Georgia","Dream Your Life Away (Special Edition)","Vance Joy",2014-09-08,230506,1,false,jackdutton8,2023-02-22T14:05:01Z,"folk pop","Atlantic Records",0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,4
spotify:track:41Az1BCotlAUt7Ud8k6H2Y,"Sunsets For Somebody Else","All The Light Above It Too","Jack Johnson",2017-09-08,210466,65,false,jackdutton8,2023-02-22T13:48:12Z,"surf rock","JJ/All the Light Above It Too",0.696,0.229,7,-7.911,1,0.0331,0.828,0.0000134,0.152,0.603,113.273,4
spotify:track:4LbX7WbpGpCktZkhksXxz3,"Something Like Olivia - Acoustic","The Complete 2012 Performances Collection","John Mayer",2012-08-06,183160,40,false,jackdutton8,2023-02-22T13:48:32Z,"singer-songwriter","Columbia",0.829,0.382,7,-9.114,1,0.0571,0.795,0.00278,0.0827,0.845,96.918,4
spotify:track:3Hvg5tRKsQlX25wYwgMF9p,"Flowers in Your Hair","The Lumineers","The Lumineers",2012-04-03,109735,1,false,jackdutton8,2023-02-22T14:04:52Z,"folk pop,indie folk","Dualtone Music Group",0.67,0.609,7,-10.088,1,0.0333,0.75,0.0000674,0.227,0.573,127.463,4
spotify:track:3ekNuTF3UpOvIZCfiejpnC,"Stubborn Love","The Lumineers","The Lumineers",2012-04-03,279000,1,false,jackdutton8,2023-02-22T14:05:09Z,"folk pop,indie folk","Dualtone Music Group",0.598,0.561,0,-11.676,1,0.0376,0.611,0.0417,0.196,0.231,115.011,4
spotify:track:1Ld2ydImZxI5von5VGN7Fd,"Saturday Sun - Acoustic","Saturday Sun (Acoustic)","Vance Joy",2018-05-04,161035,38,false,jackdutton8,2023-02-22T13:48:51Z,"folk pop","Atlantic Records",0.682,0.364,8,-7.94,1,0.036,0.767,0,0.119,0.622,100.906,4
spotify:track:37wUWrhQ5csSUxHTr59Q6z,"Hands I Can Hold","Land & Sea","Ziggy Alberts",2014-12-11,188681,0,false,jackdutton8,2023-02-22T13:49:04Z,"folk pop","Commonfolk Records",0.539,0.432,0,-10.702,1,0.0526,0.832,0.0000382,0.563,0.353,124.765,4
spotify:track:0W4Kpfp1w2xkY3PrV714B7,"Ho Hey","The Lumineers","The Lumineers",2012-04-03,163133,4,false,jackdutton8,2023-02-22T13:49:14Z,"folk pop,indie folk","Dualtone Music Group",0.685,0.466,0,-9.074,1,0.0304,0.791,0.00000206,0.0914,0.353,79.936,4
spotify:track:2ihCaVdNZmnHZWt0fvAM7B,"Little Talks","My Head Is An Animal","Of Monsters and Men",2012-01-01,266600,82,false,jackdutton8,2023-02-22T13:49:28Z,"folk pop","Universal Records",0.457,0.757,1,-5.177,1,0.032,0.0206,0,0.146,0.417,102.961,4
spotify:track:1EAgPzRbK9YmdOESSMUm6P,"Home","The World From The Side Of The Moon","Phillip Phillips",2012-01-01,210173,71,false,jackdutton8,2023-02-22T13:50:01Z,"folk pop","19 Recordings/Interscope",0.606,0.826,0,-6.04,1,0.0307,0.0256,0.0000157,0.117,0.332,121.036,4
spotify:track:2ixsaeFioXJmMgkkbd4uj1,"Budapest","Wanted on Voyage (Expanded Edition)","George Ezra",2014-06-30,200573,80,false,jackdutton8,2023-02-22T14:05:26Z,"","Columbia",0.717,0.455,5,-8.303,1,0.0276,0.0846,0,0.11,0.389,127.812,4
spotify:track:1fXiYSWmkKJfRKMegCkI11,"I Will Wait","Babel (Deluxe Version)","Mumford & Sons",2012-09-25,276720,1,false,jackdutton8,2023-02-22T14:05:41Z,"folk,indie folk,folk rock","Glassnote Entertainment Group LLC",0.478,0.758,1,-5.4,1,0.0331,0.00974,0.00717,0.312,0.452,131.109,4
spotify:track:60ZGteAEtPCnGE6zevgUcd,"Mountain Sound","My Head Is An Animal","Of Monsters and Men",2012-01-01,211453,68,false,jackdutton8,2023-02-22T13:50:23Z,"folk pop","Universal Records",0.379,0.879,1,-4.336,0,0.0362,0.0421,0.00449,0.146,0.37,102.021,4
spotify:track:3MJov5mT64K42o1Rffhblq,"Never in My Wildest Dreams","Waiting on a Song","Dan Auerbach",2017-06-02,176026,57,false,jackdutton8,2023-02-22T13:51:20Z,"blues rock","Nonesuch",0.559,0.466,5,-6.769,1,0.0362,0.315,0.0039,0.0933,0.623,117.21,4
spotify:track:2jdAk8ATWIL3dwT47XpRfu,"Slow Dancing in a Burning Room","Continuum","John Mayer",2006-09-11,241946,71,false,jackdutton8,2023-02-22T14:05:49Z,"singer-songwriter","Aware/Columbia",0.667,0.361,1,-8.69,0,0.0273,0.575,0.00506,0.0805,0.29,134.018,5
spotify:track:4zohK59ouRruiqESaTcOZW,"My Mind Is For Sale","All The Light Above It Too","Jack Johnson",2017-09-08,239840,52,false,jackdutton8,2023-02-22T13:51:24Z,"surf rock","JJ/All the Light Above It Too",0.83,0.682,2,-7.16,1,0.134,0.676,0.000367,0.123,0.762,97.849,4
