Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6fMXV0atg5MKoWYf8THNxE,"F.U.","Psychology","Pigeons Playing Ping Pong",2014-07-03,281000,39,false,jackdutton8,2023-09-08T16:53:11Z,"jam band,funk rock,funk","Pigeons Playing Ping Pong",0.691,0.82,4,-6.327,0,0.0754,0.0393,0.00168,0.0612,0.815,109.093,4
spotify:track:7wfGH3RwCjxyojHKtUzqj9,"Melting Lights","Psychology","Pigeons Playing Ping Pong",2014-07-03,304506,40,false,jackdutton8,2023-09-08T16:53:19Z,"jam band,funk rock,funk","Pigeons Playing Ping Pong",0.614,0.697,11,-6.433,0,0.0376,0.0663,0.0268,0.41,0.834,92.288,4
spotify:track:2eNKE4PW5uL0pIfGNw01SV,"It Gets Funkier IV","Hill Climber","Vulfpeck;Louis Cole",2018-12-07,196162,37,false,jackdutton8,2023-09-08T16:55:41Z,"funk,funk rock,indie jazz","Vulf Records",0.684,0.95,1,-9.473,1,0.124,0.0324,0.879,0.11,0.325,125.475,4
spotify:track:1oOD1pV43cV9sHg97aBdLs,"Dean Town","The Beautiful Game","Vulfpeck",2016-10-17,213302,55,false,jackdutton8,2023-09-08T16:56:15Z,"funk,funk rock","Vulf Records",0.796,0.608,11,-10.936,1,0.041,0.499,0.887,0.0979,0.907,108.756,4
spotify:track:1L9qsoNnyT3r8fgr2Pr7Ty,"Cory Wong","The Beautiful Game","Vulfpeck",2016-10-17,246910,46,false,jackdutton8,2023-09-08T16:56:25Z,"funk,funk rock","Vulf Records",0.62,0.6,8,-9.192,1,0.138,0.0894,0.571,0.813,0.959,127.51,4
spotify:track:7IMHomgWWQAxCueJX8DKFi,"It Gets Funkier III","My First Car","Vulfpeck",2013-12-06,187580,33,false,jackdutton8,2023-09-08T16:56:50Z,"funk,funk rock","Vulf Records",0.676,0.664,1,-10.077,1,0.121,0.0221,0.845,0.047,0.961,163.512,4
spotify:track:33BRNcBN01BsjKkAxlFYI4,"It Gets Funkier Ⅱ","Vollmilch","Vulfpeck",2012-12-20,311736,28,false,jackdutton8,2023-09-08T16:56:59Z,"funk,funk rock","Vulf Records",0.784,0.549,10,-10.453,0,0.276,0.403,0.873,0.327,0.905,152.584,4
spotify:track:0vOAN45nUNSqRIWPTOSDsJ,"It Gets Funkier","Mit Peck","Vulfpeck",2012-02-02,291885,37,false,jackdutton8,2023-09-08T16:57:08Z,"funk,funk rock","Vulf Records",0.506,0.947,8,-9.717,1,0.0629,0.218,0.883,0.117,0.607,176.35,4
spotify:track:1SlkhRMOEJp97Ho0BaIOkj,"Ace of Aces","The Fearless Flyers","The Fearless Flyers",2018-03-30,124565,49,false,jackdutton8,2023-09-11T01:08:50Z,"funk,jazz funk,jazz fusion,funk rock","Vulf Records",0.721,0.848,6,-9.67,0,0.0648,0.0426,0.95,0.15,0.896,105.605,4
spotify:track:6YJNcusdf5adRMqJUaRjLt,"Horizon","Psychology","Pigeons Playing Ping Pong",2014-07-03,575120,42,false,jackdutton8,2023-09-11T01:40:13Z,"jam band,funk rock,funk","Pigeons Playing Ping Pong",0.647,0.761,1,-6.737,0,0.0324,0.00401,0.756,0.149,0.841,124.679,4
