Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:73ZTWCuwudUVvvWipRnQnQ,"Family Tradition","Family Tradition","Hank Williams, Jr.",1979-04-17,242960,71,false,jackdutton8,2024-08-19T05:11:29Z,"outlaw country,classic country,country,honky tonk,country rock","Curb Records",0.66,0.523,4,-12.068,1,0.0608,0.0238,0,0.142,0.794,126.342,4
spotify:track:5TWhLgjy8cgb6CRPnnlnn2,"Whiskey Bent And Hell Bound","Whiskey Bent And Hell Bound","Hank Williams, Jr.",1979-11-01,188386,64,false,jackdutton8,2024-08-19T05:11:35Z,"outlaw country,classic country,country,honky tonk,country rock","Curb Records",0.726,0.711,7,-7.728,1,0.0414,0.213,0.00000141,0.326,0.708,105.034,4
spotify:track:7cyBw7bpAOYhzyNv7yqW6y,"Friends In Low Places","A Salute To Garth Brooks","The Sounds Of Garth Brooks",2007-01-16,231360,0,false,jackdutton8,2024-08-19T05:11:43Z,"","Suite 102",0.641,0.532,9,-7.252,1,0.0256,0.0135,0.0000011,0.111,0.529,110.864,4
spotify:track:7puxIVNdj5nsBJk43zM3bH,"Carrying Your Love With Me","Carrying Your Love With Me","George Strait",1997-01-01,232426,72,false,jackdutton8,2024-08-19T05:11:48Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.629,0.479,10,-10.608,1,0.0271,0.22,0,0.0587,0.345,138.231,4
spotify:track:09qzRI951OVkXGCc33gzcT,"My Maria","#1s ... and then some","Brooks & Dunn",2009-09-08,208106,70,false,jackdutton8,2024-08-19T15:54:19Z,"country,classic country,acoustic country,honky tonk","Arista Nashville",0.673,0.842,3,-4.627,1,0.0366,0.06,0.000257,0.178,0.898,125.57,4
spotify:track:1qHRFZE8qykNXYZadzmi1m,"Give It Away","It Just Comes Natural","George Strait",2006-01-01,209320,68,false,jackdutton8,2024-08-19T15:54:24Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.674,0.646,5,-5.876,1,0.027,0.486,0.0000837,0.262,0.613,148.1,4
spotify:track:11OFYsUK9EVJsQ6nutH32M,"Here For A Good Time","Here For A Good Time","George Strait",2011-01-01,180266,68,false,jackdutton8,2024-08-19T15:54:22Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.596,0.768,6,-6.753,1,0.0369,0.0858,0.00000623,0.116,0.532,127.93,4
spotify:track:0bM1z18RQpr61UuI1LemIK,"Dixieland Delight","The Closer You Get...","Alabama",1983,325542,70,false,jackdutton8,2024-08-19T15:54:34Z,"classic country,country,country rock,country christian","RCA Records Label Nashville",0.444,0.414,2,-15.04,1,0.0325,0.163,0.0000207,0.053,0.573,95.73,4
spotify:track:0SineTesaejYlgW5pwLo10,"Play Something Country","Hillbilly Deluxe","Brooks & Dunn",2005-08-30,194826,61,false,jackdutton8,2024-08-19T16:14:56Z,"country,classic country,acoustic country,honky tonk","Arista Nashville",0.692,0.944,7,-2.846,1,0.0322,0.0817,0,0.574,0.774,115.148,4
spotify:track:6IC6VhpV7D8T1t037Atqpu,"Tequila Makes Her Clothes Fall Off","III","Joe Nichols",2005-01-01,187053,67,false,jackdutton8,2024-08-19T16:15:00Z,"country,acoustic country","Show Dog Universal Music",0.664,0.706,2,-7.045,1,0.027,0.129,0.00000106,0.0857,0.681,93.968,4
spotify:track:5sRLBlFHRFk3LerdiGs4Z6,"Tight Fittin' Jeans","Red Neckin' Love Makin' Night","Conway Twitty",1981-01-01,171066,62,false,jackdutton8,2024-08-19T16:15:01Z,"classic country,country,traditional country,outlaw country,honky tonk","Geffen*",0.731,0.491,5,-13.951,1,0.0344,0.139,0.00000217,0.0786,0.891,102.211,4
