Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0bfvHnWWOeU1U5XeKyVLbW,"Can't Take My Eyes off You","Solo","Frankie Valli",1967,203680,81,false,jackdutton8,2024-10-24T17:13:45Z,"","Rhino",0.581,0.78,4,-7.053,1,0.0567,0.508,0.0000107,0.0799,0.561,123.711,4
spotify:track:1QRKeAlaLqJUeCWMBRP20A,"Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack","Mamma Mia! The Movie Soundtrack","Meryl Streep;Amanda Seyfried",2008-01-01,230893,70,false,jackdutton8,2024-10-24T17:13:45Z,"musicals","Polydor Records",0.463,0.489,2,-7.968,1,0.0288,0.507,0,0.165,0.249,140.034,4
spotify:track:1WN4uNclrDuczTO3bCr8s1,"Be My Baby","Presenting the Fabulous Ronettes Featuring Veronica","The Ronettes",1964-11-01,160906,83,false,jackdutton8,2024-10-24T17:13:45Z,"christmas","Legacy Recordings",0.512,0.771,4,-7.006,1,0.0402,0.168,0,0.0895,0.803,129.639,4
spotify:track:1YYhDizHx7PnDhAhko6cDS,"Take Me Home, Country Roads - Original Version","Poems, Prayers and Promises","John Denver",1971,193937,77,false,jackdutton8,2024-10-24T17:13:45Z,"folk","RCA/Legacy",0.462,0.395,9,-9.376,1,0.0264,0.758,0,0.121,0.625,82.259,4
spotify:track:1kgdslQYmeTR4thk9whoRw,"Tears in Heaven","Rush (Music from the Motion Picture Soundtrack)","Eric Clapton",1992-01-10,271760,74,false,jackdutton8,2024-10-24T17:13:45Z,"blues,blues rock,classic rock","Reprise",0.498,0.242,9,-12.238,1,0.0257,0.835,0.536,0.133,0.312,153.744,4
spotify:track:1mea3bSkSGXuIRvnydlB5b,"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-06-06,242373,88,false,jackdutton8,2024-10-24T17:13:45Z,"","Parlophone UK",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
spotify:track:1pZn8AX1WulW8IO338hE5D,"Blue Moon","Solitude","Billie Holiday",1956-01-01,207826,67,false,jackdutton8,2024-10-24T17:13:45Z,"vocal jazz,jazz,big band","Verve Reissues",0.64,0.27,8,-11.429,1,0.0702,0.982,0.122,0.141,0.55,124.323,4
spotify:track:29U7stRjqHU6rMiS8BfaI9,"What A Wonderful World","What A Wonderful World","Louis Armstrong",1968-01-01,139226,77,false,jackdutton8,2024-10-24T17:13:45Z,"jazz,swing music,vocal jazz,big band","GRP",0.271,0.165,5,-20.652,1,0.0351,0.726,0.00000154,0.118,0.202,77.082,4
spotify:track:30QD4VRP9yEneOh0eGTrtJ,"Solitude","Solitude","Billie Holiday",1956-01-01,207600,67,false,jackdutton8,2024-10-24T17:13:45Z,"vocal jazz,jazz,big band","Verve Reissues",0.461,0.15,8,-13.531,1,0.051,0.984,0.000902,0.105,0.188,97.902,3
spotify:track:3KfbEIOC7YIv90FIfNSZpo,"In My Life - Remastered 2009","Rubber Soul (Remastered 2009)","The Beatles",1965-12-03,146333,78,false,jackdutton8,2024-10-24T17:13:45Z,"classic rock,psychedelic rock","EMI Catalogue",0.688,0.435,9,-11.359,1,0.0323,0.449,0,0.113,0.435,103.239,4
spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,"Beyond the Sea","That's All","Bobby Darin",1959,172480,72,false,jackdutton8,2024-10-24T17:13:45Z,"big band,adult standards,swing music,doo-wop","Rhino Atlantic",0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483,4
spotify:track:3zBhihYUHBmGd2bcQIobrF,"(Sittin' On) the Dock of the Bay","The Dock of the Bay (Mono)","Otis Redding",1968,163755,79,false,jackdutton8,2024-10-24T17:13:45Z,"motown,soul,classic soul,soul blues","Rhino Atlantic",0.768,0.367,2,-11.226,1,0.0315,0.683,0.0000179,0.081,0.532,103.621,4
spotify:track:5IqzZrz4fXispKv8H65GUH,"Closest Thing to Heaven","Our Day Will Come","Frankie Valli",1975,208120,26,false,jackdutton8,2024-10-24T17:13:45Z,"","Rhino",0.515,0.412,3,-11.421,1,0.0329,0.467,0.0000249,0.574,0.24,135.793,4
spotify:track:5jgFfDIR6FR0gvlA56Nakr,"Blackbird - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,138386,79,false,jackdutton8,2024-10-24T17:13:45Z,"classic rock,psychedelic rock","EMI Catalogue",0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,4
spotify:track:5u5aVJKjSMJr4zesMPz7bL,"Clair de Lune, L. 32","Debussy: Clair De Lune and Other Piano Favourites","Claude Debussy;Martin Jones",1994,268000,67,false,jackdutton8,2024-10-24T17:13:45Z,"impressionism,classical,classical piano","Nimbus Records",0.335,0.00532,1,-31.646,1,0.0376,0.994,0.912,0.0621,0.0397,65.832,4
spotify:track:745H5CctFr12Mo7cqa1BMH,"My Girl","The Temptations Sing Smokey","The Temptations",1965-03-22,165000,80,false,jackdutton8,2024-10-24T17:13:45Z,"motown,classic soul,soul","UNI/MOTOWN",0.574,0.418,0,-10.739,1,0.0345,0.636,0,0.0961,0.692,104.57,4
spotify:track:7uWFUpGuEfmxYeymkV95jn,"Time in a Bottle","You Don't Mess Around With Jim","Jim Croce",1972-04-01,148586,72,false,jackdutton8,2024-10-24T17:13:45Z,"folk rock,singer-songwriter","R2M",0.533,0.157,2,-16.838,1,0.0374,0.888,0,0.108,0.587,134.019,3
spotify:track:2KNMqqNd3sLfeN4ukKduRT,"Moon River","Days Of Wine And Roses, Moon River And Other Academy Award Winners","Frank Sinatra",1964,199133,58,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.171,0.0632,0,-20.776,1,0.0327,0.945,0.0000271,0.121,0.168,81.406,3
spotify:track:6YtA7Q6hfDIsoKtGW31KZh,"Everybody Loves Somebody","The Columbia Years (1943-1952): The Complete Recordings: Volume 8","Frank Sinatra",2013-04-09,195333,33,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Columbia/Legacy",0.299,0.059,2,-20.806,1,0.0375,0.967,0.00000364,0.104,0.153,115.005,4
spotify:track:5gCgRhBV1YvKXqg60P6mCN,"Love Me Tender","Trilogy: Past, Present & Future","Frank Sinatra",1980-03-26,215640,31,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.309,0.258,11,-14.338,1,0.0305,0.799,0.000298,0.128,0.191,129.402,4
spotify:track:0Ab4lEHfPY98aqtQrKQbUu,"It Had To Be You","Trilogy: Past, Present & Future","Frank Sinatra",1980-03-26,234666,64,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.285,0.142,10,-18.543,1,0.0361,0.809,0.000084,0.0905,0.15,138.069,4
spotify:track:3bqj1Snuk0Vu67tYIe32yT,"I've Never Been In Love Before","Sinatra ’65","Frank Sinatra",1965,177160,26,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.238,0.334,8,-7.814,1,0.0296,0.871,0.0000488,0.0588,0.231,93.042,4
spotify:track:1Yv6PMPkvLdCIFbm9kanaz,"Autumn Leaves - Remastered 1999","Where Are You? (Remastered / Expanded Edition)","Frank Sinatra",1957-09,172866,56,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Capitol Records",0.216,0.105,2,-17.766,0,0.0319,0.868,0.0000484,0.181,0.0774,81.422,4
spotify:track:1PhQVR6Bxe2iQoIcjflemQ,"As Time Goes By - 1999 Remastered","Point Of No Return (Remastered / Expanded Edition)","Frank Sinatra",1962-03,197826,44,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Capitol Records",0.334,0.111,10,-16.527,1,0.0297,0.864,0.000456,0.128,0.27,81.861,3
spotify:track:0elmUoU7eMPwZX1Mw1MnQo,"The Way You Look Tonight","Days Of Wine And Roses, Moon River And Other Academy Award Winners","Frank Sinatra",1964,202160,69,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.622,0.24,5,-14.067,0,0.0363,0.798,0,0.142,0.587,132.234,4
spotify:track:5jqCYVWYZ1B21VesZgvi6T,"(They Long To Be) Close To You","Sinatra & Company","Frank Sinatra",1971-03,153666,47,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.34,0.176,11,-17.673,1,0.0312,0.676,0,0.134,0.348,91.293,4
spotify:track:1wmWCblhGwlUFjKpUBsZcp,"I Fall In Love Too Easily","The Columbia Years (1943-1952): The Complete Recordings: Volume 1","Frank Sinatra",1993-10-05,192893,39,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Columbia/Legacy",0.165,0.204,0,-14.064,1,0.031,0.902,0.00892,0.202,0.113,87.364,3
spotify:track:2I3ylRBVQRnjqc1ScJgAq6,"I've Got A Crush On You - Remastered 2006","Romance: Songs From The Heart","Frank Sinatra",2007-01-01,137306,35,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Capitol Records",0.452,0.0358,5,-17.28,1,0.0384,0.951,0,0.139,0.22,124.668,1
spotify:track:7I5pU6JAksvrQcE059vs1R,"I'm A Fool To Want You - Remastered 1999","Where Are You? (Remastered / Expanded Edition)","Frank Sinatra",1957-09,291426,52,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Capitol Records",0.186,0.149,2,-15.884,0,0.0336,0.889,0.000246,0.171,0.0909,88.959,1
spotify:track:7KyUS1fkcA491aobPDCcq1,"Moonlight Serenade - 2008 Remastered","Nothing But The Best (2008 Remastered)","Frank Sinatra",2008-05-13,208160,47,false,jackdutton8,2024-10-24T17:13:45Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.258,0.307,3,-10.371,1,0.0298,0.86,0,0.313,0.207,77.293,4
spotify:track:74VR3AkGPhbYXnxcOYa16x,"Strangers In The Night","Strangers In The Night (Expanded Edition)","Frank Sinatra",1966-05,157866,73,false,jackdutton8,2024-10-24T17:15:01Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.259,0.473,5,-8.275,1,0.0295,0.592,0,0.201,0.539,90.348,4
spotify:track:648TTtYB0bH0P8Hfy0FmkL,"Unforgettable","Unforgettable","Nat King Cole",1954-01-01,191973,71,false,jackdutton8,2024-10-24T17:15:03Z,"christmas,adult standards,vocal jazz,big band","CAPITOL CATALOG MKT (C92)",0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3
spotify:track:5I9sHwLDX28tLtzVgKLtpr,"Everybody Loves Somebody","Everybody Loves Somebody","Dean Martin",1964,167203,70,false,jackdutton8,2024-10-24T17:15:07Z,"christmas,adult standards,big band,swing music","Legacy Recordings",0.366,0.391,3,-12.322,1,0.0425,0.854,0,0.352,0.461,119.182,3
spotify:track:4feXcsElKIVsGwkbnTHAfV,"Somethin' Stupid","The World We Knew","Frank Sinatra;Nancy Sinatra",1967-08,162493,79,false,jackdutton8,2024-10-24T17:15:08Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.257,0.338,4,-12.902,1,0.0357,0.736,0,0.252,0.544,207.356,4
spotify:track:61sVa3rLHOYqrshahMJj0A,"It's Been a Long, Long Time (with Harry James & His Orchestra)","The Kitty Kallen Story","Kitty Kallen;Harry James",2022-12-02,206666,63,false,jackdutton8,2024-10-24T17:15:10Z,"big band,swing music,jazz","Legacy Recordings",0.33,0.156,0,-16.139,1,0.0326,0.875,0.0025,0.312,0.443,131.625,4
spotify:track:3NdHYXQK5gkFFEZvSMVVj6,"The Girl From Ipanema - 2008 Remastered","Nothing But The Best (2008 Remastered)","Frank Sinatra;Antônio Carlos Jobim",2008-05-13,194040,61,false,jackdutton8,2024-10-24T18:49:31Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz,bossa nova,brazilian jazz,mpb,latin jazz","FRANK SINATRA DIGITAL REPRISE",0.529,0.261,5,-14.493,1,0.0347,0.854,0.00000604,0.13,0.451,133.647,3
