Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GqIDx2QVGOpd4r1fZaUUW,"25 or 6 to 4 - 2002 Remaster","Chicago II","Chicago",1970-01-26,289800,65,false,jackdutton8,2021-12-16T02:29:17Z,"yacht rock,soft rock","Rhino",0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,4
spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,"Spirit In The Sky - Deluxe Edition","Spirit In The Sky (Deluxe Edition)","Norman Greenbaum",1969-01-01,242893,76,false,jackdutton8,2021-12-16T02:29:35Z,"classic rock","Craft Recordings",0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,4
spotify:track:6iX1f3r7oUJnMbGgQ2gx1j,"867-5309 / Jenny","Tommy Tutone - 2","Tommy Tutone",1981-12-04,226200,64,false,jackdutton8,2021-12-16T02:42:37Z,"","Columbia",0.584,0.708,5,-10.039,1,0.0593,0.0264,0.00364,0.112,0.564,137.657,4
spotify:track:1Jwc3ODLQxtbnS8M9TflSP,"Walk Like an Egyptian","The Essential Bangles","The Bangles",2004,204706,67,false,jackdutton8,2021-12-16T02:29:42Z,"jangle pop","Columbia",0.724,0.891,11,-7.818,1,0.0995,0.00344,0.0000472,0.3,0.818,103.022,4
spotify:track:3Pzh926pXggbMe2ZpXyMV7,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)","Cage The Elephant",2009-03-24,175493,75,false,jackdutton8,2021-12-16T02:30:08Z,"","Jive/Legacy",0.636,0.849,0,-7.075,1,0.106,0.0438,0,0.372,0.917,156.036,4
spotify:track:1hlveB9M6ijHZRbzZ2teyh,"We're Not Gonna Take It","Stay Hungry","Twisted Sister",1984-05-10,219666,9,false,jackdutton8,2021-12-16T02:42:36Z,"glam metal,glam rock","Rhino Atlantic",0.502,0.924,4,-6.299,1,0.0503,0.0127,0,0.162,0.922,149.186,4
spotify:track:1nmZ8yqKkfooOuYvtFctDp,"Heat Of The Moment","Asia","Asia",1982-03-08,227893,72,false,jackdutton8,2021-12-16T02:42:45Z,"aor,progressive rock,arena rock","Geffen",0.306,0.86,1,-7.371,1,0.0534,0.204,0.000146,0.369,0.541,136.265,4
spotify:track:0vOkmmJEtjuFZDzrQSFzEE,"Hit Me With Your Best Shot","Crimes Of Passion","Pat Benatar",1980-08-05,171266,71,false,jackdutton8,2021-12-16T02:43:04Z,"aor","Chrysalis\EMI Records (USA)",0.741,0.58,4,-9.05,1,0.0304,0.117,0.0000361,0.212,0.944,127.402,4
spotify:track:5QTxFnGygVM4jFQiBovmRo,"(Don't Fear) The Reaper","Agents Of Fortune","Blue Öyster Cult",1976,308123,77,false,jackdutton8,2021-12-16T02:30:50Z,"classic rock,hard rock","Columbia",0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,4
spotify:track:54EvqHberbpzMu7nu8hs9S,"Bang the Drum All Day","The Ever Popular Tortured Artist Effect","Todd Rundgren",1982,215400,51,false,jackdutton8,2021-12-16T02:31:03Z,"yacht rock,power pop,philly soul","Rhino",0.639,0.752,2,-12.454,1,0.0451,0.541,0,0.0453,0.966,143.086,4
spotify:track:1CQqupcyMg7176PPmIVmSj,"Renegade","Pieces Of Eight","Styx",1978-01-01,257226,71,false,jackdutton8,2021-12-16T02:31:30Z,"classic rock,aor,progressive rock","A&M",0.492,0.552,7,-12.32,0,0.0341,0.0151,0.0000374,0.0723,0.656,105.623,4
spotify:track:59J3FhCGYl18G3ouDReUge,"I've Been Everywhere","American II: Unchained","Johnny Cash",1996-01-01,196733,0,false,jackdutton8,2021-12-16T02:31:41Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.731,0.779,11,-5.884,0,0.0658,0.6,0.00000174,0.312,0.817,112.2,4
spotify:track:43DeSV93pJPT4lCZaWZ6b1,"The Boys Are Back In Town","Jailbreak (Deluxe Edition)","Thin Lizzy",1976,266720,72,false,jackdutton8,2021-12-16T02:32:00Z,"classic rock,hard rock","UMC (Universal Music Catalogue)",0.445,0.706,8,-9.803,1,0.0461,0.234,0.000252,0.205,0.768,80.823,4
spotify:track:35k31HZI4z9PbBOioaI4dZ,"Working for the Weekend","Get Lucky","Loverboy",1981,221000,5,false,jackdutton8,2021-12-16T02:32:11Z,"","Columbia",0.515,0.766,7,-12.768,1,0.0343,0.0249,0.00103,0.455,0.774,146.911,4
spotify:track:35wVRTJlUu2kDkqXFegOKt,"You Might Think","Heartbeat City (Expanded Edition)","The Cars",1984,184717,66,false,jackdutton8,2021-12-16T02:32:27Z,"power pop,new wave,classic rock","Rhino/Elektra",0.728,0.855,2,-6.031,1,0.0333,0.109,0.000576,0.113,0.971,133.887,4
spotify:track:4DMKwE2E2iYDKY01C335Uw,"Carry on Wayward Son","Leftoverture (Expanded Edition)","Kansas",1976,323000,78,false,jackdutton8,2021-12-16T02:32:42Z,"classic rock,progressive rock,aor","Epic/Legacy",0.482,0.786,7,-5.735,1,0.032,0.00321,0.0000888,0.446,0.793,126.755,4
spotify:track:1QEEqeFIZktqIpPI4jSVSF,"More Than a Feeling","Boston","Boston",1976,285133,82,false,jackdutton8,2021-12-16T02:43:27Z,"classic rock,aor","Epic/Legacy",0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4
