Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5DnT9a5IM3eMjKgXTWVJvi,"Have You Ever Seen The Rain","Pendulum","Creedence Clearwater Revival",1970-12-07,160333,68,false,jackdutton8,2023-09-16T15:56:15Z,"classic rock,southern rock,country rock","Fantasy Records",0.743,0.47,0,-13.154,1,0.029,0.0936,0.0000315,0.186,0.89,116.122,4
spotify:track:2ciMJGCDW70hqq18Vgui68,"Who'll Stop The Rain","Cosmo's Factory","Creedence Clearwater Revival",1970-07-24,147279,69,false,jackdutton8,2023-09-16T15:56:22Z,"classic rock,southern rock,country rock","Craft Recordings.",0.627,0.873,7,-5.415,1,0.0311,0.00804,0.000583,0.0555,0.628,123.113,4
spotify:track:6pxWv6GV35VGmcPf5dh6CH,"Proud Mary","Bayou Country (Expanded Edition)","Creedence Clearwater Revival",1969-01-05,187213,75,false,jackdutton8,2023-09-16T15:56:28Z,"classic rock,southern rock,country rock","Craft Recordings",0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,4
spotify:track:4i1zKPyfIF1QSkI70zcQ7S,"Honky Tonk Women - Mono Version","Forty Licks","The Rolling Stones",2023-07-26,181395,0,false,jackdutton8,2023-09-16T15:56:35Z,"classic rock,rock","Polydor Records",0.548,0.778,7,-6.367,1,0.0551,0.279,0.0247,0.0484,0.969,120.37,4
spotify:track:61UuPxxYUvacEH6SHIK3sU,"Brown Sugar - Remastered 2009","Sticky Fingers (Remastered)","The Rolling Stones",1971-04-23,228666,66,false,jackdutton8,2023-09-16T15:56:45Z,"classic rock,rock","Polydor Records",0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.602,4
spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,"Knockin' On Heaven's Door","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","Bob Dylan",1973-07-13,149880,84,false,jackdutton8,2023-09-16T15:57:17Z,"folk rock,folk,singer-songwriter,roots rock","Columbia/Legacy",0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,4
spotify:track:20OFwXhEXf12DzwXmaV7fj,"Bad Moon Rising","Green River (Expanded Edition)","Creedence Clearwater Revival",1969-08-03,141600,79,false,jackdutton8,2023-09-16T15:57:32Z,"classic rock,southern rock,country rock","Craft Recordings",0.508,0.774,2,-5.973,1,0.0321,0.0586,0.00000487,0.063,0.942,178.946,4
spotify:track:4BP3uh0hFLFRb5cjsgLqDh,"Fortunate Son","Willy And The Poor Boys (Expanded Edition)","Creedence Clearwater Revival",1969-11-02,140773,83,false,jackdutton8,2023-09-16T15:57:35Z,"classic rock,southern rock,country rock","Craft Recordings",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
spotify:track:7e89621JPkKaeDSTQ3avtg,"Sweet Home Alabama","Second Helping (Expanded Edition)","Lynyrd Skynyrd",1974-04-15,283800,81,false,jackdutton8,2023-09-16T15:57:39Z,"southern rock,classic rock,rock","Geffen*",0.596,0.606,7,-12.145,1,0.0255,0.181,0.000327,0.0863,0.886,97.785,4
spotify:track:5EWPGh7jbTNO2wakv8LjUI,"Free Bird","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,547106,79,false,jackdutton8,2023-09-16T15:57:42Z,"southern rock,classic rock,rock","Geffen*",0.249,0.834,0,-8.21,1,0.0574,0.0742,0.0000969,0.0924,0.337,118.222,4
spotify:track:4vO9dmzNRqDhFY3jD1a3P7,"Mississippi Queen","Climbing!","Mountain",1970,151293,67,false,jackdutton8,2023-09-16T15:57:46Z,"classic rock,blues rock,southern rock","Columbia/Legacy",0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,4
spotify:track:5aYVqxyetmT5OYmvZCA90X,"Slow Ride","Fool for the City","Foghat",1975,494533,55,false,jackdutton8,2023-09-16T15:57:50Z,"classic rock,southern rock","Rhino",0.441,0.641,2,-10.527,1,0.0495,0.00608,0.00713,0.175,0.585,113.709,4
spotify:track:5rX6C5QVvvZB7XckETNych,"All Summer Long","Rock n Roll Jesus","Kid Rock",2007-10-09,297586,73,false,jackdutton8,2023-09-16T15:58:07Z,"","Top Dog/Atlantic",0.7,0.864,7,-3.629,1,0.0283,0.0212,0,0.0956,0.887,102.997,4
spotify:track:1Ay5MiilZj2ZGQLeTWVJ6o,"Lodi","Green River (Expanded Edition)","Creedence Clearwater Revival",1969-08-03,193293,66,false,jackdutton8,2023-09-16T15:58:21Z,"classic rock,southern rock,country rock","Craft Recordings",0.773,0.675,5,-8.697,1,0.0281,0.324,0.000112,0.0896,0.925,126.866,4
spotify:track:5CQ30WqJwcep0pYcV4AMNc,"Stairway to Heaven - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,482830,81,false,jackdutton8,2023-09-16T15:58:30Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
spotify:track:0hCB0YR03f6AmQaHbwWDe8,"Whole Lotta Love - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,333893,78,false,jackdutton8,2023-09-16T15:58:37Z,"classic rock,rock,hard rock,rock and roll","Rhino Atlantic",0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,4
spotify:track:3qT4bUD1MaWpGrTwcvguhb,"Black Dog - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,295386,73,false,jackdutton8,2023-09-16T15:58:39Z,"classic rock,rock,hard rock,rock and roll","Atlantic Records",0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,4
spotify:track:0cKk8BKEi7zXbdrYdyqBP5,"Behind Blue Eyes","Who's Next (Deluxe Edition)","The Who",1971-08-14,221426,71,false,jackdutton8,2023-09-16T15:58:48Z,"classic rock,rock","Polydor Records",0.394,0.622,4,-8.258,0,0.0336,0.213,0.0000445,0.0892,0.342,126.844,4
spotify:track:1Q5kgpp4pmyGqPwNBzkSrw,"Roadhouse Blues","Morrison Hotel","The Doors",1970-02-09,243826,73,false,jackdutton8,2023-09-16T15:59:01Z,"psychedelic rock,classic rock,acid rock","Rhino/Elektra",0.623,0.633,9,-8.212,1,0.0304,0.336,0.000046,0.147,0.895,121.119,4
spotify:track:70YvYr2hGlS01bKRIho1HM,"La Grange - 2005 Remaster","Tres Hombres (Expanded 2006 Remaster)","ZZ Top",1973-07-26,230480,7,false,jackdutton8,2023-09-16T15:59:12Z,"southern rock,classic rock,blues rock,rock","Rhino/Warner Records",0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,4
spotify:track:6zGDIDjfDkPyNxrEERO3XG,"Tush - 2006 Remaster","Fandango! (Expanded 2006 Remaster)","ZZ Top",1975-04-18,137933,2,false,jackdutton8,2023-09-16T15:59:17Z,"southern rock,classic rock,blues rock,rock","Rhino/Warner Records",0.58,0.885,0,-5.154,0,0.0715,0.1,0.00157,0.146,0.788,145.405,4
spotify:track:56dtB7EzO7EneUgYwX8krC,"Up Around The Bend","Cosmo's Factory","Creedence Clearwater Revival",1970-07-24,159172,69,false,jackdutton8,2023-09-16T15:59:30Z,"classic rock,southern rock,country rock","Craft Recordings.",0.606,0.908,2,-5.736,1,0.037,0.00532,0.823,0.245,0.773,130.12,4
spotify:track:7y4CK8bbzxpyKu73WOvgHJ,"Ramblin' Man","Brothers And Sisters (Super Deluxe)","Allman Brothers Band",2013-06-25,288160,63,false,jackdutton8,2023-09-16T15:59:38Z,"southern rock,jam band,classic rock,blues rock,country rock","Mercury Records",0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,4
spotify:track:2PzU4IB8Dr6mxV3lHuaG34,"(I Can't Get No) Satisfaction - Mono","Out Of Our Heads","The Rolling Stones",1965-07-30,222813,77,false,jackdutton8,2023-09-16T15:59:39Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4
spotify:track:1hHGUdFaiJHw9hVZGJWYO2,"Midnight Rider","Idlewild South (Deluxe Edition Remastered)","Allman Brothers Band",1970-09-18,180066,70,false,jackdutton8,2023-09-16T15:59:53Z,"southern rock,jam band,classic rock,blues rock,country rock","Island Def Jam",0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,4
spotify:track:54eZmuggBFJbV7k248bTTt,"A Horse with No Name","America","America;George Martin",1972,252239,84,false,jackdutton8,2023-09-16T16:00:00Z,"yacht rock,soft rock,folk rock","Warner Records",0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,4
spotify:track:4IU1RL4BKvFyXtbTwaHAvW,"Ventura Highway","Homecoming","America;George Martin",1972-01-01,211680,79,false,jackdutton8,2023-09-16T16:00:12Z,"yacht rock,soft rock,folk rock","Warner Records",0.611,0.761,2,-5.929,1,0.0283,0.104,0.0002,0.122,0.838,130.705,4
spotify:track:1x1XQqhBViz4opcpwc7FVs,"Reelin' In The Years","Can't Buy A Thrill","Steely Dan",1972-11-01,277467,73,false,jackdutton8,2023-09-16T16:00:19Z,"yacht rock,classic rock","Geffen",0.494,0.54,2,-17.34,1,0.0348,0.154,0,0.0878,0.723,134.976,4
spotify:track:3FpKXPOG2FqB3QzmfafG1H,"My Old School","Countdown To Ecstasy","Steely Dan",1973-07-01,339281,59,false,jackdutton8,2023-09-16T16:00:29Z,"yacht rock,classic rock","Geffen",0.726,0.671,8,-9.852,1,0.0526,0.499,0.00841,0.0601,0.961,127.796,4
spotify:track:38llcrfX1arUqrEe0DRRzW,"I Got a Name - Stereo Version","I Got a Name","Jim Croce",1973-12-01,194493,0,false,jackdutton8,2023-09-16T16:00:46Z,"folk rock,singer-songwriter","R2M",0.553,0.652,4,-11.625,1,0.0403,0.81,0.0000171,0.115,0.66,86.988,4
spotify:track:14lDO5V0Ay0h1t8QTpbfi1,"Sandman","America","America",1972,308600,59,false,jackdutton8,2023-09-16T16:01:13Z,"yacht rock,soft rock,folk rock","Warner Records",0.395,0.647,9,-12.074,0,0.0375,0.207,0.0000329,0.113,0.633,75.824,4
spotify:track:1K9B43e0PyilYctK0WgoO4,"Don't Take Me Alive","The Royal Scam","Steely Dan",1976-01-01,256360,1,false,jackdutton8,2023-09-16T16:01:16Z,"yacht rock,classic rock","Geffen*",0.617,0.544,7,-9.529,0,0.0433,0.425,0.000948,0.34,0.623,119.068,4
spotify:track:4I87004AuztqZ2YEV1vVP9,"Pretzel Logic","Pretzel Logic","Steely Dan",1974-02-20,271106,56,false,jackdutton8,2023-09-16T16:01:29Z,"yacht rock,classic rock","Geffen",0.602,0.397,9,-14.039,0,0.0412,0.627,0.0715,0.154,0.662,95.071,4
spotify:track:1u42hFacJ1Bs8H9GX2O8z3,"Any Major Dude Will Tell You","Pretzel Logic","Steely Dan",1974-02-20,187345,61,false,jackdutton8,2023-09-16T16:01:32Z,"yacht rock,classic rock","Geffen",0.675,0.41,2,-15.248,1,0.0459,0.834,0.0000637,0.0939,0.503,80.279,4
spotify:track:4nXkbcTj3nyww1cHkw5RAP,"Long Train Runnin'","The Captain and Me","The Doobie Brothers",1973,207266,75,false,jackdutton8,2023-09-16T16:01:43Z,"yacht rock,classic rock,soft rock,southern rock","Warner Records",0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,4
