Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2BHj31ufdEqVK5CkYDp9mA,"Mayonaka no Door / Stay With Me","Miki Matsubara Best Collection","Miki Matsubara",2008,312293,68,false,jackdutton8,2022-08-17T22:57:07Z,"city pop,j-pop","PONY CANYON INC.",0.658,0.747,5,-6.615,1,0.0431,0.176,0.00000849,0.0789,0.792,108.259,4
spotify:track:7KYzARBusZhyZ6jygZDmVr,"SHYNESS BOY","Timely!!","Anri",1983-12-05,196666,60,false,jackdutton8,2022-08-17T22:57:18Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.765,0.777,1,-5.301,0,0.0306,0.142,0.000122,0.104,0.87,119.935,3
spotify:track:1qUo7d5lAOclNVbTUY0A2R,"Remember Summer Days","Timely!!","Anri",1983-12-05,295666,66,false,jackdutton8,2022-08-17T22:57:47Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.634,0.665,4,-4.969,1,0.0318,0.342,0.0000887,0.0709,0.787,96.698,4
spotify:track:0M9q4H3pQaoNUgBXZj34U1,"Wash","Miki Matsubara Best Collection","Miki Matsubara",2008,271040,45,false,jackdutton8,2022-08-17T22:57:49Z,"city pop,j-pop","PONY CANYON INC.",0.76,0.711,2,-8.797,1,0.0402,0.106,0.000517,0.163,0.962,132.66,4
spotify:track:3FYDqY5BRtx3IVSaiQZSze,"悲しみがとまらない　I CAN'T STOP THE LONELINESS","Timely!!","Anri",1983-12-05,263706,69,false,jackdutton8,2022-08-17T22:57:52Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.684,0.843,9,-4.256,1,0.0296,0.183,0.0000167,0.0635,0.885,132.027,4
spotify:track:7hgTD3nmWLbF58Rsugc27d,"BREEZIN'","オン・ギター","Masayoshi Takanaka",1994-06-25,350000,53,false,jackdutton8,2022-08-17T22:58:01Z,"jazz fusion,city pop,jazz funk","INVITATION",0.594,0.779,11,-9.609,0,0.0435,0.117,0.844,0.0404,0.765,104.434,4
spotify:track:3qvygC9c7JHUXkAk4fH9vA,"Bay City Romance","Miki Matsubara Best Collection","Miki Matsubara",2008,295866,39,false,jackdutton8,2022-08-17T22:58:07Z,"city pop,j-pop","PONY CANYON INC.",0.788,0.622,7,-10.704,1,0.0451,0.0242,0.000461,0.247,0.701,112.708,4
spotify:track:5CpS5wnbMqubch7uatRS6f,"フライディ・チャイナタウン","流しのOOJA〜VINTAGE SONG COVERS〜","Ms.OOJA",2020-08-26,180840,42,false,jackdutton8,2022-08-17T22:58:08Z,"j-pop,city pop,kayokyoku,j-r&b","Universal Music LLC",0.668,0.806,6,-4.831,0,0.0382,0.176,0,0.36,0.555,123.025,4
spotify:track:4M9Op6UQ36mhtjMBuevRYN,"Dress Down","Cologne","Kaoru Akimoto",1986,272533,58,false,jackdutton8,2022-08-17T22:58:09Z,"city pop","INVITATION",0.769,0.403,0,-15.134,1,0.051,0.197,0.000191,0.264,0.567,118.007,4
spotify:track:7fgmo2cHGzWLexkRhBeECj,"WINDY SUMMER","Timely!!","Anri",1983-12-05,246693,60,false,jackdutton8,2022-08-17T22:58:11Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.653,0.762,2,-5.042,1,0.0311,0.175,0.00113,0.174,0.838,106.951,4
spotify:track:5iUjWA0lGW4TXr6KJs6Y0r,"Shiawasenomonosashi","Expressions","Mariya Takeuchi",2008-05-21,327146,50,false,jackdutton8,2022-08-17T22:58:12Z,"city pop,kayokyoku,j-pop","WM Japan",0.7,0.814,4,-4.84,1,0.054,0.18,0,0.105,0.809,118.902,4
spotify:track:0MuZbj977Ud5aqmJXaBgf2,"Ai wa Energy","Miki Matsubara Best Collection","Miki Matsubara",2008,218933,38,false,jackdutton8,2022-08-17T22:58:14Z,"city pop,j-pop","PONY CANYON INC.",0.767,0.622,7,-8.182,1,0.0607,0.44,0,0.0369,0.763,110.924,4
spotify:track:20JcU4ZiYAuKE4oIal8WoV,"DRIVING MY LOVE","Timely!!","Anri",1983-12-05,291426,54,false,jackdutton8,2022-08-17T22:58:15Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.75,0.853,11,-4.624,0,0.0413,0.199,0.0000349,0.161,0.899,121.459,4
spotify:track:38LUbz74v3nmP8x0efElw2,"Last Summer Whisper","Heaven Beach","Anri",1982-11-21,299680,63,false,jackdutton8,2022-08-17T22:58:15Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.732,0.488,4,-8.65,1,0.0446,0.222,0.000149,0.0383,0.61,78.512,4
spotify:track:37NPLfEZQQ0rZTa9SRqWBL,"midnight cruisin'","midnight cruisin'","Kingo Hamada",1982-10-21,283000,59,false,jackdutton8,2022-08-17T22:58:19Z,"city pop","WM Japan",0.802,0.704,0,-7.896,0,0.0432,0.181,0.000912,0.284,0.92,121.85,4
spotify:track:4xu0gZ96zx1G7UdajUGDqD,"私達を信じていて","Angel Touch","Cindy",1990,352560,57,false,jackdutton8,2022-08-17T22:58:20Z,"city pop,j-r&b","Sony Music Direct (Japan) Inc.",0.692,0.754,0,-5.954,1,0.0313,0.605,0.00001,0.0687,0.653,116.722,4
spotify:track:4FlDhqXIaF6wiT7ssRTACB,"- Cupid -","Miki Matsubara Best Collection","Miki Matsubara",2008,325093,36,false,jackdutton8,2022-08-17T22:58:22Z,"city pop,j-pop","PONY CANYON INC.",0.694,0.687,6,-8.6,0,0.0546,0.162,0.000137,0.233,0.702,105.043,4
spotify:track:0SNdUPM8z7PlBlN3pyqVjB,"我がままなハイヒール","Cologne","Kaoru Akimoto",1986,303426,52,false,jackdutton8,2022-08-17T22:58:23Z,"city pop","INVITATION",0.821,0.468,7,-14.416,1,0.041,0.123,0.242,0.0416,0.683,106.671,4
spotify:track:2CzYHourfYD0fQBaBHgCNS,"Jazzy Night","Who Are You?","Miki Matsubara",1980,231760,43,false,jackdutton8,2022-08-17T22:58:27Z,"city pop,j-pop","PONY CANYON INC.",0.72,0.65,11,-9.036,0,0.0317,0.376,0.00000783,0.214,0.91,134.937,4
spotify:track:6ggCUjC5j2uhighYnTee8X,"キスカ","PACIFIC","Tatsuro Yamashita",1978,325533,46,false,jackdutton8,2022-08-17T22:58:30Z,"city pop,jazz fusion","Sony Music Direct (Japan) Inc.",0.609,0.761,1,-7.178,1,0.034,0.108,0.761,0.141,0.671,91.823,4
