Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0T5iIrXA4p5GsubkhuBIKV,"Until I Found You","Until I Found You","Stephen Sanchez",2021-09-01,177720,79,false,jackdutton8,2022-08-30T22:48:21Z,"","Republic Records",0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,3
spotify:track:44AyOl4qVkzS48vBsbNXaC,"Can't Help Falling in Love","Blue Hawaii","Elvis Presley",1961-10-20,185877,82,false,jackdutton8,2022-08-30T22:48:56Z,"rockabilly,rock and roll","RCA/Legacy",0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,3
spotify:track:0elmUoU7eMPwZX1Mw1MnQo,"The Way You Look Tonight","Days Of Wine And Roses, Moon River And Other Academy Award Winners","Frank Sinatra",1964,202160,69,false,jackdutton8,2022-08-30T22:52:12Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.622,0.24,5,-14.067,0,0.0363,0.798,0,0.142,0.587,132.234,4
spotify:track:2DpJ9T2RVRanZcYFHKOAfA,"Put Your Head On My Shoulder","Put Your Head On My Shoulder: The Very Best Of Paul Anka","Paul Anka",2000-10-03,154733,69,false,jackdutton8,2022-08-30T22:52:24Z,"adult standards","RCA Records Label",0.547,0.335,4,-9.2,0,0.0307,0.747,0,0.101,0.474,115.838,3
spotify:track:0oUBuOO4g9P4lREqfqR5nq,"A Man Without Love","A Man Without Love","Engelbert Humperdinck",1968-08-03,203133,69,false,jackdutton8,2022-08-30T22:52:51Z,"","Decca (UMO)",0.538,0.467,2,-9.589,1,0.0327,0.637,0,0.115,0.507,111.766,4
spotify:track:52XDumqYDUXX16R7FM5fpV,"It's Been a Long, Long Time (with Harry James & His Orchestra)","Best Of The Big Bands","Kitty Kallen;Harry James",1990-06-19,203773,54,false,jackdutton8,2022-08-30T22:53:16Z,"big band,swing music,jazz","Columbia",0.272,0.219,0,-9.767,1,0.0305,0.938,0.00086,0.263,0.374,74.697,4
spotify:track:0bfvHnWWOeU1U5XeKyVLbW,"Can't Take My Eyes off You","Solo","Frankie Valli",1967,203680,81,false,jackdutton8,2022-08-30T22:53:31Z,"","Rhino",0.581,0.78,4,-7.053,1,0.0567,0.508,0.0000107,0.0799,0.561,123.711,4
spotify:track:2ajUl8lBLAXOXNpG4NEPMz,"Sway","Michael Bublé","Michael Bublé",2003,188066,76,false,jackdutton8,2022-08-30T22:53:57Z,"christmas","143/Reprise",0.713,0.639,2,-5.529,0,0.0313,0.753,0,0.0878,0.737,125.959,4
spotify:track:0ymKjxROycoEzRr3vG9Atj,"Falling in Love","Flying","Cody Fry",2017-10-06,235122,38,false,jackdutton8,2022-08-30T22:54:37Z,"","Cody Fry/Decca US Records",0.323,0.211,7,-12.657,1,0.0434,0.867,0.00913,0.15,0.352,165.47,5
spotify:track:5hK2Ks25jW6aMmUAHpAN3F,"Falling for Ya - From ""Teen Beach Movie""/Soundtrack Version","Teen Beach Movie","Grace Phipps",2013-01-01,192800,66,false,jackdutton8,2022-08-30T22:55:23Z,"","Walt Disney Records",0.8,0.882,11,-4.436,0,0.0419,0.0216,0.503,0.0247,0.964,129.94,4
spotify:track:3z9OnsnvM6SFN2dzrSDdVO,"Love Like You (feat. Rebecca Sugar) - End Credits","Steven Universe, Vol. 1 (Original Soundtrack)","Steven Universe;Rebecca Sugar",2017-06-02,143629,74,false,jackdutton8,2022-08-30T22:55:45Z,"","Cartoon Network / WaterTower Music",0.591,0.242,0,-10.098,0,0.0312,0.879,0,0.15,0.292,118.001,3
spotify:track:72O82q8TpJTDKgJ7aCXjkk,"Photograph","Pictures of Mountains","Cody Fry",2021-01-29,209000,52,false,jackdutton8,2022-08-30T22:56:06Z,"","Cody Fry/Decca US Records",0.37,0.225,1,-10.589,1,0.0334,0.948,0.0000357,0.0835,0.3,113.823,4
spotify:track:6TvxPS4fj4LUdjw2es4g21,"Slipping Through My Fingers","The Visitors (Deluxe Edition)","ABBA",1981,233720,78,false,jackdutton8,2022-08-30T22:56:46Z,"","Polar Music International AB",0.475,0.26,5,-15.997,1,0.0322,0.796,0.0016,0.109,0.339,137.212,4
spotify:track:3NM41PVVUr0ceootKAtkAj,"As the World Caves In","Bad Contestant","Matt Maltese",2018-06-08,218754,73,false,jackdutton8,2022-08-30T22:57:10Z,"","Atlantic Records UK",0.327,0.449,10,-5.362,1,0.034,0.369,0.00444,0.22,0.179,123.969,4
spotify:track:7rWgGyRK7RAqAAXy4bLft9,"Angeleyes","Voulez-Vous","ABBA",1979,260893,71,false,jackdutton8,2022-08-30T22:57:39Z,"","Polar Music International AB",0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,4
spotify:track:4EWBhKf1fOFnyMtUzACXEc,"Pluto Projector","Pony","Rex Orange County",2019-10-25,267518,75,false,jackdutton8,2022-08-30T22:58:24Z,"bedroom pop","Rex Orange County",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
spotify:track:4UG2Fm0E98LhE2dlNxiAXx,"this is what falling in love feels like","this is what falling in love feels like","JVKE",2021-09-03,120308,2,false,jackdutton8,2022-08-30T22:58:43Z,"","JVKE",0.424,0.438,11,-5.53,1,0.0553,0.617,0,0.0837,0.325,128.983,5
