Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4TJUS843fKiqqIzycM74Oy,"Should've Been A Cowboy","Toby Keith","Toby Keith",1993-04-20,211306,75,false,jackdutton8,2025-04-20T01:06:40Z,"country,classic country","Mercury Nashville",0.618,0.672,7,-7.92,1,0.0353,0.441,0.00000149,0.214,0.705,133.439,4
spotify:track:7G6l2FtQyRhQgYgut2I6i8,"As Good As I Once Was","Honkytonk University","Toby Keith",2005-01-01,227840,74,false,jackdutton8,2025-04-20T01:06:42Z,"country,classic country","DreamWorks Nashville",0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.645,119.078,4
spotify:track:5qdQPrWmZv8xYhMJCDrdHF,"Heartache Medication","Heartache Medication","Jon Pardi",2019-09-27,209109,76,false,jackdutton8,2025-04-20T01:06:51Z,"country,acoustic country","Capitol Records Nashville",0.62,0.791,9,-3.343,1,0.0265,0.0361,0,0.143,0.734,95.075,4
spotify:track:1vBpwxsLVwaR4evBIaFmqD,"Drinkin' Problem","On The Rocks","Midland",2017-09-22,220800,77,false,jackdutton8,2025-04-20T01:07:01Z,"country,honky tonk","Big Machine Records, LLC",0.622,0.763,9,-6.4,1,0.0263,0.055,0.00000891,0.313,0.621,102,4
spotify:track:4ly1QBXEwYoDmje9rmEgC4,"Head Over Boots","California Sunrise","Jon Pardi",2016-05-13,202346,78,false,jackdutton8,2025-04-20T01:07:04Z,"country,acoustic country","Capitol Records Nashville",0.562,0.688,7,-4.474,1,0.0263,0.0763,0,0.0863,0.617,108.017,4
spotify:track:2M38X60UJnupGPbFTkVPNQ,"Neon Moon","Brand New Man","Brooks & Dunn",1991-08-13,261226,79,false,jackdutton8,2025-04-20T01:07:09Z,"country,classic country,acoustic country,honky tonk","Arista Nashville",0.735,0.488,9,-10.56,1,0.026,0.596,0.0000011,0.0949,0.452,102.383,4
spotify:track:7GQjJEwqlp6m5HNWVQd6OR,"Good Directions","Doin' Somethin' Right","Billy Currington",2005-01-01,215853,72,false,jackdutton8,2025-04-20T01:07:13Z,"country,acoustic country","Mercury Nashville",0.716,0.72,5,-2.183,1,0.031,0.307,0,0.135,0.48,122.441,4
spotify:track:6IC6VhpV7D8T1t037Atqpu,"Tequila Makes Her Clothes Fall Off","III","Joe Nichols",2005-01-01,187053,67,false,jackdutton8,2025-04-20T01:07:14Z,"country,acoustic country","Show Dog Universal Music",0.664,0.706,2,-7.045,1,0.027,0.129,0.00000106,0.0857,0.681,93.968,4
spotify:track:7Fq9RwQxSn3kW85PrDUf0M,"Boot Scootin' Boogie","#1s ... and then some","Brooks & Dunn",2009-09-08,198226,75,false,jackdutton8,2025-04-20T01:07:21Z,"country,classic country,acoustic country,honky tonk","Arista Nashville",0.656,0.817,11,-4.296,0,0.0435,0.22,0,0.304,0.862,130.448,4
spotify:track:7f08qp3HROTkfrtNpiYGGo,"Dirt On My Boots","California Sunrise","Jon Pardi",2016-05-13,201893,76,false,jackdutton8,2025-04-20T01:07:31Z,"country,acoustic country","Capitol Records Nashville",0.683,0.796,11,-4.179,1,0.0284,0.112,0,0.197,0.533,90.031,4
spotify:track:7aEtlGHoiPAfRB084NiDmx,"Beer Never Broke My Heart","What You See Is What You Get","Luke Combs",2019-11-08,186360,74,false,jackdutton8,2025-04-20T01:07:36Z,"country","River House Artists/Columbia Nashville",0.538,0.863,1,-4.483,1,0.0481,0.0139,0,0.0874,0.637,77.001,4
spotify:track:2WKLUgklz0VDX5bKTZ3eYD,"Buy Me a Boat","Buy Me a Boat","Chris Janson",2015-10-30,179077,65,false,jackdutton8,2025-04-20T01:07:43Z,"country","Warner Records",0.574,0.745,2,-6.663,1,0.0507,0.319,0,0.11,0.693,154.042,4
spotify:track:1soxUgYIZb1qx1c7o1Lc7z,"Drunk On A Plane","RISER","Dierks Bentley",2014-01-01,254466,69,false,jackdutton8,2025-04-20T01:07:57Z,"country","Capitol Records Nashville",0.423,0.73,9,-5.566,1,0.032,0.00495,0.0000113,0.238,0.66,205.972,4
spotify:track:60IGhnH20N82dNxKnc8jDd,"Knee Deep (feat. Jimmy Buffett)","You Get What You Give","Zac Brown Band;Jimmy Buffett",2010-09-20,203173,73,false,jackdutton8,2025-04-20T01:08:02Z,"country,acoustic country","Home Grown Music",0.715,0.584,8,-8.231,1,0.0296,0.432,0.00000141,0.095,0.609,90.99,4
spotify:track:2kR18wsL3gvXRXdNE4dCGc,"Homegrown","JEKYLL + HYDE","Zac Brown Band",2015-04-28,205000,69,false,jackdutton8,2025-04-20T01:08:07Z,"country,acoustic country","Home Grown Music",0.712,0.807,6,-3.976,1,0.0297,0.0244,0.000122,0.0905,0.936,105.024,4
spotify:track:5JlH51YDYsGj2dyEJKKjcN,"Alright","Learn To Live","Darius Rucker",2008-01-01,231920,68,false,jackdutton8,2025-04-20T01:08:10Z,"country","Capitol Nashville",0.601,0.806,7,-4.579,1,0.0345,0.0527,0,0.185,0.711,89.87,4
spotify:track:6n6OQfBpCgzF9oEg8zhBN7,"Get Along","Songs for the Saints","Kenny Chesney",2018-07-27,199625,67,false,jackdutton8,2025-04-20T01:08:12Z,"country","Blue Chair Records/Warner Bros.",0.632,0.804,7,-6.109,1,0.0503,0.101,0,0.17,0.35,92.456,4
spotify:track:57I7CUbXo4XlWuTVB8pXW6,"I Go Back","When The Sun Goes Down","Kenny Chesney",2004-01-22,243720,65,false,jackdutton8,2025-04-20T01:08:15Z,"country","BNA Records Label",0.532,0.842,5,-5.754,1,0.0503,0.0409,0,0.217,0.67,90.187,4
spotify:track:66pxmg3Jhjm09tHoWR1wVR,"All the Pretty Girls","Cosmic Hallelujah","Kenny Chesney",2017-04-28,212893,62,false,jackdutton8,2025-04-20T01:08:18Z,"country","Legacy Recordings",0.612,0.848,6,-3.736,1,0.0368,0.00916,0,0.366,0.719,120.996,4
spotify:track:65UCejW01DAovmluVYHWAt,"As She's Walking Away (feat. Alan Jackson)","You Get What You Give","Zac Brown Band;Alan Jackson",2010-09-20,223826,70,false,jackdutton8,2025-04-20T01:08:23Z,"country,acoustic country,country christian,classic country","Home Grown Music",0.553,0.619,3,-7.101,1,0.0308,0.479,0,0.123,0.376,183.908,4
spotify:track:5zGqTc1WQUe8XqqdnrpKTV,"Farmer's Daughter","It's America","Rodney Atkins",2010-06-29,205053,64,false,jackdutton8,2025-04-20T01:08:26Z,"country,acoustic country","Curb Records",0.612,0.791,6,-3.519,1,0.0291,0.224,0,0.112,0.786,133.977,4
spotify:track:1PoGWZbJPGmViVi7CYbDUK,"Drink A Beer","Crash My Party","Luke Bryan",2013-01-01,202626,65,false,jackdutton8,2025-04-20T01:08:31Z,"country,acoustic country","Capitol Records Nashville",0.483,0.432,8,-7.656,1,0.0343,0.836,0.0000519,0.199,0.296,78.262,4
spotify:track:5vLonpxn4VN0A8GtQOBSG0,"When the Sun Goes Down","When The Sun Goes Down","Kenny Chesney;Uncle Kracker",2004-01-22,290520,64,false,jackdutton8,2025-04-20T01:08:34Z,"country","BNA Records Label",0.798,0.741,9,-6.802,1,0.0284,0.0432,0.000003,0.252,0.708,104.945,4
spotify:track:4YKAOXyqkKZ5gOZR0AmVMN,"Red Solo Cup","Clancy's Tavern","Toby Keith",2011-10-21,223386,65,false,jackdutton8,2025-04-20T01:08:39Z,"country,classic country","Show Dog, LLC",0.535,0.56,4,-6.586,1,0.0901,0.287,0,0.209,0.785,164.17,4
spotify:track:6LLe2s3JrbawMkHzgyYeek,"REDNECKER","THIS OLE BOY","HARDY",2018-10-19,201832,63,false,jackdutton8,2025-04-20T01:08:46Z,"country,country rock","Big Loud",0.536,0.751,7,-5.472,1,0.0342,0.0506,0.0000963,0.1,0.51,143.977,4
spotify:track:03fT3OHB9KyMtGMt2zwqCT,"Play It Again","Crash My Party","Luke Bryan",2013-01-01,226866,75,false,jackdutton8,2025-04-20T01:09:01Z,"country,acoustic country","Capitol Records Nashville",0.506,0.886,11,-3.224,1,0.0655,0.0955,0,0.0734,0.595,143.938,4
spotify:track:67wUHsoXdZ8UOLt6rodpQ9,"Cold Beer Calling My Name","Bet You're from a Small Town","Jameson Rodgers;Luke Combs",2021-09-17,211293,56,false,jackdutton8,2025-04-20T01:09:14Z,"country","River House Artists/Columbia Nashville",0.585,0.863,7,-4.061,1,0.0401,0.0446,0,0.0937,0.788,147.931,4
spotify:track:1Y3TlYJNhIa7k4YAvFkJAB,"One Margarita","Born Here Live Here Die Here","Luke Bryan",2020-08-07,193426,62,false,jackdutton8,2025-04-20T01:09:15Z,"country,acoustic country","Capitol Records Nashville",0.641,0.842,9,-4.872,1,0.0464,0.0969,0,0.169,0.738,89.997,4
spotify:track:15npbUjCgwt2lRvyrJvyxw,"Tequila Little Time","Heartache Medication","Jon Pardi",2019-09-27,207161,63,false,jackdutton8,2025-04-20T01:09:25Z,"country,acoustic country","Capitol Records Nashville",0.757,0.705,2,-5.084,1,0.0252,0.0375,0.00000628,0.114,0.855,104.969,4
spotify:track:5jROdl6MhcmP3O7h2sVgtw,"Parachute","Traveller","Chris Stapleton",2015-05-04,253200,77,false,jackdutton8,2025-04-20T01:09:45Z,"country,outlaw country","Mercury Nashville",0.642,0.762,6,-7.411,1,0.0296,0.00967,0.0000572,0.182,0.605,113.038,4
spotify:track:178OI1A3qjROeFeh8lmNwW,"Traveller","Traveller","Chris Stapleton",2015-05-04,222413,74,false,jackdutton8,2025-04-20T01:09:47Z,"country,outlaw country","Mercury Nashville",0.543,0.75,2,-7.071,0,0.0282,0.0682,0.0166,0.125,0.758,88.107,4
spotify:track:3R0l4ivVzkajiNAYH07ZKl,"Dicked Down in Dallas","Dicked Down in Dallas","Trey Lewis",2020-12-01,201350,13,true,jackdutton8,2025-04-20T01:10:27Z,"country","Trey Lewis",0.51,0.929,6,-4.685,1,0.0456,0.0608,0.00000539,0.101,0.438,122.036,4
spotify:track:0Xg68XXMRWzKQvD5S6BFvI,"Dust On The Bottle","Out With A Bang","David Lee Murphy",1994-01-01,224666,69,false,jackdutton8,2025-04-20T01:10:49Z,"country,classic country","Geffen*",0.736,0.614,11,-11.124,1,0.0389,0.0237,0.00000584,0.292,0.858,99.942,4
spotify:track:6leiB1fEsTnVCuPiielde5,"Something Like That","A Place In The Sun","Tim McGraw",1999-05-04,183733,69,false,jackdutton8,2025-04-20T01:10:55Z,"country,classic country","Curb Records",0.507,0.85,5,-5.679,1,0.0472,0.378,0,0.0567,0.847,171.8,4
spotify:track:4TnUKixNWMfajncgdSwFoi,"Amarillo By Morning","Strait From The Heart","George Strait",1982-01-01,173466,74,false,jackdutton8,2025-04-20T01:11:04Z,"country,classic country,traditional country,honky tonk","Geffen*",0.606,0.361,9,-16.031,1,0.0346,0.264,0.0000339,0.38,0.621,121.059,4
