Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0bM1z18RQpr61UuI1LemIK,"Dixieland Delight","The Closer You Get...","Alabama",1983,325542,70,false,jackdutton8,2024-10-16T18:08:15Z,"classic country,country,country rock,country christian","RCA Records Label Nashville",0.444,0.414,2,-15.04,1,0.0325,0.163,0.0000207,0.053,0.573,95.73,4
spotify:track:1oWnDC5OoMPPosVY2cdXgT,"Lavender Girl","Lavender Days","Caamp",2022-06-24,203546,36,false,jackdutton8,2024-10-16T18:08:27Z,"indie folk,folk","Mom+Pop",0.716,0.735,11,-7.062,1,0.0272,0.341,0.000134,0.0969,0.694,124.001,4
spotify:track:6n7Aj8Ok0kyktLxFjcUreo,"Old Ties and Companions","Such Jubilee","Watchhouse",2015-05-05,188946,58,false,jackdutton8,2024-10-16T18:08:29Z,"bluegrass,americana,newgrass,folk","Yep Roc Records",0.657,0.368,7,-9.978,1,0.0281,0.884,0.00293,0.109,0.522,116.221,4
spotify:track:710kPLuzuSFx0s3k1Sa8ye,"Lonesome Moonlight Waltz","Fiddle Tune X","Billy Strings;Don Julin",2014-10-01,269520,25,false,jackdutton8,2024-10-16T18:08:56Z,"bluegrass,newgrass,jam band,americana","Billy Strings & Don Julin",0.518,0.28,0,-11.538,1,0.0387,0.935,0.901,0.153,0.561,97.051,3
spotify:track:6h3YJ05BovN1Pgk145J3r9,"Mama Tried","Mama Tried/ Pride In What I Am","Merle Haggard",2006-01-01,134453,60,false,jackdutton8,2024-10-16T18:09:18Z,"classic country,outlaw country,country,traditional country,honky tonk","Capitol Nashville",0.738,0.538,2,-10.118,1,0.0374,0.719,0.0000135,0.0653,0.81,97.487,4
spotify:track:2tgQaL85WoRfgEa4hFQgrE,"Feathered Indians","Purgatory","Tyler Childers",2017-08-04,224946,80,true,jackdutton8,2024-10-16T18:09:39Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,4
spotify:track:3t5OV1asJHmOlf23T08CLv,"Lady May","Purgatory","Tyler Childers",2017-08-04,183533,74,false,jackdutton8,2024-10-16T18:09:43Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,4
spotify:track:65UNQSH7RI4Lxw7VrXMp5y,"Fraulein (feat. Tyler Childers)","Colter Wall","Colter Wall;Tyler Childers",2017-05-12,143000,64,false,121358372,2024-10-16T18:25:45Z,"outlaw country,southern gothic,country,red dirt,alt country,bluegrass,americana,texas country","La Honda Records/RCA Records",0.473,0.124,7,-13.245,1,0.0339,0.942,0.0000349,0.126,0.476,139.584,4
spotify:track:7DTJLfd4Yd4Mz0A0q6L4d5,"Caroline (feat. Belle Plaine)","Imaginary Appalachia","Colter Wall;Belle Plaine",2015-06-02,173760,62,false,121358372,2024-10-16T18:25:48Z,"outlaw country,southern gothic,country,red dirt,alt country,bluegrass,americana","La Honda Records/RCA Records",0.497,0.18,11,-15.26,1,0.0422,0.836,0.27,0.111,0.495,73.718,4
spotify:track:5Joz6ZkjIK7WSxbuCwCR41,"I've Just Seen The Rock Of Ages","Rock Of Ages","Billy Strings;Don Julin",2013-12-31,227893,25,false,121358372,2024-10-16T18:26:09Z,"bluegrass,newgrass,jam band,americana","Acoustic Disc",0.522,0.419,9,-10.402,1,0.0315,0.799,0.00142,0.256,0.708,91.175,4
