Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2lkhByonBkll8JmfScz0K5,"Keep the Blues Away","By and By","Caamp",2019-07-26,233840,0,false,jackdutton8,2024-06-25T02:11:24Z,"indie folk,folk","Mom+Pop",0.505,0.554,1,-9.994,1,0.0376,0.687,0.0613,0.092,0.719,82.214,4
spotify:track:44Pi53Mdt0Bl5SPejqJljj,"Huckleberry Love","By and By","Caamp",2019-07-26,267160,0,false,jackdutton8,2024-06-25T02:11:26Z,"indie folk,folk","Mom+Pop",0.551,0.636,6,-8.773,1,0.0293,0.493,0.175,0.144,0.829,128.459,4
spotify:track:6uI9PtIAHfNYlrkemxxVcA,"Wild Child","Monarch","The Ghost of Paul Revere",2017-10-27,281437,46,false,jackdutton8,2024-06-25T02:11:29Z,"bluegrass,folk","Americana Vibes",0.431,0.703,2,-7.534,1,0.04,0.186,0.00000136,0.0956,0.345,168.183,4
spotify:track:1h79ueqKJXkEeH3UBfffxQ,"Books","Books","Caamp",2018-07-13,236094,0,false,jackdutton8,2024-06-25T02:11:31Z,"indie folk,folk","Caamp",0.61,0.329,4,-13.107,1,0.0374,0.775,0.0227,0.27,0.492,92.895,4
spotify:track:7KJYfJq1M0n1lbIVzgomgU,"Great Heights","Caamp","Caamp",2016-03-08,138048,0,false,jackdutton8,2024-06-25T02:11:44Z,"indie folk,folk","Caamp",0.712,0.424,7,-11.75,1,0.0363,0.407,0.00636,0.0683,0.535,82.666,4
spotify:track:6v3fTUFKWI1qjJR0SnfYgi,"Montreal","Monarch","The Ghost of Paul Revere",2017-10-27,226193,45,false,jackdutton8,2024-06-25T02:11:50Z,"bluegrass,folk","Americana Vibes",0.488,0.558,1,-6.86,1,0.0291,0.0983,0.00003,0.113,0.249,149.851,3
spotify:track:3o5K1YmFz9i9KluRGJusd1,"Rubble To Rubble","Latigo EP","Wilderado",2017-07-28,204000,52,false,jackdutton8,2024-06-25T02:12:01Z,"","Ignition Records Ltd",0.559,0.454,9,-8.377,0,0.0377,0.376,0.00000488,0.258,0.284,134.941,4
spotify:track:3PqB9Lt9QcGglKIX9yEqpN,"California, Be Kind","Hazard & Fate","The Last Revel",2017-04-14,299253,29,false,jackdutton8,2024-06-25T02:12:09Z,"bluegrass,newgrass,americana,folk","The Last Revel",0.467,0.474,2,-10.635,1,0.0507,0.35,0.0000121,0.101,0.214,136.616,4
spotify:track:3NU3GuVZPOmkbTAk006znp,"Jenny Jenkins","Mt. Joy","Mt. Joy",2018-03-02,199386,60,true,jackdutton8,2024-06-25T02:12:10Z,"","Dualtone Music Group",0.729,0.406,8,-9.388,1,0.0534,0.248,0,0.114,0.177,127.954,4
spotify:track:6gwMhuVPNWwFTTKHKRtJun,"All the Debts I Owe","Caamp","Caamp",2016-03-08,193048,2,false,jackdutton8,2024-06-25T02:12:12Z,"indie folk,folk","Caamp",0.463,0.484,0,-11.065,1,0.0435,0.754,0.00467,0.134,0.474,93.297,4
spotify:track:2R3I5DiDf8bLz2QjrPmUpk,"Vagabond","Caamp","Caamp",2016-03-08,129463,2,false,jackdutton8,2024-06-25T02:12:15Z,"indie folk,folk","Caamp",0.571,0.399,4,-11.92,1,0.0364,0.766,0.0146,0.0926,0.612,141.932,4
spotify:track:6n7Aj8Ok0kyktLxFjcUreo,"Old Ties and Companions","Such Jubilee","Watchhouse",2015-05-05,188946,58,false,jackdutton8,2024-06-25T02:12:19Z,"bluegrass,americana,newgrass,folk","Yep Roc Records",0.657,0.368,7,-9.978,1,0.0281,0.884,0.00293,0.109,0.522,116.221,4
spotify:track:0zesU7Cq6UM582kMYC6J3E,"The Otter","Lavender Days","Caamp",2022-06-24,178080,30,false,jackdutton8,2024-06-25T02:12:21Z,"indie folk,folk","Mom+Pop",0.488,0.71,8,-7.954,1,0.0368,0.153,0.0000504,0.116,0.231,103.771,4
spotify:track:7yJbLez2ieMI2PBybVp8Nu,"Peach Fuzz","By and By","Caamp",2019-07-26,224360,0,false,jackdutton8,2024-06-25T02:12:22Z,"indie folk,folk","Mom+Pop",0.709,0.644,1,-7.751,1,0.0356,0.158,0.000299,0.143,0.912,127.286,4
spotify:track:0YIr0EWqHv5lK9nPH0E1Aq,"Moonsmoke","By and By","Caamp",2019-07-26,198346,0,false,jackdutton8,2024-06-25T02:12:46Z,"indie folk,folk","Mom+Pop",0.654,0.303,9,-13.882,0,0.0358,0.786,0.881,0.0822,0.114,120.714,4
spotify:track:3J2SefFgx68fw3RI2x2OLx,"Engine Trouble","Hazard & Fate","The Last Revel",2017-04-14,285306,45,false,jackdutton8,2024-06-25T02:12:54Z,"bluegrass,newgrass,americana,folk","The Last Revel",0.529,0.497,2,-8.979,1,0.0436,0.196,0.00000375,0.101,0.449,135.315,4
spotify:track:6JLDtbLnwXylINj16yAtPp,"You Should've Seen The Other Guy","In Memory Of Loss (Deluxe Edition)","Nathaniel Rateliff",2017-05-19,181283,53,false,jackdutton8,2024-06-25T02:13:02Z,"indie folk,americana","Fantasy Records",0.6,0.424,0,-8.975,1,0.0358,0.432,0.000005,0.111,0.384,79.119,4
spotify:track:0Uz8VFn3xDmxuPIDnyZRY4,"Wake Me","Haste Make / Hard Hearted Stranger","Watchhouse",2011-11-08,281853,47,false,jackdutton8,2024-06-25T02:13:19Z,"bluegrass,americana,newgrass,folk","Mandolin Orange",0.552,0.329,0,-11.897,1,0.0343,0.946,0.434,0.105,0.344,135.1,4
spotify:track:2jJdICOkaTipsM9zccfbeS,"See the World","Caamp","Caamp",2016-03-08,138451,0,true,jackdutton8,2024-06-25T02:13:29Z,"indie folk,folk","Caamp",0.423,0.532,1,-10.343,1,0.0296,0.414,0.145,0.083,0.402,133.919,4
spotify:track:1oWnDC5OoMPPosVY2cdXgT,"Lavender Girl","Lavender Days","Caamp",2022-06-24,203546,36,false,jackdutton8,2024-06-25T02:13:32Z,"indie folk,folk","Mom+Pop",0.716,0.735,11,-7.062,1,0.0272,0.341,0.000134,0.0969,0.694,124.001,4
spotify:track:69BWKQ0qeTnPHdk4lxuLcD,"Snowshoes","Lavender Days","Caamp",2022-06-24,204560,33,false,jackdutton8,2024-06-25T02:13:35Z,"indie folk,folk","Mom+Pop",0.409,0.551,11,-9.227,1,0.0335,0.5,0.0253,0.0961,0.405,90.407,4
spotify:track:2pfAvgMoHLfialvMYn337d,"No Sleep","By and By","Caamp",2019-07-26,237760,0,false,jackdutton8,2024-06-25T02:13:41Z,"indie folk,folk","Mom+Pop",0.704,0.71,8,-7.387,1,0.0284,0.533,0.0011,0.148,0.897,123.89,4
spotify:track:4xXglb2SBiHnqPMQiItlrG,"Let Loose","Rearrange Us","Mt. Joy",2020-06-05,221946,0,false,jackdutton8,2024-06-25T02:13:44Z,"","Dualtone Music Group, Inc.",0.514,0.642,0,-6.938,1,0.0326,0.496,0.00506,0.134,0.618,147.031,4
spotify:track:0g7exrz3J7Ew9Et3NKOopv,"Officer of Love","Officer of Love","Caamp",2020-09-30,239805,59,false,jackdutton8,2024-06-25T02:13:45Z,"indie folk,folk","Mom+Pop",0.662,0.567,4,-8.699,1,0.0262,0.297,0.00953,0.115,0.947,109.083,4
spotify:track:7qB3O5pjTCpuEpW98jrRHD,"Apple Tree Blues","Lavender Days","Caamp",2022-06-24,212680,29,false,jackdutton8,2024-06-25T02:13:51Z,"indie folk,folk","Mom+Pop",0.537,0.649,8,-10.932,1,0.0308,0.515,0.0641,0.119,0.737,173.027,4
spotify:track:1kjmgTx2PCBJTPTue0bDb4,"The Mtn. Song","Feathers & Fishhooks","Rayland Baxter",2012-08-28,268640,39,false,jackdutton8,2024-06-25T02:13:55Z,"southern gothic","ATO Records",0.666,0.735,2,-7.02,1,0.0282,0.112,0.00000297,0.115,0.895,121.036,4
spotify:track:2538yYWknqfUIMZy1jOkFb,"Hold My Hand","Graveyard Flower","Sam Burchfield",2020-02-28,257511,0,false,jackdutton8,2024-06-25T02:14:00Z,"","EatMusic",0.596,0.507,0,-5.535,1,0.0263,0.513,0.0000187,0.112,0.154,93.955,4
spotify:track:1EJH1asj2zzY1pTbU9AhF9,"Believe","Lavender Days","Caamp",2022-06-24,195106,27,false,jackdutton8,2024-06-25T02:14:01Z,"indie folk,folk","Mom+Pop",0.516,0.635,3,-8.024,1,0.0347,0.0324,0.00187,0.0674,0.704,150.067,4
