Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7hm4HTk9encxT0LYC0J6oI,"Someday","Is This It","The Strokes",2001-07-30,183440,67,false,jackdutton8,2023-04-13T00:19:07Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,4
spotify:track:6DdG185ux6J0FX8mGcQMHj,"WE'RE ALL ALONE","オン・ギター","Masayoshi Takanaka",1994-06-25,338200,37,false,jackdutton8,2023-04-13T00:19:31Z,"jazz fusion,city pop,jazz funk","INVITATION",0.342,0.504,2,-9.953,1,0.0279,0.205,0.538,0.301,0.272,134.124,4
spotify:track:1ITQbrueGLl581a25XXm9c,"Rocky Raccoon - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,213106,59,false,jackdutton8,2023-04-13T00:20:10Z,"classic rock,psychedelic rock","EMI Catalogue",0.599,0.363,7,-11.728,1,0.0315,0.333,0,0.243,0.648,79.456,4
spotify:track:0OM9ri37LIbPc9hffwsyb1,"Hard To Explain","Is This It","The Strokes",2001-07-30,224333,61,false,jackdutton8,2023-04-13T00:21:40Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.408,0.666,7,-6.286,1,0.0578,0.000455,0.862,0.0889,0.666,82.523,4
spotify:track:2McT9smAArZgp6jKdLnL0X,"Mexico","Prolonging the Magic","CAKE",1998-02-05,206400,46,false,jackdutton8,2023-04-13T00:21:53Z,"alternative rock","Volcano",0.597,0.429,0,-9.916,1,0.0306,0.229,0.0279,0.0807,0.465,149.164,3
spotify:track:2O7heTmxheKOe1T0jNBPd1,"Last Train Home","Still Life (Talking)","Pat Metheny Group",1987,338186,0,false,jackdutton8,2023-04-13T00:22:58Z,"jazz fusion,jazz,smooth jazz","Nonesuch",0.406,0.489,10,-14.657,1,0.0297,0.678,0.922,0.0538,0.305,80.052,3
spotify:track:6g8WWi9euV5uIjzsOfHRAo,"Wait for Me","The Very Best of Daryl Hall / John Oates","Daryl Hall & John Oates",2001-01-23,247093,34,false,jackdutton8,2023-04-13T00:25:33Z,"yacht rock,soft rock","RCA Records Label",0.616,0.662,10,-9.315,1,0.0352,0.153,0,0.0663,0.954,175.123,4
spotify:track:48wH8bAxvBJO2l14GmNLz7,"Wait for the Moment","My First Car","Vulfpeck",2013-12-06,230676,61,false,jackdutton8,2023-04-13T00:26:10Z,"funk,funk rock","Vulf Records",0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
spotify:track:4ggBNp8hNiQc87tRErQrz1,"By Your Side","Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition)","Beachwood Sparks",2021-07-09,298266,34,false,jackdutton8,2023-04-13T00:26:28Z,"neo-psychedelic,alt country","ABKCO Music & Records, Inc.",0.261,0.717,11,-6.612,1,0.0339,0.654,0.0321,0.206,0.634,144.646,4
spotify:track:0DI3WNmIyfi2GZLQwhYDQC,"KOMM, SUSSER TOD - M-10 Director's Edit Version","Evangelion Finally","Arianne",2020-12-04,466481,57,false,jackdutton8,2023-04-13T00:26:47Z,"anime","Masterworks",0.562,0.747,10,-5.473,1,0.0274,0.0596,0.00000828,0.113,0.708,151.654,4
spotify:track:3kKb3U3a8jmUJQB9ypE1Jl,"Under Control","Room On Fire","The Strokes",2003-10-28,187306,57,false,jackdutton8,2023-04-13T00:28:46Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.406,0.72,1,-4.647,1,0.0291,0.354,0.795,0.0541,0.641,91.336,4
spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma","Comedown Machine","The Strokes",2013-03-25,204773,72,false,jackdutton8,2023-04-13T00:29:02Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
spotify:track:1TKTiKp3zbNgrBH2IwSwIx,"Us and Them","The Dark Side of the Moon","Pink Floyd",1973-03-01,472626,71,false,jackdutton8,2023-04-13T00:29:46Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.357,0.302,2,-14.526,1,0.0303,0.862,0.559,0.634,0.135,72.518,4
