Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2zzLRQ78kKfPTx8FJQCdC2,"When The Sun Goes Down","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,202133,73,true,jackdutton8,2023-01-11T15:57:37Z,"indie,garage rock","Domino Recording Co",0.348,0.875,11,-4.758,0,0.199,0.0341,0,0.117,0.407,169.152,4
spotify:track:4mwV1R7sI1sFql5aQlCmRQ,"Perhaps, Perhaps, Perhaps","Fashion Nugget","CAKE",1996-09-17,144378,44,false,jackdutton8,2023-01-11T15:59:21Z,"alternative rock","Volcano",0.713,0.439,0,-8.731,1,0.0615,0.079,0.00015,0.434,0.89,113.736,4
spotify:track:3Am4yxuwBTorY6kaqX31zE,"40'","Franz Ferdinand","Franz Ferdinand",2004-02-16,204266,49,false,jackdutton8,2023-01-11T16:01:15Z,"indie rock","Domino Recording Co",0.58,0.557,7,-9.164,0,0.0341,0.00129,0.0618,0.128,0.622,103.769,4
spotify:track:6Z3pIqEp5n5faSopwto0tB,"King Rat","No One's First, And You're Next","Modest Mouse",2009-07-30,330573,41,false,jackdutton8,2023-01-11T16:03:28Z,"indie rock,indie,alternative rock","Epic",0.305,0.727,0,-5.116,0,0.0394,0.0536,0.000179,0.139,0.716,177.227,4
spotify:track:4Hzg7Hcqo2aUooTQ0pnBYC,"The Denial Twist","Get Behind Me Satan","The White Stripes",2005-06-07,155773,52,false,jackdutton8,2023-01-11T16:03:51Z,"garage rock,blues rock,rock,alternative rock","Legacy Recordings",0.514,0.756,10,-7.988,0,0.147,0.337,0,0.135,0.764,90.307,4
spotify:track:0ORabtkmYYOk5X8GfHUPDZ,"Come On Home","Franz Ferdinand","Franz Ferdinand",2004-02-16,226400,45,false,jackdutton8,2023-01-11T16:04:26Z,"indie rock","Domino Recording Co",0.577,0.869,9,-8.907,0,0.0458,0.000704,0.219,0.0764,0.481,116.41,4
spotify:track:4gT8lyyMbQGPl7DXZCq5Pn,"Modern Guilt","Modern Guilt","Beck",2008-07-08,192466,37,false,jackdutton8,2023-01-11T16:04:51Z,"anti-folk","Beck",0.733,0.498,10,-6.972,0,0.0319,0.0396,0.635,0.101,0.645,75.086,4
spotify:track:6MyZDt84pg8y8ySGXFiOzz,"Long Line of Cars","Comfort Eagle","CAKE",2001-07-24,203804,46,false,jackdutton8,2023-01-11T16:00:34Z,"alternative rock","Columbia",0.734,0.53,11,-11.731,1,0.0347,0.308,0.00475,0.109,0.895,100.03,4
spotify:track:0hDQV9X1Da5JrwhK8gu86p,"Maps","Fever To Tell (Deluxe Remastered)","Yeah Yeah Yeahs",2003-04-29,219986,69,false,jackdutton8,2023-01-11T16:05:59Z,"indie rock","Yeah Yeah Yeahs - Fever to Tell PS",0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783,4
spotify:track:6gU7ohksNd6LsEJMWfDRhp,"Soma","Is This It","The Strokes",2001-07-30,153840,53,false,jackdutton8,2023-01-11T16:07:59Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.499,0.706,0,-7.335,1,0.0302,0.0747,0.00289,0.0753,0.483,148.928,4
spotify:track:6q0VhEKHOFzI6vtotZtaNw,"Opera Singer","Comfort Eagle","CAKE",2001-07-24,246326,39,false,jackdutton8,2023-01-11T16:11:10Z,"alternative rock","Columbia",0.7,0.588,4,-11.374,1,0.0426,0.0561,0.0168,0.0622,0.95,94.975,4
spotify:track:3tc0yir2NHwhzVWZnmukhS,"Jacqueline","Franz Ferdinand","Franz Ferdinand",2004-02-16,229026,49,false,jackdutton8,2023-01-11T16:11:21Z,"indie rock","Domino Recording Co",0.311,0.698,0,-8.575,0,0.0606,0.000115,0.00254,0.378,0.342,154.031,4
