Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5NelxeQ8Yd4ytdhdGog8c5,"(You) Got What I Need","Cry To Me-The Best Of Freddie Scott","Freddie Scott",1998-02-17,179333,53,false,jackdutton8,2024-11-14T04:54:37Z,"","Columbia/Legacy",0.408,0.518,0,-10.842,1,0.0743,0.534,0,0.134,0.805,186.947,4
spotify:track:2OyaNAq8BcGstyzueloqpE,"Too Late To Turn Back Now","The Story Of Cornelius Brothers & Sister Rose","Cornelius Brothers & Sister Rose",1996-01-01,198693,60,false,jackdutton8,2024-11-14T23:59:08Z,"classic soul,motown","Capitol Records",0.516,0.73,7,-7.136,1,0.0494,0.344,0,0.425,0.907,115.126,4
spotify:track:62PQXBFeAgS3iUseNRVPpF,"It's All Right - Single Version","It's All Right","The Impressions",1995-01-01,167973,52,false,jackdutton8,2024-11-14T23:59:11Z,"motown,classic soul,soul,northern soul,doo-wop","Geffen",0.558,0.365,1,-15.422,1,0.25,0.256,0,0.341,0.635,81.503,3
spotify:track:1h4XVjt26ZCDKmeEoHxT07,"Gimme Little Sign","Oogum Boogum","Brenton Wood",1967-01-01,141329,60,false,jackdutton8,2024-11-14T23:59:11Z,"","The Bicycle Music Company",0.742,0.663,10,-5.06,0,0.0321,0.154,0,0.197,0.913,113.005,4
spotify:track:3a7XVyRJjALtpwueWmGR12,"Baby Let Me Take You (In My Arms)","You Want It, You Got It","Detroit Emeralds",1972-01-31,230368,39,false,jackdutton8,2024-11-14T23:59:12Z,"northern soul","Westbound Records",0.683,0.482,6,-9.147,0,0.034,0.233,0.000249,0.0639,0.552,81.473,4
spotify:track:0vstoapfzoOlqD8zurG2uJ,"Twenty Five Miles","25 Miles","Edwin Starr",1969-01-01,198213,50,false,jackdutton8,2024-11-14T23:59:12Z,"northern soul,motown,classic soul","UNI/MOTOWN",0.814,0.836,1,-7.376,1,0.0607,0.0595,0.0000149,0.224,0.964,124.567,4
spotify:track:4PUMH53Y4L21OnhNxVpoXg,"Good Times","Ain't That Good News","Sam Cooke",2003,148186,52,false,jackdutton8,2024-11-14T23:59:12Z,"motown,soul,classic soul","ABKCO Music & Records, Inc.",0.659,0.615,2,-8.796,1,0.0731,0.687,0,0.243,0.853,119.56,4
spotify:track:1sG3M0yjIYweejCR9Amyh6,"Groove Me","King Floyd","King Floyd",1971-01-01,183266,60,false,jackdutton8,2024-11-14T23:59:12Z,"classic soul,motown","Chimneyville Records",0.908,0.421,11,-9.382,1,0.0648,0.26,0.00065,0.0805,0.861,102.977,4
spotify:track:5RnlUyTKgmd7V6tXdQcKVK,"Ready or Not Here I Come (Can't Hide from Love)","The Sound Of Sexy Soul","The Delfonics",1969,119466,48,false,jackdutton8,2024-11-14T23:59:14Z,"philly soul,classic soul,motown","RCA/Legacy",0.552,0.636,3,-6.215,1,0.0338,0.304,0.0000232,0.153,0.663,82.884,4
spotify:track:755QPhAgO1YSmbs8a9M9b9,"Grazing In the Grass","Grazin'","The Friends Of Distinction",1969-03-26,174080,47,false,jackdutton8,2024-11-14T23:59:14Z,"classic soul,motown","Legacy Recordings",0.595,0.857,1,-6.89,0,0.163,0.498,0,0.355,0.74,127.629,4
