Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4U45aEWtQhrm8A5mxPaFZ7,"Vienna","The Stranger (Legacy Edition)","Billy Joel",1977,214240,84,false,jackdutton8,2022-08-06T04:23:06Z,"soft rock","Columbia/Legacy",0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4
spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,"Homage","Skiptracing","Mild High Club",2016-08-26,177493,73,false,jackdutton8,2022-08-06T04:29:57Z,"neo-psychedelic","Stones Throw Records",0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4
spotify:track:0R3TWpoxAhT3HDXM7tpRzS,"Ghostride","Jinx","Crumb",2019-06-14,126120,68,false,jackdutton8,2022-09-10T16:32:09Z,"neo-psychedelic,bedroom pop","Crumb Records",0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,0.109,0.451,87.057,4
spotify:track:2tuk3PezhFMV8fBB433tV0,"Swept Away","Origin","Vanilla",2015-09-20,239952,0,false,jackdutton8,2022-08-06T04:30:14Z,"lo-fi beats","VinDig",0.728,0.668,2,-8.361,1,0.0406,0.0231,0.76,0.124,0.598,92.03,4
spotify:track:5u9cuDcYdOpSRB7fAYXXdp,"Marcel","Songs of Her's","Her's",2017-05-12,187571,64,false,jackdutton8,2022-08-06T04:31:46Z,"indie","Heist Or Hit Records",0.625,0.645,9,-5.959,1,0.0278,0.54,0.0776,0.347,0.685,106.996,4
spotify:track:5S5u0EWtlblH00iTNExZ6X,"I Think I Like When It Rains","Locals 2","WILLIS",2017-06-12,278293,0,false,jackdutton8,2022-08-06T05:07:00Z,"","WILLIS",0.622,0.471,9,-7.105,1,0.0277,0.0448,0,0.0957,0.278,124.455,4
spotify:track:209g8XrYu3ov4Wt4bRk2Yw,"Shadow People","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,253093,45,false,jackdutton8,2022-08-06T23:30:41Z,"","Anti/Epitaph",0.434,0.707,7,-5.472,1,0.0399,0.119,0,0.0997,0.477,176.612,4
spotify:track:7H7NyZ3G075GqPx2evsfeb,"Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,83,false,jackdutton8,2022-08-06T23:31:01Z,"indie,lo-fi indie","Captured Tracks",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
spotify:track:7sIx70dGj3VBiHWr0KZXfD,"Blondie","Wild Heart","Current Joys",2013-01-02,194733,3,false,jackdutton8,2022-08-06T23:32:41Z,"lo-fi indie","Current Joys",0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,4
spotify:track:01TyFEZu6mHbffsVfxgrFn,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,2,false,jackdutton8,2022-08-06T23:32:42Z,"bedroom pop,indie pop","Indie",0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
spotify:track:4LpUpiYoZ2M3Z1kmhn4EQo,"Still Beating","This Old Dog","Mac DeMarco",2017-05-05,181586,72,false,jackdutton8,2022-08-06T23:33:26Z,"indie,lo-fi indie","Captured Tracks",0.709,0.496,1,-10.528,0,0.0417,0.581,0.191,0.151,0.469,78.477,4
spotify:track:7CEV9VwA8XO9wwxTXgYKvY,"I And Love And You","I And Love And You","The Avett Brothers",2009-01-01,300840,59,false,jackdutton8,2022-08-06T23:33:54Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.424,0.264,2,-9.984,1,0.0298,0.831,0.0000708,0.0763,0.169,139.593,4
spotify:track:74f0dpqHhTeTJzs4pmZ1yq,"Pool House","When We Were Friends","The Backseat Lovers",2019-01-27,269411,69,false,jackdutton8,2022-08-06T23:34:27Z,"","The Backseat Lovers",0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,4
spotify:track:0T5iIrXA4p5GsubkhuBIKV,"Until I Found You","Until I Found You","Stephen Sanchez",2021-09-01,177720,79,false,jackdutton8,2022-08-06T23:35:28Z,"","Republic Records",0.539,0.508,10,-6.05,1,0.0288,0.727,0,0.174,0.227,101.358,3
spotify:track:3dsd09qrt34YuS6NPbQtYq,"The Magician","The Party","Andy Shauf",2016-05-20,231838,47,false,jackdutton8,2022-08-07T00:15:03Z,"","Anti/Epitaph",0.572,0.33,9,-8.756,1,0.0278,0.378,0.00266,0.126,0.232,135.116,4
spotify:track:2fhOljbX79loRcdl47SFye,"Moonlight on the River","This Old Dog","Mac DeMarco",2017-05-05,422613,79,false,jackdutton8,2022-08-07T21:53:10Z,"indie,lo-fi indie","Captured Tracks",0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,4
spotify:track:7H0ya83CMmgFcOhw0UB6ow,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,78,false,jackdutton8,2022-08-07T21:54:02Z,"dream pop","Sub Pop Records",0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,4
spotify:track:54YY9VsZn8sbwXht0VAKZB,"Black Memories","Chinese Fountain","The Growlers",2014-09-23,171400,0,false,jackdutton8,2022-08-07T21:54:33Z,"surf rock","Everloving Records",0.617,0.576,0,-8.009,1,0.0286,0.00661,0,0.153,0.825,113.965,4
spotify:track:1l9hj8jFK4bEsRguwqMrKJ,"Driving to Hawaii","Driving to Hawaii","Summer Salt",2014-10-14,188183,9,false,jackdutton8,2022-08-07T21:54:58Z,"","Cherry Lime Records",0.348,0.638,7,-4.907,1,0.0403,0.719,0.0000203,0.255,0.299,186.826,3
spotify:track:5Ss6DqCldgTmIo6BekVOJT,"You Say I'm in Love","You Say I'm in Love","Banes World",2017-01-26,176760,0,false,jackdutton8,2022-08-07T21:55:26Z,"bedroom pop,lo-fi indie","Banes World",0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,0.192,0.357,140.02,4
spotify:track:7mgI1HLrLMlIHL3wzotbyM,"Teenage Blue","Illuminaughty - EP","Dreamgirl",2015-02-14,234968,0,false,jackdutton8,2022-08-07T21:55:50Z,"","569291 Records DK2",0.178,0.461,11,-7.479,1,0.0312,0.837,0.0187,0.133,0.135,180.28,3
spotify:track:6XyjwF7CAwuEaW77noJr6I,"Sleep Apnea","Clash the Truth","Beach Fossils",2013-02-19,146293,53,false,jackdutton8,2022-08-07T21:56:12Z,"dream pop,surf rock,shoegaze","Bayonet Records",0.553,0.685,2,-10.624,1,0.0266,0.145,0.859,0.138,0.491,79.998,4
spotify:track:57HJa4ktE7iHGrbFhwzEr2,"Fuzzybrain","Fuzzybrain","Dayglow",2019-11-14,219428,0,false,jackdutton8,2022-08-07T21:56:34Z,"indie rock","Very Nice Records",0.488,0.51,7,-8.367,1,0.026,0.0233,0.15,0.143,0.368,104.959,4
spotify:track:44AyOl4qVkzS48vBsbNXaC,"Can't Help Falling in Love","Blue Hawaii","Elvis Presley",1961-10-20,185877,82,false,jackdutton8,2022-08-12T06:47:29Z,"rockabilly,rock and roll","RCA/Legacy",0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,3
spotify:track:48wH8bAxvBJO2l14GmNLz7,"Wait for the Moment","My First Car","Vulfpeck",2013-12-06,230676,61,false,jackdutton8,2022-09-23T15:35:41Z,"funk,funk rock","Vulf Records",0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
