Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:423o3ZHIaBtGXyhF1uH41a,"Walk of Life","Brothers in Arms","Dire Straits",1985-05-13,252466,69,false,jackdutton8,2023-06-15T13:22:46Z,"classic rock","Warner Records",0.461,0.936,4,-6.866,1,0.109,0.435,0.0000913,0.124,0.804,172.404,4
spotify:track:1ml1uvYYq9uChP1fZd6MtG,"Money For Nothing (Single Edit) - 2022 Remaster","Money For Nothing (2022 Remaster)","Dire Straits",1988,248280,58,false,jackdutton8,2023-06-15T13:22:51Z,"classic rock","Rhino/Warner Records",0.672,0.813,2,-6.142,0,0.0378,0.0681,0.00000753,0.1,0.814,134.239,4
spotify:track:0aqohDoCnRjRVprdDXWRoA,"Sultans Of Swing - 2022 Remaster","Money For Nothing (2022 Remaster)","Dire Straits",1988,348680,36,false,jackdutton8,2023-06-15T13:23:13Z,"classic rock","Rhino/Warner Records",0.726,0.896,5,-5.806,1,0.0293,0.0878,0.022,0.3,0.9,148.253,4
spotify:track:6lNGQqEos6i2KxISBn24Xc,"Goodbye Carolina","Goodbye Carolina","The Marcus King Band",2019-04-11,241608,61,false,jackdutton8,2023-06-17T09:10:13Z,"modern blues,southern rock,blues rock,blues,jam band","Fantasy",0.455,0.455,0,-8.883,1,0.0336,0.225,0.0000116,0.151,0.223,79.872,4
spotify:track:20OFwXhEXf12DzwXmaV7fj,"Bad Moon Rising","Green River (Expanded Edition)","Creedence Clearwater Revival",1969-08-03,141600,79,false,jackdutton8,2023-06-17T09:10:32Z,"classic rock,southern rock,country rock","Craft Recordings",0.508,0.774,2,-5.973,1,0.0321,0.0586,0.00000487,0.063,0.942,178.946,4
spotify:track:56dtB7EzO7EneUgYwX8krC,"Up Around The Bend","Cosmo's Factory","Creedence Clearwater Revival",1970-07-24,159172,69,false,jackdutton8,2023-06-17T09:10:35Z,"classic rock,southern rock,country rock","Craft Recordings.",0.606,0.908,2,-5.736,1,0.037,0.00532,0.823,0.245,0.773,130.12,4
spotify:track:7e89621JPkKaeDSTQ3avtg,"Sweet Home Alabama","Second Helping (Expanded Edition)","Lynyrd Skynyrd",1974-04-15,283800,81,false,jackdutton8,2023-06-20T14:13:10Z,"southern rock,classic rock,rock","Geffen*",0.596,0.606,7,-12.145,1,0.0255,0.181,0.000327,0.0863,0.886,97.785,4
spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,"Listen to the Music","Toulouse Street","The Doobie Brothers",1972,227266,78,false,jackdutton8,2023-06-20T14:13:12Z,"yacht rock,classic rock,soft rock,southern rock","Warner Records",0.645,0.598,1,-13.18,0,0.0334,0.221,0.00000353,0.0721,0.913,105.929,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,jackdutton8,2024-05-07T02:39:33Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:2gE95JskwQ1pCACTpGe1Db,"Down On The Corner","Willy And The Poor Boys (Expanded Edition)","Creedence Clearwater Revival",1969-11-02,166280,71,false,jackdutton8,2024-05-07T02:39:38Z,"classic rock,southern rock,country rock","Craft Recordings",0.858,0.544,0,-9.289,1,0.0751,0.583,0.00109,0.0707,0.874,108.217,4
