Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:54eZmuggBFJbV7k248bTTt,"A Horse with No Name","America","America;George Martin",1972,252239,84,false,jackdutton8,2024-05-13T02:34:30Z,"yacht rock,soft rock,folk rock","Warner Records",0.653,0.507,11,-17.18,0,0.0534,0.687,0.0147,0.155,0.831,123.188,4
spotify:track:4IU1RL4BKvFyXtbTwaHAvW,"Ventura Highway","Homecoming","America;George Martin",1972-01-01,211680,79,false,jackdutton8,2024-05-13T02:35:19Z,"yacht rock,soft rock,folk rock","Warner Records",0.611,0.761,2,-5.929,1,0.0283,0.104,0.0002,0.122,0.838,130.705,4
spotify:track:608xszaAxVh4m7NcKJiAbF,"One of These Nights - 2013 Remaster","One of These Nights (2013 Remaster)","Eagles",1975-06-10,291685,76,false,jackdutton8,2024-05-13T02:35:39Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.655,0.606,7,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,jackdutton8,2024-05-13T02:35:48Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:5lQKRR3MdJLtAwNBiT8Cq0,"Lyin' Eyes - 2013 Remaster","One of These Nights (2013 Remaster)","Eagles",1975-06-10,381998,69,false,jackdutton8,2024-05-13T02:36:00Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.669,0.673,7,-9.754,1,0.0248,0.203,0.0271,0.164,0.867,132.68,4
spotify:track:0Nux6Q8aJZ1i4vUpPDBvlX,"What Is Life - 2014 Remaster","All Things Must Pass (2014 Remaster)","George Harrison",1970-11-20,264405,66,false,jackdutton8,2024-05-13T02:36:10Z,"","BMG Rights Management (US) LLC",0.471,0.839,4,-5.928,1,0.032,0.00654,0.000278,0.315,0.895,131.362,4
spotify:track:1Ryxsiacu8pUXIMCVnIQ8J,"Still The Same","Stranger In Town","Bob Seger",1978-05-05,203546,70,false,jackdutton8,2024-05-13T02:36:47Z,"classic rock","Bob Seger",0.709,0.767,0,-6.732,1,0.0283,0.405,0.000172,0.0592,0.557,115.64,4
spotify:track:28H3wOEKsaEa8NBEYCLl4j,"You Make Loving Fun - 2004 Remaster","Rumours","Fleetwood Mac",1977-02-04,213693,74,false,jackdutton8,2024-05-13T02:37:01Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.625,0.591,7,-9.127,0,0.0265,0.0138,0.0399,0.0893,0.863,126.597,4
spotify:track:6Qb7gtV6Q4MnUjSbkFcopl,"50 Ways to Leave Your Lover","Still Crazy After All These Years","Paul Simon",1975-10-25,217573,73,false,jackdutton8,2024-05-13T02:37:41Z,"singer-songwriter","Legacy Recordings",0.815,0.372,7,-12.814,1,0.0752,0.166,0.000116,0.0767,0.293,101.684,4
spotify:track:4bEb3KE4mSKlTFjtWJQBqO,"Don't Stop - 2004 Remaster","Rumours","Fleetwood Mac",1977-02-04,193346,76,false,jackdutton8,2024-05-13T02:37:59Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.671,0.71,9,-7.724,1,0.0356,0.0393,0.0000112,0.0387,0.834,118.745,4
spotify:track:14XWXWv5FoCbFzLksawpEe,"Riders on the Storm","L.A. Woman","The Doors",1971-04-19,434720,74,false,jackdutton8,2024-05-13T02:38:33Z,"psychedelic rock,classic rock,acid rock","Rhino/Elektra",0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,4
spotify:track:19Shlms2uTnOjIUg50TXzd,"Never Going Back Again - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,134400,72,false,jackdutton8,2024-05-13T02:38:48Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.654,0.336,6,-12.825,1,0.0379,0.858,0.385,0.0786,0.947,176.083,4
spotify:track:4d0d2llNcQIHmaCgYTrODQ,"Peace Train - Remastered 2021","Teaser And The Firecat (Remastered 2021)","Yusuf / Cat Stevens",1971-10-01,253293,68,false,jackdutton8,2024-05-13T02:39:17Z,"folk rock,folk,singer-songwriter","UMC (Universal Music Catalogue)",0.594,0.682,0,-8.858,1,0.0487,0.051,0.0000456,0.0919,0.76,82.487,4
spotify:track:6lrQo6KAYvb92MGk6ZuZlt,"Say You Love Me","Fleetwood Mac","Fleetwood Mac",1975-07-11,249946,73,false,jackdutton8,2024-05-13T02:39:29Z,"classic rock,yacht rock,soft rock","Warner Records",0.723,0.596,9,-13.436,1,0.0308,0.0187,0.00513,0.16,0.962,128.068,4
spotify:track:3lh3iiiJeiBXHSZw6u0kh6,"Into the Mystic - 2013 Remaster","Moondance","Van Morrison",1970-02,205613,74,false,jackdutton8,2024-05-13T02:39:42Z,"","Warner Records",0.608,0.524,8,-10.266,1,0.0309,0.367,0.00254,0.115,0.797,86.204,4
spotify:track:40h65HAR8COEoqkMwUUQHu,"Peaceful Easy Feeling - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,257962,69,false,jackdutton8,2024-05-14T13:29:00Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,4
spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,"Listen to the Music","Toulouse Street","The Doobie Brothers",1972,227266,78,false,jackdutton8,2024-05-14T13:29:01Z,"yacht rock,classic rock,soft rock,southern rock","Warner Records",0.645,0.598,1,-13.18,0,0.0334,0.221,0.00000353,0.0721,0.913,105.929,4
spotify:track:1H4idkmruFoJBg1DvUv2tY,"Band On The Run - 2010 Remaster","Band On The Run","Paul McCartney;Wings",1973-12-05,313026,72,false,jackdutton8,2024-06-16T02:09:49Z,"","Paul McCartney Catalog",0.479,0.601,7,-8.806,1,0.0319,0.0823,0.00141,0.111,0.669,124.966,4
spotify:track:0P7DoyGrr4Wp9w5TotEtUC,"The Weight - Remastered 2000","Music From Big Pink (Remastered)","The Band",1968-07-01,274493,70,false,jackdutton8,2024-06-16T02:09:51Z,"folk rock,roots rock,southern rock,americana","CAPITOL CATALOG MKT (C92)",0.63,0.552,9,-9.28,1,0.0545,0.373,0.0000578,0.103,0.518,143.868,4
spotify:track:77oU2rjC5XbjQfNe3bD6so,"Beast Of Burden - Remastered 1994","Some Girls","The Rolling Stones",1978-06-09,265173,76,false,jackdutton8,2024-06-16T02:10:02Z,"classic rock,rock","Polydor Associated Labels",0.784,0.879,1,-3.862,0,0.0308,0.39,0.000848,0.0426,0.893,100.622,4
spotify:track:0qxYx4F3vm1AOnfux6dDxP,"You Can Call Me Al","Graceland (25th Anniversary Deluxe Edition)","Paul Simon",1986-08-12,280586,76,false,jackdutton8,2024-08-11T17:49:53Z,"singer-songwriter","Legacy Recordings",0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,4
spotify:track:07GvNcU1WdyZJq3XxP0kZa,"Go Your Own Way - 2004 Remaster","Rumours","Fleetwood Mac",1977-02-04,223613,83,false,jackdutton8,2024-08-11T17:51:06Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,4
spotify:track:5VSAonaAPhhGn0G7hMYwWK,"Sister Golden Hair","Hearts","America",1975,199573,74,false,jackdutton8,2024-08-26T18:47:46Z,"yacht rock,soft rock,folk rock","Rhino",0.441,0.546,4,-12.222,1,0.0336,0.13,0.000144,0.109,0.718,134.752,4
spotify:track:3f0U5NaD1bCk8nmKpn2ZJY,"Kodachrome","There Goes Rhymin' Simon","Paul Simon",1973-05-05,215400,65,false,jackdutton8,2024-08-26T18:48:35Z,"singer-songwriter","Legacy Recordings",0.592,0.705,1,-10.276,0,0.0287,0.0291,0.0000197,0.0456,0.902,135.754,4
spotify:track:4CoSCPlKNrWli7E5kFtbcl,"Little Lies - 2017 Remaster","Tango In the Night (Deluxe Edition)","Fleetwood Mac",1987-04-13,221053,80,false,jackdutton8,2024-10-08T17:15:31Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.64,0.649,2,-10.345,1,0.0264,0.216,0.000083,0.0551,0.865,124.825,4
spotify:track:6XUHsYE38CEbYunT983O9G,"Give A Little Bit","Even In The Quietest Moments","Supertramp",1977-01-01,248173,75,false,jackdutton8,2024-12-22T00:34:39Z,"progressive rock,classic rock","A&M",0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,4
spotify:track:4Tjs8b6jL1s18sjURJtswp,"Lola (2020 Stereo Remaster)","Lola Versus Powerman and the Moneygoround, Pt. 1","The Kinks",1970-11-27,241991,68,false,jackdutton8,2024-12-22T00:34:41Z,"proto-punk,baroque pop","Sanctuary Records",0.456,0.894,9,-4.602,1,0.037,0.458,0.485,0.0695,0.926,151.333,4
