Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1hHGUdFaiJHw9hVZGJWYO2,"Midnight Rider","Idlewild South (Deluxe Edition Remastered)","Allman Brothers Band",1970-09-18,180066,70,false,jackdutton8,2023-10-12T02:28:28Z,"southern rock,jam band,classic rock,blues rock,country rock","Island Def Jam",0.585,0.532,7,-9.673,1,0.0268,0.209,0.00797,0.227,0.68,94.461,4
spotify:track:7y4CK8bbzxpyKu73WOvgHJ,"Ramblin' Man","Brothers And Sisters (Super Deluxe)","Allman Brothers Band",2013-06-25,288160,63,false,jackdutton8,2023-10-12T02:28:30Z,"southern rock,jam band,classic rock,blues rock,country rock","Mercury Records",0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,4
spotify:track:6aqm56xP40foYBBtAWWrnY,"Running on Empty","Running on Empty / Nothing but Time (Digital 45)","Jackson Browne",1978,291893,66,false,jackdutton8,2023-10-12T02:28:40Z,"yacht rock,folk rock,soft rock,singer-songwriter","Rhino/Elektra",0.541,0.711,9,-13.492,1,0.0383,0.0635,0.0201,0.719,0.588,136.58,4
spotify:track:5VbePtZp1at8gH990zVyTI,"Hollywood Nights","Stranger In Town","Bob Seger",1978-05-05,302626,65,false,jackdutton8,2023-10-12T02:28:45Z,"classic rock","Bob Seger",0.529,0.968,9,-5.198,1,0.0503,0.00506,0.00034,0.201,0.751,150.326,4
spotify:track:7AN22wQYwiCG49qYosygFq,"Jessica","Brothers And Sisters (Deluxe Edition)","Allman Brothers Band",2013-06-25,451160,55,false,jackdutton8,2023-10-12T02:28:49Z,"southern rock,jam band,classic rock,blues rock,country rock","Island Def Jam",0.313,0.854,2,-7.908,1,0.0335,0.428,0.866,0.182,0.853,104.934,4
spotify:track:691Wr3tOjDqic3OTPLouX3,"Ramblin' Gamblin' Man","Ramblin' Gamblin' Man","Bob Seger",1969-04-01,145310,59,false,jackdutton8,2023-10-12T02:28:49Z,"classic rock","Capitol Records",0.601,0.84,9,-3.828,1,0.0509,0.0232,0,0.0569,0.896,130.811,4
spotify:track:1O0xeZrBDbq7HPREdmYUYK,"Bad, Bad Leroy Brown","Life & Times","Jim Croce",1973-07-01,182240,0,false,jackdutton8,2023-10-12T02:28:55Z,"folk rock,singer-songwriter","R2M",0.697,0.676,7,-10.742,1,0.0402,0.706,0,0.0824,0.852,148.072,4
spotify:track:4fUU9WKxEgJXyrZJsUA2iP,"Can't You See","The Marshall Tucker Band","The Marshall Tucker Band",1973,365093,4,false,jackdutton8,2023-10-12T02:29:04Z,"southern rock,country rock,classic rock","Ramblin' Records",0.406,0.713,7,-5.49,1,0.0348,0.276,0.00354,0.112,0.577,164.444,4
spotify:track:77oU2rjC5XbjQfNe3bD6so,"Beast Of Burden - Remastered 1994","Some Girls","The Rolling Stones",1978-06-09,265173,76,false,jackdutton8,2023-10-12T02:29:14Z,"classic rock,rock","Polydor Associated Labels",0.784,0.879,1,-3.862,0,0.0308,0.39,0.000848,0.0426,0.893,100.622,4
spotify:track:52DKGPMQ21DauCR19pQ0BK,"That Smell","Street Survivors","Lynyrd Skynyrd",1977-10-17,348240,68,false,jackdutton8,2023-10-12T02:29:36Z,"southern rock,classic rock,rock","Geffen",0.455,0.573,9,-11.301,0,0.0355,0.0134,0.0301,0.428,0.646,117.251,4
spotify:track:36vTL8WP4ZoD1bbUaW0V3E,"Bad Company - 2015 Remaster","Bad Company (Deluxe)","Bad Company",1974,288053,65,false,jackdutton8,2023-10-12T02:29:41Z,"classic rock,aor,southern rock,hard rock","Rhino Atlantic",0.545,0.467,8,-10.862,1,0.0305,0.491,0.175,0.0805,0.444,113.713,4
spotify:track:1ZhrREyOOeFV6TxDOyiPwu,"Take The Money And Run","Fly Like An Eagle","Steve Miller Band",1976-01-01,170173,65,false,jackdutton8,2023-10-12T02:29:51Z,"classic rock","CAPITOL CATALOG MKT (C92)",0.565,0.645,0,-12.923,1,0.0484,0.0552,0.00000284,0.151,0.836,99.3,4
spotify:track:30St98Bok3jJmXdkkHVPQe,"Melissa","Eat A Peach","Allman Brothers Band",1972-02-12,235223,66,false,jackdutton8,2023-10-12T02:30:09Z,"southern rock,jam band,classic rock,blues rock,country rock","Island Def Jam",0.533,0.362,4,-14.79,1,0.0244,0.48,0.245,0.0857,0.451,82.992,4
spotify:track:0x2wtJbtJrox3SDmnMj97x,"Gimme Three Steps","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,267173,67,false,jackdutton8,2023-10-12T02:30:38Z,"southern rock,classic rock,rock","Geffen*",0.554,0.74,9,-7.706,1,0.0799,0.693,0.0000719,0.225,0.803,133.363,4
spotify:track:2wvMC5EyaaYQwBfiwwY2xE,"Life's Been Good","But Seriously, Folks...","Joe Walsh",1978-06-01,536226,66,false,jackdutton8,2023-10-12T02:30:41Z,"classic rock,southern rock","Rhino/Elektra",0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,4
spotify:track:2sXtpY9mCTXnUTUSQqrXbX,"Green Grass & High Tides","The Outlaws","The Outlaws",1975,591693,52,false,jackdutton8,2023-10-12T02:31:15Z,"southern rock,country rock","Buddha Records",0.272,0.876,4,-7.135,0,0.0397,0.0000418,0.0191,0.146,0.585,102.718,4
spotify:track:0xTY7Tld4DRxqUhxdw7bZW,"Heard It in a Love Song","Carolina Dreams","The Marshall Tucker Band",1977-01-01,297973,1,false,jackdutton8,2023-10-12T02:31:26Z,"southern rock,country rock,classic rock","Ramblin' Records",0.555,0.797,2,-7.484,1,0.0389,0.168,0.00268,0.12,0.683,152.87,4
spotify:track:4delgtiKX7L3nsbC0exhCS,"Fire on the Mountain","Searchin' for a Rainbow","The Marshall Tucker Band",1975-08-01,236466,1,false,jackdutton8,2023-10-12T02:31:33Z,"southern rock,country rock,classic rock","Ramblin' Records",0.506,0.827,4,-6.356,0,0.0366,0.107,0.00000242,0.161,0.571,101.869,4
