Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0bRXwKfigvpKZUurwqAlEh,"Lovely Day","Menagerie","Bill Withers",1977-10-29,257157,79,false,jackdutton8,2022-07-16T20:42:30Z,"soul","Columbia/Legacy",0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923,4
spotify:track:3zBhihYUHBmGd2bcQIobrF,"(Sittin' On) the Dock of the Bay","The Dock of the Bay (Mono)","Otis Redding",1968,163755,79,false,jackdutton8,2022-07-16T20:42:41Z,"motown,soul,classic soul,soul blues","Rhino Atlantic",0.768,0.367,2,-11.226,1,0.0315,0.683,0.0000179,0.081,0.532,103.621,4
spotify:track:3M8FzayQWtkvOhqMn2V4T2,"Lean on Me","Still Bill","Bill Withers",1972-05-01,258834,74,false,jackdutton8,2022-07-16T23:30:05Z,"soul","Columbia/Legacy",0.619,0.22,0,-13.843,1,0.0672,0.782,0.0000119,0.124,0.426,75.143,4
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,"Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,126458,84,false,jackdutton8,2022-07-16T20:42:44Z,"soul","Columbia/Legacy",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
spotify:track:28285KFbyCq8sJofn58qlD,"Love Train","Back Stabbers","The O'Jays",1972-01-01,178400,66,false,jackdutton8,2022-07-16T20:43:07Z,"philly soul,classic soul,motown,quiet storm,soul","Legacy/Epic Associated",0.743,0.572,0,-9.627,1,0.0493,0.186,0.0000144,0.163,0.675,122.658,4
spotify:track:2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (I'm Yours)","Signed, Sealed And Delivered","Stevie Wonder",1970-08-07,161160,4,false,jackdutton8,2022-07-16T20:43:17Z,"motown,classic soul,soul","UNI/MOTOWN",0.675,0.597,5,-11.329,1,0.0337,0.0534,0,0.0986,0.828,108.875,4
spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,"Sultans of Swing","Dire Straits","Dire Straits",1978-10-07,348760,74,false,jackdutton8,2022-07-16T20:43:34Z,"classic rock","Warner Records",0.725,0.801,5,-10.059,1,0.0302,0.0722,0.0339,0.339,0.925,148.211,4
spotify:track:4yugZvBYaoREkJKtbG08Qr,"Take It Easy - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,211577,79,false,jackdutton8,2022-07-16T20:44:31Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.575,0.67,7,-10.39,1,0.0318,0.343,0.00000495,0.129,0.74,139.191,4
spotify:track:5EWPGh7jbTNO2wakv8LjUI,"Free Bird","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,547106,79,false,jackdutton8,2022-07-16T20:44:38Z,"southern rock,classic rock,rock","Geffen*",0.249,0.834,0,-8.21,1,0.0574,0.0742,0.0000969,0.0924,0.337,118.222,4
spotify:track:4vju55Ag7apDL2CfotuE7Q,"Sunny","Sunny","Bobby Hebb",1966-01-01,165066,67,false,jackdutton8,2022-07-16T20:45:39Z,"northern soul,classic soul","Hip-O Select",0.714,0.338,4,-10.994,0,0.0456,0.93,0.00644,0.389,0.667,128.385,4
spotify:track:5MMZJtHOiH1RmQSSe3DJdg,"Sleep On The Floor","Cleopatra","The Lumineers",2016-04-08,211851,1,false,jackdutton8,2022-07-16T20:47:26Z,"folk pop,indie folk","Dualtone Music Group",0.389,0.431,7,-8.061,1,0.0344,0.249,0,0.13,0.275,142.133,4
spotify:track:40h65HAR8COEoqkMwUUQHu,"Peaceful Easy Feeling - 2013 Remaster","Eagles (2013 Remaster)","Eagles",1972-06-01,257962,69,false,jackdutton8,2022-07-16T20:49:07Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,4
spotify:track:1fDsrQ23eTAVFElUMaf38X,"American Pie","American Pie","Don McLean",1971,516893,80,false,jackdutton8,2022-07-16T20:49:20Z,"","Capitol Records",0.529,0.482,4,-11.709,0,0.0599,0.7,0,0.0842,0.492,138.453,4
spotify:track:2T5Ch09nefwckOu5NQvjIk,"Carolina in My Mind","Greatest Hits","James Taylor",1976,238573,68,false,jackdutton8,2022-07-16T20:49:33Z,"folk rock,singer-songwriter,soft rock","Rhino/Warner Records",0.579,0.267,4,-15.11,1,0.0348,0.118,0.000562,0.132,0.353,74.899,4
spotify:track:2JHBMVs8E7bJJBLkXpKgHn,"I Will Wait","Babel","Mumford & Sons",2012-09-21,276720,1,false,jackdutton8,2022-07-16T20:50:24Z,"folk,indie folk,folk rock","Glassnote Records",0.481,0.766,1,-5.208,1,0.0334,0.0103,0.0067,0.302,0.436,131.143,4
spotify:track:2Pr1nZpt8A8WP7QYpyq6L3,"Wildflowers","Wildflowers","Tom Petty",1994,190320,66,false,jackdutton8,2022-07-16T20:50:40Z,"classic rock","143/Warner Records",0.537,0.315,5,-13.79,1,0.0271,0.588,0.0000229,0.206,0.575,86.813,4
spotify:track:57i3M29DWoo7RDk0Tf0LZG,"Daylight","Grand","Matt and Kim",2009-01-20,171333,5,false,jackdutton8,2022-07-16T21:01:09Z,"","FADER LABEL",0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303,4
spotify:track:3FFpGDzfkwJGjfIqM6BNMC,"Love & War in Your Twenties","Dark in the City","Jordy Searcy",2018-02-15,250547,0,false,jackdutton8,2022-07-16T22:10:04Z,"","FRTYFVE",0.736,0.525,2,-9.694,1,0.0296,0.22,0.00153,0.127,0.529,102.986,4
spotify:track:0UAJH0k4k3slcE83a9UGCe,"Lola","Lola Versus Powerman and the Moneygoround, Pt. One","The Kinks",1970-11-27,241040,1,false,jackdutton8,2022-07-16T22:53:17Z,"proto-punk,baroque pop","Castle Communications",0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,4
spotify:track:4IU1RL4BKvFyXtbTwaHAvW,"Ventura Highway","Homecoming","America;George Martin",1972-01-01,211680,79,false,jackdutton8,2022-07-16T23:17:43Z,"yacht rock,soft rock,folk rock","Warner Records",0.611,0.761,2,-5.929,1,0.0283,0.104,0.0002,0.122,0.838,130.705,4
spotify:track:5cfYurP1XKldMBtvBBJiTs,"Ramblin' Man","Dreams","Allman Brothers Band",1989-06-20,288506,56,false,jackdutton8,2022-07-16T23:26:09Z,"southern rock,jam band,classic rock,blues rock,country rock","Mercury Records",0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,4
spotify:track:1oht5GevPN9t1T3kG1m1GO,"Fire and Rain - 2019 Remaster","Sweet Baby James (2019 Remaster)","James Taylor",1970-02-01,203613,70,false,jackdutton8,2022-07-17T15:14:55Z,"folk rock,singer-songwriter,soft rock","Rhino/Warner Records",0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,4
spotify:track:0djZ2ndRfAL69WYNra5jRC,"April Come She Will","Sounds Of Silence","Simon & Garfunkel",1966-01-17,112815,61,false,jackdutton8,2022-07-17T23:41:49Z,"folk rock,folk","Columbia",0.489,0.186,9,-16.237,1,0.029,0.863,0.000152,0.2,0.349,102.245,4
spotify:track:6jA05EM7TTFpWKwBQr5Isf,"Seagull - 2015 Remaster","Bad Company (Deluxe)","Bad Company",1974,244840,46,false,jackdutton8,2022-07-19T13:39:03Z,"classic rock,aor,southern rock,hard rock","Rhino Atlantic",0.368,0.395,7,-14.067,1,0.0296,0.458,0.0000366,0.14,0.466,101.564,4
spotify:track:383Xl5QTigwj3QiA3Qc6S7,"The Devil Went Down to Georgia","A Decade Of Hits","The Charlie Daniels Band",1988-08-10,214866,68,false,jackdutton8,2022-07-19T14:05:31Z,"southern rock,outlaw country,classic country,country rock,country","Epic/Legacy",0.523,0.626,0,-9.425,1,0.0523,0.155,0,0.0869,0.917,134.127,4
spotify:track:1ne9wOtDF2jM6Cm8WBkaER,"Rocky Mountain High","Rocky Mountain High","John Denver",1972-09-15,285797,68,false,jackdutton8,2022-07-19T14:21:22Z,"folk","RCA/Legacy",0.455,0.437,4,-11.411,1,0.0278,0.314,0,0.501,0.724,81.396,4
spotify:track:451GvHwY99NKV4zdKPRWmv,"Banana Pancakes","In Between Dreams","Jack Johnson",2005-01-01,191906,71,false,jackdutton8,2022-07-19T23:13:41Z,"surf rock","Jack Johnson",0.816,0.375,7,-8.053,1,0.0996,0.607,0.00000866,0.0933,0.615,114.303,4
