Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:24SUWisv2lYQiB3bVpE1sn,"Virtual Insanity","Pop Music: The Modern Era 1976-1999","Jamiroquai",1999-10-11,227840,66,false,jackdutton8,2022-01-21T15:13:50Z,"acid jazz","Sony Music Entertainment",0.627,0.914,6,-7.494,1,0.0769,0.0627,0,0.147,0.627,91.891,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,jackdutton8,2022-01-21T15:14:11Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:3SUusuA9jH1v6PVwtYMbdv,"Last Nite","Is This It","The Strokes",2001-07-30,193373,68,false,jackdutton8,2022-01-21T15:14:15Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,4
spotify:track:57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,76,false,jackdutton8,2022-01-21T15:14:17Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
spotify:track:0YveezON7jpiaHA8fnUHxN,"Roundabout - 2003 Remaster","Fragile (Deluxe Edition)","Yes",1971-11-26,510573,1,false,jackdutton8,2022-01-23T02:50:18Z,"progressive rock,art rock,aor","Rhino/Elektra",0.41,0.761,4,-9.453,0,0.0687,0.0685,0.00772,0.0758,0.392,132.923,4
spotify:track:4fPBB44eDH71YohayI4eKV,"You Only Live Once","First Impressions Of Earth","The Strokes",2006-01-03,189226,71,false,jackdutton8,2022-01-21T15:14:20Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.63,0.908,11,-2.42,1,0.0326,0.0238,0.592,0.116,0.968,120.522,4
spotify:track:6SdAztAqklk1zAmUHhU4N7,"Taken for a Fool","Angles","The Strokes",2011-03-21,203240,58,false,jackdutton8,2022-01-21T15:14:28Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.569,0.89,5,-4.447,1,0.0559,0.00595,0.0112,0.226,0.885,137.044,4
spotify:track:3ZOEytgrvLwQaqXreDs2Jx,"Can't Stop","By the Way (Deluxe Edition)","Red Hot Chili Peppers",2002-07-09,269000,88,false,jackdutton8,2022-01-21T15:14:57Z,"funk rock,alternative rock,rock","Warner Records",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
spotify:track:3v9xlH6BpmRbqL7hgNJhfT,"I Get Around (Mono)","All Summer Long (Mono & Stereo)","The Beach Boys",1964-07-13,134386,65,false,jackdutton8,2022-01-21T15:15:07Z,"baroque pop","Capitol Records",0.389,0.626,9,-7.813,0,0.0541,0.366,0,0.0663,0.514,144.337,4
spotify:track:1o0nAjgZwMDK9TI4TTUSNn,"LAX","The Joy of Music, The Job of Real Estate","Vulfpeck;Joey Dosik",2020-10-23,225665,45,false,jackdutton8,2022-01-23T02:50:25Z,"funk,funk rock,retro soul,retro pop","Vulf Records",0.8,0.599,0,-7.357,1,0.0344,0.00521,0.00547,0.0587,0.908,128.381,4
spotify:track:3nKZknHg5Y5fPB3gow8ACG,"Crystal Dolphin","Crust FM","Engelwood",2017-12-06,114660,54,false,jackdutton8,2022-01-21T15:15:12Z,"lo-fi beats,jazz beats","Engelwood",0.558,0.776,9,-6.868,1,0.179,0.33,0.000445,0.41,0.247,128.064,4
spotify:track:2mlGPkAx4kwF8Df0GlScsC,"Buttercup","Pop Food","Jack Stauber",2017-03-25,208026,68,false,jackdutton8,2022-01-21T15:15:16Z,"","Plopscotch Records",0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,4
spotify:track:0LHzd11GIXVmND7TfQnGiy,"Bennie And The Jets","70's Pop Number 1's","Elton John",2007-01-01,323453,46,false,jackdutton8,2022-01-21T15:15:23Z,"","Hip-O",0.657,0.724,0,-7.465,1,0.0649,0.301,0.00000544,0.658,0.755,131.912,4
spotify:track:5eCgNATwXgRc4mZx9NymGJ,"Waiting For Love","Waiting For Love","Avicii",2015-05-22,228750,1,false,jackdutton8,2022-01-21T15:15:40Z,"edm","Universal Music Ltd.",0.567,0.746,6,-3.748,0,0.0511,0.335,0,0.392,0.578,128.03,4
spotify:track:6K4t31amVTZDgR3sKmwUJJ,"The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,90,true,jackdutton8,2022-01-21T15:15:52Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
spotify:track:2X485T9Z5Ly0xyaghN73ed,"Let It Happen","Currents","Tame Impala",2015-07-17,467586,84,false,jackdutton8,2022-01-21T15:15:58Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
spotify:track:3pf96IFggfQuT6Gafqx2rt,"Sunny","Take The Heat Off Me","Boney M.",1976,242240,71,false,jackdutton8,2022-01-21T15:16:03Z,"disco","MCI",0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,4
spotify:track:6iGU74CwXuT4XVepjc9Emf,"God Only Knows - Mono","Pet Sounds (Original Mono & Stereo Mix)","The Beach Boys",1966-06-16,173040,62,false,jackdutton8,2022-01-21T15:16:10Z,"baroque pop","Capitol Records",0.524,0.487,6,-7.525,0,0.0299,0.253,0,0.0579,0.482,117.108,4
spotify:track:34KTEhpPjq6IAgQg2yzJAL,"Californication","Californication","Red Hot Chili Peppers",1999-06-08,329733,60,false,jackdutton8,2022-01-21T15:16:15Z,"funk rock,alternative rock,rock","Warner Records",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
spotify:track:2041SLpGLdEqFgNyg86So8,"Killer Queen - Remastered 2011","Sheer Heart Attack","Queen",1974-11-08,179600,38,false,jackdutton8,2022-01-21T15:16:22Z,"classic rock,rock,glam rock","Hollywood Records",0.535,0.65,10,-6.328,1,0.0554,0.379,0,0.14,0.61,117.188,4
spotify:track:2Foc5Q5nqNiosCNqttzHof,"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk;Pharrell Williams;Nile Rodgers",2013-04-19,247632,81,false,jackdutton8,2022-01-21T15:16:28Z,"french house,electronic,electro","Columbia",0.794,0.811,6,-8.966,0,0.038,0.0426,0.00000107,0.101,0.862,116.047,4
spotify:track:5W3cjX2J3tjhG8zb6u0qHn,"Harder, Better, Faster, Stronger","Discovery","Daft Punk",2001-03-12,226413,75,false,jackdutton8,2022-01-21T15:16:34Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4
spotify:track:0q21FNwES2bbtcduB6kjEU,"Dancing in the Moonlight","Dancing in the Moonlight","King Harvest",1973-01-01,181133,76,false,jackdutton8,2022-01-21T15:16:37Z,"","Darbo Music LLC",0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,4
spotify:track:1ko2lVN0vKGUl9zrU0qSlT,"Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.;Bill Withers",1985,438493,74,false,jackdutton8,2022-01-21T15:16:57Z,"soul jazz,smooth jazz,soul","Rhino/Elektra",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
spotify:track:5tORQL3XeeJnSUism6MOr9,"25 or 6 to 4 - 2002 Remaster","The Very Best of Chicago: Only the Beginning","Chicago",2002-07-02,289800,35,false,jackdutton8,2022-01-21T15:17:03Z,"yacht rock,soft rock","Rhino",0.604,0.905,4,-7.059,0,0.0578,0.31,0.0646,0.0837,0.722,147.456,4
spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,"Under Cover of Darkness","Angles","The Strokes",2011-03-21,235546,67,false,jackdutton8,2022-01-21T15:17:23Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,4
spotify:track:1oOD1pV43cV9sHg97aBdLs,"Dean Town","The Beautiful Game","Vulfpeck",2016-10-17,213302,55,false,jackdutton8,2022-01-21T15:17:25Z,"funk,funk rock","Vulf Records",0.796,0.608,11,-10.936,1,0.041,0.499,0.887,0.0979,0.907,108.756,4
spotify:track:1DrlLvlYd1FIjNavRm6NdX,"Back Pocket","Thrill of the Arts","Vulfpeck",2015-10-09,181259,61,false,jackdutton8,2022-01-21T15:17:38Z,"funk,funk rock","Vulf Records",0.839,0.585,2,-7.737,1,0.153,0.478,0.00278,0.0435,0.89,89.821,4
spotify:track:1SHA4IJyiyNobDOrQzFFXy,"Animal Spirits","The Beautiful Game","Vulfpeck",2016-10-17,190801,53,false,jackdutton8,2022-01-21T15:17:40Z,"funk,funk rock","Vulf Records",0.753,0.713,1,-7.333,1,0.0539,0.156,0.0000959,0.0508,0.906,100.859,4
spotify:track:48wH8bAxvBJO2l14GmNLz7,"Wait for the Moment","My First Car","Vulfpeck",2013-12-06,230676,61,false,jackdutton8,2022-01-21T15:17:55Z,"funk,funk rock","Vulf Records",0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
spotify:track:2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303820,81,false,jackdutton8,2022-01-21T15:18:04Z,"art rock,soft rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
spotify:track:6xw7nTsoWM1RqITHCxQFR5,"Sitting In Limbo","Anthology","Jimmy Cliff",2003-01-01,304970,0,false,jackdutton8,2022-01-21T15:19:16Z,"reggae,rocksteady,roots reggae","Hip-O (UC)",0.645,0.575,2,-11.186,1,0.0569,0.509,0,0.234,0.773,81.877,4
spotify:track:02CygBCQOIyEuhNZqHHcNx,"It Runs Through Me","Geography","Tom Misch;De La Soul",2018-04-06,261881,1,false,jackdutton8,2022-01-21T15:20:34Z,"indie soul,jazz rap,east coast hip hop","Beyond The Groove 4",0.802,0.607,11,-11.028,0,0.289,0.205,0.000748,0.246,0.274,96.916,4
spotify:track:5vmFVIJV9XN1l01YsFuKL3,"Conscious Club","The Beautiful Game","Vulfpeck",2016-10-17,200177,40,false,jackdutton8,2022-01-21T15:20:44Z,"funk,funk rock","Vulf Records",0.66,0.803,0,-7.618,1,0.116,0.202,0.0141,0.108,0.864,125.835,4
spotify:track:6vzRQHItVGIT94q33HvRZx,"Aunt Leslie","The Beautiful Game","Vulfpeck",2016-10-17,229395,42,false,jackdutton8,2022-01-21T15:20:51Z,"funk,funk rock","Vulf Records",0.664,0.535,6,-9.685,0,0.0562,0.627,0.215,0.131,0.326,117.72,4
spotify:track:6d8AnIyJ3c7vjSMFJai6vc,"We Are Sex Bob-Omb","Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition)","Sex Bob-Omb",2021-07-09,120891,0,false,jackdutton8,2022-01-21T15:45:00Z,"","ABKCO Music & Records, Inc.",0.384,0.823,1,-4.54,0,0.0455,0.138,0.83,0.0756,0.526,89.547,4
spotify:track:61Ivix5DTnDPVjp1dgLyov,"Disco Yes","Geography","Tom Misch;Poppy Ajudha",2018-04-06,280878,0,false,jackdutton8,2022-01-21T15:20:55Z,"indie soul","Beyond The Groove 4",0.927,0.551,9,-6.624,0,0.0921,0.42,0.0346,0.298,0.665,123.042,4
spotify:track:6t6oULCRS6hnI7rm0h5gwl,"Some Nights","Some Nights","fun.",2012-02-21,277040,70,true,jackdutton8,2022-01-21T15:21:05Z,"","Fueled By Ramen",0.672,0.738,0,-7.045,1,0.0506,0.0178,0.0000675,0.0927,0.392,107.938,4
spotify:track:2QgWuCtBpNIpl5trmKCxRf,"American Pie","The Best Of Don McLean","Don McLean",1988-01-01,515866,66,false,jackdutton8,2022-01-21T15:21:57Z,"","EMI/EMI Records (USA)",0.526,0.509,7,-10.893,1,0.0628,0.6,0,0.144,0.497,138.318,4
spotify:track:1L9qsoNnyT3r8fgr2Pr7Ty,"Cory Wong","The Beautiful Game","Vulfpeck",2016-10-17,246910,46,false,jackdutton8,2022-01-21T15:29:08Z,"funk,funk rock","Vulf Records",0.62,0.6,8,-9.192,1,0.138,0.0894,0.571,0.813,0.959,127.51,4
