Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3OOFEF20WqtsUPcRbPY3L7,"Short Skirt / Long Jacket","Comfort Eagle","CAKE",2001-07-24,204128,66,false,jackdutton8,2025-07-18T19:13:44Z,"alternative rock","Columbia",0.771,0.809,2,-10.029,1,0.0461,0.003,0.0223,0.0252,0.886,120.038,4
spotify:track:02ZdZqhpfrPnxwyakXgxB8,"Lump","The Presidents of The United States of America: Ten Year Super Bonus Special Anniversary Edition","The Presidents Of The United States Of America",1995-01-01,134200,53,false,jackdutton8,2025-07-18T19:14:21Z,"grunge,alternative rock","PUSA Music",0.507,0.882,6,-3.917,1,0.0337,0.0053,0,0.177,0.907,142.398,4
spotify:track:7aKWgpecgLEqisWcXPElDl,"Never There","Prolonging the Magic","CAKE",1998-02-05,164266,63,false,jackdutton8,2025-07-18T19:14:33Z,"alternative rock","Volcano",0.761,0.735,9,-8.171,0,0.043,0.0426,0.0838,0.0917,0.592,125.815,4
spotify:track:2ouURa1AIXp3AvkS52Jry5,"Every Morning","14:59","Sugar Ray",1999-01-12,219866,71,false,jackdutton8,2025-07-18T19:14:36Z,"","RT Industries",0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.917,4
spotify:track:500Tkm3vJmVtdUwdCVxCTb,"Run-Around","Four","Blues Traveler",1994-01-01,279800,69,false,jackdutton8,2025-07-18T19:14:51Z,"jam band","A&M",0.628,0.867,7,-7.307,1,0.0604,0.0865,0,0.126,0.877,151.695,4
spotify:track:0HDaKOlVAfUWXdFR2RhBtN,"Down","311","311",1995-07-11,172160,60,false,jackdutton8,2025-07-18T19:15:25Z,"reggae rock,funk rock,rap rock","Volcano",0.441,0.922,6,-6.644,0,0.0655,0.000179,0.00000197,0.381,0.565,175.411,4
spotify:track:040WYQYGCvb6MUsGqDoAC7,"Satan Is My Motor","Prolonging the Magic","CAKE",1998-02-05,192066,24,false,jackdutton8,2025-07-18T19:15:42Z,"alternative rock","Volcano",0.688,0.649,9,-9.956,1,0.039,0.145,0.0000157,0.104,0.973,102.342,4
spotify:track:0VigOMpF3qrGdWycRXdgne,"Walk On By","Prolonging the Magic","CAKE",1998-02-05,226040,36,false,jackdutton8,2025-07-18T19:15:54Z,"alternative rock","Volcano",0.622,0.633,2,-9.316,1,0.0258,0.258,0.0206,0.0996,0.948,102.609,4
spotify:track:6JBoXvXCfrBCOc0B4Qv1Ak,"Let Me Go","Prolonging the Magic","CAKE",1998-02-05,209693,25,false,jackdutton8,2025-07-18T19:16:10Z,"alternative rock","Volcano",0.76,0.586,9,-9.699,1,0.0433,0.0531,0.000617,0.0819,0.946,109.142,4
spotify:track:5IyE1u0YZOHHkLaVRV7eGy,"Kate","Whatever And Ever Amen (Remastered Edition)","Ben Folds Five",1997-03-18,193880,40,false,jackdutton8,2025-07-18T19:16:35Z,"","Epic",0.536,0.868,5,-5.486,1,0.0316,0.188,0.0000608,0.12,0.675,121.167,4
spotify:track:3eArI9HrUPFKMLfVWoFH2u,"Italian Leather Sofa","Fashion Nugget","CAKE",1996-09-16,352504,32,false,jackdutton8,2025-07-18T19:16:44Z,"alternative rock","Volcano/Legacy",0.501,0.726,0,-8.026,1,0.0445,0.299,0.00842,0.366,0.479,104.04,4
spotify:track:3ixrcaiqfABVtAaGjyzMd0,"Sad Songs and Waltzes","Fashion Nugget","CAKE",1996-09-16,194837,29,false,jackdutton8,2025-07-18T19:16:52Z,"alternative rock","Volcano/Legacy",0.562,0.107,9,-13.407,1,0.033,0.921,0.0000149,0.102,0.27,109.096,3
spotify:track:7shU2ah5hpW9QoaJuwkHdC,"The Guitar Man","Pressure Chief","CAKE",2004-10-05,233160,43,false,jackdutton8,2025-07-18T19:16:57Z,"alternative rock","Columbia",0.548,0.559,4,-7.254,0,0.0298,0.105,0.0000373,0.289,0.697,77.934,4
spotify:track:5Cg6S5BXG6lXqjijSK9zFh,"War Pigs","b-sides and rarities","CAKE",2007-11-13,234013,52,false,jackdutton8,2025-07-18T19:17:00Z,"alternative rock","Upbeat Records",0.581,0.566,5,-8.169,0,0.0357,0.00698,0.00000293,0.0968,0.449,83.904,4
spotify:track:5Myoq3na9DWhvv1k9jxFXe,"Hem Of Your Garment","Prolonging the Magic","CAKE",1998-02-05,215906,44,false,jackdutton8,2025-07-18T19:17:15Z,"alternative rock","Volcano",0.759,0.444,5,-13.372,0,0.033,0.0172,0.169,0.0669,0.955,119.074,4
spotify:track:2DUkbddNcFTVwLvzvj7lUV,"Pretty Pink Ribbon","Comfort Eagle","CAKE",2001-07-24,188439,35,false,jackdutton8,2025-07-18T19:17:26Z,"alternative rock","Columbia",0.739,0.569,11,-9.725,1,0.0328,0.367,0.23,0.133,0.861,123.017,4
spotify:track:2qQCU22yQXKjhytKUBxa59,"Comfort Eagle","Comfort Eagle","CAKE",2001-07-24,220202,55,false,jackdutton8,2025-07-18T19:17:59Z,"alternative rock","Columbia",0.735,0.692,11,-9.671,1,0.0582,0.0932,0,0.217,0.894,120.99,4
spotify:track:3qkdfqjvHbehlvQNTXmzov,"Jolene","Motorcade of Generosity","CAKE",1994,319200,41,false,jackdutton8,2025-07-18T19:18:36Z,"alternative rock","Upbeat Records",0.498,0.576,8,-9.853,0,0.0411,0.305,0.0000173,0.544,0.847,94.232,4
spotify:track:0NQnCpLQYQc4o7SLhgSkBB,"Ruby Sees All","Motorcade of Generosity","CAKE",1994,180293,37,false,jackdutton8,2025-07-18T19:18:45Z,"alternative rock","Upbeat Records",0.629,0.824,7,-7.545,1,0.042,0.195,0.000185,0.352,0.65,99.89,4
