Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0AqE2nClzllWavHbkC2AeZ,"Bound","2+2+1=","The Ponderosa Twins Plus One",1971-01-01,196706,54,false,jackdutton8,2023-08-22T18:04:47Z,"","Numero Group",0.483,0.531,5,-5.14,0,0.0263,0.767,0.0261,0.199,0.67,142.084,4
spotify:track:0k3fBeBIcok5gbYQyQbxP5,"All I Do","Hotter Than July","Stevie Wonder",1980-09-29,306666,58,false,jackdutton8,2023-08-22T18:04:47Z,"motown,classic soul,soul","Motown",0.849,0.5,11,-16.705,1,0.0915,0.0842,0,0.107,0.88,117.217,4
spotify:track:1c5KZhtOAOH7eFOlBekNhS,"I Like It","All This Love","DeBarge",1982-04-28,279400,65,false,jackdutton8,2023-08-22T18:04:47Z,"quiet storm","UNI/MOTOWN",0.675,0.732,9,-4.5,1,0.0443,0.452,0.0000184,0.201,0.83,175.01,4
spotify:track:0MJ3tMbgXzfU9oDLnHJLS4,"Between the Sheets","R&B Slow Jams","The Isley Brothers",2015-02-06,339733,12,false,jackdutton8,2023-08-22T18:04:47Z,"motown,quiet storm,soul,classic soul,funk,northern soul","Legacy Recordings",0.707,0.464,9,-9.443,0,0.081,0.363,0,0.179,0.49,83.985,4
spotify:track:2EQWbkcNoKPOXQtJM7nqRV,"My Song","Crying Laughing Loving Lying","Labi Siffre",1972,284480,63,false,jackdutton8,2023-08-22T18:04:47Z,"","Edsel",0.416,0.319,0,-12.97,1,0.0299,0.861,0.000554,0.107,0.28,95.307,4
spotify:track:6Dk5fHTvH897XrVzCO64Mx,"What You Won't Do for Love","What You Won't Do for Love","Bobby Caldwell",1978,286493,74,false,jackdutton8,2023-08-22T18:04:47Z,"yacht rock","Big Deal Records",0.642,0.396,6,-16.843,1,0.0642,0.462,0.000823,0.106,0.797,84.082,4
spotify:track:4TDRNzBW7QyTPSwEAgdmDy,"Be Thankful For What You've Got - Live","Raw & Direct","Orgone",2021-01-08,534060,41,false,jackdutton8,2023-08-22T18:04:47Z,"funk,jazz funk,retro soul,afrobeat,brass band","3 Palm Records",0.523,0.66,11,-7.051,0,0.0478,0.595,0.000147,0.129,0.619,173.664,4
spotify:track:297iRZjDoYJ6Fvj2QxrF0x,"You Send Me","2+2+1=","The Ponderosa Twins Plus One",1971-01-01,205360,36,false,jackdutton8,2023-08-22T18:04:47Z,"","Numero Group",0.381,0.475,0,-9.486,1,0.0276,0.679,0.000247,0.0937,0.634,176.165,3
spotify:track:6ghe4sMRzup1cOu7TyEztf,"Everybody Loves the Sunshine","Anthology","Roy Ayers Ubiquity;Roy Ayers",2014-04-02,240933,0,false,jackdutton8,2023-08-22T18:04:47Z,"jazz funk,acid jazz,funk,soul jazz","U-5",0.591,0.578,11,-10.313,0,0.0351,0.165,0.00000283,0.164,0.691,80.307,4
spotify:track:63xdwScd1Ai1GigAwQxE8y,"Let's Stay Together","Let's Stay Together","Al Green",1972,199396,77,false,jackdutton8,2023-08-22T18:04:47Z,"soul,classic soul,motown,soul blues","Fat Possum",0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,4
spotify:track:030DoZfrIHEeKuFNl2RzYV,"Didn't I","Listen To My Song: The Music City Sessions","Darondo",2011-08-05,208213,0,false,jackdutton8,2023-08-22T18:04:47Z,"","Ace Records",0.434,0.398,5,-12.398,1,0.033,0.0475,0.0000204,0.126,0.582,150.289,4
spotify:track:2TN5W9xhsx72kt2bxgpIZb,"Save the Children","Pieces of a Man","Gil Scott-Heron",1971-01-01,267360,41,false,jackdutton8,2023-08-22T18:04:47Z,"spoken word,jazz funk","Ace Records",0.647,0.552,7,-9.489,0,0.0358,0.588,0.00013,0.151,0.961,153.394,4
spotify:track:3pmp40HtLapVQ8L89Mz1vh,"Home Is Where the Hatred Is","Pieces of a Man","Gil Scott-Heron",1971-01-01,201520,48,false,jackdutton8,2023-08-22T18:04:47Z,"spoken word,jazz funk","Ace Records",0.687,0.712,10,-9.434,1,0.0315,0.269,0.0102,0.185,0.903,98.226,4
spotify:track:1GmqbthsQEpnLiU1hnlFVn,"Mary Jane (All Night Long)","My Life","Mary J. Blige",1994,279200,56,false,jackdutton8,2023-08-22T18:04:47Z,"r&b","Geffen*",0.788,0.294,5,-9.563,0,0.0517,0.136,0.0000285,0.0529,0.882,87.222,4
spotify:track:3fOTE7xglLPn15SrPj7kxq,"You Don't Have To Change","Light Of Worlds","Kool & The Gang",1974-09,162640,50,false,jackdutton8,2023-08-22T18:04:47Z,"disco,funk","Island Mercury",0.491,0.338,2,-16.102,1,0.0519,0.571,0.0599,0.248,0.167,79.582,4
spotify:track:1tL5a9jowsWMtn3wkFYsG9,"Footsteps in the Dark, Pts. 1 & 2","Go for Your Guns","The Isley Brothers",1977-08-21,306422,63,false,jackdutton8,2023-08-22T18:04:47Z,"motown,quiet storm,soul,classic soul,funk,northern soul","Epic/Legacy",0.679,0.374,11,-10.565,0,0.0482,0.402,0.0000249,0.0541,0.871,80.86,4
spotify:track:3FnPyzSwXrbr23MVrrV0MJ,"Tired of Fighting","Make the Road By Walking","Menahan Street Band",2008-10-14,211573,45,false,jackdutton8,2023-08-22T18:04:47Z,"retro soul","Daptone Records",0.589,0.733,9,-7.784,0,0.051,0.0163,0.95,0.0693,0.846,168.104,4
spotify:track:46mXTttlkmrSti6tnlhhOZ,"Space","Shapes of Rhythm/Woman Is Sweeter","Galt MacDermot",2000-01-01,114906,27,false,jackdutton8,2023-08-22T18:04:47Z,"","Kilmarnock Records",0.718,0.372,9,-10.233,0,0.0617,0.0155,0.774,0.0717,0.583,83.628,4
spotify:track:5TA4he79xD3fpvy0sidiOV,"Open Your Eyes","Cat in the Hat","Bobby Caldwell",1991-10-10,225493,52,false,jackdutton8,2024-04-13T19:27:01Z,"yacht rock","Big Deal Records",0.735,0.287,2,-17.593,1,0.0465,0.889,0.00124,0.0776,0.409,95.539,4
spotify:track:7wEGeUzpPNnHKfOtSgYjG4,"Hung Up On My Baby","Tough Guys","Isaac Hayes",2016-04-15,377639,50,false,jackdutton8,2024-04-13T19:27:53Z,"soul,classic soul,funk","Stax",0.678,0.695,4,-9.825,0,0.0284,0.181,0.635,0.0459,0.937,102.511,4
spotify:track:39iKJpLPhsDTOzH2lXliWF,"(Your Love Has Lifted Me) Higher And Higher","Anytime... Anywhere","Rita Coolidge",1977-03-01,241720,49,false,jackdutton8,2024-09-02T23:36:06Z,"","A&M",0.656,0.646,10,-9.169,0,0.0336,0.0575,0.00464,0.16,0.75,117.586,4
