Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:19tHmIQsRnebkyK09m2UXE,"Pigs on the Wing 1","Animals","Pink Floyd",1977-01-23,84693,59,false,jackdutton8,2022-10-07T19:08:45Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.664,0.171,7,-20.731,1,0.0452,0.3,0.001,0.264,0.378,128.631,3
spotify:track:2jvuMDqBK04WvCYYz5qjvG,"Dogs","Animals","Pink Floyd",1977-01-23,1024853,64,false,jackdutton8,2022-10-07T19:08:45Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.321,0.479,2,-11.395,0,0.05,0.076,0.00475,0.151,0.14,109.289,4
spotify:track:0gEaeqVRHPzRc7HMXtOKc7,"Pigs (Three Different Ones)","Animals","Pink Floyd",1977-01-23,686333,62,true,jackdutton8,2022-10-07T19:08:45Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.419,0.575,4,-12.22,0,0.0897,0.103,0.459,0.895,0.354,129.267,4
spotify:track:55e99bv2wlgTYtNEYHWtN1,"Sheep","Animals","Pink Floyd",1977-01-23,618933,59,false,jackdutton8,2022-10-07T19:08:45Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.28,0.716,9,-12.095,0,0.0983,0.0652,0.52,0.512,0.0618,135.378,4
spotify:track:1OzTJHmUMMYPQpMLxZYHlU,"Pigs on the Wing 2","Animals","Pink Floyd",1977-01-23,86853,53,false,jackdutton8,2022-10-07T19:08:45Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.596,0.17,7,-19.58,1,0.043,0.256,0.0000439,0.0772,0.486,128.585,3
spotify:track:2gQaQUhDCNGfBVXTvxAmXQ,"Shout","Songs From The Big Chair","Tears For Fears",1985-02-25,393666,77,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.511,0.942,0,-10.407,1,0.0429,0.174,0.0000187,0.139,0.498,97.909,4
spotify:track:23DKn3AP0fpx1aAYth2Pax,"The Working Hour","Songs From The Big Chair","Tears For Fears",1985-02-25,391653,53,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.505,0.578,6,-11.03,0,0.0304,0.0471,0.0513,0.208,0.213,101.793,4
spotify:track:2GOGDZ9wAJbmznIstAxiU4,"Everybody Wants To Rule The World","Songs From The Big Chair","Tears For Fears",1985-02-25,251480,55,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.637,0.811,7,-11.345,1,0.0583,0.363,0.00451,0.107,0.552,112.052,4
spotify:track:2p87CAEgL7eJzVgNZt2M0J,"Mothers Talk","Songs From The Big Chair","Tears For Fears",1985-02-25,306320,48,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.608,0.92,7,-11.807,1,0.051,0.00379,0.00625,0.357,0.58,119.123,4
spotify:track:2iwXxZD87p1Q3ISveQteiJ,"I Believe","Songs From The Big Chair","Tears For Fears",1985-02-25,295093,43,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.564,0.203,3,-16.934,1,0.0287,0.499,0.00000184,0.177,0.112,75.709,4
spotify:track:0WTHb1o71zwLCLwX4R0IGz,"Broken","Songs From The Big Chair","Tears For Fears",1985-02-25,158573,44,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.535,0.81,2,-11.159,1,0.0319,0.011,0.0747,0.471,0.917,114.667,4
spotify:track:0aF9m87P8Tja3NUMv4DfHt,"Head Over Heels","Songs From The Big Chair","Tears For Fears",1985-02-25,302120,73,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.298,0.704,7,-9.905,1,0.0366,0.188,0.000488,0.777,0.655,95.023,4
spotify:track:6eAPuRbhPyTwY0xTBkHHtH,"Listen","Songs From The Big Chair","Tears For Fears",1985-02-25,413120,43,false,jackdutton8,2022-10-07T19:09:01Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.165,0.508,9,-15.137,0,0.0496,0.801,0.871,0.425,0.249,80.612,1
spotify:track:3dst21BU1yo7leS5njO5dC,"Beef Rapp","MM..FOOD","MF DOOM",2004-11-16,279666,53,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.426,0.899,4,-5.673,1,0.313,0.371,0.0000264,0.715,0.644,91.65,4
spotify:track:4b82tXj35SycILuILcgBQ6,"Hoe Cakes","MM..FOOD","MF DOOM",2004-11-16,234146,73,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.511,0.613,1,-6.371,1,0.321,0.0987,0,0.144,0.95,92.184,4
spotify:track:1VZUXXUGqIxePaMUXkabRn,"Potholderz","MM..FOOD","MF DOOM;Count Bass D",2004-11-16,200653,60,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.82,0.677,3,-6.349,1,0.288,0.655,0.0000017,0.0668,0.73,87.204,4
spotify:track:4BnrGx9tWNF8aiXl1UhDBa,"One Beer","MM..FOOD","MF DOOM",2004-11-16,258586,71,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.376,0.718,7,-6.7,1,0.246,0.0996,0.00332,0.633,0.615,91.115,4
spotify:track:4q71zOiiFoDaVQCQcE6jcp,"Deep Fried Frenz","MM..FOOD","MF DOOM",2004-11-16,299626,56,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.647,0.67,6,-7.874,1,0.281,0.0823,0,0.342,0.553,96.28,4
spotify:track:5oHefuJW6udg0pphl5KXwN,"Poo-Putt Platter","MM..FOOD","MF DOOM",2004-11-16,73613,46,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.541,0.94,8,-6.887,0,0.487,0.688,0.00214,0.367,0.755,159.803,4
spotify:track:40uyUJ1Qj6TJT9XWW1yiEw,"Fillet-O-Rapper","MM..FOOD","MF DOOM",2004-11-16,63680,45,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.836,0.682,9,-8.013,0,0.405,0.395,0,0.674,0.807,107.024,3
spotify:track:5EuI6CO76Uv7CCAGbXkJwe,"Gumbo","MM..FOOD","MF DOOM",2004-11-16,49440,45,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.5,0.746,6,-9.354,0,0.516,0.235,0.0000426,0.316,0.921,87.991,3
spotify:track:6cEI7u5eOOQTmoOtSBwTp8,"Fig Leaf Bi-Carbonate","MM..FOOD","MF DOOM",2004-11-16,199360,45,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.55,0.813,1,-7.252,1,0.366,0.299,0,0.762,0.706,92.676,4
spotify:track:6hezGXLMcnIRxzXoA7cYiP,"Kon Karne","MM..FOOD","MF DOOM",2004-11-16,171600,52,true,jackdutton8,2022-10-07T19:09:29Z,"experimental hip hop,east coast hip hop,jazz rap,alternative hip hop","Rhymesayers",0.59,0.795,5,-7.084,0,0.383,0.178,0,0.571,0.779,92.348,4
