Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:41sGGCCoHI2GLV9qadX80A,"Baby Come Back","Player","Player",1977-09-01,255845,80,false,jackdutton8,2023-03-13T16:17:43Z,"yacht rock","UMC (Universal Music Catalogue)",0.646,0.602,5,-10.238,0,0.0758,0.0599,0.000017,0.0956,0.543,156.101,4
spotify:track:478thMMvYGris8eJPcDRoq,"Sentimental Lady","French Kiss","Bob Welch",1977-01-01,178693,58,false,jackdutton8,2023-03-13T16:17:59Z,"yacht rock,soft rock","Capitol Records",0.445,0.471,4,-16.218,1,0.0328,0.107,0,0.268,0.562,71.041,4
spotify:track:0WEbxRkrGvgDQ5eBm6iH8n,"This Time I'm In It For Love","Player","Player",1977-09-01,265221,52,false,jackdutton8,2023-03-13T16:18:09Z,"yacht rock","UMC (Universal Music Catalogue)",0.687,0.409,7,-11.369,1,0.0301,0.0898,0.00000721,0.0768,0.828,104.448,4
spotify:track:6T5GTy1l6dRmagqpNPjdoc,"Too Much Heaven","Spirits Having Flown","Bee Gees",1979-02-05,296000,71,false,jackdutton8,2023-03-13T16:18:46Z,"disco","Bee Gees Catalog",0.496,0.44,6,-13.212,1,0.0466,0.44,0.0000907,0.725,0.353,165.917,4
spotify:track:3ZP18us6p6LHOZMG1LLUjF,"How Deep Is Your Love","How Can You Mend A Broken Heart","Bee Gees",2020-12-11,241093,62,false,jackdutton8,2023-03-13T16:18:57Z,"disco","UME - Global Clearing House",0.594,0.5,5,-5.586,0,0.0255,0.076,0.0000986,0.184,0.537,104.996,4
spotify:track:5fnOrhQ4KgT5irGCjIccGH,"Arthur's Theme (Best That You Can Do)","Arthur - The Album [Original Soundtrack]","Christopher Cross",2008-02-19,234493,76,false,jackdutton8,2023-03-13T16:19:23Z,"yacht rock,soft rock","Rhino/Warner Records",0.526,0.515,9,-11.169,1,0.0389,0.169,0.000816,0.181,0.518,136.543,4
spotify:track:4AjKVyNUMdUveKK5OH1OJD,"How Long","Five-A-Side","Ace",1974-01-01,204226,0,false,jackdutton8,2023-03-16T10:53:39Z,"yacht rock,soft rock","Cavalcade Records Ltd",0.717,0.406,0,-13.954,0,0.0305,0.587,0.103,0.0869,0.703,123.213,4
spotify:track:2rVxsVGLFssDfM5B9BUL0K,"Love So Right","Children Of The World","Bee Gees",1976-01-01,215493,58,false,jackdutton8,2023-03-16T13:10:21Z,"disco","Bee Gees Catalog",0.575,0.405,4,-13.346,1,0.0279,0.345,0.0000673,0.645,0.558,80.983,4
spotify:track:7qUTZEf6bgiApJEXpMAH5y,"Can't Smile Without You","Even Now","Barry Manilow",1978,193440,63,false,jackdutton8,2023-03-16T13:10:25Z,"yacht rock,adult standards","Arista/Legacy",0.419,0.516,7,-9.937,1,0.0335,0.494,0.00000441,0.148,0.476,97.884,4
spotify:track:0KMGxYKeUzK9wc5DZCt3HT,"If You Leave Me Now","Chicago X","Chicago",1976-06-14,235373,79,false,jackdutton8,2023-03-16T13:10:27Z,"yacht rock,soft rock","Rhino",0.434,0.563,11,-6.784,1,0.0268,0.0197,0.000824,0.128,0.275,104.183,4
