Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:14e46mURUUwB3i2vTe1gFz,"Astrovan","Mt. Joy","Mt. Joy",2018-03-02,186133,0,false,jackdutton8,2023-08-21T22:52:20Z,"","Dualtone Music Group, Inc.",0.547,0.444,3,-9.4,1,0.0386,0.867,0,0.134,0.62,169.923,4
spotify:track:3o5K1YmFz9i9KluRGJusd1,"Rubble To Rubble","Latigo EP","Wilderado",2017-07-28,204000,52,false,jackdutton8,2023-08-21T22:55:22Z,"","Ignition Records Ltd",0.559,0.454,9,-8.377,0,0.0377,0.376,0.00000488,0.258,0.284,134.941,4
spotify:track:4xXglb2SBiHnqPMQiItlrG,"Let Loose","Rearrange Us","Mt. Joy",2020-06-05,221946,0,false,jackdutton8,2023-08-21T22:58:06Z,"","Dualtone Music Group, Inc.",0.514,0.642,0,-6.938,1,0.0326,0.496,0.00506,0.134,0.618,147.031,4
spotify:track:2pU78FvLAjcRrDEjEH7L3M,"Golden Hour","Golden Hour","Champagne Lane",2019-04-10,278011,35,false,jackdutton8,2023-08-21T22:58:17Z,"","Champagne Lane Records",0.731,0.575,4,-11.68,1,0.0441,0.343,0.0000661,0.0991,0.764,97.043,4
spotify:track:0LO7f7ZJg871B8hLTRzrfB,"Julia","Mt. Joy","Mt. Joy",2018-03-02,190453,0,false,jackdutton8,2023-08-21T22:58:32Z,"","Dualtone Music Group, Inc.",0.586,0.412,5,-6.994,1,0.0262,0.681,0.0173,0.0741,0.474,81.934,4
spotify:track:1QF25beUt4ophlXiZHBsGh,"Hawaii Mustang","Informal Conversations","Connor Kelly & The Time Warp",2018-10-12,259465,40,false,jackdutton8,2023-08-21T22:58:56Z,"funk rock","Sheree Tomorrow",0.564,0.829,0,-4.998,1,0.208,0.457,0.00000784,0.728,0.329,180.488,4
spotify:track:2pfAvgMoHLfialvMYn337d,"No Sleep","By and By","Caamp",2019-07-26,237760,0,false,jackdutton8,2023-08-21T23:00:41Z,"indie folk,folk","Mom+Pop",0.704,0.71,8,-7.387,1,0.0284,0.533,0.0011,0.148,0.897,123.89,4
spotify:track:5x0SPAFxQcyy7FzvbOO6SL,"All That and More (Sailboat)","Seven + Mary","Rainbow Kitten Surprise",2013-11-13,171025,0,true,jackdutton8,2023-08-21T23:03:17Z,"","RKS Recordings",0.626,0.525,7,-9.225,1,0.11,0.802,0,0.226,0.382,84.884,4
spotify:track:6H96yLcXFKuBYTFEEi4Vl2,"Willy's Song","Feathers & Fishhooks","Rayland Baxter",2012-08-28,223546,48,false,jackdutton8,2023-08-21T23:03:37Z,"southern gothic","ATO Records",0.498,0.512,1,-8.201,0,0.053,0.519,0,0.106,0.491,166.926,4
spotify:track:2fEcMBdl3BUmPclvQKSBfV,"Sheep","Mt. Joy","Mt. Joy",2018-03-02,223866,0,false,jackdutton8,2023-09-11T22:41:51Z,"","Dualtone Music Group, Inc.",0.509,0.449,1,-8.403,1,0.0714,0.458,0.00000106,0.0824,0.318,158.998,4
