Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31AOj9sFz2gM0O3hMARRBx,"Losing My Religion","Out Of Time (25th Anniversary Edition)","R.E.M.",1991-03-12,268426,87,false,jackdutton8,2022-01-03T18:29:00Z,"jangle pop,alternative rock,rock","Concord Records",0.666,0.855,9,-5.051,0,0.0295,0.179,0.0000012,0.0987,0.803,125.639,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,94,false,jackdutton8,2022-01-03T18:29:01Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
spotify:track:67oyFnjJnn78fZP9KjeZx0,"Goodbye Stranger - Remastered 2010","Breakfast In America (Deluxe Edition)","Supertramp",1979-03-29,350573,70,false,jackdutton8,2022-01-03T18:35:15Z,"progressive rock,classic rock","A&M",0.42,0.668,1,-7.35,1,0.0517,0.607,0.016,0.0585,0.338,125.391,4
spotify:track:1v2zyAJrChw5JnfafSkwkJ,"Shiny Happy People","Out Of Time (25th Anniversary Edition)","R.E.M.",1991-03-12,225786,73,false,jackdutton8,2022-01-03T18:29:05Z,"jangle pop,alternative rock,rock","Concord Records",0.452,0.909,9,-3.977,1,0.0366,0.0313,0.0603,0.23,0.805,124.623,4
spotify:track:3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Honky Chateau","Elton John",1972-05-19,281613,83,false,jackdutton8,2022-01-03T18:29:10Z,"","EMI",0.601,0.532,10,-9.119,1,0.0286,0.433,0.00000595,0.0925,0.342,136.576,4
spotify:track:1oht5GevPN9t1T3kG1m1GO,"Fire and Rain - 2019 Remaster","Sweet Baby James (2019 Remaster)","James Taylor",1970-02-01,203613,70,false,jackdutton8,2022-01-03T18:35:23Z,"folk rock,singer-songwriter,soft rock","Rhino/Warner Records",0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,4
spotify:track:6iGU74CwXuT4XVepjc9Emf,"God Only Knows - Mono","Pet Sounds (Original Mono & Stereo Mix)","The Beach Boys",1966-06-16,173040,62,false,jackdutton8,2022-01-03T18:37:19Z,"baroque pop","Capitol Records",0.524,0.487,6,-7.525,0,0.0299,0.253,0,0.0579,0.482,117.108,4
spotify:track:7Hx2EA4wGaxtsiZCVVLV1i,"Deacon Blues","Aja","Steely Dan",1977-01-01,456640,0,false,jackdutton8,2022-01-03T18:29:15Z,"yacht rock,classic rock","Geffen*",0.75,0.58,0,-12.475,1,0.0355,0.437,0.000472,0.105,0.614,115.871,4
spotify:track:1tjK9HhmpEfk0ijyIKsoUk,"Hey Nineteen","Gaucho","Steely Dan",1980,307400,1,false,jackdutton8,2022-01-03T18:29:19Z,"yacht rock,classic rock","Geffen*",0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,4
spotify:track:6FKU84JHM1lbiy5Dx0Dyqd,"The Joker","Greatest Hits 1974-78","Steve Miller Band",1978-01-01,217800,52,false,jackdutton8,2022-01-03T18:35:41Z,"classic rock","CAPITOL CATALOG MKT (C92)",0.417,0.339,10,-13.487,1,0.0819,0.454,0.0000226,0.135,0.719,165.451,4
spotify:track:2yBVeksU2EtrPJbTu4ZslK,"What a Fool Believes","Minute by Minute","The Doobie Brothers",1978,223866,76,false,jackdutton8,2022-01-03T18:29:22Z,"yacht rock,classic rock,soft rock,southern rock","Rhino/Warner Records",0.758,0.378,8,-15.308,0,0.0449,0.284,0,0.049,0.985,120.736,4
spotify:track:41dDygR3r7e926oGUXfrLt,"I Can't Go for That (No Can Do)","Private Eyes (Expanded Edition)","Daryl Hall & John Oates",1981,307306,73,false,jackdutton8,2022-01-03T18:29:25Z,"yacht rock,soft rock","RCA/BMG Heritage",0.889,0.441,0,-9.506,0,0.0379,0.0405,0.000788,0.038,0.963,110.565,4
spotify:track:18a9EGG4xhRELv7bgAw5hb,"Rikki Don't Lose That Number","Pretzel Logic","Steely Dan",1974-01-01,271093,0,false,jackdutton8,2022-01-03T18:29:36Z,"yacht rock,classic rock","Geffen*",0.656,0.462,11,-14.072,0,0.0373,0.518,0.000137,0.091,0.642,116.049,4
spotify:track:40riOy7x9W7GXjyGp4pjAv,"Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,86,false,jackdutton8,2022-01-03T18:29:57Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
spotify:track:2TVxnKdb3tqe1nhQWwwZCO,"Tiny Dancer","Madman Across The Water","Elton John",1971-11-05,377093,78,false,jackdutton8,2022-01-03T18:30:00Z,"","EMI",0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
spotify:track:4ZoBC5MhSEzuknIgAkBaoT,"My Life","52nd Street","Billy Joel",1978-10-13,285009,76,false,jackdutton8,2022-01-03T18:37:27Z,"soft rock","Columbia",0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097,4
spotify:track:70C4NyhjD5OZUMzvWZ3njJ,"Piano Man","Piano Man (Legacy Edition)","Billy Joel",1973-11-07,339000,86,false,jackdutton8,2022-01-03T18:30:02Z,"soft rock","Columbia/Legacy",0.331,0.55,0,-6.483,1,0.0272,0.605,0.00000396,0.192,0.429,177.734,3
spotify:track:44aTAUBF0g6sMkMNE8I5kd,"Every Little Thing She Does Is Magic","Ghost In The Machine (Remastered 2003)","The Police",1981-10-02,260573,76,false,jackdutton8,2022-01-03T18:30:24Z,"","Polydor Records",0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,4
spotify:track:5veJDT0MLsLbhYsx42GXUD,"Don't Stand So Close To Me","Zenyatta Mondatta (Remastered 2003)","The Police",1980-10-03,242666,72,false,jackdutton8,2022-01-03T18:30:27Z,"","Polydor Records",0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,4
spotify:track:22UhQSbYimuCnvI0Y07gFX,"Stand - Remastered 2013","Green (Remastered)","R.E.M.",1988-11-07,192960,56,false,jackdutton8,2022-01-03T18:30:30Z,"jangle pop,alternative rock,rock","Concord Records",0.653,0.738,4,-10.057,1,0.0285,0.397,0,0.0931,0.932,109.322,4
spotify:track:5cfYurP1XKldMBtvBBJiTs,"Ramblin' Man","Dreams","Allman Brothers Band",1989-06-20,288506,56,false,jackdutton8,2022-01-03T18:38:13Z,"southern rock,jam band,classic rock,blues rock,country rock","Mercury Records",0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,4
spotify:track:2BY7ALEWdloFHgQZG6VMLA,"Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,189044,74,false,jackdutton8,2022-01-03T18:30:46Z,"yacht rock","Epic/Legacy",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
spotify:track:2BstRQGodshjGpeDGQiNgo,"Do It Again","Can't Buy A Thrill","Steely Dan",1972-01-01,356733,1,false,jackdutton8,2022-01-03T18:31:08Z,"yacht rock,classic rock","Geffen*",0.682,0.537,2,-10.254,0,0.0323,0.218,0.0000307,0.0556,0.963,124.574,4
spotify:track:5dFoWIiJ2814hRwMYDcFiU,"She's Gone","Abandoned Luncheonette","Daryl Hall & John Oates",1973-01-01,313373,68,false,jackdutton8,2022-01-03T18:31:16Z,"yacht rock,soft rock","Rhino Atlantic",0.523,0.341,4,-14.034,1,0.0388,0.313,0.000114,0.621,0.355,77.487,4
spotify:track:1qjrYozGqc7upUgfN776lZ,"Sara Smile","Daryl Hall & John Oates (The Silver Album)","Daryl Hall & John Oates",1975,185293,72,false,jackdutton8,2022-01-03T18:31:18Z,"yacht rock,soft rock","Buddha Records",0.592,0.398,2,-10.81,0,0.0678,0.357,0.000925,0.119,0.204,150.038,3
spotify:track:4IU1RL4BKvFyXtbTwaHAvW,"Ventura Highway","Homecoming","America;George Martin",1972-01-01,211680,79,false,jackdutton8,2022-01-03T18:31:46Z,"yacht rock,soft rock,folk rock","Warner Records",0.611,0.761,2,-5.929,1,0.0283,0.104,0.0002,0.122,0.838,130.705,4
spotify:track:51AIqs0TqA4TI552nerCqa,"Aja","Aja","Steely Dan",1977-01-01,480466,0,false,jackdutton8,2022-01-03T18:32:08Z,"yacht rock,classic rock","Geffen*",0.52,0.506,7,-13.308,1,0.0321,0.0309,0.0202,0.053,0.307,117.037,4
spotify:track:0UAJH0k4k3slcE83a9UGCe,"Lola","Lola Versus Powerman and the Moneygoround, Pt. One","The Kinks",1970-11-27,241040,1,false,jackdutton8,2022-01-03T18:36:54Z,"proto-punk,baroque pop","Castle Communications",0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,4
spotify:track:5DQAHkO9U4IZIombHefcqK,"Peg","Aja","Steely Dan",1977-01-01,240293,0,false,jackdutton8,2022-01-03T18:32:12Z,"yacht rock,classic rock","Geffen*",0.797,0.566,7,-11.132,1,0.0321,0.0608,0.000362,0.14,0.939,116.976,4
spotify:track:5Wj1rJnCLpMHdLaxsFtJLs,"Bennie And The Jets - Remastered 2014","Goodbye Yellow Brick Road (Remastered)","Elton John",1973-10-05,322548,76,false,jackdutton8,2022-01-03T18:32:24Z,"","UMC (Universal Music Catalogue)",0.665,0.673,0,-7.95,1,0.0493,0.259,0.00000762,0.497,0.779,132.642,4
spotify:track:5ihS6UUlyQAfmp48eSkxuQ,"Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,86,false,jackdutton8,2022-01-03T18:32:37Z,"classic rock,yacht rock,soft rock","Warner Records",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
spotify:track:0qRR9d89hIS0MHRkQ0ejxX,"Rich Girl","Bigger Than Both Of Us","Daryl Hall & John Oates",1976-08-01,142786,77,false,jackdutton8,2022-01-03T18:32:43Z,"yacht rock,soft rock","RCA Records Label",0.573,0.683,5,-6.644,1,0.176,0.461,0,0.0935,0.817,169.519,4
spotify:track:5DH7nDryMhpixm4G4B7RP9,"The Longest Time","An Innocent Man","Billy Joel",1983-08-08,223176,66,false,jackdutton8,2022-01-03T18:32:53Z,"soft rock","Columbia",0.637,0.333,3,-9.603,1,0.0262,0.181,0,0.147,0.588,84.347,4
spotify:track:4jLv3tDBu8ww2R07DvL12s,"Man On The Moon","Automatic For The People","R.E.M.",1992-10-05,314173,69,false,jackdutton8,2022-01-03T18:33:08Z,"jangle pop,alternative rock,rock","Concord Records",0.667,0.699,7,-7.574,1,0.026,0.42,0.000442,0.201,0.655,118.567,4
spotify:track:57iDDD9N9tTWe75x6qhStw,"Bitter Sweet Symphony - Remastered 2016","Urban Hymns (Remastered 2016)","The Verve",1997-09-29,357266,86,false,jackdutton8,2022-01-03T18:33:16Z,"britpop,shoegaze","UMC (Universal Music Catalogue)",0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,4
spotify:track:3EYOJ48Et32uATr9ZmLnAo,"Roxanne","Outlandos D'Amour (Remastered 2003)","The Police",1978-11-02,191946,80,false,jackdutton8,2022-01-03T18:33:47Z,"","Polydor Records",0.618,0.748,0,-8.905,1,0.358,0.0384,0.0000041,0.0473,0.663,134.114,4
spotify:track:1oYYd2gnWZYrt89EBXdFiO,"Message In A Bottle","Reggatta De Blanc (Remastered 2003)","The Police",1979-10-02,290280,79,false,jackdutton8,2022-01-03T18:33:50Z,"","Polydor Records",0.577,0.808,1,-7.04,0,0.039,0.0338,0.0000133,0.221,0.869,151.008,4
spotify:track:0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack","Bookends","Simon & Garfunkel",1968-04-03,247420,74,false,jackdutton8,2022-01-03T18:34:02Z,"folk rock,folk","Columbia",0.606,0.457,6,-14.035,0,0.0497,0.713,0.0000253,0.0747,0.813,92.033,4
spotify:track:2374M0fQpWi3dLnB54qaLX,"Africa","Toto IV","TOTO",1982-04-08,295282,88,false,jackdutton8,2022-01-03T18:34:35Z,"yacht rock,soft rock","Columbia",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
spotify:track:0RM60NkrBfm8wOe86wa9Y5,"I Heard Ramona Sing","Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition)","Frank Black",2021-07-09,221000,35,false,jackdutton8,2022-01-03T18:50:57Z,"","ABKCO Music & Records, Inc.",0.583,0.886,0,-4.07,1,0.0314,0.0069,0.0864,0.0758,0.853,106.056,3
spotify:track:6qspW4YKycviDFjHBOaqUY,"Waterfalls","Crazysexycool","TLC",1994-11-15,279506,76,false,jackdutton8,2022-01-03T18:51:07Z,"","Arista/LaFace Records",0.769,0.505,1,-7.345,1,0.0829,0.311,0.0000749,0.0777,0.757,171.804,4
spotify:track:4ggBNp8hNiQc87tRErQrz1,"By Your Side","Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition)","Beachwood Sparks",2021-07-09,298266,34,false,jackdutton8,2022-01-03T19:46:43Z,"neo-psychedelic,alt country","ABKCO Music & Records, Inc.",0.261,0.717,11,-6.612,1,0.0339,0.654,0.0321,0.206,0.634,144.646,4
