Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1NeLwFETswx8Fzxl2AFl91,"Something About Us","Discovery","Daft Punk",2001-03-12,232666,75,false,jackdutton8,2023-07-30T00:42:46Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,4
spotify:track:2cGxRwrMyEAp8dEbuZaVv6,"Instant Crush (feat. Julian Casablancas)","Random Access Memories","Daft Punk;Julian Casablancas",2013-05-20,337560,78,false,jackdutton8,2023-07-30T00:42:56Z,"french house,electronic,electro","Columbia",0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,4
spotify:track:3ctALmweZBapfBdFiIVpji,"The Game of Love","Random Access Memories","Daft Punk",2013-05-20,322146,57,false,jackdutton8,2023-07-30T00:43:26Z,"french house,electronic,electro","Columbia",0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,4
spotify:track:718purgMpFb2Axhuz0Hbq1,"Chances","Comedown Machine","The Strokes",2013-03-25,216786,59,false,jackdutton8,2023-07-30T00:43:55Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.561,0.569,6,-9.682,1,0.0289,0.365,0.611,0.109,0.53,103.705,4
spotify:track:6z5mh42xSM54RncKZMM8hS,"Call Me Back","Angles","The Strokes",2011-03-21,182026,51,false,jackdutton8,2023-07-30T00:44:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.736,0.297,2,-9.648,1,0.035,0.863,0.0000149,0.0609,0.185,125.78,4
spotify:track:2LD2gT7gwAurzdQDQtILds,"Veridis Quo","Discovery","Daft Punk",2001-03-12,345186,76,false,jackdutton8,2023-07-30T00:44:47Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.605,0.687,9,-13.928,0,0.045,0.479,0.949,0.104,0.12,106.896,4
spotify:track:0xtIp0lgccN85GfGOekS5L,"Yes I'm Changing","Currents","Tame Impala",2015-07-17,270680,76,true,jackdutton8,2023-07-30T00:45:14Z,"neo-psychedelic,indie","Universal Music Australia Pty. Ltd.",0.373,0.609,0,-7,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,4
spotify:track:4wajJ1o7jWIg62YqpkHC7S,"Weird Fishes / Arpeggi","In Rainbows","Radiohead",2007-12-28,318186,79,false,jackdutton8,2023-07-30T00:45:27Z,"art rock,alternative rock","XL Recordings",0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958,4
spotify:track:4r4fX4NZIqVIhGyDvERp0l,"Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz]","Random Access Memories (10th Anniversary Edition)","Daft Punk;Julian Casablancas;The Voidz",2023-05-12,239213,59,false,jackdutton8,2023-07-30T00:47:28Z,"french house,electronic,electro","Columbia/Legacy",0.636,0.634,1,-10.532,1,0.0531,0.111,0.635,0.609,0.189,110.039,4
spotify:track:6ewQE1dNPv9qqlnB1CxrvM,"Mind Mischief","Lonerism","Tame Impala",2012-01-01,271880,63,false,jackdutton8,2023-07-30T00:47:42Z,"neo-psychedelic,indie","Modular",0.25,0.942,6,-3.235,1,0.0545,0.0815,0.00097,0.367,0.822,161.333,4
spotify:track:4KxbBOHXGhtZLmmaVvlN43,"Ruby","Torches X (Deluxe Edition)","Foster The People",2021-11-12,308760,37,false,jackdutton8,2023-07-30T00:47:49Z,"","Columbia/Legacy",0.694,0.46,3,-8.469,1,0.0296,0.181,0.00000228,0.051,0.315,137.982,4
spotify:track:2TmqE1B16v0H6BLbBz38ob,"Darlin'","Little Neon Limelight","Houndmouth",2015-03-17,258480,53,false,jackdutton8,2023-07-30T00:53:31Z,"","Rough Trade",0.471,0.322,3,-8.731,1,0.0295,0.285,0.0252,0.0995,0.308,116.754,3
spotify:track:2lffRiAET2Xt6BNb4EmkS2,"80's Comedown Machine","Comedown Machine","The Strokes",2013-03-25,298613,58,false,jackdutton8,2023-07-30T01:11:00Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.488,0.503,0,-8.89,1,0.0326,0.00583,0.809,0.101,0.38,144.035,4
spotify:track:49PyCCLOdJi0jHkGyyY2vv,"Sonate Pacifique","Sonate Pacifique","L'Impératrice;Isaac Delusion",2014-09-22,348944,61,false,jackdutton8,2023-07-30T01:11:18Z,"french indie pop,french house,french pop","microqlima",0.558,0.538,5,-8.853,1,0.0327,0.629,0.0198,0.424,0.254,99.992,4
spotify:track:5Qv2Nby1xTr9pQyjkrc94J,"All I Need","In Rainbows","Radiohead",2007-12-28,228746,83,false,jackdutton8,2023-07-30T01:12:10Z,"art rock,alternative rock","XL Recordings",0.67,0.478,4,-8.689,0,0.0355,0.531,0.428,0.138,0.0997,88.014,4
spotify:track:3QaULt6mFjXbmU1O8chake,"Holding Out For You","Man It Feels Like Space Again","Pond",2015-01-23,283394,31,false,jackdutton8,2023-07-30T01:20:44Z,"neo-psychedelic,psychedelic rock","EMI Recorded Music Australia Pty Ltd",0.379,0.86,11,-6.086,1,0.0439,0.000391,0.183,0.412,0.407,128.213,4
spotify:track:6kblAEj0T0312fv5QWsXzo,"Congratulations","Congratulations","MGMT",2010-04-09,235386,58,false,jackdutton8,2023-07-30T01:21:21Z,"indie","Columbia",0.761,0.637,7,-8.169,1,0.0268,0.439,0.0082,0.102,0.656,125.115,4
spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma","Comedown Machine","The Strokes",2013-03-25,204773,72,false,jackdutton8,2023-07-30T18:22:13Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
spotify:track:5JyJsAZyLTD7W5oWLeB0JK,"PPP","Depression Cherry","Beach House",2015-08-28,368546,64,false,jackdutton8,2023-07-30T18:22:20Z,"dream pop","Sub Pop Records",0.49,0.466,1,-7.685,1,0.0284,0.364,0.888,0.0568,0.153,104.882,3
