Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:27qG9sy9FaxB7sd3pRMAAO,"Jackie Wants a Black Eye","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,184826,39,false,jackdutton8,2022-09-19T15:03:12Z,"","Anti/Epitaph",0.508,0.695,0,-5.368,1,0.12,0.151,0.0000011,0.448,0.707,143.142,4
spotify:track:209g8XrYu3ov4Wt4bRk2Yw,"Shadow People","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,253093,45,false,jackdutton8,2022-09-19T15:03:22Z,"","Anti/Epitaph",0.434,0.707,7,-5.472,1,0.0399,0.119,0,0.0997,0.477,176.612,4
spotify:track:1H5N26VqHR4JhuaRKY2I0u,"Heaven Knows I'm Miserable Now - 2011 Remaster","Louder Than Bombs","The Smiths",1987,215760,69,false,jackdutton8,2022-09-19T15:03:54Z,"new wave,madchester,jangle pop","WM UK",0.609,0.759,6,-4.862,1,0.0276,0.028,0,0.183,0.774,114.045,4
spotify:track:0UV5zxRMz6AO4ZwUOZNIKI,"Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,81,false,jackdutton8,2022-09-19T15:04:05Z,"","Anti/Epitaph",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
spotify:track:74f0dpqHhTeTJzs4pmZ1yq,"Pool House","When We Were Friends","The Backseat Lovers",2019-01-27,269411,69,false,jackdutton8,2022-09-19T15:04:15Z,"","The Backseat Lovers",0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,4
spotify:track:54YY9VsZn8sbwXht0VAKZB,"Black Memories","Chinese Fountain","The Growlers",2014-09-23,171400,0,false,jackdutton8,2022-09-19T15:05:28Z,"surf rock","Everloving Records",0.617,0.576,0,-8.009,1,0.0286,0.00661,0,0.153,0.825,113.965,4
spotify:track:4MXE6VCvTsQitHWrAxj7Kg,"Maple Syrup","When We Were Friends","The Backseat Lovers",2019-01-27,243529,71,false,jackdutton8,2022-09-19T15:05:52Z,"","The Backseat Lovers",0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153,3
spotify:track:48dfAEnODXTn8YwVOC4yeE,"Fred Jones, Pt. 2","Rockin' The Suburbs","Ben Folds",2001-08-29,225933,23,false,jackdutton8,2022-09-19T15:10:34Z,"","Epic",0.486,0.166,0,-11.534,1,0.0323,0.894,0.00000245,0.0932,0.239,131.854,3
spotify:track:1nMlHxWuPc5P9Y5nGvenlj,"I Wish I Was","True Sadness","The Avett Brothers",2016-06-24,316440,54,false,jackdutton8,2022-09-19T15:12:02Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.491,0.299,11,-8.86,1,0.0317,0.806,0,0.188,0.265,109.329,4
spotify:track:49YQ9Mq8CKelQsmjdNiICu,"The Ballad of Love and Hate","Emotionalism (Bonus Track Version)","The Avett Brothers",2007-05-15,320520,41,false,jackdutton8,2022-09-19T15:12:40Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.47,0.22,3,-11.727,1,0.043,0.866,0.00000107,0.113,0.349,156.109,3
spotify:track:1aRvUHgMe9ichgcHAAs12f,"Nellie","B-Room (Deluxe Edition)","Dr. Dog",2013-10-01,217613,58,false,jackdutton8,2022-09-19T15:13:58Z,"","Anti/Epitaph",0.506,0.526,4,-9.936,1,0.0285,0.334,0.000539,0.0907,0.591,129.641,4
spotify:track:5S5u0EWtlblH00iTNExZ6X,"I Think I Like When It Rains","Locals 2","WILLIS",2017-06-12,278293,0,false,jackdutton8,2022-09-19T15:14:16Z,"","WILLIS",0.622,0.471,9,-7.105,1,0.0277,0.0448,0,0.0957,0.278,124.455,4
spotify:track:1S9VJIS4unNB2D6SEf4BbD,"Do You Love Me Still?","Inside In / Inside Out","The Kooks",2006-01-01,195306,39,false,jackdutton8,2022-09-19T15:16:39Z,"indie,indie rock","Virgin Records",0.408,0.412,1,-8.807,0,0.0386,0.218,0.000514,0.17,0.0804,138.178,4
spotify:track:4r3Er3AOnUXFZY34F7tet8,"Out of Tune","Out of Tune","The Backseat Lovers",2018-05-11,307478,60,false,jackdutton8,2022-09-19T15:16:57Z,"","The Backseat Lovers",0.435,0.526,8,-8.621,1,0.0445,0.0111,0.0000183,0.173,0.544,95.925,4
spotify:track:3Y4rUyw7XBCK6hGHCOt6rp,"Call It Fate, Call It Karma","Comedown Machine","The Strokes",2013-03-25,204773,72,false,jackdutton8,2022-09-19T15:17:31Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.544,0.241,4,-14.779,0,0.03,0.983,0.774,0.101,0.359,109.437,4
spotify:track:2tznHmp70DxMyr2XhWLOW0,"Cigarette Daydreams","Melophobia","Cage The Elephant",2013-10-08,208760,79,false,jackdutton8,2022-09-19T15:18:04Z,"","RCA Records Label",0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4
spotify:track:5n0CTysih20NYdT2S0Wpe8,"Trouble","Tell Me I'm Pretty","Cage The Elephant",2015-12-18,225980,72,false,jackdutton8,2022-09-19T15:18:20Z,"","RCA Records Label",0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4
