Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0jBE7Fn78EAvmIs3dCd6GO,"Is This It","Is This It","The Strokes",2001-07-30,151333,59,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.667,0.692,5,-8.361,1,0.0285,0.147,0.0000375,0.349,0.846,96.022,4
spotify:track:1420BGhbXGkIJtbtBlfpYE,"The Modern Age","Is This It","The Strokes",2001-07-30,208066,53,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.528,0.888,2,-6.039,1,0.0326,0.0116,0.756,0.154,0.897,145.971,4
spotify:track:6gU7ohksNd6LsEJMWfDRhp,"Soma","Is This It","The Strokes",2001-07-30,153840,53,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.499,0.706,0,-7.335,1,0.0302,0.0747,0.00289,0.0753,0.483,148.928,4
spotify:track:21Ay8Y9Pr91nSauPGtK6MW,"Barely Legal","Is This It","The Strokes",2001-07-30,234693,53,true,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.424,0.884,0,-6.286,1,0.0365,0.00326,0.0499,0.0903,0.852,157.813,4
spotify:track:7hm4HTk9encxT0LYC0J6oI,"Someday","Is This It","The Strokes",2001-07-30,183440,67,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,4
spotify:track:4UmJMAY5TqXPAnsDW1Mci7,"Alone, Together","Is This It","The Strokes",2001-07-30,188640,49,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.515,0.863,7,-5.756,1,0.0308,0.00786,0.893,0.0616,0.961,143.017,4
spotify:track:3SUusuA9jH1v6PVwtYMbdv,"Last Nite","Is This It","The Strokes",2001-07-30,193373,68,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.624,0.899,0,-5.709,1,0.0296,0.0221,0.000137,0.0975,0.79,104.061,4
spotify:track:0OM9ri37LIbPc9hffwsyb1,"Hard To Explain","Is This It","The Strokes",2001-07-30,224333,61,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.408,0.666,7,-6.286,1,0.0578,0.000455,0.862,0.0889,0.666,82.523,4
spotify:track:3iiObSfkcBsETljmSB4Hcs,"When It Started","Is This It","The Strokes",2001-07-30,175200,47,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.721,0.654,0,-8.107,1,0.0329,0.268,0.00392,0.15,0.903,131.963,4
spotify:track:5KupfEBaVJwL7D2ZN0n1Q1,"Trying Your Luck","Is This It","The Strokes",2001-07-30,202760,50,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.503,0.687,9,-9.427,0,0.0314,0.00869,0.0131,0.131,0.619,143.902,4
spotify:track:0seTertVGvHrEJu7hlIWRq,"Take It Or Leave It","Is This It","The Strokes",2001-07-30,196066,49,false,jackdutton8,2023-07-27T22:51:51Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.43,0.913,2,-6.203,0,0.0389,0.000959,0.369,0.137,0.481,154.06,4
spotify:track:78Gzxi27GuNHTfkn2BylG4,"What Ever Happened?","Room On Fire","The Strokes",2003-10-28,169506,62,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.547,0.596,11,-6.044,1,0.0339,0.0000802,0.739,0.273,0.584,116.17,4
spotify:track:57Xjny5yNzAcsxnusKmAfA,"Reptilia","Room On Fire","The Strokes",2003-10-28,219826,76,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
spotify:track:6DUKQUhWqUySYngLXLNwP2,"Automatic Stop","Room On Fire","The Strokes",2003-10-28,207133,60,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.675,0.535,1,-6.109,1,0.0376,0.00329,0.719,0.104,0.914,105.921,4
spotify:track:6Yu1OL8I0D4vjOzYdsXYGK,"12:51","Room On Fire","The Strokes",2003-10-28,153133,64,true,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.451,0.889,4,-3.838,1,0.0379,0.312,0.8,0.558,0.592,145.056,4
spotify:track:6lnnaGN20kl0jEYJSxCgU9,"You Talk Way Too Much","Room On Fire","The Strokes",2003-10-28,186266,54,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.304,0.971,4,-3.226,1,0.0351,0.0594,0.955,0.0799,0.695,127.856,4
spotify:track:5OmumaYiHYXUsYZPGLFTYJ,"Between Love & Hate","Room On Fire","The Strokes",2003-10-28,196573,54,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.455,0.603,9,-4.919,1,0.0255,0.0000634,0.53,0.0966,0.539,104.179,4
spotify:track:08l9WKDuRyGeStQ9ojTlFh,"Meet Me in the Bathroom","Room On Fire","The Strokes",2003-10-28,176160,53,true,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.427,0.941,7,-3.973,1,0.0336,0.000067,0.89,0.0772,0.587,139.956,4
spotify:track:3kKb3U3a8jmUJQB9ypE1Jl,"Under Control","Room On Fire","The Strokes",2003-10-28,187306,57,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.406,0.72,1,-4.647,1,0.0291,0.354,0.795,0.0541,0.641,91.336,4
spotify:track:5MZBOcqI3Vpvp2PZy6ddyD,"The Way It Is","Room On Fire","The Strokes",2003-10-28,141733,49,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.482,0.95,11,-2.593,1,0.0495,0.000214,0.883,0.0938,0.856,137.074,4
spotify:track:0dy6iXYIF0piirySAzCBwF,"The End Has No End","Room On Fire","The Strokes",2003-10-28,185560,54,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.531,0.66,1,-3.725,1,0.0335,0.000833,0.855,0.226,0.533,136.027,4
spotify:track:7eX5SypK35V8Y9d9pS6rWy,"I Can't Win","Room On Fire","The Strokes",2003-10-28,162040,56,false,jackdutton8,2023-07-27T22:52:05Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.472,0.746,11,-4.816,1,0.0321,0.00581,0.663,0.0999,0.403,97.44,4
spotify:track:5ruzrDWcT0vuJIOMW7gMnW,"The Adults Are Talking","The New Abnormal","The Strokes",2020-04-10,309053,82,false,jackdutton8,2023-07-27T22:52:33Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,4
spotify:track:2t0wwvR15fc3K1ey8OiOaN,"Selfless","The New Abnormal","The Strokes",2020-04-10,222093,78,false,jackdutton8,2023-07-27T22:52:33Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.538,0.679,4,-4.297,1,0.0333,0.191,0.00175,0.0889,0.0888,121.99,4
spotify:track:2mDYYGaGd9uXKkK2YhDA3i,"Brooklyn Bridge To Chorus","The New Abnormal","The Strokes",2020-04-10,235946,65,false,jackdutton8,2023-07-27T22:52:33Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.628,0.571,0,-3.897,1,0.0628,0.00602,0.0000921,0.0833,0.467,119.899,4
spotify:track:55N8cxpE1QDoeaaNqUnoZ2,"Bad Decisions","The New Abnormal","The Strokes",2020-04-10,293360,63,false,jackdutton8,2023-07-27T22:52:33Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,4
